Class,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Chromadorea,0.0,0.0,0.0,0.0,0.0,48.0,55.0,54.0,55.0,57.0
Chytridiomycetes,0.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,10.0,6.0
Cnidaria,0.0,0.0,0.0,0.0,0.0,6.0,12.0,12.0,10.0,14.0
Cryptomonadales,0.0,0.0,0.0,0.0,0.0,20.0,14.0,11.0,20.0,16.0
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,19.0,16.0,20.0,14.0,28.0
Cyanobacteriia,0.0,0.0,0.0,0.0,0.0,63.0,71.0,65.0,81.0,68.0
Cytophagia,0.0,0.0,0.0,0.0,0.0,91.0,95.0,101.0,76.0,84.0
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Deinococci,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0
Desulfovibrionia,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,26.0,27.0
Diapherotrites Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Discoba,0.0,0.0,0.0,0.0,0.0,53.0,34.0,35.0,35.0,18.0
Discosea,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0
Endogonales,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Entomophthoromycotina,0.0,0.0,0.0,0.0,0.0,61.0,53.0,59.0,59.0,61.0
Epsilonproteobacteria,0.0,0.0,0.0,0.0,0.0,2391.0,2487.0,2441.0,2450.0,2428.0
FHMa11 terrestrial group,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0
Fibrobacteria,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,10.0,3.0
Flavobacteriia,0.0,0.0,0.0,0.0,0.0,80.0,85.0,73.0,83.0,61.0
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0
Gastrotricha,0.0,0.0,0.0,0.0,0.0,28.0,41.0,28.0,42.0,35.0
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,18.0,39.0,41.0,39.0,36.0
Glomeromycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Group C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Halobacteria,0.0,0.0,0.0,0.0,0.0,88.0,95.0,95.0,96.0,85.0
Ignavibacteria,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Insecta,0.0,0.0,0.0,0.0,0.0,159.0,166.0,174.0,169.0,161.0
Intramacronucleata,0.0,0.0,0.0,0.0,0.0,45.0,54.0,24.0,27.0,18.0
LKM74,0.0,0.0,0.0,0.0,0.0,43.0,31.0,36.0,28.0,34.0
Marine Group I,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,7.0,4.0
Metamonada,0.0,0.0,0.0,0.0,0.0,49.0,55.0,55.0,58.0,41.0
Methanobacteria,0.0,0.0,0.0,0.0,0.0,402.0,359.0,381.0,373.0,313.0
Methanomicrobia,0.0,0.0,0.0,0.0,0.0,39.0,38.0,57.0,34.0,43.0
Ministeriida,0.0,0.0,0.0,0.0,0.0,12.0,13.0,14.0,9.0,10.0
Mollicutes,0.0,0.0,0.0,0.0,0.0,43.0,50.0,51.0,44.0,55.0
Mollusca,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Mucorales,0.0,0.0,0.0,0.0,0.0,1179.0,1229.0,1210.0,1189.0,1178.0
Nematoda,0.0,0.0,0.0,0.0,0.0,1031.0,1067.0,1096.0,1056.0,1054.0
Nitrospira,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0
Nucleariida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0
PAUC43f marine benthic group,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0
Pezizomycotina,0.0,0.0,0.0,0.0,0.0,4213.0,4148.0,4221.0,4184.0,4126.0
Phycisphaerae,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,9.0,13.0
Pla3 lineage,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0
Pla4 lineage,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0
Planctomycetacia,0.0,0.0,0.0,0.0,0.0,27.0,41.0,38.0,50.0,39.0
Planctomycetes,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0
Platyhelminthes,0.0,0.0,0.0,0.0,0.0,63.0,67.0,47.0,38.0,58.0
Porifera,0.0,0.0,0.0,0.0,0.0,11.0,9.0,7.0,7.0,10.0
Pucciniomycotina,0.0,0.0,0.0,0.0,0.0,29929.0,30023.0,30083.0,30028.0,29743.0
Rhizaria,0.0,0.0,0.0,0.0,0.0,1656.0,1652.0,1539.0,1586.0,1616.0
Rhodophyceae,0.0,0.0,0.0,0.0,0.0,11.0,10.0,16.0,8.0,18.0
S0134 terrestrial group,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0
S085,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,4.0
SPOTSOCT00m83,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,0.0
Saccharomycotina,0.0,0.0,0.0,0.0,0.0,7441.0,7122.0,7331.0,7349.0,6804.0
Scyphozoa,0.0,0.0,0.0,0.0,0.0,18.0,10.0,15.0,15.0,10.0
Soil Crenarchaeotic Group(SCG),0.0,0.0,0.0,0.0,0.0,13.0,19.0,13.0,14.0,15.0
Sordariomycetes,0.0,0.0,0.0,0.0,0.0,6812.0,6367.0,6911.0,6381.0,6353.0
Sphingobacteriia,0.0,0.0,0.0,0.0,0.0,83.0,79.0,86.0,77.0,80.0
Spirochaetes,0.0,0.0,0.0,0.0,0.0,393.0,418.0,455.0,398.0,442.0
Stramenopiles,0.0,0.0,0.0,0.0,0.0,637.0,555.0,576.0,592.0,579.0
Subgroup 6,0.0,0.0,0.0,0.0,0.0,258.0,261.0,261.0,242.0,265.0
Thermococci,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,7.0,6.0
Thermoleophilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0
Thermoplasmata,0.0,0.0,0.0,0.0,0.0,306.0,292.0,299.0,310.0,290.0
Thermoprotei,0.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,3.0,6.0
Tubulinea,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0
Ustilaginomycotina,0.0,0.0,0.0,0.0,0.0,51.0,80.0,670.0,71.0,605.0
Verrucomicrobia Unknown Order,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,2.0
Xenacoelomorpha,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0
uncultured Candidatus Saccharibacteria bacterium ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
uncultured Desulfurococcales archaeon,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
uncultured Epsilonproteobacteria bacterium  ,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
uncultured archaeon   ,0.0,0.0,0.0,0.0,0.0,95.0,99.0,107.0,99.0,90.0
uncultured bacterium   ,0.0,0.0,0.0,0.0,0.0,185.0,191.0,197.0,192.0,201.0
uncultured crenarchaeote   ,0.0,0.0,0.0,0.0,0.0,5.0,18.0,2.0,0.0,0.0
uncultured euryarchaeote  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
uncultured marine eukaryote  ,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0
uncultured organism   ,0.0,0.0,0.0,0.0,0.0,10.0,11.0,16.0,12.0,11.0
