Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Acoela,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0
Aconoidasida,0.0,0.0,0.0,0.0,0.0,103.0,125.0,120.0,122.0,111.0
Aeromonadaceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0
Alcanivoracaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Alteromonadaceae,0.0,0.0,0.0,0.0,0.0,14.0,46.0,44.0,49.0,50.0
Amoeba,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
Amphifilidae sp. H-1  ,0.0,0.0,0.0,0.0,0.0,49.0,55.0,54.0,46.0,45.0
Anaerofustaceae,0.0,0.0,0.0,0.0,0.0,577.0,599.0,607.0,561.0,609.0
Anaerolineaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Anaeroplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Anaerovoracaceae,0.0,0.0,0.0,0.0,0.0,985.0,987.0,991.0,1020.0,983.0
Ancylistaceae,0.0,0.0,0.0,0.0,0.0,61.0,53.0,59.0,59.0,61.0
Arachnida,0.0,0.0,0.0,0.0,0.0,12.0,14.0,17.0,11.0,12.0
Ascaridida,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,2.0,7.0
Ascidiacea,0.0,0.0,0.0,0.0,0.0,79.0,79.0,96.0,78.0,84.0
Atopobiaceae,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,12.0,12.0
BOLA868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Bacillaceae,0.0,0.0,0.0,0.0,0.0,76.0,65.0,66.0,62.0,51.0
Bacteroidales S24-7 group,0.0,0.0,0.0,0.0,0.0,13463.0,13310.0,13456.0,13507.0,13527.0
Bdellovibrionaceae,0.0,0.0,0.0,0.0,0.0,111.0,105.0,100.0,95.0,114.0
Bernardetiaceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Blastocatellaceae (Subgroup 4),0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Brevibacteriaceae,0.0,0.0,0.0,0.0,0.0,27.0,31.0,26.0,29.0,30.0
Brucellaceae,0.0,0.0,0.0,0.0,0.0,22.0,29.0,98.0,77.0,84.0
Burkholderiaceae,0.0,0.0,0.0,0.0,0.0,35.0,47.0,54.0,56.0,47.0
Butyricicoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Caecitellus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Candidatus,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0
Candidatus Carsonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Candidatus Phytoplasma,0.0,0.0,0.0,0.0,0.0,43.0,46.0,46.0,42.0,48.0
Capnodiales,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0
Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,33.0,17.0,24.0,29.0,14.0
Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,21.0,26.0,21.0,24.0,21.0
Cercomonadidae,0.0,0.0,0.0,0.0,0.0,18.0,11.0,18.0,18.0,19.0
Chitinophagaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,2.0
Chlorophyceae,0.0,0.0,0.0,0.0,0.0,6.0,19.0,9.0,0.0,0.0
Chloroplast,0.0,0.0,0.0,0.0,0.0,63.0,71.0,65.0,77.0,68.0
Choreotrichia,0.0,0.0,0.0,0.0,0.0,14.0,12.0,19.0,15.0,18.0
Christensenellaceae,0.0,0.0,0.0,0.0,0.0,282.0,243.0,271.0,281.0,265.0
Chromatiaceae,0.0,0.0,0.0,0.0,0.0,42.0,45.0,38.0,43.0,39.0
Clostridia UCG-014,0.0,0.0,0.0,0.0,0.0,87.0,78.0,80.0,77.0,79.0
Clostridiaceae 1,0.0,0.0,0.0,0.0,0.0,2856.0,2872.0,2927.0,2885.0,2927.0
Clostridiales Dethiosulfatibacter,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
Colpodea,0.0,0.0,0.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0
Colwelliaceae,0.0,0.0,0.0,0.0,0.0,61.0,65.0,54.0,81.0,70.0
Comamonadaceae,0.0,0.0,0.0,0.0,0.0,25.0,35.0,29.0,27.0,25.0
Conoidasida,0.0,0.0,0.0,0.0,0.0,264.0,288.0,262.0,267.0,288.0
Coriobacteriaceae,0.0,0.0,0.0,0.0,0.0,7226.0,7126.0,7209.0,7104.0,7120.0
Coriolopsis gallica   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Corticiales,0.0,0.0,0.0,0.0,0.0,590.0,598.0,0.0,604.0,0.0
Corynebacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
Corynebacteriales Tomitella,0.0,0.0,0.0,0.0,0.0,29.0,42.0,39.0,28.0,27.0
Crenotrichaceae,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,7.0
Crocinitomicaceae,0.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,16.0,13.0
Cryomorphaceae,0.0,0.0,0.0,0.0,0.0,10.0,15.0,11.0,8.0,13.0
Cyanobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Cytophagaceae,0.0,0.0,0.0,0.0,0.0,91.0,95.0,101.0,76.0,84.0
Dactylopodida,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Deep Sea Hydrothermal Vent Gp,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Deferribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Defluviitaleaceae,0.0,0.0,0.0,0.0,0.0,17.0,17.0,18.0,20.0,22.0
Desulfarculaceae,0.0,0.0,0.0,0.0,0.0,72.0,63.0,73.0,64.0,76.0
Desulfobacteraceae,0.0,0.0,0.0,0.0,0.0,9.0,7.0,8.0,3.0,7.0
Desulfobulbaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Desulfurococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Diatomea,0.0,0.0,0.0,0.0,0.0,583.0,546.0,560.0,584.0,568.0
Digenea,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Dinophyceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0
Diplogasterida,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Dorylaimia,0.0,0.0,0.0,0.0,0.0,829.0,860.0,868.0,830.0,825.0
Ellipura,0.0,0.0,0.0,0.0,0.0,538.0,531.0,516.0,528.0,523.0
Enoplia,0.0,0.0,0.0,0.0,0.0,199.0,200.0,222.0,222.0,220.0
Enterococcaceae,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0
Erysipelatoclostridiaceae,0.0,0.0,0.0,0.0,0.0,589.0,588.0,601.0,631.0,603.0
Erysiphales,0.0,0.0,0.0,0.0,0.0,1513.0,1462.0,1532.0,1516.0,1480.0
Erythrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
Eucestoda,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Euglenozoa,0.0,0.0,0.0,0.0,0.0,47.0,34.0,30.0,29.0,11.0
Eurotiales,0.0,0.0,0.0,0.0,0.0,2493.0,2472.0,2482.0,2456.0,2469.0
Exobasidiales,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.0,25.0,0.0
Family XI,0.0,0.0,0.0,0.0,0.0,46.0,52.0,53.0,55.0,57.0
Family XIII,0.0,0.0,0.0,0.0,0.0,850.0,904.0,846.0,853.0,890.0
FamilyI,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
FamilyII,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,14.0,26.0
Ferrovaceae,0.0,0.0,0.0,0.0,0.0,25.0,27.0,24.0,22.0,34.0
Fervidicoccaceae,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,3.0,6.0
Fibrobacteraceae,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,10.0,3.0
Flavobacteriaceae,0.0,0.0,0.0,0.0,0.0,101.0,103.0,98.0,118.0,86.0
Foraminifera,0.0,0.0,0.0,0.0,0.0,1090.0,1112.0,1001.0,1042.0,1087.0
Francisellaceae,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
Fusobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Gemmatimonadaceae,0.0,0.0,0.0,0.0,0.0,18.0,39.0,41.0,39.0,36.0
Gnathostomata,0.0,0.0,0.0,0.0,0.0,23.0,31.0,26.0,28.0,23.0
Gracilibacteraceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,11.0,0.0
Halobacteriaceae,0.0,0.0,0.0,0.0,0.0,88.0,95.0,95.0,96.0,85.0
Halomonadaceae,0.0,0.0,0.0,0.0,0.0,23.0,35.0,22.0,21.0,28.0
Haplosclerida,0.0,0.0,0.0,0.0,0.0,11.0,9.0,7.0,7.0,10.0
Helicobacteraceae,0.0,0.0,0.0,0.0,0.0,2391.0,2487.0,2441.0,2450.0,2428.0
Helicobasidiales,0.0,0.0,0.0,0.0,0.0,19.0,27.0,18.0,20.0,19.0
Hemiptera,0.0,0.0,0.0,0.0,0.0,159.0,166.0,174.0,169.0,161.0
Heteroconchia,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Heterogastridiales,0.0,0.0,0.0,0.0,0.0,742.0,759.0,728.0,713.0,713.0
Hydroidolina,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,6.0,4.0
Hymenobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,8.0,3.0
Hyphomonadaceae,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,5.0
I-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Idiomarinaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0
Ignavibacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Imbricatea,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0
Insecta,0.0,0.0,0.0,0.0,0.0,242.0,224.0,230.0,243.0,233.0
Intramacronucleata,0.0,0.0,0.0,0.0,0.0,302.0,320.0,335.0,367.0,360.0
JG34-KF-161,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0
JGI 0000069-P22,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Jatropha curcas   ,0.0,0.0,0.0,0.0,0.0,5828.0,7872.0,7852.0,7892.0,5967.0
Klebsormidiophyceae,0.0,0.0,0.0,0.0,0.0,138.0,136.0,123.0,129.0,125.0
Leptotrichiaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Leuconostocaceae,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
MAST-3I,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
Macrodasyidae,0.0,0.0,0.0,0.0,0.0,28.0,41.0,28.0,42.0,35.0
Macrostomida,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0
Malasseziales,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Mamiellophyceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Marine Benthic Group D and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Marine Group II,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,7.0,8.0
Marinilabiaceae,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,2.0
Maxillopoda,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,8.0,6.0
Methanobacteriaceae,0.0,0.0,0.0,0.0,0.0,402.0,359.0,381.0,373.0,313.0
Methanocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Methanomicrobiaceae,0.0,0.0,0.0,0.0,0.0,6.0,13.0,16.0,6.0,12.0
Methanosaetaceae,0.0,0.0,0.0,0.0,0.0,13.0,10.0,15.0,5.0,5.0
Methanosarcinaceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,6.0
Methanospirillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Methermicoccaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Methylophilaceae,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0
Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Micromonosporaceae,0.0,0.0,0.0,0.0,0.0,26.0,18.0,21.0,15.0,23.0
Mitochondria,0.0,0.0,0.0,0.0,0.0,43.0,40.0,57.0,41.0,36.0
Monoglobaceae,0.0,0.0,0.0,0.0,0.0,7315.0,7319.0,7226.0,7272.0,7296.0
Moraxellaceae,0.0,0.0,0.0,0.0,0.0,34.0,24.0,29.0,22.0,29.0
Mycobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Mycoplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
Myxosporea,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0,10.0
NS9 marine group,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Neisseriaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0
Nitrospiraceae,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0
Nocardiaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
Novel Apicomplexa Class 2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Novel Clade 10,0.0,0.0,0.0,0.0,0.0,32.0,30.0,26.0,28.0,32.0
Nuclearia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0
OCS116 clade,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
OPB56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Oceanospirillaceae,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,11.0,11.0
Oligoflexaceae,0.0,0.0,0.0,0.0,0.0,288.0,309.0,299.0,260.0,268.0
Opiliones,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Ostracoda,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,7.0,7.0
Paenibacillaceae,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,2.0,3.0
Pasteurellaceae,0.0,0.0,0.0,0.0,0.0,22.0,21.0,20.0,16.0,13.0
Pectobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0
Peptococcaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0
Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.0,2198.0,2261.0,2240.0,2200.0,2188.0
Phaeophyceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Phaselicystidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0
Phragmoplastophyta,0.0,0.0,0.0,0.0,0.0,6303.0,4251.0,4324.0,4288.0,6283.0
Phycisphaeraceae,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,4.0,9.0
Phyllobacteriaceae,0.0,0.0,0.0,0.0,0.0,9.0,16.0,21.0,21.0,36.0
Phytophthora,0.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,3.0,7.0
Pirellulaceae,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0
Planctomycetaceae,0.0,0.0,0.0,0.0,0.0,27.0,41.0,38.0,50.0,39.0
Platygloeales,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,22.0
Plectosphaerellaceae,0.0,0.0,0.0,0.0,0.0,5624.0,5738.0,5554.0,5559.0,5562.0
Polycystinea,0.0,0.0,0.0,0.0,0.0,148.0,129.0,136.0,143.0,119.0
Polyporales,0.0,0.0,0.0,0.0,0.0,223.0,234.0,247.0,216.0,219.0
Porphyra,0.0,0.0,0.0,0.0,0.0,7.0,10.0,9.0,8.0,12.0
Porphyromonadaceae,0.0,0.0,0.0,0.0,0.0,138.0,132.0,155.0,125.0,1376.0
Postciliodesmatophora,0.0,0.0,0.0,0.0,0.0,8764.0,8898.0,8920.0,8804.0,8887.0
Prevotellaceae,0.0,0.0,0.0,0.0,0.0,266.0,266.0,242.0,273.0,263.0
Propionibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,13.0,12.0
Pseudoalteromonadaceae,0.0,0.0,0.0,0.0,0.0,60.0,70.0,58.0,68.0,71.0
Pseudohongiellaceae,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,12.0,5.0
Pseudomonadaceae,0.0,0.0,0.0,0.0,0.0,68.0,59.0,70.0,70.0,67.0
Pseudonocardiaceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
RAD A,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,21.0,14.0
RM1-SGM49,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0,7.0
Reticulamoeba,0.0,0.0,0.0,0.0,0.0,334.0,354.0,340.0,334.0,345.0
Rhabdocoela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Rhizobiaceae,0.0,0.0,0.0,0.0,0.0,11.0,13.0,13.0,16.0,13.0
Rhizobiales Candidatus Hodgkinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,94.0,89.0,84.0,79.0,63.0
Rhodocyclaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rhodymeniophycidae,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,6.0
Rhynchostoma,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Rickettsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0
Rubritaleaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Russulales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SAR116 clade,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0
SM2D12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Saccharomycetales,0.0,0.0,0.0,0.0,0.0,7441.0,7122.0,7331.0,7349.0,6804.0
Saccharospirillaceae,0.0,0.0,0.0,0.0,0.0,59.0,65.0,57.0,71.0,64.0
Salinibacter,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10.0,20.0
Salinisphaeraceae,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,6.0
Saprospiraceae,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,4.0
Schizoplasmodiopsis amoeboidea   ,0.0,0.0,0.0,0.0,0.0,10.0,13.0,8.0,9.0,14.0
Semaeostomeae,0.0,0.0,0.0,0.0,0.0,18.0,10.0,15.0,15.0,10.0
Seriata,0.0,0.0,0.0,0.0,0.0,61.0,58.0,40.0,35.0,55.0
Sordariales,0.0,0.0,0.0,0.0,0.0,125.0,119.0,119.0,127.0,107.0
Sphingobacteriaceae,0.0,0.0,0.0,0.0,0.0,70.0,66.0,74.0,64.0,74.0
Sphingomonadaceae,0.0,0.0,0.0,0.0,0.0,229.0,213.0,230.0,247.0,242.0
Spirochaetaceae,0.0,0.0,0.0,0.0,0.0,393.0,418.0,455.0,398.0,442.0
Spirosomaceae,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,6.0,5.0
Spirotrichonymphea,0.0,0.0,0.0,0.0,0.0,49.0,55.0,55.0,58.0,41.0
Sporidiobolales,0.0,0.0,0.0,0.0,0.0,29155.0,29237.0,29337.0,29283.0,28989.0
Staphylococcaceae,0.0,0.0,0.0,0.0,0.0,14.0,17.0,14.0,10.0,10.0
Streptomycetaceae,0.0,0.0,0.0,0.0,0.0,7907.0,7948.0,7889.0,7767.0,7954.0
Succinivibrionaceae,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0
Surface 1,0.0,0.0,0.0,0.0,0.0,26.0,25.0,17.0,22.0,16.0
Sutterellaceae,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,4.0,0.0
Syndiniales,0.0,0.0,0.0,0.0,0.0,113.0,128.0,128.0,112.0,132.0
TM146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
TTA-B1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
Terrestrial Miscellaneous Gp(TMEG),0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Thermococcaceae,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,7.0,6.0
Thermoplasmatales Candidatus Methanomethylophilus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Thermoplasmatales uncultured,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Thraustochytriaceae,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,5.0,2.0
Trebouxiophyceae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0
Tremellales,0.0,0.0,0.0,0.0,0.0,295.0,314.0,340.0,328.0,365.0
Trichostomatia,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,12.0,0.0
Trueperaceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0
Tylenchida,0.0,0.0,0.0,0.0,0.0,48.0,55.0,54.0,57.0,59.0
Unknown Family,0.0,0.0,0.0,0.0,0.0,15.0,19.0,15.0,17.0,15.0
Verrucomicrobiaceae,0.0,0.0,0.0,0.0,0.0,54.0,61.0,59.0,63.0,68.0
