tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3076873,2,3076873,Candidatus Acheromyda,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,56.3,48.0,10^-7.21254,,,,,[3076874],0
3076874,1,3076873,Candidatus Acheromyda pituitae,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,56.3,48.0,10^-7.21254,,,,,,0
3075137,2,3075137,Dermatobacter,"",bacteria,false,,,,4.9681898880133755,114,,,80.5938,82.2143,10^-21.9958,,,,,,,,,,,,,,,,,[2884263],0
2884263,1,3075137,Dermatobacter hominis,"",bacteria,false,,,,4.9681898880133755,114,,,80.5938,82.2143,10^-21.9958,,,,,,,,,,,,,,,,,,0
3074468,2,3074468,Mesoterricola,"",bacteria,false,,,,0.04358061305274891,1,,,91.667,36.0,10^-8.10892,,,,,,,,,,,,,,,,,[2927979],0
2927979,1,3074468,Mesoterricola silvestris,"",bacteria,false,,,,0.04358061305274891,1,,,91.667,36.0,10^-8.10892,,,,,,,,,,,,,,,,,,0
3072009,2,3072009,Profundirhabdus,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,57.4,47.0,10^-8.97881,,,,,[2604685],0
2604685,1,3072009,Profundirhabdus halotolerans,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,57.4,47.0,10^-8.97881,,,,,,0
3071076,2,3071076,Nitricoxidivorans,"",bacteria,false,,,,0.04358061305274891,1,,,86.408,103.0,10^-38.5307,,,,,,,,,,,,,,,,,[2975601],0
2975601,1,3071076,Candidatus Nitricoxidivorans perseverans,"",bacteria,false,,,,0.04358061305274891,1,,,86.408,103.0,10^-38.5307,,,,,,,,,,,,,,,,,,0
3070949,2,3070949,Flavimaribacter,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,64.6,48.0,10^-13.1851,,,,,[2865987],0
2865987,1,3070949,Flavimaribacter sediminis,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,64.6,48.0,10^-13.1851,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.5229673566329869,12,,,80.5,34.4,10^-8.97668,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.5229673566329869,12,,,80.5,34.4,10^-8.97668,,,,,,0
3065437,2,3065437,Paradinomyces,"",eukaryota,false,,,,0.04358061305274891,1,,,97.826,138.0,10^-77.5162,,,,,,,,,,,,,,,,,[3065438],0
3065438,1,3065437,Paradinomyces triforaminorum,"",eukaryota,false,,,,0.04358061305274891,1,,,97.826,138.0,10^-77.5162,,,,,,,,,,,,,,,,,,0
3064792,2,3064792,Mariluticola,"",bacteria,false,,,,0.04358061305274891,1,,,83.019,53.0,10^-11.3719,,,,,,,,,,,,,,,,,[2909283],0
2909283,1,3064792,Mariluticola halotolerans,"",bacteria,false,,,,0.04358061305274891,1,,,83.019,53.0,10^-11.3719,,,,,,,,,,,,,,,,,,0
3056652,2,3056652,Benthicola,"",bacteria,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,66.292,89.0,10^-35.4908,,,,,[3056742],0
3056742,1,3056652,Candidatus Benthicola marisminoris,"",bacteria,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,66.292,89.0,10^-35.4908,,,,,,0
3053553,2,3053553,Dematiohelicoma,"",eukaryota,false,,,,0.04358061305274891,1,,,93.333,150.0,10^-76.1077,,,,,,,,,,,,,,,,,[314156],0
314156,1,3053553,Dematiohelicoma pulchrum,"",eukaryota,false,,,,0.04358061305274891,1,,,93.333,150.0,10^-76.1077,,,,,,,,,,,,,,,,,,0
3051548,2,3051548,Opacimonas,"",bacteria,false,,,,27.019980092704323,620,,,97.278,149.979,10^-84.1863,,,,,,,,,,,,,,,,,[2961944],0
2961944,1,3051548,Opacimonas viscosa,"",bacteria,false,,,,27.019980092704323,620,,,97.278,149.979,10^-84.1863,,,,,,,,,,,,,,,,,,0
3051458,2,3051458,Chondrinema,"",bacteria,false,,,,0.39222551747474016,9,,,93.3862,111.222,10^-53.2886,,,,,,,,,,,,,,,,,[2994555],0
2994555,1,3051458,Chondrinema litorale,"",bacteria,false,,,,0.39222551747474016,9,,,93.3862,111.222,10^-53.2886,,,,,,,,,,,,,,,,,,0
3051138,2,3051138,Paenacidovorax,"",bacteria,false,,,,0.04358061305274891,1,,,89.873,79.0,10^-30.4117,,,,,,,,,,,,,,,,,[1926868],0
1926868,1,3051138,Paenacidovorax monticola,"",bacteria,false,,,,0.04358061305274891,1,,,89.873,79.0,10^-30.4117,,,,,,,,,,,,,,,,,,0
3051137,2,3051137,Paracidovorax,"",bacteria,false,,,,0.08716122610549781,2,,,90.164,61.0,10^-20.9174,,,,,,,,,,,,,,,,,[80867],0
80867,1,3051137,Paracidovorax avenae,"",bacteria,false,,,,0.08716122610549781,2,,,90.164,61.0,10^-20.9174,,,,,,,,,,,,,,,,,,0
3050898,2,3050898,Sulfuricystis,"",bacteria,false,,,,0.8716122610549781,20,,,99.9135,68.2353,10^-33.987,,,,,,,,,,,,,,,,,[2496847],0
2496847,1,3050898,Sulfuricystis thermophila,"",bacteria,false,,,,0.8716122610549781,20,,,99.9135,68.2353,10^-33.987,,,,,,,,,,,,,,,,,,0
3050722,2,3050722,Algicella,"",bacteria,false,,,,0.08716122610549781,2,,,93.1605,143.5,10^-72.3533,,,,,,0.04358061305274891,1,,,53.5,43.0,10^-4.27003,,,,,[2683284],0
2683284,1,3050722,Algicella marina,"",bacteria,false,,,,0.08716122610549781,2,,,93.1605,143.5,10^-72.3533,,,,,,0.04358061305274891,1,,,53.5,43.0,10^-4.27003,,,,,,0
3050007,2,3050007,Fontisphaera,"",bacteria,false,,,,0.08716122610549781,2,,,91.614,53.5,10^-17.8875,,,,,,,,,,,,,,,,,[2974023],0
2974023,1,3050007,Fontisphaera persica,"",bacteria,false,,,,0.08716122610549781,2,,,91.614,53.5,10^-17.8875,,,,,,,,,,,,,,,,,,0
3049269,2,3049269,Candidatus Pelagisphaera,"",bacteria,false,,,,0.21790306526374453,5,,,94.2512,144.6,10^-74.8889,,,,,,0.08716122610549781,2,,,95.7,46.5,10^-18.1951,,,,,[2684113],0
2684113,1,3049269,Candidatus Pelagisphaera phototrophica,"",bacteria,false,,,,0.21790306526374453,5,,,94.2512,144.6,10^-74.8889,,,,,,0.08716122610549781,2,,,95.7,46.5,10^-18.1951,,,,,,0
3048542,2,3048542,Parathalassolituus,"",bacteria,false,,,,0.04358061305274891,1,,,93.333,150.0,10^-76.1077,,,,,,,,,,,,,,,,,[2997323],0
2997323,1,3048542,Parathalassolituus penaei,"",bacteria,false,,,,0.04358061305274891,1,,,93.333,150.0,10^-76.1077,,,,,,,,,,,,,,,,,,0
3046601,2,3046601,Lichenifustis,"",bacteria,false,,,,,,,,,,,,,,,,0.26148367831649344,6,,,81.3167,47.8333,10^-19.5247,,,,,[2949735],0
2949735,1,3046601,Lichenifustis flavocetrariae,"",bacteria,false,,,,,,,,,,,,,,,,0.26148367831649344,6,,,81.3167,47.8333,10^-19.5247,,,,,,0
3045370,2,3045370,Ferranicluibacter,"",bacteria,false,,,,0.08716122610549781,2,,,99.0,150.0,10^-87.7728,,,,,,,,,,,,,,,,,[2715133],0
2715133,1,3045370,Ferranicluibacter rubi,"",bacteria,false,,,,0.08716122610549781,2,,,99.0,150.0,10^-87.7728,,,,,,,,,,,,,,,,,,0
3045180,2,3045180,Pectinopitys,"",eukaryota,false,,,,0.08716122610549781,2,,,96.0,150.0,10^-81.5971,,,,,,,,,,,,,,,,,"[120637, 120635]",0
120637,1,3045180,Pectinopitys ladei,"",eukaryota,false,,,,0.04358061305274891,1,,,99.333,150.0,10^-88.459,,,,,,,,,,,,,,,,,,0
120635,1,3045180,Pectinopitys ferruginea,"",eukaryota,false,,,,0.04358061305274891,1,,,92.667,150.0,10^-74.7353,,,,,,,,,,,,,,,,,,0
3044860,2,3044860,Yasminevirus,"",viruses,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,66.0,47.0,10^-10.202,,,,,[3060817],0
3060817,1,3044860,Yasminevirus saudimassiliense,"",viruses,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,66.0,47.0,10^-10.202,,,,,,0
3042730,2,3042730,Antarcticirhabdus,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,76.575,48.0,10^-15.7289,,,,,[2606717],0
2606717,1,3042730,Antarcticirhabdus aurantiaca,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,76.575,48.0,10^-15.7289,,,,,,0
3042103,2,3042103,Agogonia,"",eukaryota,false,,,,0.04358061305274891,1,,,90.066,151.0,10^-69.9291,,,,,,,,,,,,,,,,,[2963716],0
2963716,1,3042103,Agogonia voluta,"",eukaryota,false,,,,0.04358061305274891,1,,,90.066,151.0,10^-69.9291,,,,,,,,,,,,,,,,,,0
3041336,2,3041336,Stipitochalara,"",eukaryota,false,,,,,,,,,,,,,,,,0.39222551747474016,9,,,53.6111,43.1111,10^-3.81644,,,,,[112123],0
112123,1,3041336,Stipitochalara longipes,"",eukaryota,false,,,,,,,,,,,,,,,,0.39222551747474016,9,,,53.6111,43.1111,10^-3.81644,,,,,,0
3041006,2,3041006,Loeffela,"",eukaryota,false,,,,0.13074183915824672,3,,,96.748,123.0,10^-65.9011,,,,,,,,,,,,,,,,,[3028840],0
3028840,1,3041006,Loeffela hirca,"",eukaryota,false,,,,0.13074183915824672,3,,,96.748,123.0,10^-65.9011,,,,,,,,,,,,,,,,,,0
3040949,2,3040949,Litorirhabdus,"",bacteria,false,,,,3.7043521094836573,85,,,98.1006,150.0,10^-85.9214,,,,,,2.2226112656901944,51,,,79.8603,45.0256,10^-14.4223,,,,,[2518993],0
2518993,1,3040949,Candidatus Litorirhabdus singularis,"",bacteria,false,,,,3.7043521094836573,85,,,98.1006,150.0,10^-85.9214,,,,,,2.2226112656901944,51,,,79.8603,45.0256,10^-14.4223,,,,,,0
3040948,2,3040948,Paraluminiphilus,"",bacteria,false,,,,0.21790306526374453,5,,,92.857,42.0,10^-12.1591,,,,,,,,,,,,,,,,,[2518994],0
2518994,1,3040948,Candidatus Paraluminiphilus aquimaris,"",bacteria,false,,,,0.21790306526374453,5,,,92.857,42.0,10^-12.1591,,,,,,,,,,,,,,,,,,0
3036761,2,3036761,Infundibulorium,"",eukaryota,false,,,,0.21790306526374453,5,,,98.6665,150.0,10^-87.0866,,,,,,,,,,,,,,,,,[3036762],0
3036762,1,3036761,Infundibulorium cameli,"",eukaryota,false,,,,0.21790306526374453,5,,,98.6665,150.0,10^-87.0866,,,,,,,,,,,,,,,,,,0
3032531,2,3032531,Mucochytrium,"",eukaryota,false,,,,0.04358061305274891,1,,,99.333,150.0,10^-88.459,,,,,,,,,,,,,,,,,[96639],0
96639,1,3032531,Mucochytrium quahogii,"",eukaryota,false,,,,0.04358061305274891,1,,,99.333,150.0,10^-88.459,,,,,,,,,,,,,,,,,,0
3031199,2,3031199,Karpovia,"",eukaryota,false,,,,0.04358061305274891,1,,,96.377,138.0,10^-74.7715,,,,,,,,,,,,,,,,,[2925417],0
2925417,1,3031199,Karpovia croatica,"",eukaryota,false,,,,0.04358061305274891,1,,,96.377,138.0,10^-74.7715,,,,,,,,,,,,,,,,,,0
3031148,2,3031148,Paramagnetospirillum,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,60.5,43.0,10^-5.59346,,,,,[1285242],0
1285242,1,3031148,Paramagnetospirillum marisnigri,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,60.5,43.0,10^-5.59346,,,,,,0
3029205,2,3029205,Abyssibius,"",bacteria,false,,,,8.716122610549782,200,,,98.159,147.794,10^-84.6669,,,,,,0.13074183915824672,3,,,70.9333,46.3333,10^-9.69689,,,,,[2881234],0
2881234,1,3029205,Abyssibius alkaniclasticus,"",bacteria,false,,,,8.716122610549782,200,,,98.159,147.794,10^-84.6669,,,,,,0.13074183915824672,3,,,70.9333,46.3333,10^-9.69689,,,,,,0
3028536,2,3028536,Neorhodopirellula,"",bacteria,false,,,,0.30506429136924235,7,,,95.6667,150.0,10^-80.911,,,,,,0.30506429136924235,7,1,6,70.0123,67.1429,10^-27.5381,,,,,"[2714738, 445327]",0
2714738,1,3028536,Neorhodopirellula pilleata,"",bacteria,false,,,,0.30506429136924235,7,,,95.6667,150.0,10^-80.911,,,,,,,,,,,,,,,,,,0
445327,1,3028536,Neorhodopirellula lusitana,"",bacteria,false,,,,,,,,,,,,,,,,0.30506429136924235,7,1,6,70.0123,67.1429,10^-27.5381,,,,,,0
3028535,2,3028535,Allorhodopirellula,"",bacteria,false,,,,,,,,,,,,,,,,0.6972898088439825,16,1,14,81.3997,73.5,10^-30.2508,,,,,"[2714739, 2527987]",0
2714739,1,3028535,Allorhodopirellula heiligendammensis,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,58.7,46.0,10^-8.4389,,,,,,0
2527987,1,3028535,Allorhodopirellula solitaria,"",bacteria,false,,,,,,,,,,,,,,,,0.6537091957912337,15,1,14,83.1458,75.6154,10^-31.9286,,,,,,0
3024823,2,3024823,Anaeromicropila,"",bacteria,false,,,,0.04358061305274891,1,,,98.667,150.0,10^-87.0866,,,,,,,,,,,,,,,,,[37658],0
37658,1,3024823,Anaeromicropila populeti,"",bacteria,false,,,,0.04358061305274891,1,,,98.667,150.0,10^-87.0866,,,,,,,,,,,,,,,,,,0
3023045,2,3023045,Viridiparva,"",eukaryota,false,,,,0.04358061305274891,1,,,94.0,150.0,10^-77.48,,,,,,,,,,,,,,,,,[2547909],0
2547909,1,3023045,Viridiparva madeirensis,"",eukaryota,false,,,,0.04358061305274891,1,,,94.0,150.0,10^-77.48,,,,,,,,,,,,,,,,,,0
3020833,2,3020833,Isoalcanivorax,"",bacteria,false,,,,0.08716122610549781,2,,,81.333,75.0,10^-19.4553,,,,,,0.08716122610549781,2,,,77.35,48.5,10^-18.7513,,,,,"[2202653, 1306787]",0
2202653,1,3020833,Isoalcanivorax indicus,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,78.7,47.0,10^-19.0565,,,,,,0
1306787,1,3020833,Isoalcanivorax pacificus,"",bacteria,false,,,,0.08716122610549781,2,,,81.333,75.0,10^-19.4553,,,,,,0.04358061305274891,1,,,76.0,50.0,10^-18.4461,,,,,,0
3020832,2,3020832,Alloalcanivorax,"",bacteria,false,,,,1.438160230740714,33,,,97.9997,149.958,10^-85.6286,,,,,,0.21790306526374453,5,,,72.96,46.0,10^-13.7537,,,,,"[2019569, 1194167, 1177169, 1094342, 285091]",0
2019569,1,3020832,Alloalcanivorax mobilis,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,97.8,46.0,10^-22.5719,,,,,,0
1194167,1,3020832,Alloalcanivorax gelatiniphagus,"",bacteria,false,,,,1.3074183915824673,30,,,98.3936,149.955,10^-86.4318,,,,,,,,,,,,,,,,,,0
1177169,1,3020832,Alloalcanivorax marinus,"",bacteria,false,,,,,,,,,,,,,,,,0.08716122610549781,2,,,72.3,47.0,10^-15.6626,,,,,,0
1094342,1,3020832,Alloalcanivorax xenomutans,"",bacteria,false,,,,0.08716122610549781,2,,,92.0,150.0,10^-73.3629,,,,,,0.08716122610549781,2,,,61.2,45.0,10^-7.43573,,,,,,0
285091,1,3020832,Alloalcanivorax dieselolei,"",bacteria,false,,,,0.04358061305274891,1,,,95.333,150.0,10^-80.2248,,,,,,,,,,,,,,,,,,0
3018276,2,3018276,Aliamphritea,"",bacteria,false,,,,1.0895153263187227,25,,,97.4312,138.632,10^-77.4645,,,,,,,,,,,,,,,,,"[2895352, 1524258, 707589]",0
2895352,1,3018276,Aliamphritea hakodatensis,"",bacteria,false,,,,0.7408704218967315,17,,,97.842,132.417,10^-74.4235,,,,,,,,,,,,,,,,,,0
1524258,1,3018276,Aliamphritea ceti,"",bacteria,false,,,,0.08716122610549781,2,,,93.197,147.0,10^-74.0579,,,,,,,,,,,,,,,,,,0
707589,1,3018276,Aliamphritea spongicola,"",bacteria,false,,,,0.26148367831649344,6,,,97.3153,149.667,10^-84.1141,,,,,,,,,,,,,,,,,,0
3015183,2,3015183,Ulosarcina,"",eukaryota,false,,,,0.17432245221099563,4,,,90.4043,87.0,10^-34.9583,,,,,,,,,,,,,,,,,[2918494],0
2918494,1,3015183,Ulosarcina terrestrica,"",eukaryota,false,,,,0.17432245221099563,4,,,90.4043,87.0,10^-34.9583,,,,,,,,,,,,,,,,,,0
3014166,2,3014166,Amphoreus,"",eukaryota,false,,,,0.08716122610549781,2,,,95.3335,150.0,10^-80.2248,,,,,,,,,,,,,,,,,[3014174],0
3014174,1,3014166,Amphoreus schuppi,"",eukaryota,false,,,,0.08716122610549781,2,,,95.3335,150.0,10^-80.2248,,,,,,,,,,,,,,,,,,0
3004453,2,3004453,Nebulomonas,"",eukaryota,false,,,,0.04358061305274891,1,,,99.333,150.0,10^-88.459,,,,,,,,,,,,,,,,,[2968501],0
2968501,1,3004453,Nebulomonas marisrubri,"",eukaryota,false,,,,0.04358061305274891,1,,,99.333,150.0,10^-88.459,,,,,,,,,,,,,,,,,,0
3004211,2,3004211,Nibbleromonas,"",eukaryota,false,,,,0.6537091957912337,15,,,97.9047,150.0,10^-85.5182,,,,,,,,,,,,,,,,,"[2968505, 2968504, 2968503, 2968502]",0
2968505,1,3004211,Nibbleromonas quarantinus,"",eukaryota,false,,,,0.08716122610549781,2,,,100.0,150.0,10^-89.8314,,,,,,,,,,,,,,,,,,0
2968504,1,3004211,Nibbleromonas kosolapovi,"",eukaryota,false,,,,0.43580613052748907,10,,,96.0,150.0,10^-81.5971,,,,,,,,,,,,,,,,,,0
2968503,1,3004211,Nibbleromonas curacaus,"",eukaryota,false,,,,0.08716122610549781,2,,,99.0,150.0,10^-87.7728,,,,,,,,,,,,,,,,,,0
2968502,1,3004211,Nibbleromonas arcticus,"",eukaryota,false,,,,0.04358061305274891,1,,,95.333,150.0,10^-80.2248,,,,,,,,,,,,,,,,,,0
3003476,2,3003476,Sinisalibacter,"",bacteria,false,,,,0.13074183915824672,3,,,99.0,150.0,10^-87.7728,,,,,,0.04358061305274891,1,,,60.6,33.0,10^-3.65365,,,,,"[2949426, 1526570]",0
2949426,1,3003476,Sinisalibacter aestuarii,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,60.6,33.0,10^-3.65365,,,,,,0
1526570,1,3003476,Sinisalibacter lacisalsi,"",bacteria,false,,,,0.13074183915824672,3,,,99.0,150.0,10^-87.7728,,,,,,,,,,,,,,,,,,0
3003315,2,3003315,Mylnikovia,"",eukaryota,false,,,,1.1330959393714717,26,,,93.111,150.0,10^-75.6502,,,,,,,,,,,,,,,,,[1314681],0
1314681,1,3003315,Mylnikovia oxoniensis,"",eukaryota,false,,,,1.1330959393714717,26,,,93.111,150.0,10^-75.6502,,,,,,,,,,,,,,,,,,0
3003266,2,3003266,Desulfolithobacter,"",bacteria,false,,,,0.04358061305274891,1,,,84.211,114.0,10^-40.5452,,,,,,0.08716122610549781,2,,,54.45,45.0,10^-5.12298,,,,,[2795293],0
2795293,1,3003266,Desulfolithobacter dissulfuricans,"",bacteria,false,,,,0.04358061305274891,1,,,84.211,114.0,10^-40.5452,,,,,,0.08716122610549781,2,,,54.45,45.0,10^-5.12298,,,,,,0
2997344,2,2997344,Anianabacter,"",bacteria,false,,,,0.04358061305274891,1,,,98.667,150.0,10^-87.0866,,,,,,,,,,,,,,,,,[2851023],0
2851023,1,2997344,Anianabacter salinae,"",bacteria,false,,,,0.04358061305274891,1,,,98.667,150.0,10^-87.0866,,,,,,,,,,,,,,,,,,0
2995707,2,2995707,Wenjunlia,"",bacteria,false,,,,,,,,,,,,,,,,0.6101285827384847,14,1,14,83.333,78.0,10^-43.04,,,,,[76728],0
76728,1,2995707,Wenjunlia vitaminophila,"",bacteria,false,,,,,,,,,,,,,,,,0.6101285827384847,14,1,14,83.333,78.0,10^-43.04,,,,,,0
2995704,2,2995704,Peterkaempfera,"",bacteria,false,,,,0.04358061305274891,1,,,91.429,70.0,10^-27.0333,,,,,,,,,,,,,,,,,[2126346],0
2126346,1,2995704,Peterkaempfera bronchialis,"",bacteria,false,,,,0.04358061305274891,1,,,91.429,70.0,10^-27.0333,,,,,,,,,,,,,,,,,,0
2995702,2,2995702,Actinacidiphila,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,61.3,31.0,10^-4.06248,,,,,[310780],0
310780,1,2995702,Actinacidiphila rubida,"",bacteria,false,,,,,,,,,,,,,,,,0.17432245221099563,4,,,61.3,31.0,10^-4.06248,,,,,,0
2994363,2,2994363,Pseudofrankia,"",bacteria,false,,,,0.34864490442199125,8,,,87.963,89.6667,10^-34.9577,,,,,,0.43580613052748907,10,,,81.15,39.5,10^-10.7468,,,,,"[683315, 298654]",0
683315,1,2994363,Pseudofrankia sp. DC12,"",bacteria,false,,,,,,,,,,,,,,,,0.21790306526374453,5,,,77.625,48.0,10^-15.4207,,,,,,0
298654,1,2994363,Pseudofrankia inefficax,"",bacteria,false,,,,0.34864490442199125,8,,,87.963,89.6667,10^-34.9577,,,,,,0.21790306526374453,5,,,84.675,31.0,10^-6.07293,,,,,,0
2994362,2,2994362,Parafrankia,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,93.5,46.0,10^-19.9208,,,,,[222540],0
222540,1,2994362,Parafrankia sp. BMG5.11,"",bacteria,false,,,,,,,,,,,,,,,,0.04358061305274891,1,,,93.5,46.0,10^-19.9208,,,,,,0
2994361,2,2994361,Protofrankia,"",bacteria,false,,,,0.04358061305274891,1,,,79.091,110.0,10^-30.9541,,,,,,,,,,,,,,,,,[2716812],0
2716812,1,2994361,Candidatus Protofrankia datiscae,"",bacteria,false,,,,0.04358061305274891,1,,,79.091,110.0,10^-30.9541,,,,,,,,,,,,,,,,,,0
2993716,2,2993716,Kinopus,"",eukaryota,false,,,,0.08716122610549781,2,,,98.0,150.0,10^-85.7143,,,,,,,,,,,,,,,,,[2815845],0
