Genus,ocean,pam_rel_abd
Acinetobacter,13326,0.0008438454657174007
Verrucaria,13093,0.0008290911513310766
Cosmarium,12900,0.0008168697664531344
Bacillus,12852,0.0008138302510430762
Perlucidibaca,12847,0.0008135136348545285
Rikenellaceae,12627,0.0007995825225584285
Methanobrevibacter,12406,0.000785588087024619
Streptomyces,12054,0.0007632983073508591
PB19,11981,0.0007586757109980623
Algoriphagus,11361,0.0007194153036181441
Luteolibacter,11052,0.0006998484231658947
Nonlabens,10939,0.0006926928973047161
Ramicandelaber,10898,0.0006900966445586246
Aquibacter,10442,0.000661221248163072
Ulnaria,10378,0.0006571685609496611
Staphylococcus,10351,0.0006554588335315034
Semaeostomeae,10090,0.000638931468489312
Selenidium,10077,0.000638108266399088
Peptoclostridium,10064,0.0006372850643088639
Thalassotalea,9893,0.0006264567906605317
Echinococcus,9723,0.000615691840249909
Psychromonas,9663,0.0006118924459873362
Lactobacillus,9639,0.0006103726882823071
Litorivicinus,9280,0.0005876396459445804
Copepoda,8986,0.000569022614057974
Euteleostomi,8655,0.0005480626223761146
Litoricola,8608,0.0005450864302037659
Endogone,8596,0.0005443265513512514
Brunetorhynchus,8542,0.000540907096514936
Sorites,8263,0.0005232399131939728
Triplonchida,8215,0.0005202003977839146
OM60(NOR5),8142,0.0005155778014311178
Aquiluna,8050,0.0005097520635618396
Reinekea,7631,0.0004832196269615402
Oxystomina,7629,0.0004830929804861211
Thraustochytrium,7589,0.0004805600509777393
Halovibrio,7555,0.00047840706089561475
SEEP-SRB1,7527,0.0004766340102397475
Pseudorhodobacter,7517,0.000476000777862652
OM43,7368,0.00046656561544392976
Succinivibrio,7359,0.00046599570630454385
Sinorsillus,7340,0.0004647925647880625
Borya,7048,0.00044630217937687526
Roseibacillus,6858,0.0004342707642120617
SAR86,6775,0.0004290149354821694
Leptolaimus,6723,0.00042572212712127305
Neoconidiobolus,6651,0.0004211628540061858
Ilumatobacter,6592,0.0004174267829813226
Sphingomonas,6577,0.0004164769344156794
Trichinella,6567,0.000415843702038584
BD1-7,6326,0.0004005828017505836
Sphaeroeca,6310,0.00039956962994723084
Aliiglaciecola,6299,0.00039887307433242585
JGI,6155,0.00038975452810225135
Nolandia,6149,0.0003893745886759941
Peredibacter,6123,0.0003877281844955459
NS11-12,5908,0.0003741136883879936
Motilimonas,5828,0.00036904782937123
AEGEAN-169,5776,0.00036575502101033366
Oleiphilus,5717,0.00036201894998547047
Marinomonas,5701,0.0003610057781821178
Lewinella,5618,0.0003557499494522255
Variibacter,5595,0.00035429351498490595
Placus,5516,0.00034929097920585186
Hymenobacter,5431,0.00034390850400054055
Paralia,5427,0.00034365521104970235
Loxodes,5382,0.0003408056653527728
Bizionia,5380,0.0003406790188773537
Meloidogyne,5362,0.0003395392005985819
Carchesium,5292,0.0003351065739589137
PeM15,5265,0.000333396846540756
NS9,5222,0.00033067394731924553
Rubripirellula,5205,0.00032959745227818327
Maribacter,5077,0.00032149207785136147
Dinophysiales,5073,0.0003212387849005233
Novosphingobium,5068,0.00032092216871197556
Crocinitomix,5014,0.00031750271387566013
Jatropha,4892,0.0003097772788750956
Lutibacter,4854,0.0003073709958421329
Gillisia,4766,0.0003017985509236929
Capsicum,4762,0.00030154525797285473
Pseudofulvibacter,4755,0.0003011019953088879
Marivirga,4706,0.0002979991566611202
Ammoniphilus,4688,0.00029685933838234836
Methylobacterium,4609,0.00029185680260329427
OM182,4586,0.00029040036813597473
Telamona,4584,0.00029027372166055566
SAR116,4577,0.0002898304589965888
Rhodobacter,4434,0.0002807752360041239
Francisella,4385,0.0002776723973563561
Rictus,4375,0.0002770391649792607
Nothoceros,4369,0.0002766592255530034
Klebsiella,4368,0.00027659590231529386
Euglena,4265,0.0002700736088312107
Woeseia,4258,0.0002696303461672439
Rhodococcus,4146,0.00026253814354377483
Sva1033,4142,0.00026228485059293663
Blastopirellula,4138,0.00026203155764209843
Vicingus,4100,0.0002596252746091357
Leeuwenhoekiella,4072,0.00025785222395326846
Hydrocleys,4037,0.00025563591063343437
Acidovorax,4036,0.00025557258739572486
Alloprevotella,3971,0.0002514565769446044
Cytophaga,3908,0.00024746721296890306
NS10,3897,0.000246770657354098
Bernardetia,3880,0.00024569416231303576
Faecalibacterium,3801,0.0002406916265339817
Diplonema,3779,0.0002392985153043717
B2M28,3695,0.0002339793633367699
Neoheterobothrium,3689,0.00023359942391051262
Dickeya,3669,0.00023233295915632172
Trypanosoma,3570,0.00022606395862307673
Protoperidinium,3566,0.00022581066567223853
Proteiniphilum,3553,0.00022498746358201444
Kozakia,3518,0.00022277115026218036
Fusobacterium,3510,0.000222264564360504
Mamiellales,3461,0.0002191617257127363
Robiginitalea,3460,0.00021909840247502673
Trizocheles,3421,0.00021662879620435447
Magnoliophyta,3415,0.0002162488567780972
Oithona,3405,0.00021561562440100174
Pir4,3379,0.00021396922022055357
Treponema,3375,0.0002137159272697154
Planctomyces,3366,0.00021314601813032948
Rhodopirellula,3350,0.00021213284632697676
HOC36,3346,0.00021187955337613858
Capnocytophaga,3342,0.0002116262604253004
Methanosarcina,3276,0.0002074469267364704
Sagittula,3257,0.00020624378521998904
Sulfurovum,3224,0.00020415411837557406
Bacillariophytina,3221,0.00020396414866244542
Halomonas,3214,0.0002035208859984786
Paraclostridium,3205,0.0002029509768590927
Desulfotalea,3197,0.00020244439095741632
NS4,3157,0.00019991146144903452
Collodaria,3094,0.00019592209747333316
Thiogranum,3053,0.0001933258447272418
OM190,3047,0.00019294590530098454
Karlodinium,3043,0.00019269261235014634
Christiangramia,3010,0.00019060294550573136
Kordia,2930,0.00018553708648896773
Ectothiorhodospira,2905,0.0001839540055462291
Owenweeksia,2817,0.00017838156062778912
Kinetoplastea,2808,0.0001778116514884032
Sedimenticola,2786,0.0001764185402587932
CPla-4,2765,0.00017508875226689277
Methylorubrum,2747,0.00017394893398812094
Knema,2745,0.00017382228751270184
Limnobacter,2734,0.00017312573189789686
Amoebophrya,2715,0.0001719225903814155
Flavisolibacter,2712,0.00017173262066828685
HTCC5015,2710,0.00017160597419286775
Marinicella,2710,0.00017160597419286775
MD3-55,2680,0.0001697062770615814
Conchellium,2675,0.00016938966087303367
Clostridium,2663,0.00016862978202051914
vadinBC27,2646,0.00016755328697945685
Lentimonas,2618,0.0001657802363235896
Amphinome,2616,0.0001656535898481705
Pythium,2610,0.00016527365042191323
Pelagodileptus,2604,0.00016489371099565595
Collozoum,2599,0.00016457709480710824
Synechococcus,2596,0.0001643871250939796
Hydra,2595,0.00016432380185627007
Ctenophora,2569,0.00016267739767582187
Quercus,2567,0.0001625507512004028
Psychroflexus,2455,0.00015545854857693372
Leadbetterella,2454,0.00015539522533922418
Neogloboquadrina,2453,0.00015533190210151462
Schistonchus,2453,0.00015533190210151462
Octadecabacter,2447,0.00015495196267525734
Malassezia,2441,0.00015457202324900007
Blackfordia,2436,0.00015425540706045235
Nicotiana,2346,0.00014855631566659328
Fulvivirga,2331,0.0001476064671009501
Pedobacter,2282,0.00014450362845318238
Lachnospiraceae,2273,0.00014393371931379647
Propionibacterium,2258,0.00014298387074815328
Gaiella,2245,0.0001421606686579292
Ephelota,2225,0.0001408942039037383
Cryptomonas,2218,0.00014045094123977148
DEV007,2216,0.00014032429476435238
Pterygota,2203,0.0001395010926741283
Plectus,2202,0.00013943776943641875
Ekhidna,2185,0.0001383612743953565
Mycobacterium,2173,0.00013760139554284194
Anaerolinea,2168,0.0001372847793542942
Phycisphaera,2150,0.0001361449610755224
Candidatus Actinomarina,2142,0.00013563837517384603
Acanthiella,2139,0.0001354484054607174
Lachnoclostridium,2124,0.00013449855689507423
Marinoscillum,2120,0.00013424526394423603
Gyrodactylus,2117,0.0001340552942311074
Kupea,2024,0.00012816623312411968
Coccidia,2004,0.00012689976836992878
Corynebacterium,2004,0.00012689976836992878
Mangifera,1986,0.00012575995009115698
Desulfobulbus,1961,0.00012417686914841834
Arcobacter,1946,0.00012322702058277515
Mrakia,1944,0.00012310037410735605
Spirobacillus,1930,0.00012221384877942243
Sphingobacterium,1917,0.00012139064668919834
Niastella,1907,0.00012075741431210289
Halicephalobus,1899,0.00012025082841042653
Heliconius,1871,0.00011847777775455925
Rotylenchulus,1865,0.00011809783832830199
Faecalibaculum,1860,0.00011778122213975425
Alcanivorax,1807,0.00011442509054114835
Enterobacter,1795,0.00011366521168863382
Sva0081,1781,0.00011277868636070018
RB41,1763,0.00011163886808192837
Rapidithrix,1741,0.00011024575685231837
Nerita,1736,0.00010992914066377064
Phaeocystidibacter,1718,0.00010878932238499883
Acholeplasma,1693,0.00010720624144226019
Amylibacter,1693,0.00010720624144226019
Giardia,1690,0.00010701627172913155
Paradiopatra,1690,0.00010701627172913155
Nitrospira,1683,0.00010657300906516474
Subgroup,1671,0.0001058131302126502
Gymnodiniphycidae,1657,0.00010492660488471657
Rimostrombidium,1652,0.00010460998869616884
Nocardioides,1648,0.00010435669574533065
Algicola,1646,0.00010423004926991157
Zhongshania,1646,0.00010423004926991157
marine,1624,0.00010283693804030157
Lentisphaera,1623,0.00010277361480259203
Brumimicrobium,1623,0.00010277361480259203
Betula,1622,0.00010271029156488248
Zobellella,1601,0.00010138050357298203
Haloferula,1598,0.00010119053385985339
Sulfurimonas,1585,0.0001003673317696293
Micrococcus,1578,9.992406910566249e-05
Paenibacillus,1555,9.846763463834294e-05
Turicibacter,1552,9.82776649252143e-05
Ulvibacter,1550,9.815101844979522e-05
Nesterenkonia,1521,9.63146445562184e-05
Haplosporidium,1514,9.587138189225159e-05
Rhizobium,1490,9.43516241872225e-05
Mitochondria,1473,9.327512914616023e-05
Methylotenera,1467,9.289518971990295e-05
Molgula,1466,9.283186648219342e-05
Mesorhizobium,1453,9.200866439196933e-05
Chlorococcum,1453,9.200866439196933e-05
Roseburia,1448,9.169204820342159e-05
Acanthopleuribacter,1444,9.143875525258342e-05
Anoxybacillus,1442,9.131210877716433e-05
Myristica,1435,9.08688461131975e-05
Portibacter,1434,9.080552287548797e-05
Flexithrix,1374,8.700612861291524e-05
Maritimimonas,1344,8.510643148162889e-05
Babesia,1330,8.421990615369525e-05
Gaetbulibacter,1329,8.41565829159857e-05
Wolbachia,1325,8.390328996514753e-05
Pristionchus,1311,8.301676463721389e-05
Parauronema,1304,8.257350197324708e-05
Marsupiomonas,1304,8.257350197324708e-05
Granulosicoccus,1296,8.206691607157072e-05
Spirochaeta,1296,8.206691607157072e-05
Pirellula,1289,8.162365340760389e-05
Pleurocapsa,1282,8.118039074363708e-05
Desulfofustis,1273,8.061048160425116e-05
Stellarima,1270,8.042051189112253e-05
Desulfovibrio,1268,8.029386541570344e-05
Temperatibacter,1253,7.934401685006027e-05
Artomyces,1252,7.928069361235071e-05
Cellulomonas,1248,7.902740066151254e-05
Lentinula,1241,7.858413799754571e-05
Beijerinckia,1240,7.852081475983618e-05
Tanaisia,1227,7.769761266961209e-05
AB1,1224,7.750764295648345e-05
Orodendrum,1221,7.731767324335481e-05
Rhodoplanes,1220,7.725435000564526e-05
Juncorrhiza,1220,7.725435000564526e-05
Parvilucifera,1218,7.712770353022618e-05
Paratylenchus,1215,7.693773381709754e-05
Procryptobia,1214,7.687441057938799e-05
Globigerina,1212,7.67477641039689e-05
Legionella,1190,7.53546528743589e-05
hgcI,1188,7.522800639893981e-05
MWH-UniP1,1182,7.484806697268254e-05
Spionida,1182,7.484806697268254e-05
Bergeyella,1172,7.421483459558709e-05
Proteobacteria,1165,7.377157193162028e-05
Rhynchopus,1160,7.345495574307255e-05
Sphagnum,1154,7.307501631681528e-05
IS-44,1152,7.294836984139619e-05
Blastocystis,1152,7.294836984139619e-05
Acanthiops,1144,7.244178393971983e-05
Persicirhabdus,1140,7.218849098888164e-05
Haliangium,1140,7.218849098888164e-05
Tetraselmis,1132,7.168190508720528e-05
Haslea,1119,7.085870299698119e-05
Blautia,1114,7.054208680843346e-05
Billgrantia,1105,6.997217766904755e-05
Cloacibacterium,1104,6.990885443133801e-05
Umboniibacter,1089,6.895900586569483e-05
Bacteroidetes,1070,6.775586434921348e-05
Stenotrophomonas,1063,6.731260168524665e-05
Amphora,1060,6.712263197211801e-05
Marinobacter,1055,6.680601578357029e-05
Cymbomonas,1052,6.661604607044165e-05
Archaeperidinium,1047,6.629942988189393e-05
Propionigenium,1038,6.572952074250803e-05
[Eubacterium],1031,6.52862580785412e-05
Lacticaseibacillus,1029,6.515961160312211e-05
Ruminiclostridium,1023,6.477967217686484e-05
Prevotellaceae,1011,6.40197933243503e-05
Halorhabdus,1011,6.40197933243503e-05
Neodalyellida,1011,6.40197933243503e-05
Ephemera,1009,6.389314684893121e-05
Sulfuritalea,1007,6.376650037351211e-05
Methanocella,1001,6.338656094725485e-05
Theileria,1001,6.338656094725485e-05
Omalogyra,990,6.269000533244985e-05
Saccharococcus,989,6.26266820947403e-05
Gven-F17,981,6.212009619306394e-05
Candidatus Amoebophilus,980,6.205677295535439e-05
Anaerostipes,974,6.167683352909713e-05
Bivalvulida,974,6.167683352909713e-05
Methanosphaera,969,6.13602173405494e-05
Diplonemea,967,6.12335708651303e-05
Navicula,965,6.110692438971121e-05
Chryseobacterium,964,6.104360115200166e-05
Clade,955,6.0473692012615764e-05
Desulfosarcina,953,6.034704553719667e-05
Alistipes,949,6.009375258635849e-05
Eoscarta,949,6.009375258635849e-05
Microbacterium,949,6.009375258635849e-05
Armophorea,949,6.009375258635849e-05
Cellulophaga,940,5.952384344697258e-05
KI89A,939,5.946052020926304e-05
[Ruminococcus],934,5.914390402071531e-05
Thermosyntropha,913,5.781411602881486e-05
Aureispira,910,5.762414631568622e-05
Coemansia,909,5.7560823077976677e-05
Gregarinasina,897,5.680094422546213e-05
Thalassobaculum,888,5.623103508607623e-05
Adineta,880,5.5724449184399864e-05
Blepharocorys,874,5.5344509758142596e-05
Burkholderia,872,5.52178632827235e-05
Heterodera,867,5.490124709417578e-05
Caldisericum,852,5.3951398528532595e-05
Leptospirillum,848,5.3698105577694414e-05
Phormidium,845,5.3508135864565776e-05
Roseivirga,845,5.3508135864565776e-05
Sesamum,843,5.338148938914669e-05
fungal,840,5.319151967601805e-05
Photobacterium,831,5.2621610536632145e-05
Haemophilus,826,5.230499434808442e-05
Porphyromonas,826,5.230499434808442e-05
Cyclotella,822,5.205170139724624e-05
Piper,820,5.1925054921827145e-05
Pyrocystis,812,5.141846902015078e-05
Luteibaculum,806,5.1038529593893514e-05
Pilimelia,799,5.0595266929926695e-05
Methanobacterium,796,5.040529721679806e-05
BD2-7,790,5.002535779054079e-05
Pantoea,778,4.9265478938026245e-05
Gambierdiscus,775,4.907550922489761e-05
Enterorhabdus,774,4.9012185987188064e-05
Achromobacter,767,4.8568923323221245e-05
Citrobacter,765,4.844227684780216e-05
Halorubrum,765,4.844227684780216e-05
Absconditabacteriales,764,4.837895361009261e-05
Duboscquella,758,4.799901418383534e-05
Comamonas,753,4.7682397995287614e-05
Alkalimarinus,749,4.742910504444943e-05
Brevundimonas,749,4.742910504444943e-05
Macrostomum,746,4.7239135331320795e-05
Marivita,745,4.717581209361125e-05
Thraustochytriidae,742,4.6985842380482614e-05
Aegilops,740,4.685919590506352e-05
Formosa,739,4.6795872667353976e-05
Erysipelothrix,736,4.660590295422534e-05
Roseomonas,734,4.647925647880625e-05
Apteria,729,4.6162640290258527e-05
Phoronis,728,4.6099317052548976e-05
Reichenbachiella,726,4.597267057712989e-05
Ruminococcus,720,4.5592731150872614e-05
Hachettea,719,4.552940791316307e-05
Chitinophaga,716,4.533943820003443e-05
Enhydrobacter,715,4.527611496232489e-05
Pelomonas,715,4.527611496232489e-05
Sargassum,713,4.51494684869058e-05
Streptacidiphilus,713,4.51494684869058e-05
Micromonas,712,4.508614524919625e-05
Hydrogenedensaceae,706,4.470620582293898e-05
KD4-96,697,4.4136296683553076e-05
Actibacter,693,4.3883003732714895e-05
Bacillaria,690,4.369303401958626e-05
Pelagibius,688,4.3566387544167164e-05
Agarilytica,688,4.3566387544167164e-05
Biecheleria,687,4.350306430645762e-05
ME-Euk-FW10,683,4.324977135561944e-05
Neisseria,681,4.312312488020035e-05
Aquimarina,678,4.2933155167071714e-05
Stappiaceae,678,4.2933155167071714e-05
Singulisphaera,678,4.2933155167071714e-05
Thiothrix,678,4.2933155167071714e-05
Trametes,672,4.2553215740814445e-05
Galaxiella,670,4.242656926539535e-05
Sva0485,670,4.242656926539535e-05
Bifidobacterium,664,4.204662983913808e-05
Gemmatimonas,663,4.198330660142853e-05
Cytinus,659,4.173001365059035e-05
Desulfobacca,655,4.147672069975217e-05
Haliea,652,4.128675098662354e-05
Nephroselmis,649,4.10967812734949e-05
Rhodotorula,642,4.065351860952808e-05
Mantoniella,642,4.065351860952808e-05
Smittium,638,4.04002256586899e-05
Intestinibacter,633,4.0083609470142176e-05
Bradyrhizobium,630,3.989363975701354e-05
Methylosinus,629,3.9830316519303995e-05
Paracoccus,629,3.9830316519303995e-05
Kluyvera,618,3.9133760904498995e-05
Pseudolabrys,617,3.907043766678945e-05
Pseudaphelenchus,616,3.900711442907991e-05
Picochlorum,615,3.894379119137036e-05
Vampyrella,611,3.8690498240532176e-05
Frieseomelitta,610,3.862717500282263e-05
Vermiphilaceae,610,3.862717500282263e-05
Leucothrix,606,3.837388205198445e-05
SM1A02,602,3.812058910114627e-05
Microscilla,602,3.812058910114627e-05
Enterogona,600,3.799394262572718e-05
Arthrobacter,596,3.7740649674889e-05
Neuraphes,596,3.7740649674889e-05
Merismopedia,593,3.7550679961760364e-05
Lankesteria,592,3.748735672405082e-05
Siphonophorae,592,3.748735672405082e-05
Moraxellaceae,588,3.723406377321264e-05
Fabibacter,586,3.7107417297793545e-05
Ohtaekwangia,585,3.7044094060084e-05
Brassica,585,3.7044094060084e-05
Selenomonas,578,3.660083139611718e-05
Phaeobacter,576,3.6474184920698095e-05
Burkholderia-Paraburkholderia,576,3.6474184920698095e-05
Janthinobacterium,574,3.6347538445279e-05
Proboscia,574,3.6347538445279e-05
Marinifilum,572,3.6220891969859914e-05
Serratia,570,3.609424549444082e-05
Atopostipes,562,3.558765959276446e-05
Asterionellopsis,561,3.5524336355054914e-05
Chaetonotus,559,3.5397689879635826e-05
Enterococcus,554,3.5081073691088095e-05
Salegentibacter,553,3.501775045337855e-05
Citrus,551,3.4891103977959464e-05
Skeletonema,549,3.476445750254037e-05
Spiroplasma,546,3.457448778941173e-05
Veillonella,546,3.457448778941173e-05
Escherichia,541,3.425787160086401e-05
Thalassicolla,541,3.425787160086401e-05
Karenia,537,3.4004578650025826e-05
Amphidinium,533,3.3751285699187645e-05
Kurthia,533,3.3751285699187645e-05
Neodiplogaster,531,3.362463922376856e-05
Leptothrix,527,3.3371346272930376e-05
Acidiphilium,525,3.324469979751128e-05
67-14,524,3.318137655980174e-05
Aeromonas,523,3.3118053322092195e-05
Nitrosomonas,519,3.2864760371254014e-05
Thioalkalivibrio,517,3.273811389583492e-05
Hyphomicrobium,517,3.273811389583492e-05
CL500-3,512,3.2421497707287195e-05
Rhizamoeba,509,3.223152799415856e-05
Rhizophydium,508,3.2168204756449014e-05
Pectinaria,505,3.1978235043320376e-05
Chelatococcus,504,3.191491180561083e-05
Croceitalea,500,3.166161885477265e-05
Pseudophalacroma,497,3.147164914164401e-05
Butyrivibrio,497,3.147164914164401e-05
Sellaphora,496,3.140832590393447e-05
Labrys,496,3.140832590393447e-05
Lentinellus,493,3.121835619080583e-05
Colpodella,491,3.1091709715386745e-05
Sneathiella,491,3.1091709715386745e-05
Schistosoma,490,3.1028386477677194e-05
BD2-11,489,3.096506323996765e-05
NB1-j,482,3.052180057600083e-05
Aspergillus,481,3.0458477338291288e-05
OM27,481,3.0458477338291288e-05
Roseovarius,481,3.0458477338291288e-05
Christensenellaceae,479,3.0331830862872198e-05
Porterinema,477,3.0205184387453107e-05
Shionodiscus,477,3.0205184387453107e-05
Filomicrobium,477,3.0205184387453107e-05
Crenothrix,477,3.0205184387453107e-05
Gemmata,476,3.0141861149743563e-05
Escherichia-Shigella,474,3.0015214674324473e-05
Ihlea,473,2.9951891436614926e-05
Arthrospira,473,2.9951891436614926e-05
Rubrivirga,471,2.9825244961195835e-05
Olivibacter,465,2.9445305534938563e-05
Trema,464,2.938198229722902e-05
Candidatus Phytoplasma,462,2.925533582180993e-05
Triticum,461,2.9192012584100382e-05
Rubrobacter,459,2.906536610868129e-05
Desulfoconvexum,457,2.89387196332622e-05
Taeseokella,453,2.868542668242402e-05
Sulfurospirillum,450,2.8495456969295385e-05
Pseudodiplogasteroides,448,2.8368810493876295e-05
Schizochytrium,448,2.8368810493876295e-05
Rhodothermaceae,447,2.830548725616675e-05
Dacrymyces,447,2.830548725616675e-05
Pla4,446,2.8242164018457204e-05
Fusibacter,442,2.7988871067619023e-05
Actinomyces,441,2.792554782990948e-05
Defluviitaleaceae,440,2.7862224592199932e-05
Desulfobacula,432,2.735563869052357e-05
Aliidiomarina,431,2.7292315452814026e-05
Thioalkalispira,430,2.722899221510448e-05
Drosophila,429,2.7165668977394935e-05
Neochlamydia,429,2.7165668977394935e-05
Parabacteroides,426,2.6975699264266298e-05
Acidothermus,426,2.6975699264266298e-05
Geobacillus,426,2.6975699264266298e-05
Chlorella,425,2.6912376026556754e-05
Rothia,424,2.6849052788847207e-05
Musa,422,2.6722406313428116e-05
Urania,421,2.6659083075718573e-05
Botryocladia,421,2.6659083075718573e-05
Latescibacterota,420,2.6595759838009026e-05
Plagiorhynchus,418,2.6469113362589935e-05
Cordyceps,418,2.6469113362589935e-05
Stolidobranchia,417,2.640579012488039e-05
Methanolinea,415,2.62791436494613e-05
Iasis,412,2.6089173936332663e-05
Laevipeneroplis,411,2.602585069862312e-05
Methanoregula,410,2.5962527460913573e-05
BD7-11,410,2.5962527460913573e-05
Coprococcus,408,2.5835880985494482e-05
Haloarcula,406,2.570923451007539e-05
Paucimonas,406,2.570923451007539e-05
Stenus,406,2.570923451007539e-05
Schmidtea,402,2.545594155923721e-05
Caulobacter,402,2.545594155923721e-05
Sphingopyxis,400,2.532929508381812e-05
endosymbionts,400,2.532929508381812e-05
Longilinea,398,2.520264860839903e-05
Candidatus Vidania,398,2.520264860839903e-05
Anderseniella,397,2.5139325370689485e-05
Bdellovibrio,397,2.5139325370689485e-05
Sva0996,391,2.4759385944432213e-05
Psychrilyobacter,391,2.4759385944432213e-05
Spirulina,390,2.4696062706722666e-05
Poterioochromonas,389,2.4632739469013123e-05
Lingulodinium,389,2.4632739469013123e-05
Palpata,388,2.4569416231303576e-05
Petrotoga,387,2.4506092993594032e-05
Aliikangiella,384,2.4316123280465394e-05
Porticoccus,381,2.412615356733676e-05
Eupomatia,381,2.412615356733676e-05
Roseobacter,381,2.412615356733676e-05
Undibacterium,381,2.412615356733676e-05
SUP05,381,2.412615356733676e-05
Truepera,380,2.4062830329627213e-05
SM2D12,380,2.4062830329627213e-05
Ruminobacter,379,2.399950709191767e-05
Rhizobacter,379,2.399950709191767e-05
Cyclopoida,378,2.3936183854208122e-05
Rubricoccus,377,2.387286061649858e-05
Hyaloperonospora,374,2.368289090336994e-05
Creobius,371,2.3492921190241307e-05
Dechloromonas,370,2.342959795253176e-05
Korthalsella,369,2.3366274714822216e-05
Desulfatiglans,369,2.3366274714822216e-05
Aquabacterium,368,2.330295147711267e-05
Phaeodactylibacter,367,2.3239628239403126e-05
Microbacter,366,2.317630500169358e-05
Aestuariibaculum,366,2.317630500169358e-05
Acerophagus,365,2.3112981763984035e-05
R76-B128,363,2.2986335288564944e-05
NS2b,362,2.2923012050855397e-05
Oxyurida,362,2.2923012050855397e-05
Bradymonadales,361,2.2859688813145854e-05
Sediminibacterium,360,2.2796365575436307e-05
Aquisphaera,359,2.2733042337726763e-05
Sporobolomyces,357,2.2606395862307673e-05
Bryobacter,356,2.2543072624598126e-05
Negadavirga,356,2.2543072624598126e-05
Ancylomenes,356,2.2543072624598126e-05
Annamia,356,2.2543072624598126e-05
Thermosporothrix,355,2.2479749386888582e-05
Histriobdella,353,2.235310291146949e-05
Epicarchesium,352,2.2289779673759944e-05
Candidatus Saccharimonas,352,2.2289779673759944e-05
