Phylum,ocean_metaphlan,ocean_kraken,ocean_kaiju,ocean_kaiju_euk,ocean_gottcha,nt_rpm,nr_rpm,pam_rel_abd
Viruses,,,0.001113066948307223,0.0010567388370592032,,,,
Acidobacteria,,,0.0007821392947251071,0.0007457607228774277,,,,0.00041979806890635565
Nitrospirae,,,0.00042539459015431555,0.0004107258111834771,,,,6.887752056244607e-05
Candidatus Thermoplasmatota,,,0.0003972305345303057,4.40063369125154e-05,,2.091869426531947e-06,0.0,
Spirochaetes,,,0.00036026521152379275,0.00032506014199378046,,,,
Thaumarchaeota,,,0.0003391421698057854,0.0003362084140116177,4.8876362927354996e-05,,,0.00024549232390163727
Gemmatimonadetes,,,0.00029630933521093705,0.00028574781435193337,,,,0.0002282025456410723
Ignavibacteriae,,,0.00017074458722055977,0.0001531420524555536,,,,1.1657928664289726e-05
Candidatus Gracilibacteria,,,0.00015431555477322066,0.0001531420524555536,,,,0.000385612741856965
Kiritimatiellaeota,,,0.0001320190107375462,0.00013143225957871268,,,,
Chlamydiae,,,0.00012556474799037728,9.153318077803204e-05,,,,4.3421560387282025e-05
Lentisphaerae,,,0.00011793698292554128,0.00011265622249603943,,,,9.315079232239231e-05
Balneolaeota,,,0.00011735023176670773,0.00011441647597254005,,,,
Armatimonadetes,,,0.0001032682039547028,9.85741946840345e-05,,,,1.2784298583544772e-05
Deinococcus-Thermus,,,8.918617614269788e-05,7.979815760136127e-05,,,,2.8102929485413397e-05
Calditrichaeota,,,8.859942498386434e-05,8.80126738250308e-05,,,,
Nitrospinae,,,8.80126738250308e-05,8.214516223669541e-05,,,,2.1401028465845874e-06
Candidatus Omnitrophica,,,7.745115296602711e-05,6.688963210702341e-05,,,,
Fusobacteria,,,7.041013906002464e-05,3.63785718476794e-05,,,,0.0002423948066236859
Candidatus Aminicenantes,,,6.454262747168925e-05,6.336912515402218e-05,,,,
Elusimicrobia,,,6.336912515402218e-05,4.459308807134894e-05,,,,1.075683272888569e-05
Candidatus Bathyarchaeota,,,5.5154608930352635e-05,5.2220853136184946e-05,,,,6.195034555902752e-07
Candidatus Marinimicrobia,,,5.45678577715191e-05,4.811359502435017e-05,,,,
Chlorobi,,,5.339435545385202e-05,5.16341019773514e-05,,,,1.0587877240997432e-05
Candidatus Rokubacteria,,,5.280760429501848e-05,5.2220853136184946e-05,,,,
Candidatus Hydrogenedentes,,,4.928709734201725e-05,3.109781141817755e-05,,,,
Candidatus Melainabacteria,,,4.928709734201725e-05,2.347004635334155e-05,,8.71612261054978e-08,0.0,2.478013822361101e-06
candidate division Zixibacteria,,,4.928709734201725e-05,4.811359502435017e-05,,,,
Candidatus Dadabacteria,,,4.811359502435017e-05,4.3419585753681865e-05,,,,
Candidatus Latescibacteria,,,3.813882532418002e-05,3.813882532418002e-05,,,,
Aquificae,,,3.520506953001232e-05,2.347004635334155e-05,,,,9.010959354040367e-07
Candidatus Tectomicrobia,,,2.7577304465176317e-05,2.7577304465176317e-05,,,,
Candidatus Cloacimonetes,,,2.5230299829842165e-05,2.1709792876840933e-05,,,,
Synergistetes,,,2.347004635334155e-05,1.701578360617262e-05,,,,1.2390069111805505e-05
Deferribacteres,,,2.1123041718007393e-05,1.349527665317139e-05,,,,1.8585103667708258e-06
Thermotogae,,,1.9362788241506777e-05,1.4668778970838467e-05,,,,1.5769178869570642e-05
Candidatus Kaiserbacteria,,,1.81892859238397e-05,1.5255530129672007e-05,,,,3.79023477829323e-05
Chrysiogenetes,,,1.81892859238397e-05,8.80126738250308e-06,,,,
Candidatus Peregrinibacteria,,,1.760253476500616e-05,1.4082027812004929e-05,,,,1.9711473586963302e-06
Candidatus Woesebacteria,,,1.6429032447339084e-05,1.5842281288505545e-05,,,,1.1263699192550459e-07
Candidatus Margulisbacteria,,,1.6429032447339084e-05,9.388018541336618e-06,,,,
candidate division WOR-3,,,1.5842281288505545e-05,1.5255530129672007e-05,,,,
Candidatus Poribacteria,,,1.4668778970838467e-05,1.290852549433785e-05,,,,
Candidatus Pacebacteria,,,1.4082027812004929e-05,1.2321774335504313e-05,,,,
Candidatus Thorarchaeota,,,1.349527665317139e-05,1.2321774335504313e-05,,,,
Candidatus Lokiarchaeota,,,1.349527665317139e-05,1.2321774335504313e-05,,8.71612261054978e-08,0.0,
Candidatus Eisenbacteria,,,1.349527665317139e-05,1.2321774335504313e-05,,,,
Candidatus Saccharibacteria,,,1.1735023176670774e-05,1.1148272017837235e-05,,1.743224522109956e-07,0.00023995485546843547,4.584325571368037e-05
Fibrobacteres,,,1.1735023176670774e-05,1.0561520859003696e-05,,,,5.158774230188111e-05
candidate division NC10,,,1.1148272017837235e-05,1.1148272017837235e-05,,,,
Candidatus Sumerlaeota,,,1.1148272017837235e-05,1.0561520859003696e-05,,,,2.9285617900631195e-06
Candidatus Nealsonbacteria,,,1.1148272017837235e-05,1.760253476500616e-06,,,,
Atribacterota,,,1.0561520859003696e-05,8.214516223669542e-06,,,,7.659315450934313e-06
Candidatus Blackallbacteria,,,1.0561520859003696e-05,9.974769700170158e-06,,,,
Candidatus Falkowbacteria,,,1.0561520859003696e-05,4.694009270668309e-06,,,,1.1263699192550459e-07
Candidatus Abyssubacteria,,,9.974769700170158e-06,1.0561520859003696e-05,,,,
Candidatus Aerophobetes,,,9.974769700170158e-06,8.214516223669542e-06,,,,
Candidatus Moranbacteria,,,9.388018541336618e-06,7.041013906002464e-06,,,,
Candidatus Woesearchaeota,,,9.388018541336618e-06,5.867511588335387e-06,,,,
Candidatus Heimdallarchaeota,,,9.388018541336618e-06,8.214516223669542e-06,,,,
Candidatus Roizmanbacteria,,,9.388018541336618e-06,6.454262747168925e-06,,,,
Candidatus Fermentibacteria,,,9.388018541336618e-06,9.388018541336618e-06,,3.486449044219912e-07,1.743224522109956e-07,
Candidatus Parcubacteria,,,9.388018541336618e-06,8.214516223669542e-06,,,,8.954640858077615e-06
Candidatus Aenigmarchaeota,,,8.80126738250308e-06,9.388018541336618e-06,,,,
Candidatus Magasanikbacteria,,,7.627765064836003e-06,7.627765064836003e-06,,,,
Candidatus Bipolaricaulota,,,7.041013906002464e-06,5.867511588335387e-06,,,,
Candidatus Uhrbacteria,,,6.454262747168925e-06,5.867511588335387e-06,,,,
candidate division WWE3,,,5.867511588335387e-06,3.520506953001232e-06,,,,1.8021918708080735e-06
Candidatus Coatesbacteria,,,5.280760429501848e-06,4.694009270668309e-06,,,,
Candidatus Desantisbacteria,,,5.280760429501848e-06,2.3470046353341546e-06,,,,
Candidatus Handelsmanbacteria,,,5.280760429501848e-06,4.694009270668309e-06,,,,
candidate division CPR2,,,4.694009270668309e-06,4.694009270668309e-06,,,,
Candidatus Absconditabacteria,,,4.694009270668309e-06,4.694009270668309e-06,,,,
Candidatus Raymondbacteria,,,4.694009270668309e-06,4.694009270668309e-06,,,,
Candidatus Levybacteria,,,4.107258111834771e-06,3.520506953001232e-06,,,,
Candidatus Buchananbacteria,,,4.107258111834771e-06,5.867511588335387e-07,,,,
Candidatus Altiarchaeota,,,4.107258111834771e-06,2.3470046353341546e-06,,,,
Candidatus Berkelbacteria,,,4.107258111834771e-06,1.760253476500616e-06,,,,2.7596063021748628e-06
Candidatus Schekmanbacteria,,,4.107258111834771e-06,4.107258111834771e-06,,,,
Candidatus Kapabacteria,,,4.107258111834771e-06,4.107258111834771e-06,,,,
Caldiserica,,,3.520506953001232e-06,2.3470046353341546e-06,,,,2.309058334472844e-06
Candidatus Gottesmanbacteria,,,3.520506953001232e-06,3.520506953001232e-06,,,,
Candidatus Riflebacteria,,,3.520506953001232e-06,3.520506953001232e-06,,,,
Candidatus Korarchaeota,,,2.9337557941676936e-06,1.1735023176670773e-06,,,,
Candidatus Nanohaloarchaeota,,,2.9337557941676936e-06,2.3470046353341546e-06,,,,
Candidatus Delongbacteria,,,2.9337557941676936e-06,2.9337557941676936e-06,,,,
Candidatus Curtissbacteria,,,2.9337557941676936e-06,5.867511588335387e-07,,,,3.041198781988624e-06
Candidatus Daviesbacteria,,,2.9337557941676936e-06,2.9337557941676936e-06,,,,4.5054796770201837e-07
Candidatus Nomurabacteria,,,2.9337557941676936e-06,2.3470046353341546e-06,,,,2.1964213425473395e-06
Candidatus Odinarchaeota,,,2.9337557941676936e-06,,,,,
Candidatus Zambryskibacteria,,,2.9337557941676936e-06,2.3470046353341546e-06,,,,
Candidatus Kuenenbacteria,,,2.3470046353341546e-06,1.760253476500616e-06,,,,1.1263699192550459e-07
Candidatus Yanofskybacteria,,,2.3470046353341546e-06,1.1735023176670773e-06,,,,
Candidatus Lindowbacteria,,,2.3470046353341546e-06,2.3470046353341546e-06,,,,
Candidatus Giovannonibacteria,,,1.760253476500616e-06,1.1735023176670773e-06,,,,3.210154269876881e-06
Candidatus Diapherotrites,,,1.760253476500616e-06,1.1735023176670773e-06,,,,
Candidatus Shapirobacteria,,,1.760253476500616e-06,5.867511588335387e-07,,,,1.1263699192550459e-07
Candidatus Colwellbacteria,,,1.760253476500616e-06,1.1735023176670773e-06,,,,
Candidatus Kerfeldbacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Ryanbacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Staskawiczbacteria,,,1.760253476500616e-06,,,,,
Candidatus Terrybacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Wildermuthbacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Goldbacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Abditibacteriota,,,1.760253476500616e-06,1.760253476500616e-06,,,,3.7170207335416516e-06
Candidatus Mcinerneyibacteriota,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Micrarchaeota,,,1.760253476500616e-06,1.1735023176670773e-06,,,,
Candidatus Firestonebacteria,,,1.760253476500616e-06,1.1735023176670773e-06,,,,
Candidatus Glassbacteria,,,1.760253476500616e-06,1.760253476500616e-06,,,,
Candidatus Doudnabacteria,,,1.1735023176670773e-06,5.867511588335387e-07,,,,
Dictyoglomi,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,4.5054796770201837e-07
Candidatus Hydrothermae,,,1.1735023176670773e-06,5.867511588335387e-07,,,,
Candidatus Wolfebacteria,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,1.0700514232922937e-06
Candidatus Komeilibacteria,,,1.1735023176670773e-06,5.867511588335387e-07,,,,
Candidatus Harrisonbacteria,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,
Candidatus Fischerbacteria,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,
Candidatus Spechtbacteria,,,1.1735023176670773e-06,5.867511588335387e-07,,,,
Candidatus Verstraetearchaeota,,,1.1735023176670773e-06,5.867511588335387e-07,,,,
Candidatus Sungbacteria,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,
Candidatus Tagabacteria,,,1.1735023176670773e-06,,,,,
Candidatus Kryptonia,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,
Candidatus Dormibacteraeota,,,1.1735023176670773e-06,1.1735023176670773e-06,,,,
Candidatus Beckwithbacteria,,,5.867511588335387e-07,,,,,
Candidatus Adlerbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,1.1263699192550459e-07
Candidatus Jorgensenbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Azambacteria,,,5.867511588335387e-07,,,,,1.914828862733578e-06
Candidatus Campbellbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,1.4361216470501836e-05
candidate division CPR3,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Andersenbacteria,,,5.867511588335387e-07,,,,,
Candidatus Woykebacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Wallbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Liptonbacteria,,,5.867511588335387e-07,,,,,
Candidatus Taylorbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Lloydbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Niyogibacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Portnoybacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Aureabacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Wirthbacteria,,,5.867511588335387e-07,,,,,
Candidatus Yonathbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
candidate division LCP-89,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Cryosericota,,,5.867511588335387e-07,5.867511588335387e-07,,0.0,1.769372889941606e-05,
Candidatus Cerribacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Candidatus Muirbacteria,,,5.867511588335387e-07,5.867511588335387e-07,,,,
Bacillariophyta,,,,0.016777562635686204,,0.003134056207075385,0.004465705419515181,0.03449254444486746
Chlorophyta,,,,0.002974828375286041,,6.877020739723776e-05,0.0009130138434550896,0.004504747536572668
Ascomycota,,,,0.0004154198204541454,,0.00564996499861058,0.045700984200217364,0.006862070822085591
Ciliophora,,,,0.00031801912808777797,,,,0.04693791831970839
Oomycota,,,,0.0002258991961509124,,2.1703145300268953e-05,1.6996439090572076e-05,0.00017548843341993616
Basidiomycota,,,,0.00018071935692072993,,0.00013405396575025562,0.04014532764825292,0.004247146736039039
Mucoromycota,,,,0.00015900956404388898,,3.0506429136924234e-06,0.0,0.0005271974407073242
Chytridiomycota,,,,8.80126738250308e-05,,0.005589562268919469,2.701998009270433e-06,0.0008958583152795008
Euglenozoa,,,,8.80126738250308e-05,,5.229673566329868e-07,0.0,0.0026975996381198722
Haptophyta,,,,8.507891803086311e-05,,2.388217595290641e-05,1.743224522109956e-07,0.00034928731196098975
Rhodophyta,,,,7.921140644252773e-05,,2.266191878742943e-06,0.0005155586524140196,9.241865187487652e-05
Apicomplexa,,,,5.398110661268556e-05,,8.71612261054978e-08,8.71612261054978e-08,0.030232388136261026
Evosea,,,,4.8700346183183714e-05,,0.0,1.743224522109956e-07,3.091885428355101e-05
Microsporidia,,,,2.8750806782843397e-05,,3.486449044219912e-07,0.010080108637874717,5.237620124535964e-06
Zoopagomycota,,,,2.8750806782843397e-05,,2.5451078022805363e-05,0.01330211052209055,0.0010918466812298788
Perkinsozoa,,,,1.760253476500616e-05,,,,3.379109757765138e-07
Discosea,,,,1.349527665317139e-05,,,,3.159467623510404e-05
Preaxostyla,,,,1.290852549433785e-05,,,,5.63184959627523e-07
Cryptomycota,,,,1.2321774335504313e-05,,,,0.00018804745801962992
Endomyxa,,,,1.1148272017837235e-05,,,,0.00022014900071839872
Fornicata,,,,9.974769700170158e-06,,,,9.838841244692826e-05
Heterolobosea,,,,9.388018541336618e-06,,,,2.8722432941003674e-06
Blastocladiomycota,,,,8.80126738250308e-06,,3.486449044219912e-07,0.0,3.0186713836035233e-05
Foraminifera,,,,7.627765064836003e-06,,,,0.10208673543981028
Cercozoa,,,,7.041013906002464e-06,,,,0.03282692492676906
Parabasalia,,,,6.454262747168925e-06,,,,1.250270610373101e-05
Imbricatea,,,,5.280760429501848e-06,,,,
Olpidiomycota,,,,2.3470046353341546e-06,,,,
Tubulinea,,,,1.1735023176670773e-06,,0.0,8.71612261054978e-08,0.0006839318149716639
Caudovirales,,,,,2.50542700720055e-05,,,
Dinodnavirus,,,,,1.7602531666514405e-07,,,
Phycodnaviridae,,,,,4.107257388853361e-07,,,
Mimiviridae,,,,,2.3470042222019206e-07,,,
Actinomycetota,,,,,,0.002164387566651722,0.02716963591792746,0.0044880772617676935
Annelida,,,,,,2.2661918787429427e-06,0.0004099192463741563,0.0005001645626452032
Arthropoda,,,,,,6.266892156985293e-05,0.008454900415911605,0.04763621135115055
Bacillota,,,,,,0.005955900902240878,0.11215331311163164,0.0028730880715398086
Candidatus Cloacimonadota,,,,,,1.516605334235662e-05,3.486449044219912e-07,5.63184959627523e-07
Candidatus Kryptoniota,,,,,,0.0,1.743224522109956e-07,
Candidatus Methylomirabilota,,,,,,3.486449044219912e-07,0.0,9.010959354040367e-07
Candidatus Parvarchaeota,,,,,,0.0,3.634623128599259e-05,1.1826884152177984e-06
Cnidaria,,,,,,1.2987022689719174e-05,0.001793778033251145,0.0010314169350618455
Cyanobacteriota,,,,,,0.0034263077982071193,0.003376451576874775,0.000660503320651159
Kiritimatiellota,,,,,,1.0459347132659735e-06,1.743224522109956e-07,4.2126234980138716e-05
Mollusca,,,,,,8.105994027811297e-06,0.0,0.0002619936432187237
Mycoplasmatota,,,,,,8.71612261054978e-08,0.0,0.0001765021663472657
Nematoda,,,,,,4.183738853063895e-06,5.142512340224372e-06,0.013900869084502299
Nitrososphaerota,,,,,,8.193155253916795e-06,1.830385748215454e-06,0.0005425160716091929
Nucleocytoviricota,,,,,,2.353353104848441e-06,9.239089967182768e-06,
Placozoa,,,,,,4.35806130527489e-07,8.71612261054978e-08,
Platyhelminthes,,,,,,1.1330959393714716e-06,0.0,0.013246955027878782
Pseudomonadota,,,,,,0.015235869484467125,0.13887668355189894,0.15108112363959858
Rhodothermota,,,,,,8.193155253916795e-06,0.0,0.00010238702566028368
