Phylum,ocean_kraken
Nitrospinota,2.7753324927537713e-05
Nitrospirota,0.0001097224473879398
Nitrospirota_A,1.5842278499862963e-06
O2-12-FULL-43-9,2.4056793277569685e-06
OLB16,8.801265833257202e-07
Omnitrophota,3.209528273861127e-05
Patescibacteria,0.00031338373876951147
Planctomycetota,0.000608460844605848
Poribacteria,1.2321772166560084e-05
Proteobacteria,0.09970115008487647
RBG-13-61-14,8.801265833257202e-07
RBG-13-66-14,4.107257388853361e-07
RUG730,8.801265833257202e-07
Ratteibacteria,4.6940084444038413e-07
Riflebacteria,5.6914852388396575e-06
SAR324,4.9873839721790815e-05
SM23-31,8.801265833257202e-07
SZUA-182,1.5255527444312486e-06
SZUA-79,5.867510555504802e-07
Schekmanbacteria,1.5842278499862963e-06
Spirochaetota,0.00018893383988725462
Sumerlaeota,1.9362784833165845e-06
Synergistota,1.7074455716518974e-05
TA06,7.627763722156242e-07
TA06_A,7.041012666605762e-07
Tectomicrobia,3.931232072188217e-06
Thermodesulfobiota,1.4668776388762004e-06
Thermoplasmatota,0.000147861265998721
Thermosulfidibacterota,1.7602531666514405e-07
Thermotogota,4.6822734232928315e-05
UAP2,5.867510555504802e-07
UBA10199,5.1047341832891775e-06
UBA2233,2.933755277752401e-07
UBA6262,3.520506333302881e-07
UBA8248,4.694008444403842e-06
UBA8481,5.867510555504802e-07
UBA9089,1.2908523222110565e-06
UBP13,3.520506333302881e-07
UBP14,7.041012666605762e-07
UBP15,3.520506333302881e-07
UBP17,4.224607599963457e-06
UBP18,1.7602531666514405e-07
UBP3,1.5255527444312483e-06
UBP4,1.1735021111009604e-06
UBP6,1.6429029555413445e-06
UBP7,3.755206755523073e-06
UBP7_A,4.107257388853361e-07
Verrucomicrobiota,0.0007302116886325725
Verrucomicrobiota_A,5.321832073842855e-05
WOR-3,3.755206755523073e-06
WOR-3_A,2.4643544333120167e-06
WOR-3_B,4.987383972179081e-06
Wallbacteria,1.5255527444312486e-06
Zixibacteria,7.627763722156242e-06
