,taxon_id,GCF_000002765.6_genus,GCF_000007345.1_genus,GCF_000012325.1_genus,GCF_000016525.1_genus,GCF_000063445.1_genus,GCF_000150955.2_genus,GCF_000204415.1_genus,GCF_000208865.1_genus,GCF_000967895.1_genus,GCF_001653755.1_genus,GCF_002287195.1_genus,GCF_002310855.1_genus,GCF_009362255.1_genus,GCF_030704535.1_genus,GCF_032362555.1_genus
Tetrahymena,5890.0,3.5714285714285714e-06,,,,,,,1.2882567524335528e-05,,,,,,1.3333333333333333e-05,6.666666666666667e-06
Pleomassaria,100043.0,2.8571428571428573e-06,,,,,,,,,,,,,,5.151515151515151e-06
Helicosporidium,145474.0,2.8571428571428573e-06,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,1.761904761904762e-05,5.151515151515151e-06
Providencia,586.0,2.1428571428571427e-06,,1e-05,,,1.2087493143369515e-07,,,,,,,,,
Aspergillus,5052.0,2.1428571428571427e-06,,,,,2.417498628673903e-07,,7.156981957964182e-07,,,,,,9.523809523809523e-06,1.393939393939394e-05
Eimeria,5800.0,2.1428571428571427e-06,,,,,1.2087493143369515e-07,,0.00012453148606857676,,,,,,1.4285714285714286e-06,4.848484848484849e-06
Rhizoctonia,1322061.0,2.1428571428571427e-06,,,,,,,,,,,,,1.2857142857142857e-05,6.666666666666667e-06
Acinetobacter,469.0,1.4285714285714286e-06,,8e-05,,,3.263623148709769e-06,,,6e-05,,,7e-05,,0.0036523809523809525,0.0019851515151515153
Proteus,583.0,1.4285714285714286e-06,,,,,,,7.156981957964182e-07,,,,1.5e-05,,0.0006495238095238095,
Gigaspora,4873.0,1.4285714285714286e-06,,,,,4.834997257347806e-07,,,,,,,,1.9047619047619047e-06,6.666666666666667e-06
Cryptosporidium,5806.0,1.4285714285714286e-06,,,,,1.2087493143369515e-07,,1.4313963915928364e-06,,,,,,4.7619047619047615e-06,3.3333333333333333e-06
Pseudoloma,146865.0,1.4285714285714286e-06,,,,,,,,,,,,,,
Escherichia,561.0,7.142857142857143e-07,,0.00048,,,,,7.156981957964182e-07,4e-05,,,0.00014,,0.0018976190476190477,0.00029848484848484847
Salmonella,590.0,7.142857142857143e-07,,1e-05,,,,,2.1470945873892545e-06,2e-05,,,,,0.0007109523809523809,2.121212121212121e-06
Mucor,4830.0,7.142857142857143e-07,,,,,,,,,,,,,6.190476190476191e-06,1e-05
Stentor,5962.0,7.142857142857143e-07,,,,,,,1.4313963915928364e-06,,,,,,4.7619047619047615e-06,7.272727272727272e-06
Ascoidea,27308.0,7.142857142857143e-07,,,,,3.6262479430108546e-07,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Perkinsus,28000.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,1e-05,1.4242424242424243e-05
Candidatus Phytoplasma,33926.0,7.142857142857143e-07,,,,,,,,,,,,,,
Gregarina,35089.0,7.142857142857143e-07,,,,,,,1.4313963915928364e-06,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Hypoxylon,42308.0,7.142857142857143e-07,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Wickerhamiella,45787.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Tetrabaena,47789.0,7.142857142857143e-07,,,,,,,,,,,,,6.666666666666667e-06,
Galdieria,83373.0,7.142857142857143e-07,,,,,,,7.156981957964182e-07,,,,,,1.4761904761904761e-05,9.090909090909091e-06
Salpingoeca,86017.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,,,,,,,1.1904761904761905e-05,0.0001284848484848485
Gymnopus,93827.0,7.142857142857143e-07,,,,,,,,,,,,,2.3809523809523808e-06,4.242424242424242e-06
Pelomyxa,168131.0,7.142857142857143e-07,,,,,,,,,,,,,1.5238095238095238e-05,1.606060606060606e-05
Terasakiella,196080.0,7.142857142857143e-07,,,,,1.2087493143369515e-07,,1.4313963915928364e-06,,,,,,4.761904761904762e-07,
Rozella,276836.0,7.142857142857143e-07,,,,,2.417498628673903e-07,,7.156981957964182e-07,,,,,,1.4761904761904761e-05,2.6666666666666667e-05
Nematocida,586132.0,7.142857142857143e-07,,,,,,,,,,,,,,1.818181818181818e-06
Chloropicon,2302914.0,7.142857142857143e-07,,,,,,,,,,,,,7.904761904761905e-05,1.606060606060606e-05
Sabulicella,2901382.0,7.142857142857143e-07,,,,,,,,,,,,,,
Viruses,10239.0,1.4285714285714286e-06,0.0,1e-05,0.0007,0.0,0.0,0.0,8.588378349557018e-06,0.0,0.0,0.0,0.0,0.0,6.19047619047619e-05,0.0006827272727272727
cannot be assigned to a (non-viral) genus,nan,0.0040521428571428575,0.00272,0.04514,0.01667,0.03245,0.002538010935313297,0.01174,0.024491907958349227,0.0168,0.16247,0.0006203448275862069,0.138925,0.66406,0.02555,0.004277272727272728
unclassified,nan,0.35899714285714285,0.08082,0.02901,0.02194,0.03639,0.33946842106153813,0.02999,0.5435942506532535,0.01862,0.01148,0.05428413793103448,0.01773,0.01583,0.9248214285714286,0.9781951515151515
Methanosarcina,2207.0,,0.91454,,6e-05,,,5e-06,,,,0.00010448275862068966,,,,1.818181818181818e-06
Methanolobus,2220.0,,0.00068,,,,,,,,,,,,,
Methanohalophilus,2175.0,,0.00067,,,0.00021,,7.5e-05,,,,,,,,
Methanothrix,2222.0,,0.00015,,,,,0.957995,,,,,,,,3.0303030303030305e-07
Streptomyces,1883.0,,0.00012,,,1e-05,3.6262479430108546e-07,1e-05,,,,,,,0.002822857142857143,3.0303030303030305e-06
Candidatus Methanoperedens,1392997.0,,8e-05,,,,,,,,,,,,,
Methanococcoides,2225.0,,5e-05,,,,,,,,,,,,,
Papillibacter,100175.0,,3e-05,,,,,,,,,,,,,
Methanocaldococcus,196118.0,,3e-05,,1e-05,,,,,,,,,,,
Methanoculleus,45989.0,,2e-05,,,,,,,,,,,,1.9047619047619047e-06,
Vallitalea,1348611.0,,2e-05,,,,,,,,,,,,,
Methanobacterium,2160.0,,1e-05,,0.00047,,,,,,,0.00012344827586206896,,,4.761904761904762e-07,
Thermococcus,2263.0,,1e-05,,,,,,,,,,,,,6.060606060606061e-07
Agromyces,33877.0,,1e-05,,,,,,,,,,,,0.00014333333333333334,
Desulfosporosinus,79206.0,,1e-05,,,,,,,,,,,,,
Ktedonobacter,363276.0,,1e-05,,,,1.2087493143369515e-07,,,,,,,,,3.0303030303030305e-07
Colwellia,28228.0,,,0.91865,,,,,,4e-05,,,2e-05,,1.4285714285714286e-06,
Shewanella,22.0,,,0.00054,,,,,,,,,3.5e-05,,1.3333333333333333e-05,6.060606060606061e-06
Salinivibrio,51366.0,,,0.0005,,,,,,0.00012,,,0.000125,,,3.0303030303030305e-07
Pseudomonas,286.0,,,0.00042,,,3.6262479430108546e-07,,7.156981957964182e-07,0.00072,,,9.5e-05,,0.0003538095238095238,0.00179
Halomonas,2745.0,,,0.00042,,,,,,0.00013,,,4.5e-05,1e-05,0.0002928571428571429,2.4242424242424244e-06
Moritella,58050.0,,,0.00034,,,,,,2e-05,,,3e-05,,,
Serratia,613.0,,,0.00025,,,,,,,,,3.5e-05,,5.9047619047619046e-05,1.5151515151515152e-06
Rhizopus,4842.0,,,0.00022,,,,,,,,,5e-06,,1.2857142857142857e-05,2.0303030303030303e-05
Psychrosphaera,907197.0,,,0.00021,,,,,,1e-05,,,5e-06,,,
Bacillus,1386.0,,,0.0002,,,,,,9e-05,,,,,0.0002061904761904762,1.606060606060606e-05
Pseudoalteromonas,53246.0,,,0.0002,,,,,,7e-05,,,0.839535,1e-05,2.904761904761905e-05,3.0303030303030305e-06
Thalassotalea,1518149.0,,,0.00014,,,2.2966236972402076e-06,,,3e-05,,,6e-05,,,
Candidatus Nitrosoglobus,1980513.0,,,0.00012,,,,,,,,,,,,
Alteromonas,226.0,,,8e-05,,,,,,8e-05,,,0.000235,0.0005,4.7619047619047615e-06,9.09090909090909e-07
Enterobacter,547.0,,,5e-05,,,,,,,,,2e-05,,0.00020857142857142857,0.000703030303030303
Pantoea,53335.0,,,5e-05,,,,,,9e-05,,,5.5e-05,,1.9047619047619047e-06,5.4545454545454545e-06
Psychromonas,67572.0,,,5e-05,,,,,,2e-05,,,1.5e-05,,4.761904761904762e-07,
Amphritea,515417.0,,,5e-05,,,,,,0.00011,,,,,,1.5151515151515152e-06
Aliiglaciecola,1406885.0,,,5e-05,,,,,,,,,,,,
Woeseia,1738655.0,,,5e-05,,,,,,,,,8.5e-05,,,
Haemophilus,724.0,,,4e-05,,,,,,,,,4.5e-05,,,
Saccharospirillum,231683.0,,,4e-05,,,,,,1e-05,,,,,4.761904761904762e-07,9.09090909090909e-07
Litorilituus,1407056.0,,,4e-05,,,,,,,,,5e-06,,,
Paraglaciecola,1621534.0,,,4e-05,,,,,,,,,1.5e-05,,,2.121212121212121e-06
Lacimicrobium,1751872.0,,,3e-05,,,,,,0.00016,,,1.5e-05,,,
Cognaticolwellia,2848171.0,,,3e-05,,,,,,,,,,,1.4285714285714286e-06,
Pasteurella,745.0,,,2e-05,,,,,,,,,,,4.7619047619047615e-06,3.0303030303030305e-07
Glaciecola,89404.0,,,2e-05,,,,,,,,,,,,
Cupriavidus,106589.0,,,2e-05,,,,,,,,,,,4.761904761904762e-07,
Enterovibrio,188143.0,,,2e-05,,,,,,,,,5e-06,,,
Arsukibacterium,336830.0,,,2e-05,,,,,,,,,,,,
Aliivibrio,511678.0,,,2e-05,,,,,,,,,,,,
Gilliamella,1193503.0,,,2e-05,,,,,,4e-05,,3.4482758620689656e-07,,,,
Legionella,445.0,,,1e-05,,,,,,2e-05,5e-05,,0.000175,,3.8095238095238094e-06,2.7272727272727272e-06
Psychrobacter,497.0,,,1e-05,,,,,,2e-05,,,2e-05,,4.761904761904762e-07,
Shigella,620.0,,,1e-05,,,,,,,,,5e-06,,1.4285714285714286e-06,
Aeromonas,642.0,,,1e-05,,,9.669994514695612e-07,,2.8627927831856727e-06,1e-05,,,1e-05,,1.1904761904761905e-05,0.0004484848484848485
Rickettsia,780.0,,,1e-05,,,1.2087493143369515e-07,,,,,,,1e-05,9.523809523809523e-07,
Oceanospirillum,965.0,,,1e-05,,,4.834997257347806e-07,,,1e-05,,,,,,3.0303030303030305e-07
Marinomonas,28253.0,,,1e-05,,,,,,0.0001,,,5e-06,,,
Alcanivorax,59753.0,,,1e-05,,,,,,,,,,,2.3809523809523808e-06,
Ahrensia,152180.0,,,1e-05,,,,,,,,,,,,
Oceanobacter,196079.0,,,1e-05,,,,,,0.00017,,,,,,
Avibacterium,292486.0,,,1e-05,,,,,,,,,,,,
Algicola,296014.0,,,1e-05,,,,,,,,,5e-06,,,
Endozoicomonas,305899.0,,,1e-05,,,,,,0.00026,,,5e-06,,3.3333333333333333e-06,3.0303030303030305e-07
Bowmanella,366580.0,,,1e-05,,,2.417498628673903e-07,,,,,,,,,
Celerinatantimonas,412033.0,,,1e-05,,,,,,1e-05,,,5e-06,,4.761904761904762e-07,
Neptuniibacter,459520.0,,,1e-05,,,,,,4e-05,,,,,,
Gallaecimonas,745410.0,,,1e-05,,,,,,,,,,,,
Candidatus Magnetoovum,995729.0,,,1e-05,,,,,,,,,,,,
Sulfuritalea,1054211.0,,,1e-05,,,,,,,,,,,,
Catenovulum,1172191.0,,,1e-05,,,,,,,,,5e-06,,,
Aidingimonas,1395977.0,,,1e-05,,,,,,,,,,,,
Pararhodospirillum,1612157.0,,,1e-05,,,,,,,,,3.5e-05,,9.523809523809523e-07,
Agarilytica,2036021.0,,,1e-05,,,,,,,,,,,,
Agaribacterium,2038244.0,,,1e-05,,,,,,,,,,,,
Pseudidiomarina,2800384.0,,,1e-05,,,,,,2e-05,,,,,,
Methanobrevibacter,2172.0,,,,0.95956,,,,,,,2.275862068965517e-05,,,,3.0303030303030305e-07
Pyrococcus,2260.0,,,,0.00028,,,,,,,,,,,
Halomicroarcula,1427149.0,,,,0.00019,,,,,,,,,,4.7619047619047615e-06,
Methanofervidicoccus,2607661.0,,,,9e-05,,,,,,,,,,,
Clostridium,1485.0,,,,1e-05,,,,,,,3.4482758620689656e-07,,,0.00013714285714285713,3.0303030303030305e-06
Methanosphaera,2316.0,,,,1e-05,,,,,,,0.9448006896551724,,,,
Candidatus Anstonella,2885743.0,,,,1e-05,,,,,,,,,,,
Methanocella,570266.0,,,,,0.93067,,,,,,,,,,9.09090909090909e-07
Methanococcus,2184.0,,,,,0.00018,,,,,,,,,,
Candidatus Argoarchaeum,2608792.0,,,,,6e-05,,6e-05,,,,,,,,
Methanolinea,499551.0,,,,,1e-05,,,,,,,,,,
Oceanispirochaeta,2035349.0,,,,,1e-05,,,,,,,,,,
Candidatus Kentron,2126330.0,,,,,1e-05,,,,,,,5e-06,,4.761904761904762e-07,
Phaeodactylum,2849.0,,,,,,0.6512870641824129,,,7e-05,,,,,1.9047619047619047e-06,1.2121212121212122e-06
Fistulifera,880756.0,,,,,,0.0034200353099849705,,,,,,,,1.4285714285714286e-06,1.5151515151515152e-06
Nitzschia,2857.0,,,,,,0.0011918268239362341,,,,,,,,2.3809523809523808e-06,2.4242424242424244e-06
Chaetoceros,49237.0,,,,,,0.0006133194020945692,,,,,,,,9.047619047619047e-06,4.242424242424242e-06
Pseudo-nitzschia,41953.0,,,,,,0.0005126305842103012,,,,,,,,9.523809523809523e-07,3.0303030303030305e-06
Thalassiosira,35127.0,,,,,,0.0004127878908460689,,,,,,,,7.619047619047619e-06,1.3636363636363637e-05
Fragilariopsis,186035.0,,,,,,0.00033023031267685515,,2.1470945873892545e-06,,,,,,9.523809523809523e-07,2.121212121212121e-06
Phytophthora,4783.0,,,,,,4.061397696172157e-05,,4.294189174778509e-06,,,,,,5.857142857142857e-05,4.3333333333333334e-05
Ectocarpus,2879.0,,,,,,9.18649478896083e-06,,1.4313963915928364e-06,,,,,,1.5238095238095238e-05,1.4848484848484848e-05
Hyphopichia,507510.0,,,,,,9.18649478896083e-06,,,,,,,,9.523809523809523e-07,
Pelagomonas,35676.0,,,,,,7.494245748889099e-06,,,,,,,,5.7142857142857145e-06,5.4545454545454545e-06
Tribonema,2980.0,,,,,,6.768996160286928e-06,,,,,,,,1.1904761904761905e-05,1e-05
Emiliania,2902.0,,,,,,6.527246297419538e-06,,,,,,,,1.619047619047619e-05,1.1818181818181819e-05
Pythium,4797.0,,,,,,5.076747120215196e-06,,,,,,,,1.8095238095238094e-05,1.8484848484848484e-05
Aphanomyces,100860.0,,,,,,5.076747120215196e-06,,2.1470945873892545e-06,,,,,,4.523809523809524e-05,3.484848484848485e-05
Geosiphon,50955.0,,,,,,4.834997257347806e-06,,,,,,,,1.4285714285714286e-06,7.272727272727272e-06
Flavobacterium,237.0,,,,,,4.109747668745635e-06,,,,0.00017,,,0.00059,1e-05,5.575757575757576e-05
Schizosaccharomyces,4895.0,,,,,,3.98887273731194e-06,,7.156981957964182e-07,,,,,,6.666666666666667e-06,1.1515151515151515e-05
Cystoisospora,242060.0,,,,,,3.7471228744445494e-06,,0.00032850547187055596,,,,,,8.571428571428571e-06,8.484848484848485e-06
Plasmopara,4780.0,,,,,,3.6262479430108544e-06,,,,,,,,1.619047619047619e-05,1.5151515151515152e-06
Paenibacillus,44249.0,,,,,,3.384498080143464e-06,,2.8627927831856727e-06,,,,,,7.904761904761905e-05,4.242424242424242e-06
Chrysochromulina,35140.0,,,,,,3.1427482172760738e-06,,,,,,,,1.2857142857142857e-05,9.090909090909091e-06
Saprolegnia,4769.0,,,,,,2.780123422974988e-06,,,,,,,,2.8571428571428573e-06,2.4242424242424244e-06
Tulasnella,5240.0,,,,,,2.780123422974988e-06,,,,,,,,4.2857142857142855e-06,8.787878787878788e-06
Halteria,5973.0,,,,,,2.659248491541293e-06,,,,,,,,5.2380952380952384e-06,3.0303030303030305e-06
Batrachochytrium,100474.0,,,,,,2.538373560107598e-06,,7.156981957964182e-07,,,,,,6.190476190476191e-06,3.3333333333333335e-05
Rhizophagus,1129544.0,,,,,,2.538373560107598e-06,,3.578490978982091e-06,,,,,,0.00014904761904761904,1.878787878787879e-05
Ostreococcus,70447.0,,,,,,2.2966236972402076e-06,,,,,,,,7.80952380952381e-05,1.1818181818181819e-05
Ilumatobacter,682522.0,,,,,,2.2966236972402076e-06,,,,,,,,4.761904761904762e-07,
Ciceribacter,1648508.0,,,,,,2.2966236972402076e-06,,,,,,,,,3.0303030303030305e-07
Rhodoferax,28065.0,,,,,,2.1757487658065125e-06,,,,,,5e-06,,,
Guillardia,55528.0,,,,,,2.1757487658065125e-06,,,,,,,,2.1428571428571428e-05,2.121212121212121e-05
Coemansia,4863.0,,,,,,2.0548738343728175e-06,,,,,,,,2.3809523809523808e-06,4.242424242424242e-06
Aureococcus,44055.0,,,,,,1.9339989029391224e-06,,1.4313963915928364e-06,,,,,,9.523809523809523e-06,5.4545454545454545e-06
Polaribacter,52959.0,,,,,,1.8131239715054272e-06,,,,4e-05,,,0.00018,4.761904761904762e-07,1.818181818181818e-06
Polarella,89956.0,,,,,,1.8131239715054272e-06,,5.009887370574928e-06,,,,,,3.3333333333333333e-06,6.96969696969697e-06
Desulfobulbus,893.0,,,,,,1.692249040071732e-06,,,,,,,,,6.060606060606061e-07
Bifidobacterium,1678.0,,,,,,1.692249040071732e-06,,,,,,,,7.619047619047619e-06,
Polaromonas,52972.0,,,,,,1.692249040071732e-06,,,1e-05,,,,,,6.060606060606061e-07
Sphingorhabdus,1434046.0,,,,,,1.692249040071732e-06,,,,,,,,,
Aquirufa,2676247.0,,,,,,1.5713741086380369e-06,,,,,,,,,
Raphidocelis,307506.0,,,,,,1.4504991772043418e-06,,,,,,,,3.380952380952381e-05,1.5151515151515152e-06
Plasmodiophora,37359.0,,,,,,1.3296242457706466e-06,,7.156981957964182e-07,,,,,,8.571428571428571e-06,1.0606060606060606e-05
Kazachstania,71245.0,,,,,,1.3296242457706466e-06,,,,,,,,9.523809523809523e-07,3.3333333333333333e-06
Acremonium,159075.0,,,,,,1.3296242457706466e-06,,,,,,,,,
Streblomastix,222439.0,,,,,,1.3296242457706466e-06,,1.4313963915928364e-06,,,,,,1.4285714285714286e-06,6.363636363636363e-06
Isomucor,1143280.0,,,,,,1.3296242457706466e-06,,,,,,,,,
Marinobacter,2742.0,,,,,,1.2087493143369515e-06,,1.4313963915928364e-06,0.00029,,,8.5e-05,,6.666666666666667e-06,1.2121212121212122e-06
Podila,2779937.0,,,,,,1.2087493143369515e-06,,,,,,,,1.4285714285714286e-06,6.363636363636363e-06
Achlya,4765.0,,,,,,1.0878743829032563e-06,,,,,,,,4.7619047619047615e-06,9.09090909090909e-07
Tropicimonas,599652.0,,,,,,1.0878743829032563e-06,,,,,,,,,3.0303030303030305e-07
Corynebacterium,1716.0,,,,,,9.669994514695612e-07,,,,,,,,0.001097142857142857,3.0303030303030305e-07
Dunaliella,3044.0,,,,,,9.669994514695612e-07,,,,,,,,4.238095238095238e-05,4.242424242424242e-06
Naegleria,5761.0,,,,,,9.669994514695612e-07,,2.1470945873892545e-06,,,,,,1.619047619047619e-05,1.7272727272727274e-05
Diacronema,70451.0,,,,,,9.669994514695612e-07,,,,,,,,1.6666666666666667e-05,8.484848484848485e-06
Motiliproteus,1775292.0,,,,,,9.669994514695612e-07,,,,,,,,,
Iningainema,1932705.0,,,,,,9.669994514695612e-07,,,,,,,,,
Symbiodinium,2949.0,,,,,,8.46124520035866e-07,,4.294189174778509e-06,,1e-05,,,,3.380952380952381e-05,4.515151515151515e-05
Thermomonas,141948.0,,,,,,8.46124520035866e-07,,,,,,,,,
Microchloropsis,2511164.0,,,,,,8.46124520035866e-07,,,,,,,,2.3809523809523808e-06,3.0303030303030305e-07
Taphrina,5010.0,,,,,,7.252495886021709e-07,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Rhodotorula,5533.0,,,,,,7.252495886021709e-07,,1.4313963915928364e-06,,,,,,2.8571428571428573e-06,3.939393939393939e-06
Babesia,5864.0,,,,,,7.252495886021709e-07,,3.578490978982091e-06,,,,,,4.2857142857142855e-06,4.242424242424242e-06
Rhizoclosmatium,109967.0,,,,,,7.252495886021709e-07,,,,,,,,2.3809523809523808e-06,1e-05
Ostreobium,121087.0,,,,,,7.252495886021709e-07,,,,,,,,7.428571428571429e-05,6.363636363636363e-06
Trebouxia,13786.0,,,,,,6.043746571684758e-07,,,,,,,,9.952380952380952e-05,4.848484848484849e-06
Albugo,65356.0,,,,,,6.043746571684758e-07,,,,,,,,1.1904761904761905e-05,1.3333333333333333e-05
Psilocybe,71950.0,,,,,,6.043746571684758e-07,,7.156981957964182e-07,,,,,,4.761904761904762e-07,9.09090909090909e-07
Curvibacter,281915.0,,,,,,6.043746571684758e-07,,,4e-05,,,,,4.761904761904762e-07,
Diversispora,308926.0,,,,,,6.043746571684758e-07,,3.578490978982091e-06,,,,,,1.4285714285714286e-06,9.393939393939394e-06
Lindgomyces,741162.0,,,,,,6.043746571684758e-07,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Porospora,947096.0,,,,,,6.043746571684758e-07,,7.156981957964182e-07,,,,,,6.666666666666667e-06,5.4545454545454545e-06
Leptospira,171.0,,,,,,4.834997257347806e-07,,7.156981957964182e-07,,1e-05,,,,3.3333333333333333e-06,3.3333333333333333e-06
Nannochloropsis,5748.0,,,,,,4.834997257347806e-07,,,,,,,,9.523809523809523e-07,2.121212121212121e-06
Isochrysis,37098.0,,,,,,4.834997257347806e-07,,,,,,,,,
Piptocephalis,78916.0,,,,,,4.834997257347806e-07,,,,,,,,3.8095238095238094e-06,7.272727272727272e-06
Thalassospira,168934.0,,,,,,4.834997257347806e-07,,,,,,,,,3.0303030303030305e-07
Ceraceosorus,401624.0,,,,,,4.834997257347806e-07,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Enterococcus,1350.0,,,,,,3.6262479430108546e-07,,,,,,,,0.0006904761904761905,0.00026424242424242427
Nocardia,1817.0,,,,,,3.6262479430108546e-07,,,,,,,,5.190476190476191e-05,1.818181818181818e-06
Bremia,4778.0,,,,,,3.6262479430108546e-07,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-06
Acanthamoeba,5754.0,,,,,,3.6262479430108546e-07,,7.156981957964182e-07,,,,,,2.7142857142857144e-05,3.121212121212121e-05
Eremothecium,33170.0,,,,,,3.6262479430108546e-07,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Dethiosulfovibrio,47054.0,,,,,,3.6262479430108546e-07,,,,,,,,,
Leptolyngbya,47251.0,,,,,,3.6262479430108546e-07,,,,,,,,2.7142857142857144e-05,9.09090909090909e-07
Sclerotium,109383.0,,,,,,3.6262479430108546e-07,,,,,,,,,
Flagelloscypha,269154.0,,,,,,3.6262479430108546e-07,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Geomesophilobacter,2860291.0,,,,,,3.6262479430108546e-07,,,,,,,,,
Tichowtungia,2907187.0,,,,,,3.6262479430108546e-07,,,,,,,,,
Chlamydomonas,3052.0,,,,,,2.417498628673903e-07,,,,,,,,0.00012904761904761905,1.393939393939394e-05
Pneumocystis,4753.0,,,,,,2.417498628673903e-07,,2.1470945873892545e-06,,,,,,1.0476190476190477e-05,1.8484848484848484e-05
Kluyveromyces,4910.0,,,,,,2.417498628673903e-07,,,,,,,,,1.5151515151515152e-06
Alternaria,5598.0,,,,,,2.417498628673903e-07,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Sutterella,40544.0,,,,,,2.417498628673903e-07,,,,,,,,,
Umbelopsis,64561.0,,,,,,2.417498628673903e-07,,,,,,,,6.190476190476191e-06,1.8484848484848484e-05
Planoprotostelium,65007.0,,,,,,2.417498628673903e-07,,1.4313963915928364e-06,,,,,,2e-05,2.6969696969696968e-05
Postia,83235.0,,,,,,2.417498628673903e-07,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Oceanimonas,129577.0,,,,,,2.417498628673903e-07,,,,,,,,4.761904761904762e-07,
Wallemia,148959.0,,,,,,2.417498628673903e-07,,,1e-05,,,,,3.3333333333333333e-06,3.636363636363636e-06
Mucilaginibacter,423349.0,,,,,,2.417498628673903e-07,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Desulfatirhabdium,497742.0,,,,,,2.417498628673903e-07,,,,,,,,9.523809523809523e-07,
Wickerhamomyces,599737.0,,,,,,2.417498628673903e-07,,,,,,,,1.4285714285714286e-06,2.7272727272727272e-06
