,taxon_id,GCF_000002765.6_species,GCF_000007345.1_species,GCF_000012325.1_species,GCF_000016525.1_species,GCF_000063445.1_species,GCF_000150955.2_species,GCF_000204415.1_species,GCF_000208865.1_species,GCF_000967895.1_species,GCF_001653755.1_species,GCF_002287195.1_species,GCF_002310855.1_species,GCF_009362255.1_species,GCF_030704535.1_species,GCF_032362555.1_species
archaeon,1906665.0,7.142857142857143e-07,,,,,4.834997257347806e-06,,2.1470945873892545e-06,,,,,,1.0952380952380953e-05,1.303030303030303e-05
Gammaproteobacteria bacterium,1913989.0,7.142857142857143e-07,,4e-05,,,,,,2e-05,,,,,4.7619047619047615e-06,2.575757575757576e-05
Planctomycetia bacterium 21-64-5,1970542.0,7.142857142857143e-07,,,,,,,,,,,,,4.761904761904762e-07,
Mucor circinatus,2054153.0,7.142857142857143e-07,,,,,,,,,,,,,2.8571428571428573e-06,2.4242424242424244e-06
Salmonella sp. S141_59878,2665630.0,7.142857142857143e-07,,,,,,,,,,,,,,
Sabulicella rubraurantiaca,2811429.0,7.142857142857143e-07,,,,,,,,,,,,,,
Salpingoeca llamariensis,2822280.0,7.142857142857143e-07,,,,,,,,,,,,,,
Auriculariales sp. MPI-PUGE-AT-0066,2829486.0,7.142857142857143e-07,,,,,,,,,,,,,,1.5151515151515152e-06
Viruses,10239.0,1.4285714285714286e-06,0.0,1e-05,0.0007,0.0,0.0,0.0,8.588378349557018e-06,0.0,0.0,0.0,0.0,0.0,6.19047619047619e-05,0.0006827272727272727
cannot be assigned to a (non-viral) species,nan,0.4090378571428571,0.17632,0.67697,0.9068,0.03691,0.0025515489276338706,0.34172,0.024562762079733073,0.01693,0.52573,0.008923103448275863,0.849395,0.81582,0.02319904761904762,0.004081212121212121
unclassified,nan,0.35899714285714285,0.08082,0.02901,0.02194,0.03639,0.33946842106153813,0.02999,0.5435942506532535,0.01862,0.01148,0.05428413793103448,0.01773,0.01583,0.9248214285714286,0.9781951515151515
Methanosarcina acetivorans,2214.0,,0.72991,,6e-05,,,,,,,0.00010448275862068966,,,,
Methanosarcina siciliae,38027.0,,0.00575,,,,,,,,,,,,,
Methanosarcina mazei,2209.0,,0.00131,,,,,,,,,,,,,
Methanosarcina barkeri,2208.0,,0.00071,,,,,,,,,,,,,
Methanolobus psychrotolerans,1874706.0,,0.00058,,,,,,,,,,,,,
Methanosarcina horonobensis,418008.0,,0.00039,,,,,,,,,,,,,
Methanosarcina lacustris,170861.0,,0.00035,,,,,5e-06,,,,,,,,
Methanosarcina sp. Ant1,1882735.0,,0.00031,,,,,,,,,,,,,
Methanosarcina sp. DH2,2605639.0,,0.0003,,,,,,,,,,,,,
Methanosarcina sp. 2.H.A.1B.4,1483600.0,,0.00028,,,,,,,,,,,,,
Methanosarcina sp.,2213.0,,0.00021,,,,,,,,,,,,,
Methanosarcina spelaei,1036679.0,,0.00021,,,,,,,,,,,,,
Methanohalophilus portucalensis,39664.0,,0.00019,,,0.00015,,3.5e-05,,,,,,,,
Methanosarcina sp. 2.H.T.1A.15,1483596.0,,0.00017,,,,,,,,,,,,,
Methanosarcina sp. DH1,2605695.0,,0.00016,,,,,,,,,,,,,
Methanosarcina sp. MTP4,1434100.0,,0.00015,,,,,,,,,,,,,
Methanosarcina sp. WWM596,1434103.0,,0.00014,,,,,,,,,,,,,
uncultured archaeon,115547.0,,0.00013,,1e-05,0.00098,1.2087493143369515e-07,0.000215,,,,,,,,
Alphaproteobacteria bacterium,1913988.0,,0.00013,,,,1.2087493143369515e-07,,,,,,,,1.1904761904761905e-05,4.242424242424242e-06
Streptomyces griseocarneus,51201.0,,0.00012,,,,,1e-05,,,,,,,,
Methanohalophilus sp. 2-GBenrich,1884871.0,,0.00012,,,,,,,,,,,,,
Methanosarcina sp. MSH10X1,2507075.0,,0.00012,,,,,,,,,,,,,
Methanothrix harundinacea,301375.0,,0.00011,,,,,1e-05,,,,,,,,
Methanosarcina sp. 1.H.A.2.2,1483601.0,,0.0001,,,,,,,,,,,,,
Methanosarcina sp. 1.H.T.1A.1,1483602.0,,8e-05,,,,,,,,,,,,,
Methanosarcina flavescens,1715806.0,,8e-05,,,,,,,,,,,,,
Methanosarcina thermophila,2210.0,,7e-05,,,,,,,,,,,,,
Candidatus Methanoperedens nitroreducens,1392998.0,,6e-05,,,,,,,,,,,,,
Methanosarcina sp. WH1,1434102.0,,5e-05,,,,,,,,,,,,,
Methanosarcina vacuolata,2215.0,,4e-05,,,,,,,,,,,,,
Methanosaeta sp. NSP1,1917472.0,,4e-05,,,,,0.00026,,,,,,,,
Methanolobus bombayensis,38023.0,,3e-05,,,,,,,,,,,,,
Papillibacter cinnamivorans,100176.0,,3e-05,,,,,,,,,,,,,
Methanosarcina soligelidi,1036677.0,,3e-05,,,,,,,,,,,,,
Methanocaldococcus bathoardescens,1301915.0,,3e-05,,,,,,,,,,,,,
Methanosarcina sp. Kolksee,1434099.0,,3e-05,,,,,,,,,,,,,
Spirochaetes bacterium RBG_16_49_21,1802195.0,,3e-05,,,,,,,,,,,,,
Methanophagales archaeon,2056316.0,,3e-05,,,,,,,,,,,,,
Methanohalophilus mahii,2176.0,,2e-05,,,,,,,,,,,,,
Methanococcoides sp. AM1,1201011.0,,2e-05,,,,,,,,,,,,,
Methanosarcina sp. 2.H.T.1A.8,1483598.0,,2e-05,,,,,,,,,,,,,
Vallitalea okinawensis,2078660.0,,2e-05,,,,,,,,,,,,,
Methanococcoides sp. SA1,2735871.0,,2e-05,,,,,,,,,,,,,
Methanohalophilus halophilus,2177.0,,1e-05,,,,,,,,,,,,,
Methanoculleus marisnigri,2198.0,,1e-05,,,,,,,,,,,,,
Methanolobus vulcani,38026.0,,1e-05,,,,,,,,,,,,,
Methanolobus zinderi,536044.0,,1e-05,,,,,,,,,,,,,
Methanococcoides sp. NM1,1201013.0,,1e-05,,,,,,,,,,,,,
Methanoculleus taiwanensis,1550565.0,,1e-05,,,,,,,,,,,,1.9047619047619047e-06,
Thermococcus sp. 40_45,1641381.0,,1e-05,,,,,,,,,,,,,
Methanolobus sp. T82-4,1794908.0,,1e-05,,,,,,,,,,,,,
Spirochaetes bacterium RBG_13_51_14,1802193.0,,1e-05,,,,,,,,,,,,,
Methanobacterium sp. PtaU1.Bin097,1811675.0,,1e-05,,,,,,,,,3.4482758620689656e-07,,,,
Methanosarcina sp. A14,1860098.0,,1e-05,,,,,,,,,,,,,
Desulfosporosinus metallidurans,1888891.0,,1e-05,,,,,,,,,,,,,
Desulfobacteraceae bacterium 4484_190.3,1956169.0,,1e-05,,,,,,,,,,,,,
Chloroflexi bacterium,2026724.0,,1e-05,,,,3.6262479430108546e-07,,,,,,,,6.666666666666667e-06,3.939393939393939e-06
Agromyces badenianii,2080742.0,,1e-05,,,,,,,,,,,,,
Ktedonobacter sp. SOSP1-85,2778367.0,,1e-05,,,,,,,,,,,,,3.0303030303030305e-07
Colwellia psychrerythraea,28229.0,,,0.2816,,,,,,2e-05,,,,,,
Colwellia sp. Bg11-28,2058305.0,,,0.00387,,,,,,,,,,,,
Colwellia demingiae,89401.0,,,0.00056,,,,,,,,,,,,
Halomonas titanicae,664683.0,,,0.00042,,,,,,0.00011,,,2.5e-05,,,
Shewanella piezotolerans,404011.0,,,0.00036,,,,,,,,,,,,
Vibrio alginolyticus,663.0,,,0.00035,,,,,,,,,0.000115,,7.142857142857143e-06,
Colwellia echini,1982103.0,,,0.00029,,,,,,,,,,,,
Moritella sp. F3,2718882.0,,,0.00026,,,,,,,,,,,,
Salinivibrio sp. IB282,1766122.0,,,0.00024,,,,,,,,,,,,
Serratia marcescens,615.0,,,0.00023,,,,,,,,,3e-05,,5.9047619047619046e-05,9.09090909090909e-07
Colwellia piezophila,211668.0,,,0.00023,,,,,,,,,,,,
Rhizopus arrhizus,64495.0,,,0.00022,,,,,,,,,5e-06,,,6.060606060606061e-07
Vibrio parahaemolyticus,670.0,,,0.00021,,,,,,1e-05,6e-05,,0.000115,1e-05,0.00015428571428571428,1.2727272727272727e-05
Psychrosphaera saromensis,716813.0,,,0.0002,,,,,,1e-05,,,,,,
Bacillus cereus,1396.0,,,0.00019,,,,,,6e-05,,,,,5.7142857142857145e-06,
Colwellia sp. 75C3,888425.0,,,0.00018,,,,,,,,,,,,
Colwellia sp. 12G3,2058299.0,,,0.00018,,,,,,,,,,,,
Candidatus Colwellia aromaticivorans,2267621.0,,,0.00018,,,,,,,,,,,,
Colwellia marinimaniae,1513592.0,,,0.00016,,,,,,,,,,,,
Vibrio sp. 03_296,2024409.0,,,0.00015,,,,,,,,,,,,
Streptococcus pneumoniae,1313.0,,,0.00014,,,,,,8e-05,,,,,,
Vibrio harveyi,669.0,,,0.00013,,,,,,0.00015,,,0.0001,,,
Pseudomonas syringae,317.0,,,0.00012,,,,,7.156981957964182e-07,,,,,,7.142857142857143e-06,2.4545454545454545e-05
Candidatus Nitrosoglobus terrae,1630141.0,,,0.00012,,,,,,,,,,,,
Shewanella benthica,43661.0,,,0.00011,,,,,,,,,,,,
Vibrio anguillarum,55601.0,,,0.0001,,,,,,0.0001,,,,,5.7142857142857145e-06,
uncultured marine bacterium Ant4D3,360423.0,,,8e-05,,,,,,1e-05,,,,,,
Colwellia sp. 6M3,2759849.0,,,8e-05,,,,,,,,,,,,
Vibrio scophthalmi,45658.0,,,7e-05,,,,,,,,,,,,
Moritella sp. PE36,58051.0,,,7e-05,,,,,,,,,2.5e-05,,,
uncultured bacterium FGYC_13M19,1343844.0,,,7e-05,,,,,,,,,,,,
Vibrio sp. 10N.286.48.B8,2056189.0,,,6e-05,,,,,,0.00011,,,,,,
Pantoea ananatis,553.0,,,5e-05,,,,,,9e-05,,,5.5e-05,,,
Bathymodiolus platifrons methanotrophic gill symbiont,113268.0,,,5e-05,,,,,,,,,,,,
Enterobacter hormaechei,158836.0,,,5e-05,,,,,,,,,2e-05,,3.285714285714286e-05,1.7878787878787877e-05
Pseudomonas xanthomarina,271420.0,,,5e-05,,,,,,,,,,,,
Amphritea balenae,452629.0,,,5e-05,,,,,,9e-05,,,,,,3.0303030303030305e-07
Aliiglaciecola lipolytica,477689.0,,,5e-05,,,,,,,,,,,,
Colwellia sp. TT2012,1720342.0,,,5e-05,,,,,,,,,,,,
Woeseia sp.,1980636.0,,,5e-05,,,,,,,,,8.5e-05,,,
Saccharospirillum salsuginis,418750.0,,,4e-05,,,,,,1e-05,,,,,,
uncultured bacterium FPPS_57A9,1343847.0,,,4e-05,,,,,,,,,,,,
Colwellia sp. C1,1737566.0,,,4e-05,,,,,,,,,,,,
Thalassotalea profundi,2036687.0,,,4e-05,,,,,,1e-05,,,,,,
Colwellia ponticola,2304625.0,,,4e-05,,,,,,,,,,,,
Thalassotalea mangrovi,2572245.0,,,4e-05,,,,,,,,,,,,
Colwellia sp. MB02u-10,2759828.0,,,4e-05,,,,,,,,,,,,
Colwellia sp. E2M01,2841561.0,,,4e-05,,,,,,1e-05,,,5e-06,,,
Colwellia sp. C2M11,2841566.0,,,4e-05,,,,,,,,,5e-06,,,
Litorilituus sediminis,718192.0,,,3e-05,,,,,,,,,5e-06,,,
Lacimicrobium alkaliphilum,1526571.0,,,3e-05,,,,,,0.00016,,,1.5e-05,,,
Haemophilus influenzae,727.0,,,2e-05,,,,,,,,,5e-06,,,
Pasteurella multocida,747.0,,,2e-05,,,,,,,,,,,4.7619047619047615e-06,3.0303030303030305e-07
Glaciecola pallidula,56807.0,,,2e-05,,,,,,,,,,,,
Colwellia sp. MT41,58049.0,,,2e-05,,,,,,,,,,,,
Serratia symbiotica,138074.0,,,2e-05,,,,,,,,,,,,
Cupriavidus taiwanensis,164546.0,,,2e-05,,,,,,,,,,,,
Vibrio crassostreae,246167.0,,,2e-05,,,,,,,,,7e-05,,,
Pseudoalteromonas tunicata,314281.0,,,2e-05,,,,,,5e-05,,,0.000105,,,
Pseudoalteromonas sp. S4488,579558.0,,,2e-05,,,,,,,,,0.000275,,,
Colwellia chukchiensis,641665.0,,,2e-05,,,,,,,,,,,,
Psychromonas sp. SP041,1365007.0,,,2e-05,,,,,,,,,,,,
Arsukibacterium sp. MJ3,1632859.0,,,2e-05,,,,,,,,,,,,
Thalassotalea marina,1673741.0,,,2e-05,,,,,,,,,,,,
Colwellia sp. Phe_37,1795872.0,,,2e-05,,,,,,,,,,,,
Cognaticolwellia beringensis,1967665.0,,,2e-05,,,,,,,,,,,,
Gilliamella apis,1970738.0,,,2e-05,,,,,,4e-05,,,,,,
candidate division Zixibacteria bacterium,2053527.0,,,2e-05,,,,,,1e-05,,3.4482758620689656e-07,,,9.523809523809523e-07,
Pseudomonas fluorescens,294.0,,,1e-05,,,,,,,,,,,,
Legionella pneumophila,446.0,,,1e-05,,,,,,1e-05,5e-05,,1.5e-05,,,
Providencia stuartii,588.0,,,1e-05,,,,,,,,,,,,
Aliivibrio fischeri,668.0,,,1e-05,,,,,,,,,,,,
Avibacterium paragallinarum,728.0,,,1e-05,,,,,,,,,,,,
Pararhodospirillum photometricum,1084.0,,,1e-05,,,,,,,,,3.5e-05,,4.761904761904762e-07,
Bacillus amyloliquefaciens,1390.0,,,1e-05,,,,,,,,,,,3.6666666666666666e-05,
Salmonella enterica,28901.0,,,1e-05,,,,,,2e-05,,,,,0.0005657142857142857,
Pseudomonas savastanoi,29438.0,,,1e-05,,,,,,3e-05,,,5e-06,,,
Vibrio furnissii,29494.0,,,1e-05,,,,,,,,,,,,
Pseudoalteromonas piscicida,43662.0,,,1e-05,,,,,,,,,0.00028,,,
Oceanospirillum multiglobuliferum,64969.0,,,1e-05,,,,,,1e-05,,,,,,
Pseudomonas balearica,74829.0,,,1e-05,,,,,,,,,,,,
uncultured bacterium,77133.0,,,1e-05,,,,5e-06,,,0.00504,,1.5e-05,0.00468,0.00010523809523809524,1.7272727272727274e-05
Moritella marina,90736.0,,,1e-05,,,,,,2e-05,,,,,,
Algicola sagamiensis,163869.0,,,1e-05,,,,,,,,,5e-06,,,
Enterovibrio norvegicus,188144.0,,,1e-05,,,,,,,,,,,,
Paraglaciecola polaris,222814.0,,,1e-05,,,,,,,,,,,,
Shewanella decolorationis,256839.0,,,1e-05,,,,,,,,,,,,
Marinomonas sp. MED121,314277.0,,,1e-05,,,,,,,,,,,,
Psychromonas sp. CNPT3,314282.0,,,1e-05,,,,,,,,,,,,
Paraglaciecola psychrophila,326544.0,,,1e-05,,,,,,,,,,,,
Shewanella xiamenensis,332186.0,,,1e-05,,,,,,,,,,,,
Bowmanella denitrificans,366582.0,,,1e-05,,,2.417498628673903e-07,,,,,,,,,
Aliivibrio finisterrensis,511998.0,,,1e-05,,,,,,,,,,,,
Vibrio breoganii,553239.0,,,1e-05,,,,,,,,,,,,
Gallaecimonas pentaromativorans,584787.0,,,1e-05,,,,,,,,,,,,
Sulfuritalea hydrogenivorans,748811.0,,,1e-05,,,,,,,,,,,,
Endozoicomonas montiporae,1027273.0,,,1e-05,,,,,,,,,,,,
Shewanella aestuarii,1028752.0,,,1e-05,,,,,,,,,,,,
Thalassotalea piscium,1230533.0,,,1e-05,,,,,,,,,,,,
Paraglaciecola aquimarina,1235557.0,,,1e-05,,,,,,,,,,,,
Ahrensia sp. 13_GOM-1096m,1380380.0,,,1e-05,,,,,,,,,,,,
Rickettsia endosymbiont of Proechinophthirus fluctus,1462733.0,,,1e-05,,,,,,,,,,,,
Vibrio sp. JCM 19236,1481926.0,,,1e-05,,,,,,,,,,,,
Catenovulum maritimum,1513271.0,,,1e-05,,,,,,,,,5e-06,,,
Candidatus Magnetoovum chiemensis,1609970.0,,,1e-05,,,,,,,,,,,,
uncultured Celerinatantimonas sp.,1638020.0,,,1e-05,,,,,,1e-05,,,5e-06,,4.761904761904762e-07,
uncultured bacterium 5G12,1701325.0,,,1e-05,,,,,,,,,,,9.523809523809523e-07,
Shewanella sp. P1-14-1,1723761.0,,,1e-05,,,,,,,,,,,,
Agarilytica rhodophyticola,1737490.0,,,1e-05,,,,,,,,,,,,
Legionellales bacterium RIFCSPHIGHO2_12_FULL_42_9,1798569.0,,,1e-05,,,,,,,,,,,,
Colwellia sp. PAMC 20917,1816218.0,,,1e-05,,,,,,,,,,,,
Colwellia sp. 39_35_sub15_T18,1856279.0,,,1e-05,,,,,,,,,5e-06,,,
Cognaticolwellia mytili,1888913.0,,,1e-05,,,,,,,,,,,1.4285714285714286e-06,
Myxococcales bacterium 68-20,1895795.0,,,1e-05,,,,,,,,,,,1.9047619047619047e-06,4.242424242424242e-06
Bacteroidetes bacterium,1898104.0,,,1e-05,,,6.043746571684758e-07,,,,1e-05,,,2e-05,4.7619047619047615e-06,0.00027484848484848483
Pseudoalteromonas sp. BZK2,1904458.0,,,1e-05,,,,,,,,,,,,
Candidatus Enterovibrio luxaltus,1927128.0,,,1e-05,,,,,,,,,,,,
Proteobacteria bacterium,1977087.0,,,1e-05,,,,,,,,,,,2.8571428571428573e-06,1.818181818181818e-06
Agaribacterium haliotis,2013869.0,,,1e-05,,,,,,,,,,,,
Deltaproteobacteria bacterium,2026735.0,,,1e-05,,,9.669994514695612e-07,,,4e-05,,3.4482758620689656e-07,,,4.761904761904762e-07,7.878787878787878e-06
Oceanobacter sp.,2030817.0,,,1e-05,,,,,,0.00014,,,,,,
Psychromonas sp. Urea-02u-13,2058326.0,,,1e-05,,,,,,,,,,,,
Colwellia sp. RSH04,2305464.0,,,1e-05,,,,,,,,,,,,
Litorilituus lipolyticus,2491017.0,,,1e-05,,,,,,,,,,,,
Gammaproteobacteria bacterium LSUCC0057,2559237.0,,,1e-05,,,,,,,,,,,4.761904761904762e-07,
Psychromonas sp. SA13A,2686346.0,,,1e-05,,,,,,,,,5e-06,,,
Paraglaciecola sp. L3A3,2686358.0,,,1e-05,,,,,,,,,,,,
Colwellia sp. 20A7,2689569.0,,,1e-05,,,,,,,,,,,,
Thalassotalea algicola,2716224.0,,,1e-05,,,,,,,,,,,,
Thalassotalea sp. Y01,2729613.0,,,1e-05,,,,,,,,,,,,
Shigella sp. FC6508,2733550.0,,,1e-05,,,,,,,,,,,,
Colwellia sp. BRX10-3,2759844.0,,,1e-05,,,,,,,,,,,,
sulfur-oxidizing endosymbiont of Gigantopelta aegis,2794934.0,,,1e-05,,,,,,,,,,,,
Methanobrevibacter smithii,2173.0,,,,0.06811,,,,,,,,,,,
Methanobacterium sp. MB1,1379702.0,,,,0.00047,,,,,,,6.413793103448276e-05,,,,
Methanobrevibacter sp. A54,1860156.0,,,,0.00038,,,,,,,,,,,
Methanobrevibacter smithii CAG:186,1263088.0,,,,0.00037,,,,,,,,,,,
Pyrococcus horikoshii,53953.0,,,,0.00028,,,,,,,,,,,
Candidatus Micrarchaeota archaeon CG1_02_47_40,1805247.0,,,,0.00022,,,5e-05,,,,,,,,
