superkingdom,kingdom,phylum,class,order,family,genus,species,tax_id
Bacteria,Pseudomonadati,Myxococcota,,Polyangiales,Polyangiaceae,Sorangium,Sorangium cellulosum,56
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea pellionella,41014
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia atlantica,434234
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia integerrima,434235
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia hispanica,49212
Eukaryota,Metazoa,Mollusca,Gastropoda,,Plakobranchidae,Elysia,Elysia chlorotica,188477
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Therevidae,Thereva,Thereva unica,2867258
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp.,1884223
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella rubella,81985
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis sp. MJC1,2654282
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diorhabda,Diorhabda carinulata,1163345
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diorhabda,Diorhabda sublineata,1163346
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter citreus,2138210
Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma turkestanicum,1163369
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Pachycladon,Pachycladon latisiliquum,155754
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,Lomographa bimaculata,393326
Eukaryota,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,Myriangium duriaei,147570
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine resedifolia,352370
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Cimeliidae,Axia,Axia margarita,475252
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Agave,Agave sisalana,442491
Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria castorea,114812
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Eupterotidae,Apha,Apha aequalis,475259
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,,,ANME-2 cluster archaeon,2056317
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Candidatus Methanophagales,,,Candidatus Methanophagales archaeon,2056316
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Mesorhabditis,Mesorhabditis belari,2138241
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis camilla,270466
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neptis,Neptis pryeri,270469
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas donghuensis,1163398
Bacteria,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 847,1785996
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha fulva,41101
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Eretmocerus,Eretmocerus hayati,131215
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,41107
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Cinnamomum iners,1155220
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cryptocephalus,Cryptocephalus moraei,204949
Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia repens,90262
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neptis,Neptis soma,1417369
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens sp. SY33080,2719911
Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,173
Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira borgpetersenii,174
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,41139
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter tenebrarum,680118
Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus vulcanius,73913
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium hafniense,49338
Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,Penaeus chinensis,139456
Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,210
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Endromidae,Prismosticta,Prismosticta fenestrata,475348
Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,155863
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis,418008
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea eugenioides,49369
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Loranthaceae,Macrosolen,Macrosolen bibracteolatus,2138331
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Trigoniaceae,Trigonia,Trigonia nivea,82141
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Balanopaceae,Balanops,Balanops vieillardii,82147
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Elaeocarpus,Elaeocarpus holopetalus,1605860
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SR44-8,2760933
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora,227
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas sp.,232
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium pratense,57577
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Hyacinthaceae,Drimia,Drimia altissima,65774
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea canephora,49390
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis sp. Qiu 94046,155887
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,721137
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Elaeocarpus,Elaeocarpus sedentarius,1605874
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Calibrachoa,Calibrachoa hybrid cultivar,418041
Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Majidae,Chionoecetes,Chionoecetes opilio,41210
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indologenes,253
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SG44-8,2760958
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Ochropacha,Ochropacha duplaris,721156
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,263
Eukaryota,,,Xanthophyceae,Tribonematales,Tribonemataceae,Tribonema,Tribonema minus,303371
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. Xi13,2490635
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Thyatira batis,721163
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria,721165
Eukaryota,,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. CCMP2592,631055
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha curcas,180498
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SG41-1,2760979
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Tetheella,Tetheella fluctuosa,721173
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ormosia,Ormosia semicastrata,499992
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. KAN5,2916633
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia japonica,213274
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,287
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica,288
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Leucoma,Leucoma salicis,688415
Eukaryota,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea,303400
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,Digitalis lanata,49450
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana attenuata,49451
Eukaryota,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia inconspicua,303405
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrangeaceae,Philadelphus,Philadelphus calvescens,2294062
Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,Caulimovirus incidianthi,3047726
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,303
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Viscaceae,Arceuthobium,Arceuthobium monticola,229687
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria,180536
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. c7(2019),2687287
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp.,90426
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Ectomyelois,Ectomyelois ceratoniae,1032508
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,317
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria notata,688445
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus heptaphylla,926021
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,Macrosteles,Macrosteles quadrilineatus,74068
Eukaryota,Viridiplantae,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,Ceratopteris,Ceratopteris richardii,49495
Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Badnavirus venacodonopsis,3047768
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Atropa,Atropa belladonna,33113
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum baccatum,33114
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri,346
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,uncultured Methanosphaera sp.,262501
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria,Parietaria judaica,33127
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,Papaver rhoeas,33128
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus acutifolius,33129
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Heuchera,Heuchera parviflora,1573227
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. Isolate3,2908526
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,Gunnera manicata,24957
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Xylosma,Xylosma congesta,344448
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Diopsidae,Teleopsis,Teleopsis dalmanni,139649
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Megalopta,Megalopta genalis,115081
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Cyphostemma,Cyphostemma adenopodum,1737104
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio crassostreae,246167
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa gamma,254363
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Seladonia,Seladonia tumulorum,115100
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola triplasia,254365
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus fremontii,295326
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Ceutorhynchus,Ceutorhynchus assimilis,467358
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus capsulatus,414
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ctenoplusia,Ctenoplusia agnata,254370
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Goodyera,Goodyera schlechtendaliana,164262
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Paeoniaceae,Paeonia,Paeonia ostii,459177
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Caryopteris,Caryopteris incana,41386
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoananassae,65964
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,,Candidatus Fonsibacter,Candidatus Fonsibacter ubiquis,1925548
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Plusia,Plusia festucae,254382
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis californica,754096
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis cordifolia,754097
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis girdiana,754098
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,Homalodisca,Homalodisca vitripennis,197043
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Tectona,Tectona grandis,41396
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis monticola,754101
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis palmata,754102
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis treleasei,754104
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vulpina,754105
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Macrophya,Macrophya alboannulata,1384894
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,446
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus sp. YX16,3047874
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia splendens,180675
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia flavida,147914
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,470
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Sesia,Sesia bembeciformis,287197
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Limacodidae,Apoda,Apoda limacodes,287200
Bacteria,Pseudomonadati,Candidatus Omnitrophota,,,,,Candidatus Omnitrophica bacterium CG12_big_fil_rev_8_21_14_0_65_50_5,1974754
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Phauda,Phauda mimica,287207
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,Oleispira antarctica,188908
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Phrymaceae,Lancea,Lancea hirsuta,2138605
Bacteria,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae,188913
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. Kolksee,1434099
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus hajarensis,2884084
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. MTP4,1434100
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WH1,1434102
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WWM596,1434103
Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Candidatus Methylopumilus,Candidatus Methylopumilus planktonicus,1581557
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tephritidae,Bactrocera,Bactrocera neohumeralis,98809
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Agelastica,Agelastica alni,131577
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. 4H-3-7-5,983548
Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,511
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Melastomataceae,Bredia,Bredia violacea,2712065
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Firmiana,Firmiana major,197122
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Garryales,Garryaceae,Aucuba,Aucuba japonica,16901
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Asilidae,Machimus,Machimus atricapillus,2794001
Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,Caulimovirus latensarmoraciae,3047955
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Gymnocheta,Gymnocheta viridis,631317
Bacteria,Pseudomonadati,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma fluviale,1597977
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Dialium,Dialium schlechteri,1237535
Eukaryota,Metazoa,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum,197152
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter koseri,545
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Oxytropis,Oxytropis ochrocephala,483875
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ochropleura,Ochropleura plecta,320037
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,553
Eukaryota,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans,197161
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,,Methylococcaceae bacterium NSP1-2,1917481
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Crassaminicella,Crassaminicella profunda,1286698
Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula brevipes,98861
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Crioceris,Crioceris asparagi,131627
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,562
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Camelina,Camelina sativa,90675
Eukaryota,Metazoa,Arthropoda,Insecta,Archaeognatha,Machilidae,Pedetontus,Pedetontus saltator,57907
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. A54,1860156
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,573
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria vesca,57918
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum urbanum,57919
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Parnassia,Parnassia crassifolia,2859585
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus conchitae,180803
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Rhogogaster,Rhogogaster chlorosoma,1385029
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Argentina,Argentina anserina,57926
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. DH2,2605639
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,584
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia stuartii,588
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Musa banksii,213591
