,taxon_id,GCF_000002765.6_class,GCF_000007345.1_class,GCF_000012325.1_class,GCF_000016525.1_class,GCF_000063445.1_class,GCF_000150955.2_class,GCF_000204415.1_class,GCF_000208865.1_class,GCF_000967895.1_class,GCF_001653755.1_class,GCF_002287195.1_class,GCF_002310855.1_class,GCF_009362255.1_class,GCF_030704535.1_class,GCF_032362555.1_class
Harpellomycetes,2219693.0,3.5714285714285714e-06,,,,,,,,,,,,,1.4761904761904761e-05,2.4545454545454545e-05
Trebouxiophyceae,75966.0,2.8571428571428573e-06,,,,,1.2087493143369515e-06,,1.4313963915928364e-06,,,,,,0.0008352380952380953,5.242424242424242e-05
Dothideomycetes,147541.0,2.8571428571428573e-06,,,,,9.669994514695612e-07,,5.009887370574928e-06,,,,,,8e-05,6.666666666666667e-05
Eurotiomycetes,147545.0,2.1428571428571427e-06,,,,,6.043746571684758e-07,,1.4313963915928364e-06,,,,,,3.0476190476190475e-05,4.393939393939394e-05
Saccharomycetes,4891.0,1.4285714285714286e-06,,,,,1.220836807480321e-05,,2.1470945873892545e-06,,,,,,5.047619047619047e-05,0.00012181818181818181
Alphaproteobacteria,28211.0,1.4285714285714286e-06,0.00013,7e-05,,,9.549119583261917e-06,,5.009887370574928e-06,0.00014,,,9e-05,0.0001,0.0022542857142857143,0.000793030303030303
Sordariomycetes,147550.0,1.4285714285714286e-06,,,,,2.659248491541293e-06,,2.8627927831856727e-06,,,,,,0.00012476190476190475,0.0006521212121212122
Mucoromycetes,2212703.0,1.4285714285714286e-06,,0.00022,,,1.4504991772043418e-06,,1.4313963915928364e-06,,,,5e-06,,5.6666666666666664e-05,0.00010272727272727273
Bangiophyceae,2797.0,7.142857142857143e-07,,,,,2.417498628673903e-07,,1.4313963915928364e-06,,,,,,7.619047619047618e-05,2.6363636363636365e-05
Dinophyceae,2864.0,7.142857142857143e-07,,,,,2.659248491541293e-06,,1.216686932853911e-05,,1e-05,,,,4.6666666666666665e-05,0.0001296969696969697
Chlorophyceae,3166.0,7.142857142857143e-07,,,,,2.9009983544086837e-06,,7.156981957964182e-07,,,,,,0.0006052380952380952,7e-05
Choanoflagellata,28009.0,7.142857142857143e-07,,,,,2.417498628673903e-07,,7.156981957964182e-07,,,,,,1.5714285714285715e-05,0.0002627272727272727
Mollicutes,31969.0,7.142857142857143e-07,,,,,,,7.156981957964182e-06,,,,,,5.333333333333333e-05,
Heterotrichea,194287.0,7.142857142857143e-07,,,,,,,1.4313963915928364e-06,,,,,,4.7619047619047615e-06,7.272727272727272e-06
Planctomycetia,203683.0,7.142857142857143e-07,,,,,,1.5e-05,,6e-05,,,,,0.0003157142857142857,9.090909090909091e-06
Chloropicophyceae,2302911.0,7.142857142857143e-07,,,,,,,,,,,,,7.952380952380952e-05,1.606060606060606e-05
Viruses,10239.0,1.4285714285714286e-06,0.0,1e-05,0.0007,0.0,0.0,0.0,8.588378349557018e-06,0.0,0.0,0.0,0.0,0.0,6.19047619047619e-05,0.0006827272727272727
cannot be assigned to a (non-viral) class,nan,0.0022735714285714286,0.00167,0.00452,0.01551,0.03222,0.0010466560312843663,0.01169,0.000520312588343996,0.00463,0.13725,0.00017517241379310346,0.003215,0.65391,0.019005238095238096,0.0027939393939393938
unclassified,nan,0.35899714285714285,0.08082,0.02901,0.02194,0.03639,0.33946842106153813,0.02999,0.5435942506532535,0.01862,0.01148,0.05428413793103448,0.01773,0.01583,0.9248214285714286,0.9781951515151515
Methanomicrobia,224756.0,,0.9171,,6e-05,0.93118,,0.95816,,,,0.00010482758620689655,,,2.3809523809523808e-06,3.3333333333333333e-06
Clostridia,186801.0,,6e-05,,1e-05,,,,,1e-05,,2.3793103448275862e-05,1e-05,1e-05,0.0002985714285714286,2.3636363636363637e-05
Methanococci,183939.0,,3e-05,,0.0001,0.00018,,,,,,,,,,
Deltaproteobacteria,28221.0,,1e-05,2e-05,,,3.263623148709769e-06,5e-05,,4e-05,,6.896551724137931e-07,5e-06,1e-05,0.00022333333333333333,0.0001318181818181818
Methanobacteria,183925.0,,1e-05,,0.96103,,,,,,,0.945391724137931,,,4.761904761904762e-07,3.0303030303030305e-07
Thermococci,183968.0,,1e-05,,0.00044,,,5e-06,,,,,,,,6.060606060606061e-07
Ktedonobacteria,388447.0,,1e-05,,,,1.2087493143369515e-07,,,,,,,,1.4285714285714285e-05,3.0303030303030305e-07
Betaproteobacteria,28216.0,,,0.0001,,,7.856870543190185e-06,,7.156981957964182e-07,0.00048,,,0.0002,,0.0001995238095238095,0.0003348484848484848
Nitrospira,203693.0,,,1e-05,,,1.2087493143369515e-07,,,,,,3e-05,,1.4285714285714286e-06,3.0303030303030305e-07
Halobacteria,183963.0,,,,0.00019,,1.2087493143369515e-07,4e-05,,,,3.4482758620689656e-07,,,8.095238095238095e-06,9.09090909090909e-07
Dehalococcoidia,301297.0,,,,1e-05,,,4e-05,,,,,,,2.8571428571428573e-06,
Candidatus Micrarchaeia,2885733.0,,,,1e-05,,,,,,,,,,,
Bacillariophyceae,33849.0,,,,,,0.6582748439685948,,2.1470945873892545e-06,7e-05,,,,,1.2380952380952381e-05,1.0606060606060606e-05
Coscinodiscophyceae,33836.0,,,,,,0.0010280412918435772,,,,,,,,1.6666666666666667e-05,1.909090909090909e-05
Pelagophyceae,35675.0,,,,,,1.341711738914016e-05,,1.4313963915928364e-06,,,,,,1.6666666666666667e-05,1.303030303030303e-05
Flavobacteriia,117743.0,,,,,,1.0516119034731478e-05,,,,0.85102,3.4482758620689656e-07,,0.32951,0.00013285714285714287,0.00014242424242424243
Phaeophyceae,2870.0,,,,,,9.18649478896083e-06,,1.4313963915928364e-06,,,,,,0.00020523809523809524,2.787878787878788e-05
Xanthophyceae,2833.0,,,,,,6.768996160286928e-06,,,,,,,,1.1904761904761905e-05,1e-05
Eustigmatophyceae,5747.0,,,,,,5.439371914516281e-06,,7.156981957964182e-07,,,,,,1.0952380952380953e-05,1.2424242424242424e-05
Schizosaccharomycetes,147554.0,,,,,,3.98887273731194e-06,,7.156981957964182e-07,,,,,,6.666666666666667e-06,1.1515151515151515e-05
Chytridiomycetes,451435.0,,,,,,3.384498080143464e-06,,1.4313963915928364e-06,,,,,,5.476190476190476e-05,0.00013484848484848484
Cryptophyceae,3027.0,,,,,,2.2966236972402076e-06,,,,,,,,2.3333333333333332e-05,2.393939393939394e-05
Acidimicrobiia,84992.0,,,,,,2.2966236972402076e-06,,,,,,,,4.7619047619047615e-06,
Mamiellophyceae,1035538.0,,,,,,2.2966236972402076e-06,,,,,,,,0.00029952380952380953,3.303030303030303e-05
Kickxellomycetes,2219690.0,,,,,,2.0548738343728175e-06,,,,,,,,5.7142857142857145e-06,6.666666666666667e-06
Cytophagia,768503.0,,,,,,1.5713741086380369e-06,,,,3e-05,,,2e-05,0.0005290476190476191,2.6969696969696968e-05
Phytomyxea,2779609.0,,,,,,1.3296242457706466e-06,,7.156981957964182e-07,,,,,,8.571428571428571e-06,1.0909090909090909e-05
Thermoanaerobaculia,1562571.0,,,,,,8.46124520035866e-07,,,,,,,,4.761904761904762e-07,
Ulvophyceae,33103.0,,,,,,7.252495886021709e-07,,,,,,,,0.00028904761904761906,6.666666666666667e-06
Taphrinomycetes,147555.0,,,,,,7.252495886021709e-07,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-06
Microbotryomycetes,162481.0,,,,,,7.252495886021709e-07,,1.4313963915928364e-06,,,,,,9.047619047619047e-06,1.2727272727272727e-05
Florideophyceae,2806.0,,,,,,6.043746571684758e-07,,,,,,,,3.0476190476190475e-05,0.00012424242424242425
Exobasidiomycetes,452283.0,,,,,,4.834997257347806e-07,,,,,,,,1.8571428571428572e-05,2.4545454545454545e-05
Zoopagomycetes,2233521.0,,,,,,4.834997257347806e-07,,,,,,,,1.2380952380952381e-05,2.8484848484848486e-05
Tremellomycetes,155616.0,,,,,,3.6262479430108546e-07,,,,,,,,2.0952380952380954e-05,1.8484848484848484e-05
Opitutae,414999.0,,,,,,3.6262479430108546e-07,,,,,,,,2.3809523809523808e-06,9.09090909090909e-07
Synergistia,649775.0,,,,,,3.6262479430108546e-07,,,,,,,,,6.060606060606061e-07
Tichowtungiia,2907184.0,,,,,,3.6262479430108546e-07,,,,,,,,,
Sphingobacteriia,117747.0,,,,,,2.417498628673903e-07,,,,1e-05,,,1e-05,0.0026847619047619046,2.0606060606060605e-05
Pneumocystidomycetes,147553.0,,,,,,2.417498628673903e-07,,2.1470945873892545e-06,,,,,,1.0476190476190477e-05,1.8484848484848484e-05
Wallemiomycetes,431957.0,,,,,,2.417498628673903e-07,,,1e-05,,,,,3.3333333333333333e-06,3.636363636363636e-06
Oligoflexia,1553900.0,,,,,,2.417498628673903e-07,,,,,,5e-06,,1.9047619047619047e-06,1.2121212121212122e-06
Umbelopsidomycetes,2212704.0,,,,,,2.417498628673903e-07,,,,,,,,6.190476190476191e-06,1.8484848484848484e-05
Variosea,2605334.0,,,,,,2.417498628673903e-07,,1.4313963915928364e-06,,,,,,2e-05,2.6969696969696968e-05
Ustilaginomycetes,5257.0,,,,,,1.2087493143369515e-07,,,,,,,,4.2857142857142855e-06,3.393939393939394e-05
Phyllopharyngea,37471.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Polycystinea,65582.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pezizomycetes,147549.0,,,,,,1.2087493143369515e-07,,2.1470945873892545e-06,,,,,,1.0476190476190477e-05,1.393939393939394e-05
Pinguiophyceae,157124.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pucciniomycetes,162484.0,,,,,,1.2087493143369515e-07,,,,,,,,7.142857142857143e-06,5.3636363636363635e-05
Aquificae,187857.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,3.3333333333333333e-06
Deinococci,188787.0,,,,,,1.2087493143369515e-07,,,,,,,,6.190476190476191e-06,1.818181818181818e-06
Verrucomicrobiae,203494.0,,,,,,1.2087493143369515e-07,,,,,,,,5.2380952380952384e-06,1.5151515151515152e-06
Chitinivibrionia,296141.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Monoblepharidomycetes,451454.0,,,,,,1.2087493143369515e-07,,,,,,,,7.142857142857143e-06,3.939393939393939e-05
Blastocladiomycetes,451460.0,,,,,,1.2087493143369515e-07,,,,,,,,8.571428571428571e-06,2.818181818181818e-05
Dacrymycetes,452332.0,,,,,,1.2087493143369515e-07,,3.578490978982091e-06,,,,,,1.4285714285714286e-06,4.242424242424242e-06
Nitriliruptoria,908620.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Malasseziomycetes,1538075.0,,,,,,1.2087493143369515e-07,,,,,,,,5.7142857142857145e-06,1.3333333333333333e-05
Endogonomycetes,2212702.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-06,1.8484848484848484e-05
Colpodea,5977.0,,,,,,,,7.156981957964182e-07,,,,,,,
Anaerolineae,292625.0,,,,,,,,7.156981957964182e-07,,,,,,7.619047619047619e-06,6.060606060606061e-07
Thermoflexia,1495646.0,,,,,,,,7.156981957964182e-07,,,,,,4.761904761904762e-07,
Chrysiogenetes,118001.0,,,,,,,,,1e-05,,,,,,
Bacteroidia,200643.0,,,,,,,,,,5e-05,,5e-06,2e-05,0.0023823809523809522,1.0303030303030302e-05
Saprospiria,1937959.0,,,,,,,,,,1e-05,,,,4.761904761904762e-07,3.0303030303030305e-06
Thermoplasmata,183967.0,,,,,,,,,,,1.7241379310344827e-06,,,9.523809523809523e-07,3.0303030303030305e-07
Methanonatronarchaeia,171536.0,,,,,,,,,,,6.896551724137931e-07,,,,
Acidobacteriia,204432.0,,,,,,,,,,,3.4482758620689656e-07,,,9.523809523809523e-07,3.939393939393939e-06
Erysipelotrichia,526524.0,,,,,,,,,,,3.4482758620689656e-07,,,8.428571428571429e-05,1.5151515151515152e-06
Ignavibacteria,795747.0,,,,,,,,,,,3.4482758620689656e-07,,,9.523809523809523e-07,
Limnochordia,1676648.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Chlamydiia,204429.0,,,,,,,,,,,,,4e-05,1.761904761904762e-05,6.181818181818182e-05
Chitinophagia,1853228.0,,,,,,,,,,,,,1e-05,2.857142857142857e-05,1.2727272727272727e-05
Thermoleophilia,1497346.0,,,,,,,,,,,,,,0.001381904761904762,9.09090909090909e-07
Tissierellia,1737404.0,,,,,,,,,,,,,,0.0001361904761904762,1.0303030303030302e-05
Pedinophyceae,35422.0,,,,,,,,,,,,,,7.047619047619048e-05,3.6363636363636364e-05
Eumycetozoa,142796.0,,,,,,,,,,,,,,5.9047619047619046e-05,6.515151515151516e-05
Negativicutes,909932.0,,,,,,,,,,,,,,4.428571428571428e-05,2.4242424242424244e-06
Rhodellophyceae,661027.0,,,,,,,,,,,,,,2.5238095238095237e-05,
Picocystophyceae,2692249.0,,,,,,,,,,,,,,1.5238095238095238e-05,
Coriobacteriia,84998.0,,,,,,,,,,,,,,1.0952380952380953e-05,
Olpidiomycetes,2202807.0,,,,,,,,,,,,,,8.571428571428571e-06,5.151515151515151e-06
Entomophthoromycetes,1399770.0,,,,,,,,,,,,,,5.7142857142857145e-06,1.696969696969697e-05
Euglenida,3035.0,,,,,,,,,,,,,,4.7619047619047615e-06,
Nephroselmidophyceae,1242998.0,,,,,,,,,,,,,,4.7619047619047615e-06,6.060606060606061e-07
Glaucocystophyceae,38254.0,,,,,,,,,,,,,,3.8095238095238094e-06,3.0303030303030305e-07
Thermoprotei,183924.0,,,,,,,,,,,,,,3.8095238095238094e-06,
Dimargaritomycetes,2219692.0,,,,,,,,,,,,,,3.8095238095238094e-06,7.575757575757576e-06
Thermomicrobia,189775.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Nitrospinia,1293498.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Chloroflexia,32061.0,,,,,,,,,,,,,,2.8571428571428573e-06,1.818181818181818e-06
Palmophyllophyceae,2201463.0,,,,,,,,,,,,,,2.8571428571428573e-06,3.0303030303030305e-07
Lecanoromycetes,147547.0,,,,,,,,,,,,,,2.3809523809523808e-06,7.272727272727272e-06
Neolectomycetes,147556.0,,,,,,,,,,,,,,2.3809523809523808e-06,4.848484848484849e-06
Geoglossomycetes,663566.0,,,,,,,,,,,,,,2.3809523809523808e-06,3.0303030303030305e-07
Compsopogonophyceae,930023.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Chlorarachniophyceae,29197.0,,,,,,,,,,,,,,1.9047619047619047e-06,1.818181818181818e-06
Chlorobia,191410.0,,,,,,,,,,,,,,1.9047619047619047e-06,6.060606060606061e-07
Atractiellomycetes,432002.0,,,,,,,,,,,,,,1.9047619047619047e-06,5.151515151515151e-06
Phycisphaerae,666505.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Acidithiobacillia,1807140.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Candidatus Poseidoniia,2599185.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Orbiliomycetes,189478.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-06
Gloeobacteria,307596.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Mixiomycetes,432025.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.3333333333333333e-06
Raphidophyceae,38410.0,,,,,,,,,,,,,,9.523809523809523e-07,
Deferribacteres,68337.0,,,,,,,,,,,,,,9.523809523809523e-07,
Thermotogae,188708.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Fusobacteriia,203490.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Stylonematophyceae,446134.0,,,,,,,,,,,,,,9.523809523809523e-07,
Zetaproteobacteria,580370.0,,,,,,,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Mediophyceae,589449.0,,,,,,,,,,,,,,9.523809523809523e-07,
Balneolia,1853221.0,,,,,,,,,,,,,,9.523809523809523e-07,
Hydrogenophilalia,2008785.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Candidatus Brocadiia,2517206.0,,,,,,,,,,,,,,9.523809523809523e-07,
Pyramimonadophyceae,2704063.0,,,,,,,,,,,,,,9.523809523809523e-07,
Litostomatea,5988.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Fragilariophyceae,33853.0,,,,,,,,,,,,,,4.761904761904762e-07,
Spartobacteria,134549.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gemmatimonadetes,219685.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Lichinomycetes,315355.0,,,,,,,,,,,,,,4.761904761904762e-07,
Caldilineae,475962.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lentisphaeria,1313211.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Flabellinia,1485085.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Blastocatellia,1562566.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Candidatus Peribacteria,1801911.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Muproteobacteria,1817795.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rhodothermia,1853222.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Chlorodendrophyceae,1524962.0,,,,,,,,,,,,,,,0.00014696969696969696
Xylonomycetes,1217819.0,,,,,,,,,,,,,,,1.5151515151515152e-06
Abditibacteria,2109259.0,,,,,,,,,,,,,,,1.2121212121212122e-06
Candidatus Nanosyncoccalia,2171982.0,,,,,,,,,,,,,,,1.2121212121212122e-06
Chrysophyceae,2825.0,,,,,,,,,,,,,,,6.060606060606061e-07
Synurophyceae,33859.0,,,,,,,,,,,,,,,3.0303030303030305e-07
Archaeoglobi,183980.0,,,,,,,,,,,,,,,3.0303030303030305e-07
Ardenticatenia,1382928.0,,,,,,,,,,,,,,,3.0303030303030305e-07
Candidatus Uabimicrobiia,2897345.0,,,,,,,,,,,,,,,3.0303030303030305e-07
