,Family,read count,relative error
67,Ruminococcaceae,1000,
68,Pseudohongiellaceae,1000,
69,Planctomycetaceae,1000,
70,Methanobacteriaceae,1000,
71,Sordariaceae,1000,
72,Xanthobacteraceae,1000,
73,Salinisphaeraceae,1000,
74,Candidatus,1000,
75,Verrucomicrobiaceae,1000,
76,Zygnematophyceae,1000,
77,Vibrionaceae,1000,
78,Cyclobacteriaceae,1000,
79,Xylariaceae,1000,
80,JTB255 marine benthic group,1000,
81,Woeseiaceae,1000,
82,Rubritaleaceae,1000,
83,Paenibacillaceae,1000,
84,Flammeovirgaceae,1000,
85,Membracidae,1000,
86,uncultured gamma proteobacterium,1000,
87,Perlucidibacaceae,1000,
88,Desulfobacteraceae,1000,
89,Psychromonadaceae,1000,
90,Thermoplasmatales uncultured,1000,
91,Saprospiraceae,1000,
92,Pirellulaceae,1000,
93,RAD A,1000,
94,Tipulidae,1000,
95,Verrucariaceae,1000,
96,Methylophilaceae,1000,
97,Unknown Family,1000,
98,Litorivicinaceae,1000,
99,PB19,1000,
100,uncultured,1000,
101,Polycystinea,1000,
102,Prevotellaceae,1000,
103,Desulfocapsaceae,1000,
104,Plagiogrammaceae,1000,
105,Shewanellaceae,1000,
106,Salinibacter,1000,
107,Pseudomonadaceae,1000,
108,uncultured Actinomycetales bacterium  ,1000,
109,Bacteroidaceae,1000,
110,Hartmannellidae,1000,
111,Bacteriovoracaceae,1000,
112,Semaeostomeae,1000,
113,Sva1033,1000,
114,Soritidae,1000,
115,uncultured organism   ,1000,
116,Selenidiidae,1000,
117,Eucestoda,1000,
118,Rhabdocoela,1000,
119,Litoricolaceae,1000,
120,Staphylococcaceae,1000,
121,Desulfosarcinaceae,1000,
122,Spongiibacteraceae,1000,
123,Ulnariaceae,1000,
124,PeM15,1000,
125,Burkholderiaceae,1000,
126,Succinivibrionaceae,1000,
127,Bacillaceae,1000,
128,Thraustochytriaceae,1000,
129,Maxillopoda,1000,
130,NS11-12 marine group,1000,
131,Methylobacteriaceae,1000,
132,Ramicandelaberaceae,1000,
133,NS9 marine group,1000,
134,Surface 1,1000,
135,OM182 clade,1000,
136,uncultured haptophyte   ,1000,
137,Loxodidae,1000,
138,Puniceicoccaceae,1000,
139,Desulfobulbaceae,1000,
140,Dactylopodida,1000,
141,uncultured marine eukaryote  ,1000,
142,Rikenellaceae,1000,
143,Kangiellaceae,1000,
144,Lygaeidae,1000,
145,Ectothiorhodospiraceae,1000,
146,Endogonaceae,1000,
147,Prostomatea,1000,
148,Lachnospiraceae,1000,
149,Placidae,1000,
150,Palpata,1000,
151,Cytophagaceae,1000,
152,Sedimenticolaceae,1000,
153,JGI 0000069-P22,1000,
154,Cryptomonadaceae,1000,
155,Mitochondria,1000,
156,Diplonemidae,1000,
157,uncultured bacterium   ,1000,
158,Rhodospirillaceae,1000,
159,Acetobacteraceae,1000,
160,Vampyrellidae,1000,
161,Euphorbiaceae,1000,
162,Nitrincolaceae,1000,
163,Spirosomaceae,1000,
164,Lactobacillaceae,1000,
165,Gnathostomata,1000,
166,Boryaceae,1000,
167,Euglenozoa,1000,
168,uncultured proteobacterium  ,1000,
169,Ancylistaceae,1000,
170,Porphyromonadaceae,1000,
171,Fulvivirgaceae,1000,
172,Trypanosomatidae,1000,
173,Dendrocerotaceae,1000,
174,Dorylaimia,1000,
175,Euglenaceae,1000,
176,OM1 clade,1000,
177,Bernardetiaceae,1000,
178,Salpingoecidae,1000,
179,Sphingobacteriaceae,1000,
180,Oleiphilaceae,1000,
181,Clade I,1000,
182,uncultured bacterium ,1000,
183,Vorticellidae,1000,
184,Protoperidiniaceae,1000,
185,Sandaracinaceae,1000,
186,Paraliaceae,1000,
187,Enterobacteriaceae,1000,
188,Phycisphaeraceae,1000,
189,Myristicaceae,1000,
190,MWH-UniP1 aquatic group,1000,
191,AB1,1000,
192,Propionibacteriaceae,1000,
193,Phyllobacteriaceae,1000,
194,Rictus,1000,
195,Spirochaetaceae,1000,
196,Marine Benthic Group D and,1000,
197,OM190,1000,
198,env.OPS 17,1000,
199,uncultured Chytridiomycota  ,1000,
200,Campylobacteraceae,1000,
201,Erysipelotrichaceae,1000,
202,Aspergillaceae,1000,
203,Monopisthocotylea,1000,
204,Ilumatobacteraceae,1000,
205,Sphaerozoidae,1000,
206,Chromatiaceae,1000,
207,B2M28,1000,
208,Thiotrichaceae,1000,
209,Gemmataceae,1000,
210,Francisellaceae,1000,
211,Halobacteriaceae,1000,
212,Acidimicrobiaceae,1000,
213,AEGEAN-169 marine group,1000,
214,Alismataceae,1000,
215,Bacteroidales S24-7 group,1000,
216,Hyphomonadaceae,1000,
217,Leptothecata,1000,
218,Fokiniaceae,1000,
219,Scolecida,1000,
220,Fagaceae,1000,
221,SM2D12,1000,
222,Dileptidae,1000,
223,Ephelotidae,1000,
224,BS-K-E9,1000,
225,Opiliones,1000,
226,Beijerinckiaceae,1000,
227,Alcanivoracaceae,1000,
228,Rhodospirillales Candidatus Alysiosphaera,1000,
229,HOC36,1000,
230,Nocardioidaceae,1000,
231,Anaerolineaceae,1000,
232,Philasteridae,1000,
233,Cellvibrionaceae,1000,
234,Hyphomicrobiaceae,1000,
235,Candidatus Actinomarinaceae,1000,
236,Rhodothermaceae,1000,
237,Magnoliophyta,1000,
238,Aphelenchoididae,1000,
239,DEV007,1000,
240,Mycobacteriaceae,1000,
241,Mamiellophyceae,1000,
242,Methanosarcinaceae,1000,
243,Hydroidolina,1000,
244,Auriscalpiaceae,1000,
245,Pseudonocardiaceae,1000,
246,Mycoplasmataceae,1000,
247,Marine Group II,1000,
248,Lentisphaeraceae,1000,
249,Fusobacteriaceae,1000,
250,01D2Z36,1000,
251,Amphifilaceae,1000,
252,Rubrivirga,1000,
253,Gemmatimonadaceae,1000,
254,Oithonidae,1000,
255,Pylochelidae,1000,
256,Roseobacteraceae,1000,
257,Methyloligellaceae,1000,
258,Choreotrichia,1000,
259,Simkaniaceae,1000,
260,Lewinellaceae,1000,
261,Triuridaceae,1000,
262,Pythiaceae,1000,
263,Nitrospiraceae,1000,
264,Helicobacteraceae,1000,
265,Erysiphales,1000,
266,Geminicoccaceae,1000,
267,FamilyII,1000,
268,Conoidasida,1000,
269,Mrakiaceae,1000,
270,Oligoflexaceae,1000,
271,uncultured fungus  ,1000,
272,Aeromonadaceae,1000,
273,Oxalobacteraceae,1000,
274,Hymenobacteraceae,1000,
275,Rhizobiales Incertae Sedis,1000,
276,Kiloniellaceae,1000,
277,Reichenbachiellaceae,1000,
278,Nymphalidae,1000,
279,Auriculariaceae,1000,
280,Protomonotresidae,1000,
281,Xanthomonadales uncultured,1000,
282,Solibacteraceae (Subgroup 3),1000,
283,Diatomea,1000,
284,Surface 4,1000,
285,Vermiphilaceae,1000,
286,Tylenchulidae,1000,
287,Panagrolaimidae,1000,
288,Pleosporaceae,1000,
289,Nitrosomonadaceae,1000,
290,Solimonadaceae,1000,
291,Hoplolaimidae,1000,
292,Cellulomonadaceae,1000,
293,MD3-55,1000,
294,Sporidiobolales,1000,
295,FamilyI,1000,
296,Sva0996 marine group,1000,
297,Betulaceae,1000,
298,Syntrophorhabdus,1000,
299,Phaeoconchia,1000,
300,Blastocystidae,1000,
301,Eurotiales,1000,
302,Rhizobiaceae,1000,
303,Acholeplasmataceae,1000,
304,LWSR-14,1000,
305,uncultured cyanobacterium   ,1000,
306,P5D1-392,1000,
307,eukaryote marine clone ME1-20 ,1000,
308,Methylocystaceae,1000,
309,Rubinisphaeraceae,1000,
310,uncultured bacterium  ,1000,
311,Pectobacteriaceae,1000,
312,Orosphaeridae,1000,
313,Parachlamydiaceae,1000,
314,Naviculaceae,1000,
315,Sporichthyaceae,1000,
316,Digenea,1000,
317,Family XII,1000,
318,Magnetospiraceae,1000,
319,Ephemeridae,1000,
320,Planococcaceae,1000,
321,Blastocatellaceae (Subgroup 4),1000,
322,Criblamydiaceae,1000,
323,Pedaliaceae,1000,
324,Bacteroidetes BD2-2,1000,
325,Rhodocyclaceae,1000,
326,Hydrogenophilaceae,1000,
327,Baetidae,1000,
328,Turicibacteraceae,1000,
329,Microtrichaceae,1000,
330,Perkinsidae,1000,
331,Chlorococcaceae,1000,
332,Neodiplogasteridae,1000,
333,Roseivirgaceae,1000,
334,Piperaceae,1000,
335,Rickettsiales Candidatus Hepatincola,1000,
336,Caldilineaceae,1000,
337,Alcaligenaceae,1000,
338,S25-593,1000,
339,Thermoanaerobaculaceae,1000,
340,Micrococcaceae,1000,
341,Temperatibacteraceae,1000,
342,Pyramimonadaceae,1000,
343,Granulosicoccaceae,1000,
344,Coscinodiscaceae,1000,
345,BD2-7,1000,
346,Intrasporangiaceae,1000,
347,Daphniidae,1000,
348,Marinifilaceae,1000,
349,Caulobacteraceae,1000,
350,Haplosporidiidae,1000,
351,Omphalotaceae,1000,
352,Amoebophilaceae,1000,
353,Sphagnaceae,1000,
354,Gven-F17,1000,
355,Synechococcaceae,1000,
356,LH041,1000,
357,Anaplasmataceae,1000,
358,Gimesiaceae,1000,
359,Rhodobiaceae,1000,
360,KI89A clade,1000,
361,Desulfovibrionaceae,1000,
362,Pyrocystaceae,1000,
363,Sulfurovaceae,1000,
364,Gaiellaceae,1000,
365,uncultured gamma proteobacterium ,1000,
366,Stappiaceae,1000,
367,Clostridiaceae 1,1000,
368,Clostridiaceae,1000,
369,Rhodymeniophycidae,1000,
370,Holosporaceae,1000,
371,Staphylinidae,1000,
372,Saccharomycetales,1000,
373,Acidobacteriaceae (Subgroup 1),1000,
374,Arcobacteraceae,1000,
375,Diplogasteridae,1000,
376,Malasseziales,1000,
377,Bivalvulida,1000,
378,Carnobacteriaceae,1000,
379,Syntrophobacteraceae,1000,
380,KD4-96,1000,
381,MSB-1E8,1000,
382,Methanocellaceae,1000,
383,Chlamydiaceae,1000,
384,Poaceae,1000,
385,Cyanobacteriaceae,1000,
386,Rubricoccaceae,1000,
387,Corynebacteriaceae,1000,
388,NS7 marine group,1000,
389,Chesapeake-Delaware Bay,1000,
390,Merismopediaceae,1000,
391,Theileriidae,1000,
392,Xanthomonadaceae,1000,
393,Legionellaceae,1000,
394,Nocardiaceae,1000,
395,Acanthopleuribacteraceae,1000,
396,Sporolactobacillaceae,1000,
397,Amphidiniopsidaceae,1000,
398,SHWN-night2,1000,
399,Micromonosporaceae,1000,
400,Pedosphaeraceae,1000,
401,TM146,1000,
402,Syntrophaceae,1000,
403,Blepharocorythidae,1000,
404,Enterogona,1000,
405,Thaliacea,1000,
406,Caldisericaceae,1000,
407,uncultured marine bacterium  ,1000,
408,Veillonellaceae,1000,
409,Arachnida,1000,
410,Xylariales,1000,
411,Boletaceae,1000,
412,Hyellaceae,1000,
413,Entorrhizaceae,1000,
414,Monhysteridae,1000,
415,Absconditabacteriales (SR1),1000,
416,Sellaphoraceae,1000,
417,Crenotrichaceae,1000,
418,uncultured bacterium,1000,
419,Insecta,1000,
420,Leptolyngbyaceae,1000,
421,Collosphaeridae,1000,
422,MVP-94,1000,
423,ST-12K33,1000,
424,Clade III,1000,
425,uncultured delta proteobacterium  ,1000,
426,uncultured marine bacterium,1000,
427,Candidatus Kaiserbacteria,1000,
428,Syntrophomonadaceae,1000,
429,Hydrogenedensaceae,1000,
430,Desulfurellaceae,1000,
431,Vicingaceae,1000,
432,Legeriomycetaceae,1000,
433,Chrysophyceae,1000,
434,Gonyaulacales,1000,
435,Sulfurimonadaceae,1000,
436,Haliscomenobacteraceae,1000,
437,Microcoleaceae,1000,
438,Thalassobaculaceae,1000,
439,Xiphinematobacteraceae,1000,
440,Stolidobranchia,1000,
441,Candidatus Saccharimonadaceae,1000,
442,Rhizobiales Bauldia,1000,
443,Spiroplasmataceae,1000,
444,Cymatosiraceae,1000,
445,Pasteurellaceae,1000,
446,Galaxiidae,1000,
447,Bacteroidales Phocaeicola,1000,
448,Bacteroidetes VC2.1 Bac22,1000,
449,Defluviitaleaceae,1000,
450,Lecudinidae,1000,
451,Sva0485,1000,
452,Plagiorhynchidae,1000,
453,Polyporaceae,1000,
454,Vannellida,1000,
455,Eucarida,1000,
456,Family XI,1000,
457,Lingulodiniaceae,1000,
458,Enterococcaceae,1000,
459,Pycnococcaceae,1000,
460,Terrestrial Miscellaneous Gp(TMEG),1000,
461,Pseudobdellovibrionaceae,1000,
462,Mystropetalaceae,1000,
463,Rhizosoleniaceae,1000,
464,Pla4 lineage,1000,
465,Bifidobacteriaceae,1000,
466,Amphidiniaceae,1000,
467,Geminocystaceae,1000,
468,Kickxellaceae,1000,
469,Fragilariaceae,1000,
470,Laomediidae,1000,
471,Tepidisphaeraceae,1000,
472,Phaeophyceae,1000,
473,BD2-11 terrestrial group,1000,
474,ASC21,1000,
475,Thaumastocoridae,1000,
476,Colpodea,1000,
477,Methanoregulaceae,1000,
478,Sericytochromatia,1000,
479,BD7-11,1000,
480,Babesiidae,1000,
481,Micavibrionaceae,1000,
482,Marinobacteraceae,1000,
483,Robiginitomaculaceae,1000,
484,MNG7,1000,
485,Encyrtidae,1000,
486,Thermosporotrichaceae,1000,
487,Pleosporales,1000,
488,Oxyurida,1000,
489,Bradyrhizobiaceae,1000,
490,Gracilibacteria,1000,
491,67-14,1000,
492,[Caedibacter] caryophilus group,1000,
493,Thiohalorhabdaceae,1000,
494,Cytinaceae,1000,
495,Trueperaceae,1000,
496,Skeletonemataceae,1000,
497,Hartmannulidae,1000,
498,Cactaceae,1000,
499,Lecanoraceae,1000,
500,S-70,1000,
501,Kiritimatiellaceae,1000,
502,Haliangiaceae,1000,
503,Nannocystaceae,1000,
504,Cercopidae,1000,
505,Methanomicrobiaceae,1000,
506,Stephanodiscaceae,1000,
507,AMOS1A-4113-D04,1000,
508,Apidae,1000,
509,Acantharia,1000,
510,Thalassiosiraceae,1000,
511,Drosophilidae,1000,
512,Kofleriaceae,1000,
513,Coleoptera,1000,
514,Cordycipitaceae,1000,
515,Oligochaeta,1000,
516,Catenulaceae,1000,
517,Chlorodendraceae,1000,
518,Microcionidae,1000,
519,Soortiaceae,1000,
520,Neisseriaceae,1000,
521,Piscirickettsiaceae,1000,
522,E6aC02,1000,
523,Blastocladiales sp. TJ-2007a ,1000,
524,Hexacorallia,1000,
525,Gryllotalpidae,1000,
526,Chilopoda,1000,
527,Pucciniales,1000,
528,Colpodellida,1000,
529,Geodermatophilaceae,1000,
530,Actinomycetaceae,1000,
531,SS1-B-02-17,1000,
532,Bacillariaceae,1000,
533,Oscillatoriaceae,1000,
534,Euplotidae,1000,
535,Aleyrodidae,1000,
536,Milano-WF1B-03,1000,
537,Prolixibacteraceae,1000,
538,Sneathiellaceae,1000,
539,Chytridiaceae,1000,
540,Halothiobacillaceae,1000,
541,Pleioneaceae,1000,
542,Rutaceae,1000,
543,Candidatus Campbellbacteria,1000,
544,Thermoanaerobacteraceae,1000,
545,Microhylidae,1000,
546,Dasycladaceae,1000,
547,Thiomicrospiraceae,1000,
548,Sporidiobolaceae,1000,
549,uncultured soil bacterium  ,1000,
550,Ketobacteraceae,1000,
551,Anthoathecata,1000,
552,Natranaerovirgaceae,1000,
553,Viscaceae,1000,
554,Bryaceae,1000,
555,Tachinidae,1000,
556,Heteroconchia,1000,
557,uncultured crenarchaeote   ,1000,
558,Family XIII,1000,
559,NB1-j,1000,
560,Erysiphaceae,1000,
561,Latescibacterota,1000,
562,Rhodanobacteraceae,1000,
563,ML635J-40 aquatic group,1000,
564,uncultured gamma proteobacterium  ,1000,
565,Dacrymycetaceae,1000,
566,ANME-2c,1000,
567,Prochlorococcaceae,1000,
568,D52,1000,
569,Diplopoda,1000,
570,Tenebrionidae,1000,
571,Bruguierivoracaceae,1000,
572,Manidae,1000,
573,Cannabaceae,1000,
574,Parvularculaceae,1000,
575,Chlorosarcinaceae,1000,
576,Hapalosiphonaceae,1000,
577,MBAE14,1000,
578,Brucellaceae,1000,
579,Carabidae,1000,
580,Bacteroidales BS11 gut group,1000,
581,Lysobacteraceae,1000,
582,CCA47,1000,
583,Tannerellaceae,1000,
584,Chaetosphaeriaceae,1000,
585,Lernaeopodidae,1000,
586,Dugesiidae,1000,
587,Idiomarinaceae,1000,
588,Cyphoderiidae,1000,
589,Chaetonotidae,1000,
590,Musaceae,1000,
591,Thioglobaceae,1000,
592,Fibrobacteraceae,1000,
593,Kryptoperidiniaceae,1000,
594,Eimeriidae,1000,
595,Bradymonadales,1000,
596,Chlorellaceae,1000,
597,Coxiellaceae,1000,
598,Leuconostocaceae,1000,
599,Stachybotryaceae,1000,
600,Macrostomidae,1000,
601,Cantharellaceae,1000,
602,Stellaceae,1000,
603,Marinilabiaceae,1000,
604,Rhabditida,1000,
605,Plumatellida,1000,
606,Pfiesteriaceae,1000,
607,Plectosphaerellaceae,1000,
608,uncultured eukaryote   ,1000,
609,Palaemonidae,1000,
610,Bicosoeca,1000,
611,Lentimicrobiaceae,1000,
612,Nitrosococcaceae,1000,
613,Buprestidae,1000,
614,08D2Z94 hypersaline microbial mat group,1000,
615,Microscillaceae,1000,
616,Subgroup 22,1000,
617,Synchytriaceae,1000,
618,Thermaceae,1000,
619,Porticoccaceae,1000,
620,Bdellovibrionaceae,1000,
621,MSB-4B10,1000,
622,Kareniaceae,1000,
623,Ecphyadophoridae,1000,
624,Thaumatomastigidae,1000,
625,Calditrichaceae,1000,
626,PAUC43f marine benthic group,1000,
627,Rubrobacteriaceae,1000,
628,Caedimonadaceae,1000,
629,MAST-3I,1000,
630,Attelabidae,1000,
631,Suessiaceae,1000,
632,Hydrogenothermaceae,1000,
633,Acidimicrobiales Candidatus Microthrix,1000,
634,Marinimicrobia (SAR406 clade),1000,
635,Gracilariaceae,1000,
636,Myxococcaceae,1000,
637,Ferroplasmaceae,1000,
638,Weeksellaceae,1000,
639,Peptococcaceae,1000,
640,Myxosporea,1000,
641,AKAU3564 sediment group,1000,
642,Desmodoridae,1000,
643,AT4-11,1000,
644,Pyramidellidae,1000,
645,UBA10353 marine group,1000,
646,Christensenellaceae,1000,
647,ODP1230B30.02 sediment group,1000,
648,UBA12409,1000,
649,Roseomonadaceae,1000,
650,Deep 1,1000,
651,Woesearchaeales,1000,
652,Desulfatiglandaceae,1000,
653,Miridae,1000,
654,J8P41000-1F04,1000,
655,1174-901-12,1000,
656,Thecofilosea,1000,
657,Deinococcaceae,1000,
658,Gloeophyllaceae,1000,
659,Thermoplasmataceae,1000,
660,Blfdi19,1000,
661,uncultured deep-sea bacterium  ,1000,
662,Ceratobasidiaceae,1000,
663,A10,1000,
664,Acidobacteriaceae,1000,
665,Phaeocalpida,1000,
666,uncultured Chloroflexi bacterium  ,1000,
667,cvE6,1000,
668,Gallionellaceae,1000,
669,EPR3968-O8a-Bc78,1000,
670,Eupomatiaceae,1000,
671,WCHB1-41,1000,
672,Elev-16S-1332,1000,
673,JL-ETNP-Y6,1000,
674,Phalacridae,1000,
675,Hydnodontaceae,1000,
676,Pinophyta,1000,
677,Lacipirellulaceae,1000,
678,Dictyochophyceae,1000,
679,Meruliaceae,1000,
680,Dunaliellaceae,1000,
681,Cyclopoida,1000,
682,Thermomonosporaceae,1000,
683,Balneolaceae,1000,
684,pItb-vmat-80,1000,
685,RCP2-54,1000,
686,Brassicaceae,1000,
687,Rs-E47 termite group,1000,
688,EC3,1000,
689,Subgroup 26,1000,
690,MWH-CFBk5,1000,
691,Anthocoridae,1000,
692,AKYH767,1000,
693,Pleurosigmataceae,1000,
694,Pirum,1000,
695,PAUC26f,1000,
696,Cyprinidae,1000,
697,Phoronidae,1000,
698,Dacrymycetales,1000,
699,Nartheciaceae,1000,
700,SAR324 clade(Marine group B),1000,
701,Stentoridae,1000,
702,Costaceae,1000,
703,DA101 soil group,1000,
704,Dactylopusiidae,1000,
705,Desulfohalobiaceae,1000,
706,Cephalobidae,1000,
707,Labyrinthulaceae,1000,
708,Phacaceae,1000,
709,Cystofilobasidiales,1000,
710,CA002,1000,
711,JG30-KF-CM66,1000,
712,Subgroup 21,1000,
713,Nemouridae,1000,
714,Petrotogaceae,1000,
715,Hummondasyidae,1000,
716,Brachionidae,1000,
717,Phaselicystidaceae,1000,
718,Uranidae,1000,
719,Cyclopinidae,1000,
720,Rhabditidae,1000,
721,Diatrypaceae,1000,
722,Tubulanidae,1000,
723,Chlorophyceae,1000,
724,Stichococcaceae,1000,
725,Protosteliaceae,1000,
726,BCf3-20,1000,
727,Spirulinaceae,1000,
728,Chrysomelidae,1000,
729,Oligoflexales,1000,
730,Sphingobacteriales bacterium,1000,
731,Resultomonadaceae,1000,
732,Sphaerophragmiaceae,1000,
733,Clavicipitaceae,1000,
734,uncultured Verrucomicrobia bacterium,1000,
735,Buccinidae,1000,
736,Aurantimonadaceae,1000,
737,Stemonitidae,1000,
738,Tremellales,1000,
739,Caedibacteraceae,1000,
740,Marinilabiliaceae,1000,
741,Oscillospiraceae,1000,
742,Eel-36e1D6,1000,
743,MidBa8,1000,
744,Synergistaceae,1000,
745,Blastocatellaceae,1000,
746,Deferrisomataceae,1000,
747,Octocorallia,1000,
748,Spirosomataceae,1000,
749,Nevskiaceae,1000,
750,Mopaliidae,1000,
751,gir-aah93h0,1000,
752,Halobacteriovoraceae,1000,
753,Saccharimonadales,1000,
754,Myzostomida Pulvinomyzostomum messingi,1000,
755,Coccinellidae,1000,
756,Schizoporaceae,1000,
757,Vicinamibacteraceae,1000,
758,Blattabacteriaceae,1000,
759,Desulfurococcaceae,1000,
760,Sporomusaceae,1000,
761,Thermoproteaceae,1000,
762,Methylococcaceae,1000,
763,Arecaceae,1000,
764,Dadabacteriales,1000,
765,Asplanchnidae,1000,
766,Imbricatea,1000,
767,Ploimida,1000,
768,Schleiferiaceae,1000,
769,Dicroglossidae,1000,
770,0319-6M6,1000,
771,Desulfomicrobiaceae,1000,
772,Amphitremida,1000,
773,Plasmodiophoridae,1000,
774,Omnitrophaceae,1000,
775,A4b,1000,
776,Phytomyxea,1000,
777,Tangfeifania,1000,
778,Methylophagaceae,1000,
779,Alcanivoracaceae1,1000,
780,Diplorickettsiaceae,1000,
781,Subgroup 17,1000,
782,PLTA13,1000,
783,Draconibacterium,1000,
784,Valsaceae,1000,
785,Sulfolobaceae,1000,
786,Ophiostomataceae,1000,
787,Spirurida,1000,
788,Dermatophilaceae,1000,
789,Trebouxiophyceae,1000,
790,Longimicrobiaceae,1000,
791,Acidaminococcaceae,1000,
792,Entomophthoraceae,1000,
793,Melioribacteraceae,1000,
794,Anomalodesmata,1000,
795,UASB-TL25,1000,
796,OPB56,1000,
797,Halanaerobiaceae,1000,
798,Pentatomidae,1000,
799,RAD B,1000,
800,Gromiidae,1000,
801,Rhodovibrionaceae,1000,
802,Schizotrichaceae,1000,
803,Leptocylindraceae,1000,
804,Hahellaceae,1000,
805,Eubacteriaceae,1000,
806,Moritellaceae,1000,
807,T34,1000,
808,Solirubrobacteraceae,1000,
809,Mariprofundaceae,1000,
810,Chlamydiales uncultured organism ,1000,
811,vadinHA49,1000,
812,Menoponidae,1000,
813,Butyricicoccaceae,1000,
814,Gracilibacteraceae,1000,
815,Devosiaceae,1000,
816,Lyophyllaceae,1000,
817,Chthoniobacteraceae,1000,
818,Cupressaceae,1000,
819,Opalinea,1000,
820,P3OB-42,1000,
821,Conexibacteraceae,1000,
822,Malvaceae,1000,
823,Lycidae,1000,
824,Filinidae,1000,
825,Polygonaceae,1000,
826,Nitrospinaceae,1000,
827,Notoplanidae,1000,
828,Plakobranchidae,1000,
829,Neochloridaceae,1000,
830,Ustilaginaceae,1000,
831,Tylenchidae,1000,
832,Hydrophilidae,1000,
833,Camallanidae,1000,
834,Glissomonadida,1000,
835,Haplozoon,1000,
836,Amoebidae,1000,
837,CCM11a,1000,
838,Paraspirulinaceae,1000,
839,Curculionidae,1000,
840,Rhizobiales Phreatobacter,1000,
841,Chattonellaceae,1000,
842,Desulfarculaceae,1000,
843,Priapulidae,1000,
844,Cestodaria,1000,
845,Orbaceae,1000,
846,Scenopinidae,1000,
847,Euzebyaceae,1000,
848,0319-6G20,1000,
849,Wickerhamomycetaceae,1000,
850,Limnochordia,1000,
851,Dipodascaceae,1000,
852,Algiphilaceae,1000,
853,Delphacidae,1000,
854,Pseudococcidae,1000,
855,Fimbriimonadaceae,1000,
856,Bittacidae,1000,
857,Tofieldiaceae,1000,
858,09D2Z46,1000,
859,Argulidae,1000,
860,Pseudonosematidae,1000,
861,Potamogetonaceae,1000,
862,Pla3 lineage,1000,
863,Opitutaceae,1000,
864,AT-s3-28,1000,
865,Trichocomaceae,1000,
866,Hyaloraphidium,1000,
867,Isochrysidaceae,1000,
868,Geobacteraceae,1000,
869,Berkeleyaceae,1000,
870,Pleuronematidae,1000,
871,Defferrisomataceae,1000,
872,Orussidae,1000,
873,Rotaliidae,1000,
874,Diplogasteroididae,1000,
875,Pteromalidae,1000,
876,Protobranchia,1000,
877,Cinetochilidae,1000,
878,DA111,1000,
879,Coleoidea,1000,
880,Chlorarachniophyta,1000,
881,Agfidae,1000,
882,Nelumbonaceae,1000,
883,Plagiopylidae,1000,
884,AT-s16,1000,
885,Corticiaceae,1000,
886,Holophagaceae,1000,
887,Leptotrichiaceae,1000,
888,Pachytroctidae,1000,
