,Species,read count,relative error
235,Rotylenchulus reniformis,1000,
236,uncultured Pleosporaceae,1000,
237,uncultured microeukaryote,1000,
238,uncultured Coccidia,1000,
239,Halicephalobus sp. WB-2010a,1000,
240,bacterium ASP22   ,1000,
241,Bacillus sp. BCF5  ,1000,
242,Trichinella nelsoni  ,1000,
243,Betula platyphylla,1000,
244,Marivirga tractuosa   ,1000,
245,uncultured Epsilonproteobacteria bacterium  ,1000,
246,uncultured bacterium SJA-9  ,1000,
247,uncultured bacterium 213,1000,
248,Arctic sea ice associated bacterium,1000,
249,Algicola bacteriolytica   ,1000,
250,metagenome,1000,
251,Pantoea sp. IAC/BECa-043  ,1000,
252,Blastocystis sp. MWJ04-41,1000,
253,Bizionia argentinensis,1000,
254,uncultured Acidobacteria,1000,
255,Kluyvera georgiana   ,1000,
256,Methylobacterium rhodesianum   ,1000,
257,Conchellium capsula   ,1000,
258,Bizionia palithoae   ,1000,
259,eukaryote marine clone ME1-20,1000,
260,Streptomyces sp. 050643  ,1000,
261,uncultured Methylocystaceae bacterium  ,1000,
262,Lactobacillus acidophilus   ,1000,
263,uncultured deep-sea bacterium  ,1000,
264,Dickeya phage,1000,
265,Orodendrum regale,1000,
266,Gaetbulibacter sp. M13  ,1000,
267,Bacillus subtilis   ,1000,
268,uncultured Acidobacteria bacterium,1000,
269,Ephemera danica,1000,
270,Shewanella pacifica   ,1000,
271,Nicotiana otophora,1000,
272,uncultured spirochete,1000,
273,Acanthiops varius,1000,
274,uncultured cyanobacterium   ,1000,
275,Nonlabens sp. MIC269  ,1000,
276,Chlorococcum sp. 'dorsiventrale',1000,
277,Nonlabens dokdonensis,1000,
278,Piper methysticum,1000,
279,Pristionchus japonicus,1000,
280,Proteobacteria bacterium JGI 0000113-D06,1000,
281,uncultured Planctomycetota bacterium,1000,
282,uncultured haloarchaeon   ,1000,
283,Cymbomonas tetramitiformis,1000,
284,uncultured Flammeovirgaceae,1000,
285,uncultured delta proteobacterium,1000,
286,Stellarima microtrias,1000,
287,uncultured Chlorophyta,1000,
288,Plasmodium ovale,1000,
289,uncultured Bacillus sp. ,1000,
290,Kurthia sp. M3T8Bx  ,1000,
291,Daphnia magna,1000,
292,Nocardioides sp. MFC-A  ,1000,
293,Rhynchopus sp. ATCC 50226,1000,
294,Vampyrellida sp. CAraX  ,1000,
295,Lentinula lateritia,1000,
296,uncultured Bacteroidota bacterium,1000,
297,Sphagnum palustre,1000,
298,uncultured Flavobacterium,1000,
299,Tanaisia fedtschenkoi  ,1000,
300,marine bacterium ALUS253_6  ,1000,
301,Halomonas campisalis   ,1000,
302,microbial mat metagenome ,1000,
303,uncultured Chlamydia sp.,1000,
304,uncultured,1000,
305,Micromonas commoda,1000,
306,Gambierdiscus sp. type 3,1000,
307,uncultured Hyphomicrobiaceae bacterium  ,1000,
308,uncultured Nitrospirae bacterium  ,1000,
309,uncultured Leeuwenhoekiella sp.  ,1000,
310,Aegilops tauschii,1000,
311,uncultured Methylococcaceae bacterium  ,1000,
312,Lactobacillus plantarum   ,1000,
313,uncultured Duboscquella   ,1000,
314,Mantoniella squamata,1000,
315,Chrysymenia wrightii   ,1000,
316,Rhizobium lusitanum   ,1000,
317,Methanocella paludicola,1000,
318,Haplosporidium diporeiae,1000,
319,Prevotella sp. oral clone HF050,1000,
320,Kytorhynchidae sp. 1 NVS-2013,1000,
321,Saccharococcus thermophilus   ,1000,
322,Tetrapoda,1000,
323,Merismopedia glauca,1000,
324,Lentinellus ursinus,1000,
325,Hymenobacter sp. R-36552  ,1000,
326,Archaeperidinium saanichi,1000,
327,Globigerina falconensis,1000,
328,Navicula gregaria,1000,
329,Picochlorum sp. SENEW3,1000,
330,Hymenobacter aerophilus   ,1000,
331,Pseudomonas sp. HHS18  ,1000,
332,uncultured Rhodocyclaceae bacterium  ,1000,
333,Phormidium sp.,1000,
334,Alcanivorax sp. HS251  ,1000,
335,Blepharocorys angusta,1000,
336,Pseudomonas sp. ID20  ,1000,
337,Candida sp. JCM 15000,1000,
338,uncultured eubacterium WCHB1-03  ,1000,
339,Candidatus Syngnamydia venezia ,1000,
340,Chitinophaga sp. ADMK16  ,1000,
341,Streptomyces sp. Av28_2  ,1000,
342,unidentified rumen bacterium 12-132,1000,
343,fungal sp.,1000,
344,Pilimelia terevasa   ,1000,
345,Thiothrix sp.,1000,
346,Apteria aphylla,1000,
347,Neogloboquadrina incompta,1000,
348,Aestuariibaculum suncheonense   ,1000,
349,uncultured Boletaceae,1000,
350,Sellaphora pupula,1000,
351,Pseudoalteromonas porphyrae   ,1000,
352,Streptacidiphilus sp. TPD20  ,1000,
353,Neogloboquadrina pachyderma,1000,
354,Entorrhiza casparyana  ,1000,
355,uncultured Micrococcus sp.  ,1000,
356,Theileria buffeli,1000,
357,Klebsormidium flaccidum   ,1000,
358,Bacillariophyta sp. W5-1,1000,
359,Iasis cylindrica  ,1000,
360,Rhodococcus sp. II_Gauze_W_2_2  ,1000,
361,Pseudaphelenchus vindai,1000,
362,Bacteroidetes bacterium,1000,
363,Bacillus sp. AK63  ,1000,
364,Victivallales bacterium Lenti_02,1000,
365,uncultured Alcanivoracaceae bacterium  ,1000,
366,uncultured deep-sea bacterium ,1000,
367,Thalassicolla pellucida,1000,
368,uncultured fungus  ,1000,
369,Neoptera,1000,
370,uncultured prymnesiophyte,1000,
371,Lactobacillus casei   ,1000,
372,uncultured Pseudomonas sp.  ,1000,
373,uncultured dinoflagellate ,1000,
374,Pyrocystis noctiluca,1000,
375,Neuraphes angulatus,1000,
376,Neodiplogaster sp. RGD904,1000,
377,Melosira cf. octogona,1000,
378,Chlorophyta symbiont of Baikalospongia sp.,1000,
379,Poterioochromonas sp. NTNV07  ,1000,
380,uncultured rumen bacterium,1000,
381,Plagiogrammopsis vanheurckii,1000,
382,uncultured beta proteobacterium  ,1000,
383,Galaxiella pusilla,1000,
384,uncultured Rhodospirillaceae,1000,
385,uncultured Planctomycetaceae,1000,
386,uncultured eukaryote  ,1000,
387,Hippea sp. Lau09-1128r  ,1000,
388,Haslea nipkowii,1000,
389,uncultured Rhizaria,1000,
390,uncultured Chloroflexi bacterium  ,1000,
391,planctomycete DDSW1318,1000,
392,Polaribacter sp. R-2-R-3-1 ,1000,
393,Plagiorhynchus cylindraceus,1000,
394,Pseudoalteromonas sp. SJS1-1  ,1000,
395,Roseomonas pecuniae   ,1000,
396,Lingulodinium polyedra,1000,
397,Trametes versicolor,1000,
398,uncultured euryarchaeote,1000,
399,uncultured alpha,1000,
400,Bacteroides plebeius,1000,
401,Sagittula stellata,1000,
402,Ilyobacter polytropus,1000,
403,Candidatus Clavichlamydia salmonicola ,1000,
404,Protula palliata  ,1000,
405,Pseudoscourfieldia marina,1000,
406,Saprospira sp.,1000,
407,Ihlea racovitzai  ,1000,
408,uncultured deep-sea bacterium,1000,
409,Pectinaria dodeka  ,1000,
410,Pseudomonas putida   ,1000,
411,environmental clone,1000,
412,Proboscia indica,1000,
413,Platyamoeba sp. strain VV/I ,1000,
414,Gram-positive bacterium SOGA22  ,1000,
415,Thraustochytriidae sp. SEK 706,1000,
416,Amphidinium operculatum,1000,
417,invertebrate environmental sample ,1000,
418,Naushonia sp. RR-2008,1000,
419,Asterionellopsis glacialis,1000,
420,uncultured Leptothrix sp.  ,1000,
421,uncultured rumen archaeon  ,1000,
422,Porterinema fluviatile   ,1000,
423,uncultured Acidimicrobiales,1000,
424,Arthrospira platensis,1000,
425,gamma proteobacterium BDW918  ,1000,
426,uncultured Aquisphaera sp.  ,1000,
427,Photobacterium leiognathi,1000,
428,Burkholderia sp. PE-CR05  ,1000,
429,Hachettea austrocaledonica,1000,
430,Baclozygum brachypterum,1000,
431,Pseudomonas sp. Mexd310  ,1000,
432,Verrucomicrobia bacterium SCGC AAA168-E21 ,1000,
433,Stenus sp. BMNH668192,1000,
434,Lankesteria abbotti,1000,
435,Bradyrhizobium japonicum   ,1000,
436,Halomonhystera sp. JvC-2013,1000,
437,Babesia sp. giraffe 1505,1000,
438,Omalogyra fusca  ,1000,
439,uncultured Flavobacterium sp.,1000,
440,uncultured rumen,1000,
441,unidentified marine bacterioplankton,1000,
442,Phoronis ovalis  ,1000,
443,Acerophagus sp. D0585,1000,
444,Spiroplasma sp. ZHUF0901  ,1000,
445,Hyaloperonospora arabidopsidis,1000,
446,Thraustochytriidae sp. BS1  ,1000,
447,marine bacterium K5-5  ,1000,
448,Eukaryota sp. DLR-2013g,1000,
449,Sargassum vachellianum,1000,
450,Cytinus hypocistis,1000,
451,Amphora coffeiformis,1000,
452,Nonlabens sp.,1000,
453,Flexithrix dorotheae,1000,
454,Pseudomonas moorei   ,1000,
455,bacterium 1490_2009   ,1000,
456,Halomonas sp. HB26  ,1000,
457,Mucoromycotina sp. WR266-C,1000,
458,Opuntia sp. MCCPL-2012,1000,
459,Pycnococcus provasolii,1000,
460,Lecanora caesiorubella,1000,
461,Hartmannula sinica,1000,
462,Eoscarta aurora,1000,
463,Clostridium sp. r12 ,1000,
464,Molgula arenata  ,1000,
465,uncultured marine microorganism,1000,
466,Molgula retortiformis,1000,
467,Citrobacter koseri   ,1000,
468,uncultured Planctomycetales,1000,
469,Cyclotella choctawhatcheeana,1000,
470,Negadavirga shengliensis   ,1000,
471,uncultured Gemmatimonadetes bacterium  ,1000,
472,Palpata Protodrilus sp.,1000,
473,Frieseomelitta varia,1000,
474,uncultured soil bacterium  ,1000,
475,Histriobdella homari  ,1000,
476,uncultured Antarctic sea ice bacterium,1000,
477,uncultured diplonemid,1000,
478,Reticulamoeba gemmipara,1000,
479,Clathria armata,1000,
480,uncultured Planctomyces,1000,
481,uncultured Rhizaria   ,1000,
482,Thalassiosira pseudonana,1000,
483,Aecidium sp. ZT Myc 57043,1000,
484,Bacillariophyta sp. 1 MAB-2013,1000,
485,Blastocladiales sp. TJ-2007a,1000,
486,Skeletonema ardens,1000,
487,uncultured Thioalkalivibrio,1000,
488,Scapteriscus sp. BYU-IGC-OR161,1000,
489,uncultured Staphylococcus sp.  ,1000,
490,Cordyceps militaris,1000,
491,Shionodiscus ritscheri,1000,
492,Nematostella vectensis (starlet sea,1000,
493,Protoperidinium thulesense,1000,
494,Protoperidinium depressum,1000,
495,Pseudophalacroma nasutum,1000,
496,uncultured rhizosphere zygomycete,1000,
497,uncultured Colpodellidae   ,1000,
498,Phaeobacter inhibens   ,1000,
499,uncultured delta,1000,
500,Bacillus sp. 2_A_57_CT2  ,1000,
501,Pseudodiplogasteroides sp. VS-2014,1000,
502,Bemisia tabaci,1000,
503,marine metagenome   ,1000,
504,uncultured Alphaproteobacteria,1000,
505,uncultured euryarchaeote   ,1000,
506,Trichinella sp. T6 ,1000,
507,Lygus elisus,1000,
508,Arthrobacter sp. 17-10  ,1000,
509,uncultured Ohtaekwangia sp.  ,1000,
510,Thraustochytriidae sp. thel2,1000,
511,uncultured alveolate,1000,
512,Tetraselmis marina,1000,
513,Tetraselmis cordiformis,1000,
514,uncultured Brevundimonas sp.  ,1000,
515,Citrus x clementina,1000,
516,uncultured Bacteroidaceae bacterium  ,1000,
517,filamentous cyanobacterium,1000,
518,Drosophila erecta,1000,
519,Streptomyces niger   ,1000,
520,Legionella sp. W10-070  ,1000,
521,Microhyla fissipes,1000,
522,Polaribacter sp. KJF8-6  ,1000,
523,Chryseobacterium sp. DR 5-06 ,1000,
524,Chloroclados australasicus,1000,
525,uncultured Hyphomicrobium sp.  ,1000,
526,Creobius eydouxi,1000,
527,uncultured Thermoanaerobacterales bacterium,1000,
528,Desulfosarcina cetonica   ,1000,
529,uncultured Vibrio sp.  ,1000,
530,Klebsiella pneumoniae   ,1000,
531,uncultured bacterium FukuN24  ,1000,
532,uncultured marine eukaryote  ,1000,
533,Formosa sp. KOPRI 21329 ,1000,
534,Rhizophydium patellarium  ,1000,
535,Bifidobacterium longum subsp. longum ATCC,1000,
536,Lutaonella thermophila   ,1000,
537,bacterium ASP12   ,1000,
538,uncultured Boletaceae  ,1000,
539,Bryum argenteum,1000,
540,Trigonospila transvittata,1000,
541,Streptomyces sp. EN10  ,1000,
542,Haplosporidium pickfordi,1000,
543,Bacillus licheniformis   ,1000,
544,Cellulophaga baltica,1000,
545,uncultured Achromobacter sp.  ,1000,
546,Blumeria hordei,1000,
547,Halomonas sp. B1  ,1000,
548,Flavisolibacter sp. TX0651  ,1000,
549,Pseudoalteromonas sp. PaH3.09  ,1000,
550,Korthalsella latissima,1000,
551,uncultured Acidobacteriota bacterium,1000,
552,Goniadera sp. KKanda KK0342,1000,
553,Euplotia,1000,
554,bacterium secondary symbiont of Ultracoelostoma,1000,
555,Esastigmatobius japonicus  ,1000,
556,Manis pentadactyla,1000,
557,uncultured Sphingobacterium,1000,
558,Trema micranthum,1000,
559,Sinorickettsia chlamys,1000,
560,Streptomyces sp. LJMUEG T5 ,1000,
561,Schizochytrium aggregatum   ,1000,
562,Chlorosarcinopsis bastropiensis,1000,
563,Parcubacteria group bacterium GW2011_GWA2_44_12,1000,
564,Bacillus niabensis   ,1000,
565,Hapalosiphon sp. SAMA 45,1000,
566,Infundibulomyces sp. NR-2006a,1000,
567,Labrys wisconsinensis   ,1000,
568,Mercenaria mercenaria  ,1000,
569,Clavella addunca,1000,
570,uncultured Schlesneria sp.,1000,
571,uncultured Parcubacteria group bacterium,1000,
572,Pseudocorythion acutum,1000,
573,uncultured Chlamydiales bacterium  ,1000,
574,Clostridium sp. AAN13 ,1000,
575,uncultured Flammeovirgaceae bacterium  ,1000,
576,Unruhdinium penardii,1000,
577,Monhystera cf. paludicola JH-2014,1000,
578,uncultured Zavarzinella sp.  ,1000,
579,Schmidtea mediterranea,1000,
580,uncultured Oleispira sp.  ,1000,
581,Aquimarina agarilytica,1000,
582,Acholeplasma sp. CODA 1G ,1000,
583,planctomycete DDD3G8   ,1000,
584,Chaetonotus schultzei,1000,
585,Stachybotrys chartarum,1000,
586,bacterium DEN D9  ,1000,
587,Anoxybacillus sp. JS14  ,1000,
588,Rhodotorula sp. 'maule',1000,
589,Ascidianibacter aurantiacus   ,1000,
590,Navicula radiosa,1000,
591,bacterium endosymbiont of Onthophagus Taurus,1000,
592,uncultured Stella sp.,1000,
593,Sphingopyxis macrogoltabida   ,1000,
594,Pfiesteriaceae sp. masanensis,1000,
595,Pectinatella magnifica  ,1000,
596,Epipyxis sp.,1000,
597,Erythrobacter sp. NAP1  ,1000,
598,Bacillaria paxillifer,1000,
599,Macrostomum lignano,1000,
600,Pseudomonas sp. ASFP-49(1),1000,
601,uncultured Chlamydiae bacterium  ,1000,
602,Arctic sea ice bacterium,1000,
603,Vibrio sp. H008  ,1000,
604,uncultured Eimeriidae,1000,
605,Annamia toxica,1000,
606,bacterium RFB F02  ,1000,
607,uncultured sediment bacterium  ,1000,
608,Musa itinerans,1000,
609,Coemansia sp. ID05-F0237,1000,
610,Megadasys sp. KG-2011,1000,
611,uncultured planctomycete  ,1000,
612,uncultured Yersinia sp.  ,1000,
613,Molgula retortiformis  ,1000,
614,Ancylomenes pedersoni,1000,
615,Coemansia spiralis,1000,
616,uncultured Dechloromonas sp.  ,1000,
617,Nolandella sp. ATCC 50913,1000,
618,Astraeus irregularis,1000,
619,Synchytrium sp. DUH0009364,1000,
620,Dacrymyces minutus,1000,
621,uncultured forest soil bacterium ,1000,
622,uncultured prokaryote,1000,
623,Acinetobacter gandensis   ,1000,
624,uncultured Cytophagaceae bacterium  ,1000,
625,Karenia mikimotoi,1000,
626,Lelenchus leptosoma,1000,
627,uncultured Halorhabdus sp.  ,1000,
628,Burkholderia sp. NAH1  ,1000,
629,Monhysteridae environmental sample,1000,
630,Cyclostephanos dubius,1000,
631,Guillardia theta,1000,
632,Parcubacteria bacterium SCGC AAA010-E09,1000,
633,Protaspis obliqua,1000,
634,Caedimonas varicaedens,1000,
635,Henicolabus lewisii,1000,
636,Rhodococcus wratislaviensis,1000,
637,Bembidion salinarium,1000,
638,uncultured Fibrobacteres bacterium  ,1000,
639,uncultured Verrucomicrobiaceae,1000,
640,Babesia sp.,1000,
641,uncultured stramenopile   ,1000,
642,Stenotrophomonas maltophilia   ,1000,
643,Epicarchesium sp. marine,1000,
644,Bursaphelenchus arthuroides,1000,
645,Lactobacillus hokkaidonensis   ,1000,
646,Variovorax paradoxus   ,1000,
647,Bacillus thuringiensis   ,1000,
648,uncultured marine archaeon,1000,
649,Alteromonas macleodii,1000,
650,Listeria innocua   ,1000,
651,Aquificales str. SRI-240  ,1000,
652,uncultured Chloroflexi,1000,
653,uncultured Desulfovibrio sp.  ,1000,
654,uncultured Prochlorococcus sp.,1000,
655,Cytophagales bacterium,1000,
656,Agarophyton chilense,1000,
657,Holophaga sp.,1000,
658,Bacillus drentensis   ,1000,
659,marine gamma proteobacterium HTCC2151,1000,
660,Turbonilla sp. EED-Phy-526,1000,
661,Vibrio sp. NG49C  ,1000,
662,archaeon BC13   ,1000,
663,uncultured Methanomicrobiales archaeon  ,1000,
664,Desmodora sp. 9 ARD-2013,1000,
665,Haplosporidium raabei,1000,
666,Bacillus sp. Tosh  ,1000,
667,uncultured Epsilonproteobacteria,1000,
668,Chryseobacterium sp. TA_JX  ,1000,
669,Ochrobactrum anthropi   ,1000,
670,fungal sp. GMG_PPb1,1000,
671,Zizania latifolia,1000,
672,Glaciecola nitratireducens,1000,
673,uncultured Anaerovorax sp. ,1000,
674,Aphelenchoides avenae,1000,
675,Chlorella sorokiniana,1000,
676,Pediococcus acidilactici   ,1000,
677,bacterium NLAE-zl-P338   ,1000,
678,Stenotrophomonas sp. PBR-62  ,1000,
679,Mycobacterium sp. DWMJ-2019B2  ,1000,
680,bacterium,1000,
681,Cantharellus appalachiensis,1000,
682,Candidatus Vidania fulgoroideae ,1000,
683,Brevibacterium sp. MB150  ,1000,
684,uncultured Sphingomonas sp.  ,1000,
685,Osmoporus mexicanus,1000,
686,unidentified marine,1000,
687,Cymbella subturgidula,1000,
688,uncultured ciliate   ,1000,
689,Chlorophyta symbiont of Lubomirskia sp.,1000,
690,Pseudoalteromonas sp. VS-72  ,1000,
691,Flexibacteraceae bacterium DG1232  ,1000,
692,uncultured Thanatephorus,1000,
693,uncultured Cryomorphaceae,1000,
694,Porospathis holostoma   ,1000,
695,Zethopsus sp. JP-2014 ,1000,
696,Amphibacillus sp. E172  ,1000,
697,Marinomonas vaga   ,1000,
698,uncultured Spiroplasma sp.  ,1000,
699,Glycera sp. SR-2015 ,1000,
