,phylum,read count,relative error,type
525,Endomyxa,100000,0.4582575694955839,Kaiju
526,Candidatus Bipolaricaulota,100000,0.4,Kaiju
529,Perkinsozoa,100000,0.3849001794597505,Kaiju
530,Parabasalia,100000,0.4714045207910316,Kaiju
531,Candidatus Absconditabacteria,100000,0.4330127018922193,Kaiju
532,candidate division NC10,100000,0.8571428571428572,Kaiju
543,Crenarchaeota,100000,0.4330127018922193,Kaiju
552,Candidatus Gottesmanbacteria,100000,0.4714045207910316,Kaiju
618,Proteobacteria,1000000,0.0007000758432211,Kaiju
619,Bacteroidetes,1000000,0.0021787585255307,Kaiju
620,Bacillariophyta,1000000,0.007938692237245,Kaiju
621,Actinobacteria,1000000,0.0113797823609545,Kaiju
622,Chlorophyta,1000000,0.0091981002863251,Kaiju
623,Chloroflexi,1000000,0.0357708835893698,Kaiju
624,Verrucomicrobia,1000000,0.0163336754855384,Kaiju
625,Planctomycetes,1000000,0.0147748913951703,Kaiju
626,Cyanobacteria,1000000,0.0208649434026752,Kaiju
627,Gemmatimonadetes,1000000,0.0880301768275326,Kaiju
628,Firmicutes,1000000,0.0219725515245989,Kaiju
629,Spirochaetes,1000000,0.0844669609445403,Kaiju
630,Nitrospinae,1000000,0.0793448064842984,Kaiju
631,Candidatus Peregrinibacteria,1000000,0.2124591463996993,Kaiju
632,Rhodothermaeota,1000000,0.0433138748716294,Kaiju
633,Candidatus Dormibacteraeota,1000000,0.3726779962499649,Kaiju
634,Viruses,1000000,0.0483206363636702,Kaiju
635,Basidiomycota,1000000,0.0864007480605497,Kaiju
636,Ciliophora,1000000,0.0881893723783449,Kaiju
637,Candidatus Saccharibacteria,1000000,0.3939098000247716,Kaiju
638,Rhodophyta,1000000,0.1740555642541439,Kaiju
639,Acidobacteria,1000000,0.0261766804504043,Kaiju
640,Mucoromycota,1000000,0.0386958611681051,Kaiju
641,Chlorobi,1000000,0.1640958184772646,Kaiju
642,Oomycota,1000000,0.0313110003894605,Kaiju
643,Euryarchaeota,1000000,0.046027105672703,Kaiju
644,Nitrospirae,1000000,0.0352158164391895,Kaiju
646,Thaumarchaeota,1000000,0.0851066906657117,Kaiju
647,Ascomycota,1000000,0.047671758930375,Kaiju
648,Deferribacteres,1000000,0.1837244354972779,Kaiju
649,Candidatus Melainabacteria,1000000,0.2036027544819889,Kaiju
650,Balneolaeota,1000000,0.0937126232019744,Kaiju
651,Haptophyta,1000000,0.0930213050780182,Kaiju
652,Euglenozoa,1000000,0.0751763087288171,Kaiju
653,Armatimonadetes,1000000,0.0991193293410062,Kaiju
654,Ignavibacteriae,1000000,0.0719821891210347,Kaiju
655,Candidatus Tectomicrobia,1000000,0.0874172717285435,Kaiju
656,Deinococcus-Thermus,1000000,0.1452959139424412,Kaiju
657,Candidatus Marinimicrobia,1000000,0.1205816344040649,Kaiju
658,Fibrobacteres,1000000,0.1945296812185739,Kaiju
659,Kiritimatiellaeota,1000000,0.1239160131473601,Kaiju
660,Candidatus Hydrogenedentes,1000000,0.2565639165054103,Kaiju
661,Thermotogae,1000000,0.1132186317721412,Kaiju
662,Candidatus Gracilibacteria,1000000,0.0650657862217163,Kaiju
663,Synergistetes,1000000,0.2532580906779232,Kaiju
664,Candidatus Bathyarchaeota,1000000,0.0906917783926217,Kaiju
665,candidate division Zixibacteria,1000000,0.0604594831437828,Kaiju
666,Candidatus Berkelbacteria,1000000,0.3849001794597505,Kaiju
667,Candidatus Rokubacteria,1000000,0.1664181092089448,Kaiju
668,Candidatus Campbellbacteria,1000000,0.4330127018922193,Kaiju
669,Candidatus Lindowbacteria,1000000,0.4385290096535146,Kaiju
671,Calditrichaeota,1000000,0.1291959592370898,Kaiju
672,Candidatus Cryosericota,1000000,0.3912303982179758,Kaiju
673,Evosea,1000000,0.0907811336400708,Kaiju
674,Preaxostyla,1000000,0.3480997980288915,Kaiju
675,Chlamydiae,1000000,0.092756659847148,Kaiju
676,Lentisphaerae,1000000,0.0749295517737931,Kaiju
677,Fusobacteria,1000000,0.0479928825572882,Kaiju
678,Candidatus Aminicenantes,1000000,0.0881836914672044,Kaiju
679,Microsporidia,1000000,0.2117016143979412,Kaiju
680,Elusimicrobia,1000000,0.2769040436741979,Kaiju
681,Thermodesulfobacteria,1000000,0.1009219584590922,Kaiju
682,Candidatus Parcubacteria,1000000,0.3085924333823309,Kaiju
683,Candidatus Aerophobetes,1000000,0.2356465585725956,Kaiju
684,Candidatus Fermentibacteria,1000000,0.1810889557000735,Kaiju
685,Candidatus Dadabacteria,1000000,0.0531364200598655,Kaiju
686,Zoopagomycota,1000000,0.1650546390646103,Kaiju
687,Candidatus Blackallbacteria,1000000,0.2780787768285256,Kaiju
688,Tenericutes,1000000,0.1167905273558372,Kaiju
689,Candidatus Thermoplasmatota,1000000,0.0385248788332369,Kaiju
690,Candidatus Omnitrophica,1000000,0.0336282938141107,Kaiju
691,Atribacterota,1000000,0.3391164991562633,Kaiju
692,Candidatus Poribacteria,1000000,0.1810889557000736,Kaiju
693,candidate division CPR2,1000000,0.3531523089093173,Kaiju
694,Candidatus Woesearchaeota,1000000,0.31943828249997,Kaiju
695,Candidatus Riflebacteria,1000000,0.686978002202548,Kaiju
696,Chytridiomycota,1000000,0.1605003188976743,Kaiju
697,Candidatus Moranbacteria,1000000,0.3520893951097651,Kaiju
698,Candidatus Korarchaeota,1000000,0.6319062870042959,Kaiju
699,Candidatus Latescibacteria,1000000,0.0592335888079414,Kaiju
700,candidate division WOR-3,1000000,0.246178405343736,Kaiju
702,Candidatus Kaiserbacteria,1000000,0.3819190861499998,Kaiju
703,Candidatus Micrarchaeota,1000000,0.5471012044321932,Kaiju
704,Apicomplexa,1000000,0.1188607562790586,Kaiju
705,Cryptomycota,1000000,0.1666666666666666,Kaiju
706,Candidatus Desantisbacteria,1000000,0.848528137423857,Kaiju
707,Aquificae,1000000,0.2313225402175104,Kaiju
708,Candidatus Cloacimonetes,1000000,0.0999999999999999,Kaiju
709,Discosea,1000000,0.4715381199210459,Kaiju
710,Candidatus Woesebacteria,1000000,0.5832156365085337,Kaiju
711,Candidatus Giovannonibacteria,1000000,0.7243558228002943,Kaiju
712,Candidatus Schekmanbacteria,1000000,0.6117160375207985,Kaiju
713,Candidatus Heimdallarchaeota,1000000,0.216004597430497,Kaiju
714,Heterolobosea,1000000,0.2641261041947915,Kaiju
715,Foraminifera,1000000,0.241344238423291,Kaiju
716,Candidatus Sumerlaeota,1000000,0.6429381225315658,Kaiju
717,Chrysiogenetes,1000000,0.3854010257086557,Kaiju
718,Candidatus Aenigmarchaeota,1000000,0.550685425510629,Kaiju
719,Candidatus Lokiarchaeota,1000000,0.6930206164842208,Kaiju
720,Candidatus Kapabacteria,1000000,0.10647942749999,Kaiju
721,Candidatus Thorarchaeota,1000000,0.371796334271458,Kaiju
722,Imbricatea,1000000,0.7505142270059053,Kaiju
723,Candidatus Daviesbacteria,1000000,0.5471012044321932,Kaiju
724,Candidatus Pacebacteria,1000000,0.3349967509508821,Kaiju
725,Candidatus Magasanikbacteria,1000000,0.4507922033332112,Kaiju
726,Candidatus Eisenbacteria,1000000,0.1178511301977579,Kaiju
727,Candidatus Margulisbacteria,1000000,0.4998356074261006,Kaiju
729,Candidatus Zambryskibacteria,1000000,0.6986885432532673,Kaiju
730,Olpidiomycota,1000000,0.6666666666666666,Kaiju
731,Endomyxa,1000000,0.182558380598837,Kaiju
732,Candidatus Bipolaricaulota,1000000,0.4007371679514864,Kaiju
733,Candidatus Levybacteria,1000000,0.3464101615137754,Kaiju
734,Candidatus Raymondbacteria,1000000,0.3903262361629296,Kaiju
735,Perkinsozoa,1000000,0.3308618474858524,Kaiju
736,Parabasalia,1000000,0.5336321894427541,Kaiju
737,Candidatus Absconditabacteria,1000000,0.3440104580768907,Kaiju
738,candidate division NC10,1000000,0.2713030996889391,Kaiju
739,Candidatus Roizmanbacteria,1000000,0.3446761565477977,Kaiju
740,Candidatus Handelsmanbacteria,1000000,0.52704627669473,Kaiju
741,Candidatus Ryanbacteria,1000000,0.5000000000000001,Kaiju
743,Candidatus Verstraetearchaeota,1000000,0.4,Kaiju
745,Candidatus Goldbacteria,1000000,0.3849001794597505,Kaiju
746,Candidatus Aureabacteria,1000000,0.6614378277661477,Kaiju
748,Candidatus Uhrbacteria,1000000,0.5672262001443318,Kaiju
749,Crenarchaeota,1000000,0.5908647000371574,Kaiju
750,Caldiserica,1000000,0.6546536707079772,Kaiju
751,candidate division WWE3,1000000,0.7200822998230956,Kaiju
752,Candidatus Falkowbacteria,1000000,0.2716334335501104,Kaiju
753,Candidatus Nomurabacteria,1000000,0.5061943174124038,Kaiju
754,Candidatus Yanofskybacteria,1000000,0.425523159002817,Kaiju
755,Candidatus Coatesbacteria,1000000,0.4714045207910316,Kaiju
757,Candidatus Kryptonia,1000000,0.7071067811865475,Kaiju
758,Candidatus Gottesmanbacteria,1000000,0.2165063509461097,Kaiju
759,Blastocladiomycota,1000000,0.1749635530559412,Kaiju
761,Candidatus Wolfebacteria,1000000,0.4714045207910316,Kaiju
762,Candidatus Delongbacteria,1000000,0.6972166887783963,Kaiju
763,Candidatus Doudnabacteria,1000000,0.4714045207910316,Kaiju
764,Candidatus Glassbacteria,1000000,0.9854310631217637,Kaiju
765,Candidatus Harrisonbacteria,1000000,0.7071067811865475,Kaiju
766,Fornicata,1000000,0.4263283123415311,Kaiju
767,Candidatus Wallbacteria,1000000,0.3464101615137754,Kaiju
768,Cercozoa,1000000,0.5232211106009699,Kaiju
769,Candidatus Andersenbacteria,1000000,0.6666666666666669,Kaiju
770,Candidatus Abyssubacteria,1000000,0.3240068961457456,Kaiju
771,Candidatus Mcinerneyibacteriota,1000000,0.7071067811865475,Kaiju
772,Candidatus Firestonebacteria,1000000,0.6666666666666669,Kaiju
773,Candidatus Staskawiczbacteria,1000000,0.5471012044321933,Kaiju
774,Candidatus Altiarchaeota,1000000,0.2988071523335984,Kaiju
775,Candidatus Abawacabacteria,1000000,0.4714045207910316,Kaiju
776,Candidatus Fischerbacteria,1000000,0.3481553119113956,Kaiju
777,Candidatus Kerfeldbacteria,1000000,0.2484519974999766,Kaiju
778,Candidatus Komeilibacteria,1000000,0.3726779962499649,Kaiju
779,Candidatus Nealsonbacteria,1000000,0.3849001794597506,Kaiju
780,candidate division LCP-89,1000000,0.8413197549333737,Kaiju
782,Picozoa,1000000,0.3726779962499649,Kaiju
788,Candidatus Sungbacteria,1000000,0.692820323027551,Kaiju
793,Candidatus Taylorbacteria,1000000,0.2945929562327194,Kaiju
794,Abditibacteriota,1000000,0.4082482904638631,Kaiju
795,candidate division CPR1,1000000,0.4714045207910316,Kaiju
799,Candidatus Tagabacteria,1000000,0.4714045207910316,Kaiju
803,Candidatus Jorgensenbacteria,1000000,0.692820323027551,Kaiju
805,Candidatus Woykebacteria,1000000,0.692820323027551,Kaiju
806,Nanoarchaeota,1000000,0.4714045207910316,Kaiju
824,Proteobacteria,10000000,0.0006459722875298,Kaiju
825,Bacteroidetes,10000000,0.0003724235940245,Kaiju
826,Bacillariophyta,10000000,0.0006731219143458,Kaiju
827,Actinobacteria,10000000,0.001516221901306,Kaiju
828,Chlorophyta,10000000,0.0036729814042313,Kaiju
829,Chloroflexi,10000000,0.0062733033846835,Kaiju
830,Verrucomicrobia,10000000,0.0014554112836633,Kaiju
831,Planctomycetes,10000000,0.0027545185068746,Kaiju
832,Cyanobacteria,10000000,0.0065418714380612,Kaiju
833,Gemmatimonadetes,10000000,0.0114324338423917,Kaiju
834,Firmicutes,10000000,0.0075584232178195,Kaiju
835,Spirochaetes,10000000,0.013570597787929,Kaiju
836,Nitrospinae,10000000,0.0071020905802372,Kaiju
837,Candidatus Peregrinibacteria,10000000,0.0956467346916259,Kaiju
838,Rhodothermaeota,10000000,0.0046717817969807,Kaiju
839,Candidatus Dormibacteraeota,10000000,0.1776643629159774,Kaiju
840,Viruses,10000000,0.0067438951297624,Kaiju
841,Basidiomycota,10000000,0.0162081509299705,Kaiju
842,Ciliophora,10000000,0.0077491069456309,Kaiju
843,Candidatus Saccharibacteria,10000000,0.0792583849202182,Kaiju
844,Rhodophyta,10000000,0.0198879487451627,Kaiju
845,Acidobacteria,10000000,0.0080318599870244,Kaiju
846,Mucoromycota,10000000,0.0079254289414272,Kaiju
847,Chlorobi,10000000,0.0283975659229208,Kaiju
848,Oomycota,10000000,0.002373877456704,Kaiju
849,Euryarchaeota,10000000,0.011255837487767,Kaiju
850,Nitrospirae,10000000,0.007309026558547,Kaiju
851,Tubulinea,10000000,0.0869565217391304,Kaiju
852,Thaumarchaeota,10000000,0.012582618269856,Kaiju
853,Ascomycota,10000000,0.0165116618424813,Kaiju
854,Deferribacteres,10000000,0.0142596568632775,Kaiju
855,Candidatus Melainabacteria,10000000,0.0344968529619686,Kaiju
856,Balneolaeota,10000000,0.0159111850850369,Kaiju
857,Haptophyta,10000000,0.0107316399324162,Kaiju
858,Euglenozoa,10000000,0.0131071237735048,Kaiju
859,Armatimonadetes,10000000,0.0145385112376563,Kaiju
860,Ignavibacteriae,10000000,0.0177467962725457,Kaiju
861,Candidatus Tectomicrobia,10000000,0.0310459111438643,Kaiju
862,Deinococcus-Thermus,10000000,0.0294123066447821,Kaiju
863,Candidatus Marinimicrobia,10000000,0.0494555428332671,Kaiju
864,Fibrobacteres,10000000,0.0673691586162341,Kaiju
865,Kiritimatiellaeota,10000000,0.0226354741044248,Kaiju
866,Candidatus Hydrogenedentes,10000000,0.0154642824897183,Kaiju
867,Thermotogae,10000000,0.0202789732508986,Kaiju
868,Candidatus Gracilibacteria,10000000,0.0167012968294505,Kaiju
869,Synergistetes,10000000,0.0217564940706362,Kaiju
870,Candidatus Bathyarchaeota,10000000,0.0230598469677302,Kaiju
871,candidate division Zixibacteria,10000000,0.0286900759328877,Kaiju
872,Candidatus Berkelbacteria,10000000,0.1680608838394381,Kaiju
873,Candidatus Rokubacteria,10000000,0.0411542920975892,Kaiju
874,Candidatus Campbellbacteria,10000000,0.0821917808219177,Kaiju
875,Candidatus Lindowbacteria,10000000,0.054392829322042,Kaiju
876,Candidatus Portnoybacteria,10000000,0.1928904337245963,Kaiju
877,Calditrichaeota,10000000,0.0118648757331167,Kaiju
878,Candidatus Cryosericota,10000000,0.1935483870967742,Kaiju
879,Evosea,10000000,0.0242952337484371,Kaiju
880,Preaxostyla,10000000,0.0403363976545046,Kaiju
881,Chlamydiae,10000000,0.0014116943124503,Kaiju
882,Lentisphaerae,10000000,0.0151390153060246,Kaiju
883,Fusobacteria,10000000,0.0169906248760656,Kaiju
884,Candidatus Aminicenantes,10000000,0.0137569792215123,Kaiju
885,Microsporidia,10000000,0.0536427624139331,Kaiju
886,Elusimicrobia,10000000,0.0353237825242268,Kaiju
887,Thermodesulfobacteria,10000000,0.0188601144623094,Kaiju
888,Candidatus Parcubacteria,10000000,0.0712403333546704,Kaiju
889,Candidatus Aerophobetes,10000000,0.0866008275625585,Kaiju
890,Candidatus Fermentibacteria,10000000,0.033838164238804,Kaiju
891,Candidatus Dadabacteria,10000000,0.0201625606852247,Kaiju
892,Zoopagomycota,10000000,0.0320864546563314,Kaiju
893,Candidatus Blackallbacteria,10000000,0.0634905741692974,Kaiju
894,Tenericutes,10000000,0.0486588707366421,Kaiju
895,Candidatus Thermoplasmatota,10000000,0.0338213191090836,Kaiju
896,Candidatus Omnitrophica,10000000,0.0202239380558989,Kaiju
897,Atribacterota,10000000,0.0610600576223116,Kaiju
898,Candidatus Poribacteria,10000000,0.0319488817891373,Kaiju
899,candidate division CPR2,10000000,0.0974661882465207,Kaiju
900,Candidatus Woesearchaeota,10000000,0.0607026132570569,Kaiju
901,Candidatus Riflebacteria,10000000,0.0859479763413804,Kaiju
902,Chytridiomycota,10000000,0.0157518003086302,Kaiju
903,Candidatus Moranbacteria,10000000,0.0780301155170092,Kaiju
904,Candidatus Korarchaeota,10000000,0.2487301080823684,Kaiju
905,Candidatus Latescibacteria,10000000,0.0314118875479289,Kaiju
906,candidate division WOR-3,10000000,0.0751021061132543,Kaiju
907,Candidatus Amesbacteria,10000000,0.2553138954016901,Kaiju
908,Candidatus Kaiserbacteria,10000000,0.0383957711274172,Kaiju
909,Candidatus Micrarchaeota,10000000,0.1659765325773231,Kaiju
910,Apicomplexa,10000000,0.0321141935357498,Kaiju
911,Cryptomycota,10000000,0.0579986571788664,Kaiju
912,Candidatus Desantisbacteria,10000000,0.0785674201318385,Kaiju
913,Aquificae,10000000,0.0633298868198137,Kaiju
914,Candidatus Cloacimonetes,10000000,0.0549900459442011,Kaiju
915,Discosea,10000000,0.0834437082199469,Kaiju
916,Candidatus Woesebacteria,10000000,0.0458374362663572,Kaiju
917,Candidatus Giovannonibacteria,10000000,0.178302077266209,Kaiju
918,Candidatus Schekmanbacteria,10000000,0.1390412287512769,Kaiju
919,Candidatus Heimdallarchaeota,10000000,0.0539128248255566,Kaiju
920,Heterolobosea,10000000,0.0558696893113108,Kaiju
921,Foraminifera,10000000,0.1407948179429707,Kaiju
922,Candidatus Sumerlaeota,10000000,0.1178153767793241,Kaiju
923,Chrysiogenetes,10000000,0.0929226084656874,Kaiju
924,Candidatus Aenigmarchaeota,10000000,0.1200137166371825,Kaiju
925,Candidatus Lokiarchaeota,10000000,0.0614358118230643,Kaiju
926,Candidatus Kapabacteria,10000000,0.0668629322802065,Kaiju
927,Candidatus Thorarchaeota,10000000,0.0697765139485854,Kaiju
928,Imbricatea,10000000,0.0464714320451682,Kaiju
929,Candidatus Daviesbacteria,10000000,0.170693632971909,Kaiju
930,Candidatus Pacebacteria,10000000,0.0364702016981955,Kaiju
931,Candidatus Magasanikbacteria,10000000,0.0652645687440162,Kaiju
932,Candidatus Eisenbacteria,10000000,0.0789254248135427,Kaiju
933,Candidatus Margulisbacteria,10000000,0.056288913780563,Kaiju
934,Candidatus Buchananbacteria,10000000,0.1543033499620918,Kaiju
935,Candidatus Zambryskibacteria,10000000,0.2664693550105965,Kaiju
936,Olpidiomycota,10000000,0.1267945393551058,Kaiju
937,Endomyxa,10000000,0.0588894872602886,Kaiju
938,Candidatus Bipolaricaulota,10000000,0.0624695047554423,Kaiju
939,Candidatus Levybacteria,10000000,0.116143820439934,Kaiju
940,Candidatus Raymondbacteria,10000000,0.154943173093471,Kaiju
941,Perkinsozoa,10000000,0.0646058282469798,Kaiju
942,Parabasalia,10000000,0.1276595744680851,Kaiju
943,Candidatus Absconditabacteria,10000000,0.0669810458497364,Kaiju
944,candidate division NC10,10000000,0.068857904303869,Kaiju
945,Candidatus Roizmanbacteria,10000000,0.1704875824436251,Kaiju
946,Candidatus Handelsmanbacteria,10000000,0.0555110933190968,Kaiju
947,Candidatus Ryanbacteria,10000000,0.2160246899469287,Kaiju
948,Candidatus Terrybacteria,10000000,0.2347262634065101,Kaiju
949,Candidatus Verstraetearchaeota,10000000,0.2857142857142857,Kaiju
950,Candidatus Marsarchaeota,10000000,0.4330127018922193,Kaiju
951,Candidatus Goldbacteria,10000000,0.0606060606060606,Kaiju
952,Candidatus Aureabacteria,10000000,0.0824786098842322,Kaiju
953,Candidatus Muirbacteria,10000000,0.1986145305747393,Kaiju
954,Candidatus Uhrbacteria,10000000,0.0663507109004739,Kaiju
955,Crenarchaeota,10000000,0.0372831330136827,Kaiju
956,Caldiserica,10000000,0.1394321657540785,Kaiju
957,candidate division WWE3,10000000,0.1677740985615722,Kaiju
958,Candidatus Falkowbacteria,10000000,0.0825118517515929,Kaiju
959,Candidatus Nomurabacteria,10000000,0.1268647884805434,Kaiju
960,Candidatus Yanofskybacteria,10000000,0.0935794590498593,Kaiju
961,Candidatus Coatesbacteria,10000000,0.1182002534686105,Kaiju
962,Candidatus Lloydbacteria,10000000,0.0983606557377049,Kaiju
963,Candidatus Kryptonia,10000000,0.1530931089239485,Kaiju
