,order,read count,relative error
258,Thraustochytrida,1K,
259,Trypanosomatida,1K,
260,Tichowtungiales,1K,
261,Ulvales,1K,
262,Entomophthorales,1K,
263,Tremellales,1K,
264,Piroplasmida,1K,
265,Schizosaccharomycetales,1K,
266,Chlorodendrales,1K,
267,Glomerales,1K,
268,Coriobacteriales,1K,
269,Lithodesmiales,1K,
270,Atheliales,1K,
271,Orbales,1K,
272,Longamoebia,1K,
273,Tissierellales,1K,
274,Synchytriales,1K,
275,Cavosteliida,1K,
276,Thermoplasmatales,1K,
277,Thermotogales,1K,
278,Fucales,1K,
279,Dasycladales,1K,
280,Kickxellales,1K,
281,Polyporales,1K,
282,Physariida,1K,
283,Batrachospermales,1K,
284,Corallinales,1K,
285,Gracilariales,1K,
286,Aquificales,1K,
287,Spizellomycetales,1K,
288,Eugregarinorida,1K,
289,Opalinata,1K,
290,Harpellales,1K,
291,Thermoanaerobacterales,1K,
292,Glycomycetales,1K,
293,Candidatus Poseidoniales,1K,
294,Capnodiales,1K,
295,Malasseziales,1K,
296,Thaumatomonadida,1K,
297,Chrysiogenales,1K,
298,Cenarchaeales,1K,
299,Desulfurellales,1K,
300,Leucosporidiales,1K,
301,Phaeocystales,1K,
302,Botryosphaeriales,1K,
303,Acanthopleuribacterales,1K,
304,Methanophagales,1K,
305,Nitriliruptorales,1K,
306,Basidiobolales,1K,
307,Natrialbales,1K,
308,Tepidisphaerales,1K,
309,Acidaminococcales,1K,
310,Chitinispirillales,1K,
311,Umbelopsidales,1K,
312,Sessilida,1K,
313,Silvanigrellales,1K,
314,Iodidimonadales,1K,
315,Olpidiales,1K,
316,Sporichthyales,1K,
317,Candidatus Acidulodesulfobacterales,1K,
318,Acanthocystida,1K,
319,Nephroselmidales,1K,
320,Mycosphaerellales,1K,
321,Nephromycida,1K,
322,Trueperales,1K,
323,Thermosediminibacterales,1K,
324,Thermodesulfovibrionales,1K,
325,Candidatus Uabimicrobiales,1K,
326,Candidatus Sulfidibacteriales,1K,
327,Plasmodiophorida,1K,
328,Eucoccidiorida,1K,
329,Pucciniales,1K,
330,Chroococcidiopsidales,1K,
331,Methanobacteriales,1K,
332,Halobacteriales,1K,
333,Endogonales,1K,
334,Perkinsida,1K,
335,Onygenales,1K,
336,Jakobida,1K,
337,Aggregatilineales,1K,
338,Porphyridiales,1K,
339,Gymnodiniales,1K,
340,Erysiphales,1K,
341,Pezizales,1K,
342,Exobasidiales,1K,
343,Gigartinales,1K,
344,Rhodogorgonales,1K,
345,Chaetothyriales,1K,
346,Pedinellales,1K,
347,Trichomonadida,1K,
348,Ostropales,1K,
349,Gonyaulacales,1K,
350,Halanaerobiales,1K,
351,Euglenales,1K,
352,Filobasidiales,1K,
353,Microstromatales,1K,
354,Thalassiophysales,1K,
355,Cyclophorales,1K,
356,Sporidiobolales,1K,
357,Nautiliales,1K,
358,Rhopalodiales,1K,
359,Victivallales,1K,
360,Coniochaetales,1K,
361,Sebacinales,1K,
362,Corticiales,1K,
363,Rhizochromulinales,1K,
364,Magnaporthales,1K,
365,Nitrososphaerales,1K,
366,Venturiales,1K,
367,Jiangellales,1K,
368,Desulfurobacteriales,1K,
369,Nakamurellales,1K,
370,Endomicrobiales,1K,
371,Cocconeidales,1K,
372,Mastigamoebida,1K,
373,Aulographales,1K,
374,Cladosporiales,1K,
375,Motilibacterales,1K,
376,Methanotrichales,1K,
377,Melosirales,1K,
378,Lecanorales,1K,
379,Mixiales,1K,
380,Florenciellales,1K,
381,Jatrophihabitantales,1K,
382,Syntrophorhabdales,1K,
383,Vaucheriales,1K,
384,Dacrymycetales,1K,
385,Ulotrichales,1K,
386,Oedogoniales,1K,
387,Tilletiales,1K,
388,Colpodida,1K,
389,Thermomicrobiales,1K,
390,Tabellariales,1K,
391,Dinophysiales,1K,
392,Methanocellales,1K,
393,Jaapiales,1K,
394,Parmales,1K,
395,Chthonomonadales,1K,
396,Chitinivibrionales,1K,
397,Kallotenuales,1K,
398,Eggerthellales,1K,
399,Blastocatellales,1K,
400,Trichosporonales,1K,
401,Candidatus Sumerlaeales,1K,
402,Chloroflexales,1K,
403,Glomerellales,1K,
404,Caulochytriales,1K,
405,Nemaliales,1K,
406,Blastocladiales,1K,
407,Dothideales,1K,
408,Bicosoecida,1K,
409,Microthamniales,1K,
410,Microbotryales,1K,
411,Sphaerobacterales,1K,
412,Balbianiales,1K,
413,Verrucariales,1K,
414,Orbiliales,1K,
415,Gloeobacterales,1K,
416,Natranaerobiales,1K,
417,Telonemida,1K,
418,Tritrichomonadida,1K,
419,Candidatus Geothermincolales,1K,
420,Archaeoglobales,1K,
421,Thermoproteales,1K,
422,Diplomonadida,1K,
423,Neolectales,1K,
424,Chaetopeltidales,1K,
425,Euglyphida,1K,
426,Surirellales,1K,
427,Albuginales,1K,
428,Trechisporales,1K,
429,Methylacidiphilales,1K,
430,Compsopogonales,1K,
431,Violaceomycetales,1K,
432,Togniniales,1K,
433,Longimicrobiales,1K,
434,Thermoanaerobaculales,1K,
435,Tsukubamonadida,1K,
436,Terrimicrobiales,1K,
437,Entomoplasmatales,1K,
438,Paraliales,1K,
439,Kosmotogales,1K,
440,Myriangiales,1K,
441,Paraglomerales,1K,
442,Armatimonadales,1K,
443,Acidothermales,1K,
444,Candidatus Mcinerneyibacteriales,1K,
445,Prorocentrales,1K,
446,Rhodymeniales,1K,
447,Cercomonadida,1K,
448,Candidatus Altiarchaeales,1K,
449,Gloeomargaritales,1K,
450,Auriculariales,1K,
451,Chaetophorales,1K,
452,Erythropeltidales,1K,
453,Hildenbrandiales,1K,
454,Pneumocystidales,1K,
455,Entylomatales,1K,
456,Myzocytiopsidales,1K,
457,Urostylida,1K,
458,Egibacterales,1K,
459,Candidatus Gastranaerophilales,1K,
460,Picocystales,1K,
461,Neobodonida,1K,
462,Methanococcales,1K,
463,Sulfolobales,1K,
464,Haplosporida,1K,
465,Ahnfeltiales,1K,
466,Patellariales,1K,
467,Glaucocystales,1K,
468,Thelephorales,1K,
469,Phallales,1K,
470,Cystofilobasidiales,1K,
471,Desulfurococcales,1K,
472,Prasiolales,1K,
473,Endogenida,1K,
474,Dictyoglomales,1K,
475,Chlamydodontida,1K,
476,Chaetosphaeriales,1K,
477,Nassellaria,1K,
478,Himatismenida,1K,
479,Synhymeniida,1K,
480,Acrosymphytales,1K,
481,Rhabdonematales,1K,
482,Umbilicariales,1K,
483,Gloeophyllales,1K,
484,Mytilinidiales,1K,
485,Actinopolysporales,1K,
486,Microthyriales,1K,
487,Trypetheliales,1K,
488,Acrospermales,1K,
489,Thermogemmatisporales,1K,
490,Mastogloiales,1K,
491,Methanomassiliicoccales,1K,
492,Caliciales,1K,
493,Monomastigales,1K,
494,Marsupiomonadales,1K,
495,Phaeomoniellales,1K,
496,Goniochloridales,1K,
497,Acanthoecida,1K,
498,Coprothermobacterales,1K,
499,Metopida,1K,
500,Thermotomaculales,1K,
501,Labyrinthulida,1K,
502,Lineolatales,1K,
503,Candidatus Limnocylindrales,1K,
504,Atribacterales,1K,
505,Candidatus Aquicultorales,1K,
506,Sphacelariales,1K,
507,Dimargaritales,1K,
508,Thermococcales,1K,
509,Microascales,1K,
510,Limnochordales,1K,
511,Abditibacteriales,1K,
512,Candidatus Termititenacales,1K,
513,Phaeothamnales,1K,
514,Phaeotrichales,1K,
515,Colponemida,1K,
516,Rotaliida,1K,
517,Hibberdiales,1K,
518,Plocamiales,1K,
519,Oltmansiellopsidales,1K,
520,Diplonemea,1K,
521,Wallemiales,1K,
522,Gomphales,1K,
523,Prasinococcales,1K,
524,Dactylopodida,1K,
525,Elusimicrobiales,1K,
526,Rhodellales,1K,
527,Ceraceosorales,1K,
528,Ralfsiales,1K,
529,Chrysanthemodiscales,1K,
530,Thermostichales,1K,
531,Candidatus Anstonellales,1K,
532,Candidatus Absconditabacterales,1K,
533,Thermoleophilales,1K,
534,Geastrales,1K,
535,Xylonales,1K,
536,Malawimonadida,1K,
537,Trentepohliales,1K,
538,Arthoniales,1K,
539,Ochromonadales,1K,
540,Mischococcales,1K,
541,Tintinnida,1K,
542,Ignatiales,1K,
543,Kathablepharidacea,1K,
544,Glissomonadida,1K,
545,Dixoniellales,1K,
546,Palmophyllales,1K,
547,Dolichomastigales,1K,
548,Mesoaciditogales,1K,
549,Candidatus Babeliales,1K,
550,Candidatus Methanoliparales,1K,
551,Parabodonida,1K,
552,Amphidiniales,1K,
553,Tepidiformales,1K,
554,Palmariales,1K,
555,Haptorida,1K,
556,Bonnemaisoniales,1K,
557,Heteronematales,1K,
558,Rhaponeidales,1K,
559,Geoglossales,1K,
560,Sticholonchida,1K,
561,Spongomonadida,1K,
562,Cyathomonadacea,1K,
563,Thermofilales,1K,
564,Desmarestiales,1K,
565,Hysterangiales,1K,
566,Acidilobales,1K,
567,Candidatus Tiddalikarchaeales,1K,
568,Cladophorales,1K,
569,Acrochaetiales,1K,
570,Loxodida,1K,
571,Pedinomonadales,1K,
572,Chlorosarcinales,1K,
573,Euamoebida,1K,
574,Corethrales,1K,
575,Oxyrrhinales,1K,
576,Candidatus Nanoperiomorbales,1K,
577,Eremomycetales,1K,
578,Sporolithales,1K,
579,Stichotrichida,1K,
580,Haloplasmatales,1K,
581,Caldisericales,1K,
582,Candidatus Eremiobacterales,1K,
583,Oltmannsiellopsidales,1K,
584,Culicoidibacterales,1K,
585,Halymeniales,1K,
586,Protosteliida,1K,
587,Candidatus Nanohalobiales,1K,
588,Thoracosphaerales,1K,
589,Gloeochaetales,1K,
590,Methanopyrales,1K,
591,Sorogenida,1K,
592,Trichonymphida,1K,
593,Pseudoamphisiellida,1K,
594,Candidatus Fermentibacterales,1K,
595,Lagenidiales,1K,
596,Vestibuliferida,1K,
597,Entodiniomorphida,1K,
598,Sarcinochrysidales,1K,
599,Chrysomeridales,1K,
600,Leptomitales,1K,
601,Balliales,1K,
602,Arcellinida,1K,
603,Coccolithales,1K,
604,Cryomonadida,1K,
605,Fervidicoccales,1K,
606,Amylocorticiales,1K,
607,Pinguiochrysidales,1K,
608,Miliolida,1K,
609,Scotinosphaerales,1K,
610,Hapalidiales,1K,
611,Candidatus Peribacterales,1K,
612,Candidatus Borkfalkiales,1K,
613,Mycoplasmoidales,1K,
614,Conexivisphaerales,1K,
615,Exogenida,1K,
616,Peltigerales,1K,
617,Striatellales,1K,
618,Collodaria,1K,
619,Methanonatronarchaeales,1K,
620,Candidatus Humimicrobiales,1K,
621,Gelidiales,1K,
622,Asterolamprales,1K,
623,Candidatus Saccharimonales,1K,
624,Orphellales,1K,
625,Tetrasporales,1K,
626,Alteromonadales,10K,0.03739982364405503
627,Flavobacteriales,10K,0.03789274287676666
628,Rhodobacterales,10K,0.0466949882231767
629,Oceanospirillales,10K,0.06949464439018646
630,Sphingomonadales,10K,0.10074490189643535
631,Pelagibacterales,10K,0.07348634043493078
632,Hyphomicrobiales,10K,0.1350081415571746
633,Vibrionales,10K,0.22793790956873938
634,Saprospirales,10K,0.1292199210337026
635,Burkholderiales,10K,0.07585104596679336
636,Moraxellales,10K,0.09780759955449396
637,Thalassiosirales,10K,0.11870498774319613
638,Desulfobacterales,10K,0.11470629476547982
639,Cellvibrionales,10K,0.043884429018202636
640,Chromatiales,10K,0.16961415948075964
641,Pirellulales,10K,0.24294099225213092
642,Chlorellales,10K,0.1333333333333334
643,Verrucomicrobiales,10K,0.1267585994748065
644,Desulfuromonadales,10K,0.41748964856596066
645,Pseudomonadales,10K,0.25483998045412753
646,Micrococcales,10K,0.15965712964872042
647,Gemmatimonadales,10K,0.38030001206094344
648,Chaetocerotales,10K,0.29388701006386664
649,Cytophagales,10K,0.2090609490400256
650,Synechococcales,10K,0.730983187052265
651,Mamiellales,10K,0.24894915349433172
652,Bacillariales,10K,0.23177361425421752
653,Naviculales,10K,0.10966736527685754
654,Pelagomonadales,10K,
655,Corynebacteriales,10K,0.476280484787101
656,Suessiales,10K,0.49487165930539345
657,Enterobacterales,10K,0.4096633667709064
658,Cymbellales,10K,0.5163977794943222
659,Sphingobacteriales,10K,0.4043186276767133
660,Caulobacterales,10K,0.8660254037844386
661,Ktedonobacterales,10K,
662,Nitrospinales,10K,
663,Ferrovales,10K,
664,Rhodothermales,10K,0.5014627042462879
665,Cryptosporangiales,10K,
666,Hyphomonadales,10K,0.576012259814659
667,Viruses,10K,0.17770068351376064
668,Streptomycetales,10K,0.5590169943749475
669,Rhodospirillales,10K,0.3061862178478973
670,Marinilabiliales,10K,0.2591307784316223
671,Planctomycetales,10K,0.2507385540462557
672,Bacillales,10K,0.20494257956896084
673,Atractiellales,10K,
674,Aeromonadales,10K,0.3535533905932737
675,Desulfovibrionales,10K,0.408248290463863
676,Acidithiobacillales,10K,
677,Triceratiales,10K,0.39123039821797584
678,Anaerolineales,10K,0.5926547641093317
679,Sporadotrichida,10K,0.4714045207910316
680,Candidatus Actinomarinales,10K,
681,Arenicellales,10K,0.3510981290092154
682,Emcibacterales,10K,
683,Isosphaerales,10K,
684,Maricaulales,10K,0.43852900965351455
685,Pseudanabaenales,10K,0.6011057519272295
686,Rickettsiales,10K,0.16329931618554525
687,Bangiales,10K,
688,Nitrosomonadales,10K,0.09028393805030215
689,Acidimicrobiales,10K,0.2606585284974895
690,Propionibacteriales,10K,0.5342912389583809
691,Hymenochaetales,10K,
692,Neisseriales,10K,0.21650635094610962
693,Campylobacterales,10K,0.3333333333333333
694,Cyanidiales,10K,
695,Bacteriovoracales,10K,0.4
696,Myxococcales,10K,0.2535333413739622
697,Xanthomonadales,10K,0.3189632267349089
698,Bacteroidales,10K,0.6262982735168667
699,Chitinophagales,10K,0.5235475903822737
700,Oscillatoriales,10K,0.15971914124998496
701,Agaricales,10K,
702,Nitrosopumilales,10K,0.5000000000000001
703,Pleurocapsales,10K,0.43301270189221935
704,Leptomyxida,10K,
705,Thiotrichales,10K,0.3348416366623648
706,Pseudonocardiales,10K,0.38490017945975047
707,Pythiales,10K,
708,Nitrospirales,10K,0.4979295977319692
709,Chlorobiales,10K,
710,Sneathiellales,10K,0.4714045207910316
711,Puniceicoccales,10K,0.308287726505694
712,Methylococcales,10K,0.10497277621629554
713,Hypocreales,10K,
714,Helotiales,10K,0.43301270189221935
715,Chromulinales,10K,
716,Hydrogenophilales,10K,
717,Eubacteriales,10K,0.26726124191242434
718,Lactobacillales,10K,0.5590169943749473
719,Deferribacterales,10K,
720,Rhodocyclales,10K,0.576012259814659
721,Thermoflexales,10K,
722,Balneolales,10K,
723,Licmophorales,10K,
724,Nostocales,10K,0.27216552697590873
725,Actinomycetales,10K,0.37267799624996484
726,Chlamydomonadales,10K,0.5471012044321931
727,Bdellovibrionales,10K,0.6928203230275509
728,Kordiimonadales,10K,0.5471012044321931
729,Pyrenomonadales,10K,0.5471012044321931
730,Phycisphaerales,10K,0.6869780022025479
731,Saprolegniales,10K,0.43301270189221935
732,Euplotida,10K,0.4714045207910316
733,Sphaeropleales,10K,
734,Eutreptiales,10K,0.4
735,Syndiniales,10K,
736,Pasteurellales,10K,0.4
737,Eustigmatales,10K,0.4
738,Erysipelotrichales,10K,
739,Nevskiales,10K,0.5677270907634907
740,Craspedida,10K,0.4714045207910316
741,Chroococcales,10K,0.3726779962499649
742,Laminariales,10K,
743,Peridiniales,10K,
744,Taphrinales,10K,
745,Eurotiales,10K,
746,Bryopsidales,10K,
747,Eupodiscales,10K,
748,Fragilariales,10K,0.5926547641093317
749,Oxymonadida,10K,
750,Isochrysidales,10K,0.43301270189221935
751,Pavlovales,10K,
752,Rubrobacterales,10K,0.4714045207910316
753,Bifidobacteriales,10K,
754,Micromonosporales,10K,0.4
755,Streptosporangiales,10K,0.34641016151377546
756,Pleosporales,10K,
757,Deinococcales,10K,
758,Legionellales,10K,0.7497534111391511
759,Leptocylindrales,10K,
760,Herpetosiphonales,10K,
761,Eunotiales,10K,0.8660254037844386
762,Acidobacteriales,10K,
763,Coscinodiscales,10K,0.4714045207910316
764,Fibrobacterales,10K,
765,Opitutales,10K,0.4330127018922193
766,Cymatosirales,10K,
767,Biddulphiales,10K,
768,Desulfarculales,10K,
769,Anaulales,10K,0.43301270189221935
770,Holophagales,10K,
771,Kineosporiales,10K,
772,Ignavibacteriales,10K,
773,Geodermatophilales,10K,
774,Petrotogales,10K,
775,Acidiferrobacterales,10K,
776,Micropepsales,10K,
777,Kiritimatiellales,10K,
778,Immundisolibacterales,10K,
779,Phototrophicales,10K,
780,Candidatus Cryosericales,10K,
781,Stephanodiscales,10K,0.4714045207910316
782,Syntrophales,10K,
783,Ectocarpales,10K,
784,Brachyspirales,10K,0.5
785,Diversisporales,10K,
786,Parachlamydiales,10K,0.4714045207910316
787,Spirochaetales,10K,
788,Ceramiales,10K,
789,Tribonematales,10K,
790,Peronosporales,10K,0.4714045207910316
791,Saccharomycetales,10K,
792,Sordariales,10K,
793,Hymenostomatida,10K,
794,Chlamydiales,10K,0.4330127018922193
795,Boletales,10K,
796,Zoopagales,10K,
797,Thermodesulfobacteriales,10K,
798,Fusobacteriales,10K,
799,Syntrophobacterales,10K,
800,Mortierellales,10K,0.4714045207910316
801,Parvularculales,10K,
802,Stylonematales,10K,
803,Hemiaulales,10K,
804,Russulales,10K,
805,Caldilineales,10K,
806,Cryptomonadales,10K,
807,Candidatus Brocadiales,10K,
808,Archaeosporales,10K,
809,Magnetococcales,10K,
810,Ardenticatenales,10K,
811,Leptospirales,10K,
812,Spirulinales,10K,
813,Calditrichales,10K,
814,Kangiellales,10K,0.4
815,Rhizosoleniales,10K,0.43301270189221935
816,Mycoplasmatales,10K,
817,Mucorales,10K,
818,Cantharellales,10K,
819,Xylariales,10K,
820,Pyramimonadales,10K,
821,Prymnesiales,10K,
822,Methanosarcinales,10K,
823,Cardiobacteriales,10K,
824,Lentisphaerales,10K,
825,Thalassionemales,10K,
826,Solirubrobacterales,10K,
827,Salinisphaerales,10K,
828,Thoreales,10K,
829,Dehalococcoidales,10K,
830,Rhodothalassiales,10K,
831,Oligoflexales,10K,
832,Veillonellales,10K,
833,Trebouxiales,10K,
834,Miltoncostaeales,10K,
835,Gemmatales,10K,
836,Chytridiales,10K,
837,Ophiostomatales,10K,
838,Ustilaginales,10K,
839,Heterotrichida,10K,
840,Georgefischeriales,10K,
841,Thermales,10K,
842,Frankiales,10K,
843,Placidida,10K,
844,Acholeplasmatales,10K,
845,Catenulisporales,10K,
846,Synurales,10K,
847,Rhizophydiales,10K,
848,Euzebyales,10K,
849,Candidatus Nanopelagicales,10K,
850,Capsulimonadales,10K,
851,Eubodonida,10K,
852,Salsipaludibacterales,10K,
853,Methanomicrobiales,10K,
854,Neocallimastigales,10K,
855,Dictyochales,10K,
856,Synergistales,10K,
857,Chattonellales,10K,
858,Toxariales,10K,
859,Bacteroidetes Order II. Incertae sedis,10K,
860,Gaiellales,10K,
861,Haloferacales,10K,
862,Fimbriimonadales,10K,
863,Egicoccales,10K,
864,Holosporales,10K,
865,Koleobacterales,10K,
866,Vicinamibacterales,10K,
867,Peniculida,10K,
868,Sedimentisphaerales,10K,
869,Selenomonadales,10K,
870,Dictyotales,10K,
871,Diaporthales,10K,
872,Monoblepharidales,10K,
873,Haemosporida,10K,
874,Philasterida,10K,
875,Bryobacterales,10K,
876,Mariprofundales,10K,
877,Bradymonadales,10K,
878,Chthoniobacterales,10K,
879,Acytosteliales,10K,
880,Dictyosteliales,10K,
881,Chloropicales,10K,
882,Minwuiales,10K,
883,Pelobiontida,10K,
884,Thraustochytrida,10K,
885,Trypanosomatida,10K,
886,Tichowtungiales,10K,
887,Ulvales,10K,
888,Entomophthorales,10K,
889,Tremellales,10K,
890,Piroplasmida,10K,
891,Schizosaccharomycetales,10K,
892,Chlorodendrales,10K,
893,Glomerales,10K,
894,Coriobacteriales,10K,
895,Lithodesmiales,10K,
896,Atheliales,10K,
897,Orbales,10K,
898,Longamoebia,10K,
899,Tissierellales,10K,
900,Synchytriales,10K,
901,Cavosteliida,10K,
902,Thermoplasmatales,10K,
