,phylum,read count,relative error
144,Candidatus Delongbacteria,1K,
145,Candidatus Doudnabacteria,1K,
146,Candidatus Glassbacteria,1K,
147,Candidatus Harrisonbacteria,1K,
148,Fornicata,1K,
149,Candidatus Wallbacteria,1K,
150,Cercozoa,1K,
151,Candidatus Andersenbacteria,1K,
152,Candidatus Abyssubacteria,1K,
153,Candidatus Mcinerneyibacteriota,1K,
154,Candidatus Firestonebacteria,1K,
155,Candidatus Staskawiczbacteria,1K,
156,Candidatus Altiarchaeota,1K,
157,Candidatus Abawacabacteria,1K,
158,Candidatus Fischerbacteria,1K,
159,Candidatus Kerfeldbacteria,1K,
160,Candidatus Komeilibacteria,1K,
161,Candidatus Nealsonbacteria,1K,
162,candidate division LCP-89,1K,
163,Dictyoglomi,1K,
164,Picozoa,1K,
165,Candidatus Adlerbacteria,1K,
166,Candidatus Azambacteria,1K,
167,Candidatus Fraserbacteria,1K,
168,Candidatus Liptonbacteria,1K,
169,Candidatus Spechtbacteria,1K,
170,Candidatus Sungbacteria,1K,
171,Candidatus Vogelbacteria,1K,
172,Candidatus Wildermuthbacteria,1K,
173,Candidatus Odinarchaeota,1K,
174,Coprothermobacterota,1K,
175,Candidatus Taylorbacteria,1K,
176,Abditibacteriota,1K,
177,candidate division CPR1,1K,
178,Candidatus Microgenomates,1K,
179,Candidatus Yonathbacteria,1K,
180,Candidatus Kuenenbacteria,1K,
181,Candidatus Tagabacteria,1K,
182,Candidatus Wirthbacteria,1K,
183,candidate division CPR3,1K,
184,Candidatus Curtissbacteria,1K,
185,Candidatus Jorgensenbacteria,1K,
186,Candidatus Edwardsbacteria,1K,
187,Candidatus Woykebacteria,1K,
188,Nanoarchaeota,1K,
189,Candidatus Diapherotrites,1K,
190,Candidatus Beckwithbacteria,1K,
191,Candidatus Cerribacteria,1K,
192,Candidatus Colwellbacteria,1K,
193,Candidatus Collierbacteria,1K,
194,Candidatus Niyogibacteria,1K,
195,Candidatus Shapirobacteria,1K,
196,Candidatus Eremiobacteraeota,1K,
197,Candidatus Nanohaloarchaeota,1K,
198,Candidatus Chisholmbacteria,1K,
199,Candidatus Gribaldobacteria,1K,
200,Candidatus Parvarchaeota,1K,
201,candidate division KD3-62,1K,
202,Candidatus Blackburnbacteria,1K,
203,Candidatus Geothermarchaeota,1K,
204,Candidatus Nezhaarchaeota,1K,
205,Candidatus Huberarchaea,1K,
206,Proteobacteria,10K,0.022294140208060156
207,Bacteroidetes,10K,0.033163732370744346
208,Bacillariophyta,10K,0.05434979110712784
209,Actinobacteria,10K,0.12284266025994392
210,Chlorophyta,10K,0.2869364392555262
211,Chloroflexi,10K,0.1223044426459927
212,Verrucomicrobia,10K,0.11371950945963816
213,Planctomycetes,10K,0.14495747684499802
214,Cyanobacteria,10K,0.3383412868523274
215,Gemmatimonadetes,10K,0.47075115315785043
216,Firmicutes,10K,0.12179485049819548
217,Spirochaetes,10K,0.7497534111391508
218,Nitrospinae,10K,0.4
219,Candidatus Peregrinibacteria,10K,
220,Rhodothermaeota,10K,0.5014627042462879
221,Candidatus Dormibacteraeota,10K,
222,Viruses,10K,0.17770068351376064
223,Basidiomycota,10K,0.5592469952052407
224,Ciliophora,10K,0.5592469952052407
225,Candidatus Saccharibacteria,10K,
226,Rhodophyta,10K,0.5592469952052408
227,Acidobacteria,10K,0.14142135623730945
228,Mucoromycota,10K,0.5592469952052408
229,Chlorobi,10K,
230,Oomycota,10K,0.6666666666666666
231,Euryarchaeota,10K,0.20327890704543536
232,Nitrospirae,10K,0.15971914124998499
233,Tubulinea,10K,
234,Thaumarchaeota,10K,0.4385290096535147
235,Ascomycota,10K,0.2201736911931778
236,Deferribacteres,10K,
237,Candidatus Melainabacteria,10K,
238,Balneolaeota,10K,
239,Haptophyta,10K,
240,Euglenozoa,10K,0.2857142857142857
241,Armatimonadetes,10K,0.4648111258522642
242,Ignavibacteriae,10K,0.22222222222222215
243,Candidatus Tectomicrobia,10K,0.4714045207910316
244,Deinococcus-Thermus,10K,
245,Candidatus Marinimicrobia,10K,0.4
246,Fibrobacteres,10K,
247,Kiritimatiellaeota,10K,
248,Candidatus Hydrogenedentes,10K,
249,Thermotogae,10K,
250,Candidatus Gracilibacteria,10K,0.38490017945975047
251,Synergistetes,10K,
252,Candidatus Bathyarchaeota,10K,
253,candidate division Zixibacteria,10K,
254,Candidatus Berkelbacteria,10K,
255,Candidatus Rokubacteria,10K,
256,Candidatus Campbellbacteria,10K,
257,Candidatus Lindowbacteria,10K,
258,Candidatus Portnoybacteria,10K,
259,Calditrichaeota,10K,0.6666666666666665
260,Candidatus Cryosericota,10K,
261,Evosea,10K,
262,Preaxostyla,10K,
263,Chlamydiae,10K,0.5728219618694802
264,Lentisphaerae,10K,0.6928203230275509
265,Fusobacteria,10K,
266,Candidatus Aminicenantes,10K,0.43301270189221935
267,Microsporidia,10K,
268,Elusimicrobia,10K,
269,Thermodesulfobacteria,10K,
270,Candidatus Parcubacteria,10K,
271,Candidatus Aerophobetes,10K,
272,Candidatus Fermentibacteria,10K,
273,Candidatus Dadabacteria,10K,
274,Zoopagomycota,10K,
275,Candidatus Blackallbacteria,10K,
276,Tenericutes,10K,0.4714045207910316
277,Candidatus Thermoplasmatota,10K,
278,Candidatus Omnitrophica,10K,
279,Atribacterota,10K,
280,Candidatus Poribacteria,10K,
281,candidate division CPR2,10K,
282,Candidatus Woesearchaeota,10K,
283,Candidatus Riflebacteria,10K,
284,Chytridiomycota,10K,0.4714045207910316
285,Candidatus Moranbacteria,10K,
286,Candidatus Korarchaeota,10K,
287,Candidatus Latescibacteria,10K,
288,candidate division WOR-3,10K,
289,Candidatus Amesbacteria,10K,
290,Candidatus Kaiserbacteria,10K,
291,Candidatus Micrarchaeota,10K,
292,Apicomplexa,10K,
293,Cryptomycota,10K,
294,Candidatus Desantisbacteria,10K,
295,Aquificae,10K,
296,Candidatus Cloacimonetes,10K,
297,Discosea,10K,
298,Candidatus Woesebacteria,10K,
299,Candidatus Giovannonibacteria,10K,
300,Candidatus Schekmanbacteria,10K,
301,Candidatus Heimdallarchaeota,10K,
302,Heterolobosea,10K,
303,Foraminifera,10K,
304,Candidatus Sumerlaeota,10K,
305,Chrysiogenetes,10K,
306,Candidatus Aenigmarchaeota,10K,
307,Candidatus Lokiarchaeota,10K,
308,Candidatus Kapabacteria,10K,
309,Candidatus Thorarchaeota,10K,
310,Imbricatea,10K,
311,Candidatus Daviesbacteria,10K,
312,Candidatus Pacebacteria,10K,
313,Candidatus Magasanikbacteria,10K,
314,Candidatus Eisenbacteria,10K,
315,Candidatus Margulisbacteria,10K,
316,Candidatus Buchananbacteria,10K,
317,Candidatus Zambryskibacteria,10K,
318,Olpidiomycota,10K,
319,Endomyxa,10K,
320,Candidatus Bipolaricaulota,10K,
321,Candidatus Levybacteria,10K,
322,Candidatus Raymondbacteria,10K,
323,Perkinsozoa,10K,
324,Parabasalia,10K,
325,Candidatus Absconditabacteria,10K,
326,candidate division NC10,10K,
327,Candidatus Roizmanbacteria,10K,
328,Candidatus Handelsmanbacteria,10K,
329,Candidatus Ryanbacteria,10K,
330,Candidatus Terrybacteria,10K,
331,Candidatus Verstraetearchaeota,10K,
332,Candidatus Marsarchaeota,10K,
333,Candidatus Goldbacteria,10K,
334,Candidatus Aureabacteria,10K,
335,Candidatus Muirbacteria,10K,
336,Candidatus Uhrbacteria,10K,
337,Crenarchaeota,10K,
338,Caldiserica,10K,
339,candidate division WWE3,10K,
340,Candidatus Falkowbacteria,10K,
341,Candidatus Nomurabacteria,10K,
342,Candidatus Yanofskybacteria,10K,
343,Candidatus Coatesbacteria,10K,
344,Candidatus Lloydbacteria,10K,
345,Candidatus Kryptonia,10K,
346,Candidatus Gottesmanbacteria,10K,
347,Blastocladiomycota,10K,
348,Candidatus Hydrothermae,10K,
349,Candidatus Wolfebacteria,10K,
350,Candidatus Delongbacteria,10K,
351,Candidatus Doudnabacteria,10K,
352,Candidatus Glassbacteria,10K,
353,Candidatus Harrisonbacteria,10K,
354,Fornicata,10K,
355,Candidatus Wallbacteria,10K,
356,Cercozoa,10K,
357,Candidatus Andersenbacteria,10K,
358,Candidatus Abyssubacteria,10K,
359,Candidatus Mcinerneyibacteriota,10K,
360,Candidatus Firestonebacteria,10K,
361,Candidatus Staskawiczbacteria,10K,
362,Candidatus Altiarchaeota,10K,
363,Candidatus Abawacabacteria,10K,
364,Candidatus Fischerbacteria,10K,
365,Candidatus Kerfeldbacteria,10K,
366,Candidatus Komeilibacteria,10K,
367,Candidatus Nealsonbacteria,10K,
368,candidate division LCP-89,10K,
369,Dictyoglomi,10K,
370,Picozoa,10K,
371,Candidatus Adlerbacteria,10K,
372,Candidatus Azambacteria,10K,
373,Candidatus Fraserbacteria,10K,
374,Candidatus Liptonbacteria,10K,
375,Candidatus Spechtbacteria,10K,
376,Candidatus Sungbacteria,10K,
377,Candidatus Vogelbacteria,10K,
378,Candidatus Wildermuthbacteria,10K,
379,Candidatus Odinarchaeota,10K,
380,Coprothermobacterota,10K,
381,Candidatus Taylorbacteria,10K,
382,Abditibacteriota,10K,
383,candidate division CPR1,10K,
384,Candidatus Microgenomates,10K,
385,Candidatus Yonathbacteria,10K,
386,Candidatus Kuenenbacteria,10K,
387,Candidatus Tagabacteria,10K,
388,Candidatus Wirthbacteria,10K,
389,candidate division CPR3,10K,
390,Candidatus Curtissbacteria,10K,
391,Candidatus Jorgensenbacteria,10K,
392,Candidatus Edwardsbacteria,10K,
393,Candidatus Woykebacteria,10K,
394,Nanoarchaeota,10K,
395,Candidatus Diapherotrites,10K,
396,Candidatus Beckwithbacteria,10K,
397,Candidatus Cerribacteria,10K,
398,Candidatus Colwellbacteria,10K,
399,Candidatus Collierbacteria,10K,
400,Candidatus Niyogibacteria,10K,
401,Candidatus Shapirobacteria,10K,
402,Candidatus Eremiobacteraeota,10K,
403,Candidatus Nanohaloarchaeota,10K,
404,Candidatus Chisholmbacteria,10K,
405,Candidatus Gribaldobacteria,10K,
406,Candidatus Parvarchaeota,10K,
407,candidate division KD3-62,10K,
408,Candidatus Blackburnbacteria,10K,
409,Candidatus Geothermarchaeota,10K,
410,Candidatus Nezhaarchaeota,10K,
411,Candidatus Huberarchaea,10K,
412,Proteobacteria,100K,0.006428629717714738
413,Bacteroidetes,100K,0.021336264436156084
414,Bacillariophyta,100K,0.01625828309777021
415,Actinobacteria,100K,0.03404510047741366
416,Chlorophyta,100K,0.039192751763201965
417,Chloroflexi,100K,0.030646887418830634
418,Verrucomicrobia,100K,0.04345723905350582
419,Planctomycetes,100K,0.028463373422327343
420,Cyanobacteria,100K,0.08163960330542129
421,Gemmatimonadetes,100K,0.1743041721945991
422,Firmicutes,100K,0.11132031165369352
423,Spirochaetes,100K,0.08404012406197917
424,Nitrospinae,100K,0.3414214156570471
425,Candidatus Peregrinibacteria,100K,
426,Rhodothermaeota,100K,0.08979133729352984
427,Candidatus Dormibacteraeota,100K,
428,Viruses,100K,0.04676187785645947
429,Basidiomycota,100K,0.364835982967112
430,Ciliophora,100K,0.17241379310344826
431,Candidatus Saccharibacteria,100K,
432,Rhodophyta,100K,0.53138417929546
433,Acidobacteria,100K,0.13393576442737762
434,Mucoromycota,100K,0.16197088596792505
435,Chlorobi,100K,0.6547663768585424
436,Oomycota,100K,0.11935247900657209
437,Euryarchaeota,100K,0.22566773346211005
438,Nitrospirae,100K,0.07394841721604241
439,Tubulinea,100K,
440,Thaumarchaeota,100K,0.1867070468191972
441,Ascomycota,100K,0.11440563873171244
442,Deferribacteres,100K,0.34641016151377546
443,Candidatus Melainabacteria,100K,0.5163977794943222
444,Balneolaeota,100K,0.5691057665928179
445,Haptophyta,100K,0.38820440842666054
446,Euglenozoa,100K,0.14172179141744887
447,Armatimonadetes,100K,0.3912303982179757
448,Ignavibacteriae,100K,0.16382505196892136
449,Candidatus Tectomicrobia,100K,0.5443310539518174
450,Deinococcus-Thermus,100K,0.4513354669242202
451,Candidatus Marinimicrobia,100K,0.3912303982179758
452,Fibrobacteres,100K,0.37267799624996495
453,Kiritimatiellaeota,100K,0.2667894653011367
454,Candidatus Hydrogenedentes,100K,0.4575657233497424
455,Thermotogae,100K,0.34641016151377546
456,Candidatus Gracilibacteria,100K,0.11692679333668572
457,Synergistetes,100K,
458,Candidatus Bathyarchaeota,100K,0.6871842709362768
459,candidate division Zixibacteria,100K,0.3496690869141741
460,Candidatus Berkelbacteria,100K,
461,Candidatus Rokubacteria,100K,0.3446761565477978
462,Candidatus Campbellbacteria,100K,
463,Candidatus Lindowbacteria,100K,
464,Candidatus Portnoybacteria,100K,
465,Calditrichaeota,100K,0.23594562882420358
466,Candidatus Cryosericota,100K,
467,Evosea,100K,0.5698307040253272
468,Preaxostyla,100K,
469,Chlamydiae,100K,0.12247448713915889
470,Lentisphaerae,100K,0.2212192182518245
471,Fusobacteria,100K,0.6435846357954428
472,Candidatus Aminicenantes,100K,0.6481590798850738
473,Microsporidia,100K,0.6123724356957946
474,Elusimicrobia,100K,0.46481112585226425
475,Thermodesulfobacteria,100K,0.43852900965351466
476,Candidatus Parcubacteria,100K,0.6666666666666666
477,Candidatus Aerophobetes,100K,
478,Candidatus Fermentibacteria,100K,0.43301270189221935
479,Candidatus Dadabacteria,100K,0.1244823994329923
480,Zoopagomycota,100K,0.5863019699779287
481,Candidatus Blackallbacteria,100K,0.43301270189221935
482,Tenericutes,100K,0.3908679799852857
483,Candidatus Thermoplasmatota,100K,0.46481112585226425
484,Candidatus Omnitrophica,100K,0.49757027371550094
485,Atribacterota,100K,0.4
486,Candidatus Poribacteria,100K,0.6388765649999398
487,candidate division CPR2,100K,
488,Candidatus Woesearchaeota,100K,0.4999999999999999
489,Candidatus Riflebacteria,100K,
490,Chytridiomycota,100K,0.26987027314652634
491,Candidatus Moranbacteria,100K,0.3849001794597505
492,Candidatus Korarchaeota,100K,
493,Candidatus Latescibacteria,100K,0.6666666666666666
494,candidate division WOR-3,100K,0.6928203230275509
495,Candidatus Amesbacteria,100K,
496,Candidatus Kaiserbacteria,100K,0.6085806194501846
497,Candidatus Micrarchaeota,100K,
498,Apicomplexa,100K,0.3240068961457457
499,Cryptomycota,100K,0.5471012044321931
500,Candidatus Desantisbacteria,100K,0.7071067811865475
501,Aquificae,100K,0.686978002202548
502,Candidatus Cloacimonetes,100K,0.5163977794943222
503,Discosea,100K,0.4999999999999999
504,Candidatus Woesebacteria,100K,0.3912303982179758
505,Candidatus Giovannonibacteria,100K,0.4714045207910316
506,Candidatus Schekmanbacteria,100K,0.2857142857142857
507,Candidatus Heimdallarchaeota,100K,0.3849001794597505
508,Heterolobosea,100K,0.39999999999999997
509,Foraminifera,100K,
510,Candidatus Sumerlaeota,100K,0.34641016151377546
511,Chrysiogenetes,100K,0.43301270189221935
512,Candidatus Aenigmarchaeota,100K,
513,Candidatus Lokiarchaeota,100K,
514,Candidatus Kapabacteria,100K,
515,Candidatus Thorarchaeota,100K,
516,Imbricatea,100K,
517,Candidatus Daviesbacteria,100K,
518,Candidatus Pacebacteria,100K,0.4648111258522642
519,Candidatus Magasanikbacteria,100K,
520,Candidatus Eisenbacteria,100K,
521,Candidatus Margulisbacteria,100K,0.4714045207910316
522,Candidatus Buchananbacteria,100K,
523,Candidatus Zambryskibacteria,100K,
524,Olpidiomycota,100K,
525,Endomyxa,100K,0.45825756949558394
526,Candidatus Bipolaricaulota,100K,0.4
527,Candidatus Levybacteria,100K,
528,Candidatus Raymondbacteria,100K,
529,Perkinsozoa,100K,0.3849001794597505
530,Parabasalia,100K,0.4714045207910316
531,Candidatus Absconditabacteria,100K,0.43301270189221935
532,candidate division NC10,100K,0.8571428571428572
533,Candidatus Roizmanbacteria,100K,
534,Candidatus Handelsmanbacteria,100K,
535,Candidatus Ryanbacteria,100K,
536,Candidatus Terrybacteria,100K,
537,Candidatus Verstraetearchaeota,100K,
538,Candidatus Marsarchaeota,100K,
539,Candidatus Goldbacteria,100K,
540,Candidatus Aureabacteria,100K,
541,Candidatus Muirbacteria,100K,
542,Candidatus Uhrbacteria,100K,
543,Crenarchaeota,100K,0.43301270189221935
544,Caldiserica,100K,
545,candidate division WWE3,100K,
546,Candidatus Falkowbacteria,100K,
547,Candidatus Nomurabacteria,100K,
548,Candidatus Yanofskybacteria,100K,
549,Candidatus Coatesbacteria,100K,
550,Candidatus Lloydbacteria,100K,
551,Candidatus Kryptonia,100K,
552,Candidatus Gottesmanbacteria,100K,0.4714045207910316
553,Blastocladiomycota,100K,
554,Candidatus Hydrothermae,100K,
555,Candidatus Wolfebacteria,100K,
556,Candidatus Delongbacteria,100K,
557,Candidatus Doudnabacteria,100K,
558,Candidatus Glassbacteria,100K,
559,Candidatus Harrisonbacteria,100K,
560,Fornicata,100K,
561,Candidatus Wallbacteria,100K,
562,Cercozoa,100K,
563,Candidatus Andersenbacteria,100K,
564,Candidatus Abyssubacteria,100K,
565,Candidatus Mcinerneyibacteriota,100K,
566,Candidatus Firestonebacteria,100K,
567,Candidatus Staskawiczbacteria,100K,
568,Candidatus Altiarchaeota,100K,
569,Candidatus Abawacabacteria,100K,
570,Candidatus Fischerbacteria,100K,
571,Candidatus Kerfeldbacteria,100K,
572,Candidatus Komeilibacteria,100K,
573,Candidatus Nealsonbacteria,100K,
574,candidate division LCP-89,100K,
575,Dictyoglomi,100K,
576,Picozoa,100K,
577,Candidatus Adlerbacteria,100K,
578,Candidatus Azambacteria,100K,
579,Candidatus Fraserbacteria,100K,
580,Candidatus Liptonbacteria,100K,
581,Candidatus Spechtbacteria,100K,
582,Candidatus Sungbacteria,100K,
583,Candidatus Vogelbacteria,100K,
584,Candidatus Wildermuthbacteria,100K,
585,Candidatus Odinarchaeota,100K,
586,Coprothermobacterota,100K,
587,Candidatus Taylorbacteria,100K,
588,Abditibacteriota,100K,
589,candidate division CPR1,100K,
590,Candidatus Microgenomates,100K,
591,Candidatus Yonathbacteria,100K,
592,Candidatus Kuenenbacteria,100K,
593,Candidatus Tagabacteria,100K,
594,Candidatus Wirthbacteria,100K,
595,candidate division CPR3,100K,
596,Candidatus Curtissbacteria,100K,
597,Candidatus Jorgensenbacteria,100K,
598,Candidatus Edwardsbacteria,100K,
599,Candidatus Woykebacteria,100K,
600,Nanoarchaeota,100K,
601,Candidatus Diapherotrites,100K,
602,Candidatus Beckwithbacteria,100K,
603,Candidatus Cerribacteria,100K,
604,Candidatus Colwellbacteria,100K,
605,Candidatus Collierbacteria,100K,
606,Candidatus Niyogibacteria,100K,
607,Candidatus Shapirobacteria,100K,
608,Candidatus Eremiobacteraeota,100K,
609,Candidatus Nanohaloarchaeota,100K,
610,Candidatus Chisholmbacteria,100K,
611,Candidatus Gribaldobacteria,100K,
612,Candidatus Parvarchaeota,100K,
613,candidate division KD3-62,100K,
614,Candidatus Blackburnbacteria,100K,
615,Candidatus Geothermarchaeota,100K,
616,Candidatus Nezhaarchaeota,100K,
617,Candidatus Huberarchaea,100K,
618,Proteobacteria,1M,0.0007000758432211073
619,Bacteroidetes,1M,0.0021787585255307225
620,Bacillariophyta,1M,0.007938692237245063
621,Actinobacteria,1M,0.011379782360954528
622,Chlorophyta,1M,0.00919810028632511
623,Chloroflexi,1M,0.03577088358936988
624,Verrucomicrobia,1M,0.016333675485538428
625,Planctomycetes,1M,0.014774891395170351
626,Cyanobacteria,1M,0.02086494340267528
627,Gemmatimonadetes,1M,0.08803017682753267
628,Firmicutes,1M,0.021972551524598944
629,Spirochaetes,1M,0.08446696094454031
630,Nitrospinae,1M,0.07934480648429845
631,Candidatus Peregrinibacteria,1M,0.21245914639969937
632,Rhodothermaeota,1M,0.04331387487162949
633,Candidatus Dormibacteraeota,1M,0.37267799624996495
634,Viruses,1M,0.048320636363670205
635,Basidiomycota,1M,0.08640074806054975
636,Ciliophora,1M,0.08818937237834493
637,Candidatus Saccharibacteria,1M,0.3939098000247716
638,Rhodophyta,1M,0.17405556425414392
639,Acidobacteria,1M,0.026176680450404333
640,Mucoromycota,1M,0.038695861168105104
641,Chlorobi,1M,0.1640958184772646
642,Oomycota,1M,0.03131100038946054
643,Euryarchaeota,1M,0.04602710567270303
644,Nitrospirae,1M,0.03521581643918953
645,Tubulinea,1M,
646,Thaumarchaeota,1M,0.0851066906657117
647,Ascomycota,1M,0.04767175893037505
648,Deferribacteres,1M,0.18372443549727793
649,Candidatus Melainabacteria,1M,0.20360275448198895
650,Balneolaeota,1M,0.09371262320197443
651,Haptophyta,1M,0.09302130507801827
652,Euglenozoa,1M,0.07517630872881714
653,Armatimonadetes,1M,0.09911932934100623
654,Ignavibacteriae,1M,0.07198218912103478
655,Candidatus Tectomicrobia,1M,0.08741727172854355
656,Deinococcus-Thermus,1M,0.14529591394244126
657,Candidatus Marinimicrobia,1M,0.1205816344040649
658,Fibrobacteres,1M,0.19452968121857395
659,Kiritimatiellaeota,1M,0.12391601314736016
660,Candidatus Hydrogenedentes,1M,0.2565639165054103
661,Thermotogae,1M,0.11321863177214128
662,Candidatus Gracilibacteria,1M,0.06506578622171633
663,Synergistetes,1M,0.25325809067792326
664,Candidatus Bathyarchaeota,1M,0.09069177839262174
665,candidate division Zixibacteria,1M,0.0604594831437828
666,Candidatus Berkelbacteria,1M,0.3849001794597505
667,Candidatus Rokubacteria,1M,0.1664181092089448
668,Candidatus Campbellbacteria,1M,0.43301270189221935
669,Candidatus Lindowbacteria,1M,0.4385290096535146
670,Candidatus Portnoybacteria,1M,
671,Calditrichaeota,1M,0.12919595923708982
672,Candidatus Cryosericota,1M,0.39123039821797584
673,Evosea,1M,0.09078113364007087
674,Preaxostyla,1M,0.34809979802889157
675,Chlamydiae,1M,0.09275665984714801
676,Lentisphaerae,1M,0.07492955177379314
677,Fusobacteria,1M,0.04799288255728828
678,Candidatus Aminicenantes,1M,0.08818369146720445
679,Microsporidia,1M,0.21170161439794125
680,Elusimicrobia,1M,0.27690404367419796
681,Thermodesulfobacteria,1M,0.10092195845909227
682,Candidatus Parcubacteria,1M,0.30859243338233094
683,Candidatus Aerophobetes,1M,0.23564655857259564
684,Candidatus Fermentibacteria,1M,0.18108895570007352
685,Candidatus Dadabacteria,1M,0.053136420059865595
686,Zoopagomycota,1M,0.1650546390646103
687,Candidatus Blackallbacteria,1M,0.27807877682852566
688,Tenericutes,1M,0.11679052735583721
689,Candidatus Thermoplasmatota,1M,0.038524878833236985
690,Candidatus Omnitrophica,1M,0.03362829381411074
691,Atribacterota,1M,0.33911649915626335
692,Candidatus Poribacteria,1M,0.1810889557000736
693,candidate division CPR2,1M,0.3531523089093173
694,Candidatus Woesearchaeota,1M,0.31943828249997
