,1K,10K,100K,1M,10M
Candidatus Tectomicrobia,,7.071067811865475e-05,1.632993161855452e-05,2.16794833886788e-06,8.421203397773195e-07
Deinococcus-Thermus,,,4.0620192023179815e-05,1.0606601717798212e-05,2.208128921357023e-06
Candidatus Marinimicrobia,,5e-05,1.6431676725154984e-05,5.787918451395115e-06,2.236626924634505e-06
Fibrobacteres,,,4.47213595499958e-06,2.4899799195977465e-06,8.185352771872453e-07
Kiritimatiellaeota,,,3.361547262794322e-05,1.5192103211866355e-05,2.9307280096704075e-06
Candidatus Hydrogenedentes,,,1.2583057392117917e-05,6.978538528947161e-06,4.349329450233297e-07
Thermotogae,,,5.773502691896259e-06,1.788854381999832e-06,2.9860788111948187e-07
Candidatus Gracilibacteria,,5.773502691896258e-05,1.8708286933869715e-05,9.343446901438463e-06,2.3832750575626e-06
Synergistetes,,,,3.6469165057620944e-06,2.9860788111948203e-07
Candidatus Bathyarchaeota,,,4.123105625617661e-05,4.969909455915671e-06,1.2446552400832402e-06
candidate division Zixibacteria,,,2.16794833886788e-05,3.3615472627943234e-06,1.4933184523068074e-06
Candidatus Berkelbacteria,,,,5.773502691896258e-07,3.109126351029605e-07
Candidatus Rokubacteria,,,1.5165750888103103e-05,7.854934754662193e-06,2.117388328420966e-06
Candidatus Campbellbacteria,,,,5.773502691896258e-07,1.4999999999999994e-07
Candidatus Lindowbacteria,,,,1.140175425099138e-06,1.4142135623730936e-07
Candidatus Portnoybacteria,,,,,2.3629078131263045e-07
Calditrichaeota,,9.999999999999999e-05,3.1144823004794874e-05,1.3126309458488326e-05,1.170469991071964e-06
Candidatus Cryosericota,,,,5.47722557505166e-07,1.5000000000000002e-07
Evosea,,,3.646916505762094e-05,5.3197744313081535e-06,1.27671453348037e-06
Preaxostyla,,,,3.898717737923585e-06,3.8622100754188194e-07
Chlamydiae,,0.00015275252316519468,1.2247448713915889e-05,8.700574693662484e-06,1.290994448735837e-07
Lentisphaerae,,0.00011547005383792514,2.16794833886788e-05,7.987490219086348e-06,1.5842979517754827e-06
Fusobacteria,,,1.6733200530681514e-05,1.5165750888103095e-06,5.802298395176428e-07
Candidatus Aminicenantes,,5.7735026918962585e-05,4.277849927241488e-05,5.890670590009257e-06,8.426149773176343e-07
Microsporidia,,,2.449489742783178e-05,7.5365774725667095e-06,1.8211717839530316e-06
Elusimicrobia,,,1.6733200530681514e-05,9.137833441248532e-06,1.3228756555322956e-06
Thermodesulfobacteria,,,1.1401754250991382e-05,5.167204273105524e-06,9.708243919473798e-07
Candidatus Parcubacteria,,,1e-05,3.2093613071762422e-06,7.889866919029749e-07
Candidatus Aerophobetes,,,,2.16794833886788e-06,5.737304826019504e-07
Candidatus Fermentibacteria,,,5.773502691896259e-06,1.3038404810405294e-06,2.9439202887759477e-07
Candidatus Dadabacteria,,,5.477225575051661e-06,1.9235384061671345e-06,7.187952884282624e-07
Zoopagomycota,,,2.3452078799117152e-05,6.140032573203502e-06,1.0468205831628149e-06
Candidatus Blackallbacteria,,,5.773502691896259e-06,3.1144823004794873e-06,6.952217871538073e-07
Tenericutes,,7.071067811865475e-05,2.3452078799117146e-05,5.93295878967653e-06,2.5460754112948017e-06
Candidatus Thermoplasmatota,,,1.6733200530681514e-05,1.9493588689617917e-06,1.5253414918196724e-06
Candidatus Omnitrophica,,,3.7815340802378075e-05,1.9235384061671345e-06,1.2230426539304907e-06
Atribacterota,,,5e-06,3.391164991562634e-06,4.99165971062398e-07
Candidatus Poribacteria,,,8.944271909999158e-06,2.60768096208106e-06,5e-07
candidate division CPR2,,,,1.4832396974191326e-06,4.4347115652166917e-07
Candidatus Woesearchaeota,,,9.999999999999999e-06,2.23606797749979e-06,5.09901951359278e-07
Candidatus Riflebacteria,,,,1.9235384061671345e-06,3.2015621187164227e-07
Chytridiomycota,,7.071067811865475e-05,3.1304951684997054e-05,1.3867227552759058e-05,1.5121728296285017e-06
Candidatus Moranbacteria,,,5.773502691896259e-06,3.872983346207417e-06,6.652067347825035e-07
Candidatus Korarchaeota,,,,1.51657508881031e-06,3.1091263510296045e-07
Candidatus Latescibacteria,,,2.4999999999999998e-05,1.7888543819998328e-06,9.831920802501752e-07
candidate division WOR-3,,,1.1547005383792516e-05,4.037325847637271e-06,1.0307764064044151e-06
Candidatus Amesbacteria,,,,,1.914854215512676e-07
Candidatus Kaiserbacteria,,,1.0954451150103323e-05,5.805170109479997e-06,6.652067347825033e-07
Candidatus Micrarchaeota,,,,9.57427107756338e-07,1.825741858350554e-07
Apicomplexa,,,2.0736441353327728e-05,7.155417527999328e-06,1.8553975315279473e-06
Cryptomycota,,,9.574271077563381e-06,1.9999999999999995e-06,6.350852961085881e-07
Candidatus Desantisbacteria,,,1.414213562373095e-05,2.1213203435596424e-06,1.4142135623730944e-07
Aquificae,,,1.9235384061671346e-05,5.412947441089743e-06,1.3964240043768938e-06
Candidatus Cloacimonetes,,,1.2909944487358057e-05,1.9999999999999995e-06,1.0874281585465775e-06
Discosea,,,9.999999999999999e-06,5.941380311005179e-06,1.0472185381603345e-06
Candidatus Woesebacteria,,,5.477225575051661e-06,7.231873892705818e-06,6.806859285554052e-07
Candidatus Giovannonibacteria,,,7.0710678118654756e-06,1.3038404810405296e-06,2.629955639676584e-07
Candidatus Schekmanbacteria,,,5e-06,4.03732584763727e-06,1.0045728777279758e-06
Candidatus Heimdallarchaeota,,,5.773502691896259e-06,2.0736441353327718e-06,4.6904157598234304e-07
Heterolobosea,,,5e-06,2.5884358211089563e-06,5.852349955359814e-07
Foraminifera,,,,2.5099800796022264e-06,1.0594810050208546e-06
Candidatus Sumerlaeota,,,5.773502691896259e-06,6.3007936008093454e-06,1.19582607431014e-06
Chrysiogenetes,,,5.773502691896259e-06,2.7748873851023218e-06,7.410578025138572e-07
Candidatus Aenigmarchaeota,,,,2.863564212655271e-06,6.48074069840786e-07
Candidatus Lokiarchaeota,,,,5.128352561983234e-06,4.991659710623981e-07
Candidatus Kapabacteria,,,,4.4721359549995824e-07,3.1091263510296056e-07
Candidatus Thorarchaeota,,,,3.420526275297414e-06,6.244997998398401e-07
Imbricatea,,,,2.7018512172212593e-06,1.707825127659933e-07
Candidatus Daviesbacteria,,,,9.57427107756338e-07,2.6457513110645904e-07
Candidatus Pacebacteria,,,8.366600265340756e-06,2.880972058177586e-06,4.795831523312718e-07
Candidatus Magasanikbacteria,,,,2.073644135332772e-06,4.193248541803041e-07
Candidatus Eisenbacteria,,,,1.414213562373095e-06,9.03696114115064e-07
Candidatus Margulisbacteria,,,7.0710678118654756e-06,3.898717737923585e-06,4.573474244670747e-07
Candidatus Buchananbacteria,,,,,2.1602468994692864e-07
Candidatus Zambryskibacteria,,,,1.816590212458495e-06,5.196152422706632e-07
Olpidiomycota,,,,2.0000000000000003e-06,3.201562118716423e-07
Endomyxa,,,1.5275252316519466e-05,2.7748873851023226e-06,8.995369179009096e-07
Candidatus Bipolaricaulota,,,5e-06,1.9235384061671345e-06,3.2015621187164227e-07
Candidatus Levybacteria,,,,5.773502691896257e-07,2.0615528128088298e-07
Candidatus Raymondbacteria,,,,1.4832396974191326e-06,2.9439202887759493e-07
Perkinsozoa,,,5.773502691896259e-06,3.507135583350036e-06,9.287087810503353e-07
Parabasalia,,,7.0710678118654756e-06,2.7748873851023218e-06,7.500000000000002e-07
Candidatus Absconditabacteria,,,5.773502691896259e-06,1.7888543819998317e-06,2.6457513110645894e-07
candidate division NC10,,,1.5000000000000002e-05,2.3874672772626643e-06,5.560275772537421e-07
Candidatus Roizmanbacteria,,,,1.5165750888103101e-06,4.645786621588785e-07
Candidatus Handelsmanbacteria,,,,1.58113883008419e-06,2.0816659994661323e-07
Candidatus Ryanbacteria,,,,1.0000000000000002e-06,2.160246899469287e-07
Candidatus Terrybacteria,,,,,1.2909944487358055e-07
Candidatus Verstraetearchaeota,,,,5e-07,1e-07
Candidatus Marsarchaeota,,,,,5.773502691896258e-08
Candidatus Goldbacteria,,,,5.773502691896258e-07,5e-08
Candidatus Aureabacteria,,,,2.6457513110645907e-06,1.1547005383792514e-07
Candidatus Muirbacteria,,,,,1.2909944487358055e-07
Candidatus Uhrbacteria,,,,2.9495762407505253e-06,3.5000000000000004e-07
Crenarchaeota,,,5.773502691896259e-06,3.781534080237807e-06,2.5166114784235833e-07
Caldiserica,,,,1.5275252316519466e-06,2.753785273643051e-07
candidate division WWE3,,,,2.160246899469287e-06,5.033222956847167e-07
Candidatus Falkowbacteria,,,,1.3038404810405298e-06,3.7749172176353776e-07
Candidatus Nomurabacteria,,,,1.9235384061671345e-06,4.12310562561766e-07
Candidatus Yanofskybacteria,,,,9.574271077563383e-07,1.707825127659933e-07
Candidatus Coatesbacteria,,,,1.414213562373095e-06,2.6299556396765844e-07
Candidatus Lloydbacteria,,,,,1.5000000000000005e-07
Candidatus Kryptonia,,,,1.414213562373095e-06,2.4494897427831773e-07
Candidatus Gottesmanbacteria,,,7.0710678118654756e-06,5.773502691896259e-07,2.5166114784235833e-07
Blastocladiomycota,,,,1.2247448713915888e-06,4.5734742446707496e-07
Candidatus Hydrothermae,,,,,8.164965809277259e-08
Candidatus Wolfebacteria,,,,7.071067811865475e-07,2.06155281280883e-07
Candidatus Delongbacteria,,,,1.6733200530681514e-06,1.732050807568877e-07
Candidatus Doudnabacteria,,,,1.414213562373095e-06,9.574271077563379e-08
Candidatus Glassbacteria,,,,2.16794833886788e-06,4.5000000000000003e-07
Candidatus Harrisonbacteria,,,,1.414213562373095e-06,2.4494897427831784e-07
Fornicata,,,,2.302172886644268e-06,2.7080128015453216e-07
Candidatus Wallbacteria,,,,5.773502691896257e-07,2.6299556396765834e-07
Cercozoa,,,,2.3021728866442675e-06,3.403429642777023e-07
Candidatus Andersenbacteria,,,,1.0000000000000002e-06,1.7078251276599334e-07
Candidatus Abyssubacteria,,,,2.0736441353327718e-06,7.023769168568493e-07
Candidatus Mcinerneyibacteriota,,,,1.414213562373095e-06,1.7078251276599329e-07
Candidatus Firestonebacteria,,,,1.0000000000000002e-06,1.5000000000000002e-07
Candidatus Staskawiczbacteria,,,,9.574271077563383e-07,1.2909944487358055e-07
Candidatus Altiarchaeota,,,,8.366600265340756e-07,3.7416573867739424e-07
Candidatus Abawacabacteria,,,,7.071067811865475e-07,5e-08
Candidatus Fischerbacteria,,,,9.57427107756338e-07,8.164965809277264e-08
Candidatus Kerfeldbacteria,,,,4.4721359549995787e-07,1.258305739211792e-07
Candidatus Komeilibacteria,,,,4.472135954999579e-07,1.707825127659933e-07
Candidatus Nealsonbacteria,,,,5.773502691896258e-07,2.217355782608345e-07
candidate division LCP-89,,,,1.8929694486000913e-06,3.5e-07
Dictyoglomi,,,,,2.449489742783178e-07
Picozoa,,,,4.472135954999579e-07,8.164965809277259e-08
Candidatus Adlerbacteria,,,,,1.732050807568877e-07
Candidatus Azambacteria,,,,,1.732050807568877e-07
Candidatus Fraserbacteria,,,,,1.5000000000000002e-07
Candidatus Liptonbacteria,,,,,
Candidatus Spechtbacteria,,,,,1.1547005383792514e-07
Candidatus Sungbacteria,,,,1.1547005383792516e-06,5e-08
Candidatus Vogelbacteria,,,,,1.914854215512677e-07
Candidatus Wildermuthbacteria,,,,,1.8257418583505536e-07
Candidatus Odinarchaeota,,,,,8.164965809277259e-08
Coprothermobacterota,,,,,9.57427107756338e-08
Candidatus Taylorbacteria,,,,9.57427107756338e-07,5.773502691896251e-08
Abditibacteriota,,,,8.164965809277261e-07,2.081665999466133e-07
candidate division CPR1,,,,7.071067811865475e-07,9.57427107756338e-08
Candidatus Microgenomates,,,,,1.5e-07
Candidatus Yonathbacteria,,,,,5e-08
Candidatus Kuenenbacteria,,,,,9.57427107756338e-08
Candidatus Tagabacteria,,,,7.071067811865475e-07,1.414213562373095e-07
Candidatus Wirthbacteria,,,,,1.707825127659933e-07
candidate division CPR3,,,,,9.57427107756338e-08
Candidatus Curtissbacteria,,,,,1.7320508075688772e-07
Candidatus Jorgensenbacteria,,,,1.1547005383792516e-06,9.57427107756338e-08
Candidatus Edwardsbacteria,,,,,5.773502691896257e-08
Candidatus Woykebacteria,,,,1.1547005383792516e-06,1.1547005383792514e-07
Nanoarchaeota,,,,1.414213562373095e-06,1.5000000000000002e-07
Candidatus Diapherotrites,,,,,9.57427107756338e-08
Candidatus Beckwithbacteria,,,,,1.2909944487358055e-07
Candidatus Cerribacteria,,,,,
Candidatus Colwellbacteria,,,,,1.707825127659933e-07
Candidatus Collierbacteria,,,,,1.2583057392117916e-07
Candidatus Niyogibacteria,,,,,2.581988897471611e-07
Candidatus Shapirobacteria,,,,,2.98607881119482e-07
Candidatus Eremiobacteraeota,,,,,8.164965809277259e-08
Candidatus Nanohaloarchaeota,,,,,1.2583057392117916e-07
Candidatus Chisholmbacteria,,,,,1e-07
Candidatus Gribaldobacteria,,,,,9.57427107756338e-08
Candidatus Parvarchaeota,,,,,5e-08
candidate division KD3-62,,,,,
Candidatus Blackburnbacteria,,,,,
Candidatus Geothermarchaeota,,,,,
Candidatus Nezhaarchaeota,,,,,
Candidatus Huberarchaea,,,,,
