,Order,read count,relative error
287,Entodiniomorphida,1000,
288,Enterogona,1000,
289,MSBL9,1000,
290,Caldisericales,1000,
291,Oscillatoriales,1000,
292,P.palmC41,1000,
293,Boletales,1000,
294,Pleurocapsales,1000,
295,Monhysterida,1000,
296,Entorrhizales,1000,
297,Absconditabacteriales (SR1),1000,
298,Victivallales,1000,
299,Lachnospirales,1000,
300,uncultured archaeon,1000,
301,Sva0071,1000,
302,Polyporales,1000,
303,Thraustochytrida,1000,
304,Leptolyngbyales,1000,
305,Oligoflexales,1000,
306,Candidatus Saccharimonadales,1000,
307,Marinilabiliales,1000,
308,Candidatus Kaiserbacteria,1000,
309,uncultured marine,1000,
310,Hydrogenedentiales,1000,
311,Desulfurellales,1000,
312,Harpellales,1000,
313,Hypocreales,1000,
314,Chelicerata,1000,
315,Entomoplasmatales,1000,
316,Chlorophyta symbiont of Baikalospongia sp.,1000,
317,Stolidobranchia,1000,
318,Eugregarinorida,1000,
319,Cymatosirales,1000,
320,Pasteurellales,1000,
321,Galaxiiformes,1000,
322,Myriapoda,1000,
323,Thalassiosirales,1000,
324,Bacteroidetes VC2.1 Bac22,1000,
325,uncultured Verrucomicrobia bacterium  ,1000,
326,Polymorphida,1000,
327,Eucarida,1000,
328,ML310M-34,1000,
329,Pseudoscourfieldia marina   ,1000,
330,S-70,1000,
331,Thiomicrospirales,1000,
332,Deinococcales,1000,
333,Rhizosoleniales,1000,
334,Pla4 lineage,1000,
335,Chroococcales,1000,
336,Kitasatosporales,1000,
337,Bifidobacteriales,1000,
338,Amphidiniales,1000,
339,Kickxellales,1000,
340,Fragilariales,1000,
341,Tepidisphaerales,1000,
342,Plecoptera,1000,
343,BD2-11 terrestrial group,1000,
344,Balneolales,1000,
345,Malvales,1000,
346,Maricaulales,1000,
347,Alphaproteobacteria uncultured,1000,
348,Pucciniales,1000,
349,Sericytochromatia,1000,
350,BD7-11,1000,
351,Dothideomycetes,1000,
352,Ktedonobacterales,1000,
353,SS1-B-02-17,1000,
354,Dysteriida,1000,
355,Gracilibacteria,1000,
356,Bivalvia,1000,
357,uncultured crenarchaeote  ,1000,
358,Thiohalorhabdales,1000,
359,Lecanorales,1000,
360,Mucoromycotina sp. WR266-C,1000,
361,Kiritimatiellales,1000,
362,Stephanodiscales,1000,
363,Poecilosclerida,1000,
364,Anura,1000,
365,Zingiberales,1000,
366,Orthoptera,1000,
367,Haliangiales,1000,
368,Granulosicoccales,1000,
369,SubsectionIII,1000,
370,Clitellata,1000,
371,Thalassiophysales,1000,
372,Chlorodendrales,1000,
373,SAR324 clade(Marine group B),1000,
374,Blastocladiales,1000,
375,uncultured rumen bacterium  ,1000,
376,Cantharellales,1000,
377,Neisseriales,1000,
378,Fibrobacterales,1000,
379,Actiniaria,1000,
380,NB1-j,1000,
381,uncultured rhizosphere zygomycete  ,1000,
382,Nostocales,1000,
383,Euplotida,1000,
384,Thermoanaerobacterales,1000,
385,Peptostreptococcales,1000,
386,Bacillariales,1000,
387,Sneathiellales,1000,
388,Sapindales,1000,
389,Candidatus Campbellbacteria,1000,
390,Dasycladales,1000,
391,Dinophysales,1000,
392,Sporidiobolales,1000,
393,Rosales,1000,
394,Geodermatophilales,1000,
395,Siphonostomatoida,1000,
396,Anthoathecata,1000,
397,Bryales,1000,
398,1/21/4136,1000,
399,Caryophyllales,1000,
400,Latescibacterota,1000,
401,Dacrymycetales,1000,
402,Holosporales,1000,
403,Pholidota,1000,
404,possible order 07,1000,
405,uncultured crenarchaeote ,1000,
406,Parvularculales,1000,
407,Chlorosarcinales,1000,
408,Chaetonotida,1000,
409,SHA-43,1000,
410,Acetobacterales,1000,
411,Chaetosphaeriales,1000,
412,Euglyphida,1000,
413,uncultured Parcubacteria group bacterium,1000,
414,Chlorellales,1000,
415,Desmodorida,1000,
416,Gastropoda,1000,
417,Myxozoa,1000,
418,Tremellomycetes,1000,
419,Phylactolaemata,1000,
420,Macrostomida,1000,
421,Rubrobacterales,1000,
422,Ploima,1000,
423,uncultured archaeon   ,1000,
424,Nitrococcales,1000,
425,Nannocystales,1000,
426,Thermales,1000,
427,Subgroup 22,1000,
428,Synchytriales,1000,
429,Aquificales,1000,
430,Thaumatomonadida,1000,
431,Streptosporangiales,1000,
432,Calditrichales,1000,
433,PAUC43f marine benthic group,1000,
434,Gymnodiniales,1000,
435,Gymnodiniphycidae,1000,
436,Cypriniformes,1000,
437,Marinimicrobia (SAR406 clade),1000,
438,Gracilariales,1000,
439,Capsasporidae,1000,
440,Agaricomycetes,1000,
441,UBA10353 marine group,1000,
442,Terriglobales,1000,
443,EC3,1000,
444,Woesearchaeales,1000,
445,uncultured bacterium,1000,
446,Sphaeropleales,1000,
447,Desulfatiglandales,1000,
448,Gloeophyllales,1000,
449,Brassicales,1000,
450,Saccharomycetes,1000,
451,Chlorophyta symbiont of Lubomirskia sp.,1000,
452,Subgroup 10,1000,
453,uncultured marine bacterium,1000,
454,MAST-3,1000,
455,EPR3968-O8a-Bc78,1000,
456,MBAE14,1000,
457,WCHB1-41,1000,
458,Ignavibacteriales,1000,
459,Trechisporales,1000,
460,uncultured Acidobacteria bacterium ,1000,
461,Candidatus Poseidoniales,1000,
462,Pinophyta,1000,
463,Araneae,1000,
464,Harpacticoida,1000,
465,pItb-vmat-80,1000,
466,RCP2-54,1000,
467,Subgroup 26,1000,
468,SubsectionIV,1000,
469,Abeoformidae,1000,
470,PAUC26f,1000,
471,Phoroniformea,1000,
472,Dacrymycetes,1000,
473,uncultured sponge,1000,
474,Pedinellales,1000,
475,Desulfurococcales,1000,
476,Bacteroidia Draconibacteriaceae,1000,
477,CCM11a,1000,
478,aaa34a10,1000,
479,Sporichthyales,1000,
480,Marsupiomonadales,1000,
481,Hymenochaetales,1000,
482,X35,1000,
483,JG30-KF-CM66,1000,
484,Prasiolales,1000,
485,Subgroup 21,1000,
486,Petrotogales,1000,
487,uncultured Bacteroidetes bacterium ,1000,
488,Heterotrichida,1000,
489,SBR1031,1000,
490,Tubulaniformes,1000,
491,Anthozoa,1000,
492,Psocoptera,1000,
493,Protosteliida,1000,
494,Diaporthales,1000,
495,Spirulinales,1000,
496,MAST-12,1000,
497,Neogastropoda,1000,
498,Thermoproteales,1000,
499,Stemonitida,1000,
500,Caedibacterales,1000,
501,H67,1000,
502,uncultured archaeon  ,1000,
503,Synergistales,1000,
504,Deferrisomatales,1000,
505,Nevskiales,1000,
506,Myzostomida,1000,
507,Jakobida,1000,
508,uncultured marine archaeon,1000,
509,uncultured prokaryote ,1000,
510,Vicinamibacterales,1000,
511,KCLunmb-38-53,1000,
512,uncultured Chloroflexi bacterium  ,1000,
513,Arecales,1000,
514,Dadabacteriales,1000,
515,Chlorobiales,1000,
516,Rhizophydiales,1000,
517,Plasmodiophorida,1000,
518,Omnitrophales,1000,
519,Mecoptera,1000,
520,Chitonida,1000,
521,Nitrosococcales,1000,
522,Diplorickettsiales,1000,
523,Subgroup 17,1000,
524,PLTA13,1000,
525,Verrucomicrobia bacterium SCGC,1000,
526,Phthiraptera,1000,
527,Amphitremida,1000,
528,Sulfolobales,1000,
529,Ophiostomatales,1000,
530,Halanaerobiales,1000,
531,Longimicrobiales,1000,
532,Polycladida,1000,
533,Chloroflexales,1000,
534,Gromiida,1000,
535,Pseudanabaenales,1000,
536,Leptocylindrales,1000,
537,Helotiales,1000,
538,Cupressales,1000,
539,Mariprofundales,1000,
540,vadinHA49,1000,
541,Ardenticatenales,1000,
542,Rs-M47,1000,
543,uncultured Banisveld eukaryote  ,1000,
544,Flosculariaceae,1000,
545,uncultured organism  ,1000,
546,Nitrospinales,1000,
547,Pseudoamphisiellida,1000,
548,Glomerellales,1000,
549,Ustilaginales,1000,
550,Blastodiniales,1000,
551,Proteales,1000,
552,UASB-TL25,1000,
553,Mollicutes RF9,1000,
554,Chattonellales,1000,
555,Trueperales,1000,
556,Watanabeales,1000,
557,Desulfarculales,1000,
558,Orbales,1000,
559,Lepetellida,1000,
560,Euzebyales,1000,
561,Limnochordia,1000,
562,Ericales,1000,
563,Fimbriimonadales,1000,
564,Isochrysidales,1000,
565,Arguloida,1000,
566,Saccharimonadales,1000,
567,Pla3 lineage,1000,
568,EM3,1000,
569,Pleuronematida,1000,
570,Monoblepharidales,1000,
571,AT-s3-28,1000,
572,unidentified eubacterium clone BSV85 ,1000,
573,Defferrisomatales,1000,
574,Priapulimorphida,1000,
575,uncultured phototrophic eukaryote  ,1000,
576,Dipodascales,1000,
577,Plagiopylida,1000,
578,AT-s16,1000,
579,Corticiales,1000,
580,Holophagales,1000,
581,Isopoda,1000,
582,Teuthida,1000,
583,Latescibacterales,1000,
584,Biddulphiales,1000,
585,Trichonosema,1000,
586,Cheilostomatida,1000,
587,Parabasalia,1000,
588,Bryopsidales,1000,
589,Myrtales,1000,
590,Candidatus Giovannonibacteria bacterium GW2011_GWB1_43_13,1000,
591,Aphelidium aff. melosirae P-1,1000,
592,Candidatus Pelagibacterales,1000,
593,Sporadotrichida,1000,
594,Liliales,1000,
595,Onygenales,1000,
596,Kineosporiales,1000,
597,Acidaminococcales,1000,
598,Pyrenomonadales,1000,
599,Ctenostomatida,1000,
600,uncultured euryarchaeote,1000,
601,Phaffomycetales,1000,
602,Nudibranchia,1000,
603,Crocodylia,1000,
604,Candidatus Curtissbacteria bacterium GW2011_GWA1_40_47,1000,
605,uncultured Thermomicrobia bacterium  ,1000,
606,Ichthyophonida,1000,
607,Thalassobaculales,1000,
608,Leptomyxida,1000,
609,uncultured eukaryote  ,1000,
610,Batrachospermales,1000,
611,Oligosphaerales,1000,
612,Thermomicrobiales,1000,
613,Leotiomycetes,1000,
614,Geraniales,1000,
615,uncultured Verrucomicrobia subdivision 5 bacterium,1000,
616,Entomobryomorpha,1000,
617,Desertifilales,1000,
618,uncultured diatom   ,1000,
619,Parachela,1000,
620,Scleractinia,1000,
621,Cardiobacteriales,1000,
622,Deferribacterales,1000,
623,S-BQ2-57 soil group,1000,
624,Cristamonadida,1000,
625,Cladosporiales,1000,
626,Bryobacterales,1000,
627,Abditibacteriales,1000,
628,Wallemiales,1000,
629,JG30-KF-CM45,1000,
630,JG30-KF-AS9,1000,
631,uncultured euryarchaeote   ,1000,
632,uncultured freshwater eukaryote  ,1000,
633,Dicranales,1000,
634,Fornicata,1000,
635,Pirsoniales,1000,
636,Suessiales,1000,
637,Galdieriales,1000,
638,Dermaptera,1000,
639,Umbelopsidales,1000,
640,Charales,1000,
641,Mucorales,1000,
642,Thysanoptera,1000,
643,Trichoptera,1000,
644,Urocystidales,1000,
645,Nitriliruptorales,1000,
646,Seguenziida,1000,
647,Ascoideales,1000,
648,AKYG1722,1000,
649,Thermotogales,1000,
650,Picea glauca (white spruce) ,1000,
651,Endogenida,1000,
652,unidentified archaeon ,1000,
653,Coelacanthiformes,1000,
654,Prorocentrales,1000,
655,Thermogemmatisporales,1000,
656,Saccharomycodales,1000,
657,WPS-2,1000,
658,uncultured sediment,1000,
659,Peronosporales,1000,
660,Exobasidiales,1000,
661,Chromulinales,1000,
662,Acidiferrobacterales,1000,
663,Kapabacteriales,1000,
664,Zoraptera,1000,
665,uncultured freshwater cryptophyte  ,1000,
666,Acidobacteriae,1000,
667,Oegopsida,1000,
668,Neobodonida,1000,
669,Lulworthiales,1000,
670,Kallotenuales,1000,
671,Trentepohliales,1000,
672,Noctilucales,1000,
673,Venturiales,1000,
674,Tremellales,1000,
675,RM2-SGM51,1000,
676,Boraginales,1000,
677,uncultured anaerobic bacterium ,1000,
678,Mamiellales,1000,
679,MAST-12C,1000,
680,Taphrinales,1000,
681,MAST-1,1000,
682,Obscuribacterales,1000,
683,Cyathomonadacea,1000,
684,Littorinimorpha,1000,
685,uncultured Chytridiomycota   ,1000,
686,Pneumocystales,1000,
687,mle1-8,1000,
688,Cycloneritida,1000,
689,Tsukubamonadida,1000,
690,C86,1000,
691,Glomerales,1000,
692,Sumerlaeales,1000,
693,Neocallimastigales,1000,
694,Vestibuliferida,1000,
695,Camarodonta,1000,
696,Sh765B-AG-111,1000,
697,Tissierellales,1000,
698,GIF9,1000,
699,uncultured Verrucomicrobia bacterium,1000,
700,Neuroptera,1000,
701,S15A-MN16,1000,
702,Nitrosopumilales,1000,
703,Eubodonida,1000,
704,Septobasidiales,1000,
705,Hemiaulales,1000,
706,Cyanophora paradoxa   ,1000,
707,Peronosporomycetes,1000,
708,Gastranaerophilales,1000,
709,062DZ93 hypersaline microbial mat group,1000,
710,Subgroup 7,1000,
711,Eustigmatales,1000,
712,Isosphaerales,1000,
713,Homosclerophorida,1000,
714,unidentified archaeon,1000,
715,Chaetothyriales,1000,
716,Parvibaculales,1000,
717,WWE3,1000,
718,Celastrales,1000,
719,uncultured proteobacterium  ,1000,
720,Pleurobranchida,1000,
721,uncultured marine group,1000,
722,Mysida,1000,
723,Podocopida,1000,
724,028H05-P-BN-P5,1000,
725,SZB50,1000,
726,Dilleniales,1000,
727,Armatimonadales,1000,
728,Tenderiales,1000,
729,Pezizales,1000,
730,Artiodactyla,1000,
731,Microascales,1000,
732,Heteronemertea,1000,
733,Actinopolysporales,1000,
734,Cucurbitales,1000,
735,Acidilobales,1000,
736,Heterobranchia,1000,
737,Teloschistales,1000,
738,Gomphales,1000,
739,Chroococcidiopsidales,1000,
740,Tetraphidales,1000,
741,Pucciniomycetes,1000,
742,070125-BRIC7-5,1000,
743,Chlamydodontida,1000,
744,Solemyida,1000,
745,Pirsonia,1000,
746,Poecilostomatoida,1000,
747,Bangiales,1000,
748,uncultured microorganism  ,1000,
749,D8A-2,1000,
750,Amphipoda,1000,
751,Sebdeniales,1000,
752,Mesoaciditogales,1000,
753,FS117-23B-02,1000,
754,Monogononta,1000,
755,Peptostreptococcales-Tissierellales,1000,
756,Gelidiales,1000,
757,Limnochordales,1000,
758,uncultured Nitrosopumilales,1000,
759,Surirellales,1000,
760,OLI11255,1000,
761,Laurales,1000,
762,Francisellales,1000,
763,Cystobasidiales,1000,
764,Thelebolales,1000,
765,Anaeroplasmatales,1000,
766,Capilloventrida,1000,
767,Gossypium hirsutum (upland cotton) ,1000,
768,Blfdi19,1000,
769,Rhinebothriidea,1000,
770,Trichinellida,1000,
771,Acorales,1000,
772,Rhabdocoela,1000,
773,Candidatus Moranbacteria,1000,
774,uncultured Acidobacteria bacterium  ,1000,
775,Bursovaginoidea,1000,
776,Acytosteliales,1000,
777,Trichonymphida,1000,
778,UA11,1000,
779,Gregarinasina,1000,
780,Limisphaerales,1000,
781,uncultured planctomycete  ,1000,
782,Pseudonosema,1000,
783,Tetramerocerata,1000,
784,Chlorocystidales,1000,
785,Candidatus Moranbacteria bacterium GW2011_GWD2_37_9,1000,
786,Savoryellales,1000,
787,MBNT15,1000,
788,Blattodea,1000,
789,SAR202 clade,1000,
790,Paracaedibacterales,1000,
791,Nautiliales,1000,
792,Ploimida,1000,
793,Defluviicoccales,1000,
794,Lichinales,1000,
795,Schekmanbacteria,1000,
796,Candidatus Nomurabacteria bacterium GW2011_GWC2_42_20,1000,
797,Phyllodocida,1000,
798,NB1-n,1000,
799,Porphyridiales,1000,
800,Archaeoglobales,1000,
801,Bacillariophyceae,1000,
802,Mastigamoebida,1000,
803,Mycosphaerellales,1000,
804,Ranunculales,1000,
805,Cephalaspidea,1000,
806,Laminariales,1000,
807,SHBZ1548,1000,
808,Choreotrichida,1000,
809,Candidatus Azambacteria,1000,
810,Margulisbacteria,1000,
811,Milano-WF1B-44,1000,
812,Ulvales,1000,
813,Acidithiobacillales,1000,
814,Solanum lycopersicum (tomato)  ,1000,
815,Methylomirabilales,1000,
816,Cyanidiales,1000,
817,Physariida,1000,
818,Nucleophaga,1000,
819,Chondrillida,1000,
820,Izemoplasmatales,1000,
821,Rhizomastix,1000,
822,Apusomonadida,1000,
823,Eunotiales,1000,
824,TRA3-20,1000,
825,Calanoida,1000,
826,EV818SWSAP88,1000,
827,CK-1C2-67,1000,
828,Odonata,1000,
829,Leptostraca,1000,
830,Apiales,1000,
831,JTB23,1000,
832,Acoelomorpha,1000,
833,wastewater metagenome  ,1000,
834,Eunicida,1000,
835,Coxiellales,1000,
836,Methanococcales,1000,
837,SC-I-84,1000,
838,Candidatus Sumerlaeales,1000,
839,Terrestrial Miscellaneous Gp(TMCG),1000,
840,0319-6G20,1000,
841,Enoplida,1000,
842,unidentified marine bacterioplankton ,1000,
843,Veillonellales-Selenomonadales,1000,
844,Candidatus Berkiellales,1000,
845,Chaetophorales,1000,
846,Priapulida,1000,
847,uncultured marine bacterium ,1000,
848,MSB-3A7 sediment group,1000,
849,Candidatus Aminicenantales,1000,
850,Haloplasmatales,1000,
851,uncultured gamma proteobacterium  ,1000,
852,Veillonellales,1000,
853,Steroidobacterales,1000,
854,uncultured Chloroflexi bacterium ,1000,
855,Selaginellales,1000,
856,Barbatosporales,1000,
857,Hildenbrandiales,1000,
858,Pla1 lineage,1000,
859,Lineage IIb,1000,
860,Gloeochaetales,1000,
861,vadinBA26,1000,
862,Chromadorea,1000,
863,Zygnematales,1000,
864,Parcubacteria,1000,
865,Dactylogyridea,1000,
866,Opitutae vadinHA64,1000,
867,Diphyllobothriidea,1000,
868,ANME-1,1000,
869,uncultured Acidobacteriales bacterium ,1000,
870,Longamoebia,1000,
871,Brocadiales,1000,
872,Agaricostilbales,1000,
873,ADurb.Bin180,1000,
874,MB-A2-108,1000,
875,Candidatus Magasanikbacteria bacterium GW2011_GWC2_40_17,1000,
876,Saprolegniales,1000,
877,Glycomycetales,1000,
878,Candidatus Peregrinibacteria,1000,
879,Malawimonadida,1000,
880,Plectida,1000,
881,Lineage I,1000,
882,Gammaproteobacteria Unknown Family,1000,
883,Mediophyceae,1000,
884,Geobacterales,1000,
885,Solanum melongena (eggplant)  ,1000,
886,Nephroselmidales,1000,
887,Candidatus Obscuribacterales,1000,
888,Subgroup 23,1000,
889,Pertusariales,1000,
890,Caliciales,1000,
891,Candidatus Daviesbacteria bacterium GW2011_GWA1_41_61,1000,
892,MAST-8,1000,
893,IMCC26256,1000,
894,Chlorokybales,1000,
895,Anaerosomatales,1000,
896,Peptococcales,1000,
897,R7C24,1000,
898,Textulariida,1000,
899,Tintinnida,1000,
900,SCM37C52,1000,
901,Dehalococcoidales,1000,
902,Perissodactyla,1000,
903,WCHB1-81,1000,
904,Subgroup 18,1000,
905,Ectothiorhodospirales,1000,
906,Archaeosporales,1000,
907,Zixibacteria,1000,
908,unidentified marine bacterioplankton  ,1000,
909,FW22,1000,
910,Notothyladales,1000,
911,Chitinivibrionales,1000,
912,Parcubacteria bacterium C7867-005 ,1000,
913,HTA4,1000,
914,Dolichomastigales,1000,
915,Ancyromonadida,1000,
916,Nymphaeales,1000,
917,Licnophorida,1000,
918,Rhodymeniales,1000,
919,Mobilida,1000,
920,Candidatus Izemoplasmatales,1000,
921,Terrimicrobiales,1000,
922,Peltigerales,1000,
923,Fervidicoccales,1000,
924,RBG-16-55-12,1000,
925,Oedogoniales,1000,
926,Polypodiales,1000,
927,uncultured thaumarchaeote ,1000,
928,Ahnfeltiales,1000,
929,Nephromycida,1000,
930,ST-12K10A,1000,
931,BD72BR169,1000,
932,Micropepsales,1000,
933,PS-B29,1000,
