,family,read count,relative error,type
1411,Hyphomonadaceae,10000,0.576012259814659,Kaiju
1412,Ectothiorhodospiraceae,10000,0.3903262361629295,Kaiju
1413,Caulobacteraceae,10000,0.8660254037844386,Kaiju
1414,Rhizobiaceae,10000,0.4385290096535146,Kaiju
1416,Gomphonemataceae,10000,0.5163977794943222,Kaiju
1417,Methylobacteriaceae,10000,0.4330127018922193,Kaiju
1418,Gemmatimonadaceae,10000,0.4330127018922193,Kaiju
1419,Saccharospirillaceae,10000,0.1428571428571429,Kaiju
1421,Litoricolaceae,10000,0.2833047711233618,Kaiju
1424,Cellvibrionaceae,10000,0.3033894348085531,Kaiju
1425,Rubricoccaceae,10000,0.5014627042462879,Kaiju
1426,Crocinitomicaceae,10000,0.0772520675739131,Kaiju
1429,Devosiaceae,10000,0.2222222222222221,Kaiju
1430,Viruses,10000,0.1777006835137606,Kaiju
1431,Chromatiaceae,10000,0.0982909849223394,Kaiju
1432,Streptomycetaceae,10000,0.5590169943749475,Kaiju
1433,Prolixibacteraceae,10000,0.3090082702956526,Kaiju
1434,Haliscomenobacteraceae,10000,0.4385290096535147,Kaiju
1435,Bernardetiaceae,10000,0.5590169943749473,Kaiju
1436,Planctomycetaceae,10000,0.2614562582918986,Kaiju
1437,Alcaligenaceae,10000,0.5592469952052408,Kaiju
1439,Phaeodactylaceae,10000,0.4568853764411656,Kaiju
1440,Rhodospirillaceae,10000,0.5303300858899106,Kaiju
1441,Hyphomicrobiaceae,10000,0.2780915670973506,Kaiju
1443,Oxalobacteraceae,10000,0.7505142270059053,Kaiju
1444,Aeromonadaceae,10000,0.3535533905932737,Kaiju
1445,Bacillaceae,10000,0.4677071733467426,Kaiju
1446,Flammeovirgaceae,10000,0.7243558228002944,Kaiju
1448,Plagiogrammaceae,10000,0.3912303982179758,Kaiju
1450,Amphipleuraceae,10000,0.2222222222222221,Kaiju
1451,Anaerolineaceae,10000,0.3849001794597504,Kaiju
1453,Bathycoccaceae,10000,0.3640110661046168,Kaiju
1454,Arenicellaceae,10000,0.3510981290092154,Kaiju
1455,Spongiibacteraceae,10000,0.5085476277156077,Kaiju
1457,Hymenobacteraceae,10000,0.3458305443885759,Kaiju
1458,Leptolyngbyaceae,10000,0.4999999999999999,Kaiju
1460,Roseivirgaceae,10000,0.5832981110808886,Kaiju
1461,Robiginitomaculaceae,10000,0.4212708580028639,Kaiju
1462,Thalassobaculaceae,10000,0.5590169943749473,Kaiju
1463,Spirosomaceae,10000,0.4345982849074503,Kaiju
1464,Porticoccaceae,10000,0.3651150293542242,Kaiju
1465,Reichenbachiellaceae,10000,0.2988071523335984,Kaiju
1466,Rickettsiaceae,10000,0.2557309823136435,Kaiju
1469,Sphingobacteriaceae,10000,0.4240600588095458,Kaiju
1470,Nocardioidaceae,10000,0.5342912389583809,Kaiju
1473,Paenibacillaceae,10000,0.4750730937913074,Kaiju
1474,Pleurosigmataceae,10000,0.5297284633639759,Kaiju
1475,Nitrosomonadaceae,10000,1.0,Kaiju
1476,Desulfuromonadaceae,10000,0.3999999999999999,Kaiju
1477,Alcanivoracaceae,10000,0.1608961589488606,Kaiju
1478,Hahellaceae,10000,0.2857142857142857,Kaiju
1479,Bacteriovoracaceae,10000,0.4330127018922193,Kaiju
1482,Granulosicoccaceae,10000,0.4330127018922193,Kaiju
1483,Schleiferiaceae,10000,0.4082482904638629,Kaiju
1484,Chromobacteriaceae,10000,0.5,Kaiju
1485,Ilumatobacteraceae,10000,0.2595073127459418,Kaiju
1487,Lacipirellulaceae,10000,0.5832981110808886,Kaiju
1488,Fulvivirgaceae,10000,0.838525491562421,Kaiju
1489,Marivirgaceae,10000,0.8485281374238571,Kaiju
1490,Weeksellaceae,10000,0.7200822998230955,Kaiju
1492,Stappiaceae,10000,0.8473447229934077,Kaiju
1494,Marinobacteraceae,10000,0.3118047822311617,Kaiju
1495,Chitinophagaceae,10000,0.5235475903822737,Kaiju
1497,Enterobacteriaceae,10000,0.6606874726434099,Kaiju
1498,Pseudonocardiaceae,10000,0.3849001794597504,Kaiju
1500,Methylophilaceae,10000,0.3803000120609434,Kaiju
1501,Piscirickettsiaceae,10000,0.7692307692307693,Kaiju
1505,Nitrosopumilaceae,10000,0.4648111258522642,Kaiju
1506,Sneathiellaceae,10000,0.4714045207910316,Kaiju
1508,Woeseiaceae,10000,0.3423265984407287,Kaiju
1513,Puniceicoccaceae,10000,0.308287726505694,Kaiju
1514,Methylococcaceae,10000,0.0952380952380951,Kaiju
1515,Streptococcaceae,10000,0.4,Kaiju
1523,Stauroneidaceae,10000,0.4999999999999999,Kaiju
1525,Akkermansiaceae,10000,0.7071067811865475,Kaiju
1526,Rubritaleaceae,10000,0.3637652289278589,Kaiju
1527,Wenzhouxiangellaceae,10000,0.5832981110808886,Kaiju
1531,Flexibacteraceae,10000,0.4074501503251656,Kaiju
1533,Xanthomonadaceae,10000,0.5493480360811602,Kaiju
1534,Oleiphilaceae,10000,0.4824734316466535,Kaiju
1535,Psychromonadaceae,10000,0.4259177099999599,Kaiju
1536,Thiotrichaceae,10000,0.3702935955951378,Kaiju
1537,Aurantimonadaceae,10000,0.6085806194501845,Kaiju
1538,Desulfocapsaceae,10000,0.5400617248673217,Kaiju
1539,Acetobacteraceae,10000,0.3803000120609434,Kaiju
1540,Nostocaceae,10000,0.5773502691896256,Kaiju
1541,Rhodocyclaceae,10000,0.4648111258522642,Kaiju
1542,Marinilabiliaceae,10000,0.4948716593053934,Kaiju
1543,Geminigeraceae,10000,0.5,Kaiju
1544,Kordiimonadaceae,10000,0.5471012044321931,Kaiju
1545,Rhodanobacteraceae,10000,0.4430361065822256,Kaiju
1546,Sulfurovaceae,10000,0.6388765649999397,Kaiju
1547,Pasteurellaceae,10000,0.4,Kaiju
1548,Bacteroidaceae,10000,0.4255231590028169,Kaiju
1550,Saprolegniaceae,10000,0.4330127018922193,Kaiju
1551,Clostridiaceae,10000,0.3803000120609434,Kaiju
1552,Salpingoecidae,10000,0.4714045207910316,Kaiju
1553,Intrasporangiaceae,10000,0.4082482904638629,Kaiju
1554,Nocardiaceae,10000,0.2484519974999766,Kaiju
1556,Cytophagaceae,10000,0.7288689868556626,Kaiju
1557,Euplotidae,10000,0.4714045207910316,Kaiju
1560,Lachnospiraceae,10000,0.4,Kaiju
1561,Idiomarinaceae,10000,0.5590169943749473,Kaiju
1562,Monodopsidaceae,10000,0.4,Kaiju
1563,Sinobacteraceae,10000,0.3333333333333333,Kaiju
1564,Vicingaceae,10000,0.4714045207910316,Kaiju
1565,Ahrensiaceae,10000,0.3535533905932737,Kaiju
1566,Azospirillaceae,10000,0.5592469952052408,Kaiju
1568,Polyangiaceae,10000,0.6928203230275509,Kaiju
1569,Legionellaceae,10000,0.8571428571428571,Kaiju
1570,Micrococcaceae,10000,0.4714045207910316,Kaiju
1575,Micromonosporaceae,10000,0.4,Kaiju
1581,Francisellaceae,10000,0.4082482904638629,Kaiju
1584,Pycnococcaceae,10000,0.4330127018922193,Kaiju
1590,Rubrobacteraceae,10000,0.4714045207910316,Kaiju
1597,Prevotellaceae,10000,0.4330127018922193,Kaiju
1600,Eunotiaceae,10000,0.8660254037844386,Kaiju
1608,Moritellaceae,10000,0.3849001794597504,Kaiju
1610,Noelaerhabdaceae,10000,0.4330127018922193,Kaiju
1613,Anaulaceae,10000,0.4330127018922193,Kaiju
1617,Cohaesibacteraceae,10000,0.4330127018922193,Kaiju
1618,Phycisphaeraceae,10000,0.5,Kaiju
1622,Candidatus Midichloriaceae,10000,0.504608392349582,Kaiju
1623,Stephanodiscaceae,10000,0.4714045207910316,Kaiju
1627,Microbulbiferaceae,10000,0.7243558228002943,Kaiju
1638,Zoogloeaceae,10000,0.4948716593053934,Kaiju
1640,Endozoicomonadaceae,10000,0.3849001794597504,Kaiju
1644,Lichenibacteriaceae,10000,0.4714045207910316,Kaiju
1648,Maricaulaceae,10000,0.5590169943749473,Kaiju
1654,Perlucidibacaceae,10000,0.4330127018922193,Kaiju
1657,Brachyspiraceae,10000,0.5,Kaiju
1658,Desulfovibrionaceae,10000,0.6928203230275509,Kaiju
1659,Staurosiraceae,10000,0.4082482904638629,Kaiju
1661,Coxiellaceae,10000,0.3849001794597504,Kaiju
1662,Coleofasciculaceae,10000,0.3849001794597504,Kaiju
1666,Corynebacteriaceae,10000,0.4330127018922193,Kaiju
1669,Peronosporaceae,10000,0.4714045207910316,Kaiju
1670,Mortierellaceae,10000,0.4714045207910316,Kaiju
1678,Cellulomonadaceae,10000,0.6928203230275509,Kaiju
1686,Nitrospiraceae,10000,0.4714045207910316,Kaiju
1701,Marinifilaceae,10000,0.3849001794597504,Kaiju
1705,Kangiellaceae,10000,0.4,Kaiju
1713,Rhodovibrionaceae,10000,0.7071067811865475,Kaiju
1714,Rhizosoleniaceae,10000,0.4330127018922193,Kaiju
1729,Verrucomicrobia subdivision 3,10000,0.4330127018922193,Kaiju
1737,Berkeleyaceae,10000,0.4330127018922193,Kaiju
1743,Chroococcaceae,10000,0.4714045207910316,Kaiju
1744,Hyellaceae,10000,0.4330127018922193,Kaiju
2744,Flavobacteriaceae,100000,0.0227090500440829,Kaiju
2745,Pseudoalteromonadaceae,100000,0.0258011266981829,Kaiju
2746,Roseobacteraceae,100000,0.0252693371453855,Kaiju
2747,Oceanospirillaceae,100000,0.0182808929148394,Kaiju
2748,Alteromonadaceae,100000,0.0204735907429923,Kaiju
2749,Rhodobacteraceae,100000,0.0234341066531926,Kaiju
2750,Erythrobacteraceae,100000,0.0346184329771748,Kaiju
2751,Pelagibacteraceae,100000,0.0668748158627439,Kaiju
2752,Vibrionaceae,100000,0.1001092697466764,Kaiju
2753,Colwelliaceae,100000,0.0440199868775144,Kaiju
2754,Moraxellaceae,100000,0.0485531995388182,Kaiju
2755,Shewanellaceae,100000,0.0285165798736508,Kaiju
2756,Lewinellaceae,100000,0.0777158738911104,Kaiju
2757,Thalassiosiraceae,100000,0.0504423185125121,Kaiju
2758,Halieaceae,100000,0.0500356727885217,Kaiju
2759,Pirellulaceae,100000,0.02506383377161,Kaiju
2760,Chlorellaceae,100000,0.1084313606596011,Kaiju
2761,Sphingomonadaceae,100000,0.0617649835022671,Kaiju
2762,Chaetocerotaceae,100000,0.0532236547997308,Kaiju
2763,Comamonadaceae,100000,0.0828354015795581,Kaiju
2764,Microbacteriaceae,100000,0.0882766923381883,Kaiju
2765,Saprospiraceae,100000,0.2595819957161898,Kaiju
2766,Burkholderiaceae,100000,0.1185062665875422,Kaiju
2767,Pseudomonadaceae,100000,0.0362876837060583,Kaiju
2768,Verrucomicrobiaceae,100000,0.069132291911597,Kaiju
2769,Desulfobacteraceae,100000,0.0857300383362575,Kaiju
2770,Desulfobulbaceae,100000,0.1662723754432429,Kaiju
2771,Geobacteraceae,100000,0.2914142894486415,Kaiju
2772,Cryomorphaceae,100000,0.0372372705297863,Kaiju
2773,Cyclobacteriaceae,100000,0.0192679829066058,Kaiju
2774,Synechococcaceae,100000,0.2018009601945377,Kaiju
2775,Mycobacteriaceae,100000,0.1244715027690096,Kaiju
2776,Halomonadaceae,100000,0.1113552872566004,Kaiju
2777,Skeletonemataceae,100000,0.132846044823865,Kaiju
2778,Bacillariaceae,100000,0.0616524860599259,Kaiju
2779,Bradyrhizobiaceae,100000,0.2262289064927174,Kaiju
2780,Mamiellaceae,100000,0.1099312688840725,Kaiju
2781,Naviculaceae,100000,0.0155112142340423,Kaiju
2782,Phyllobacteriaceae,100000,0.1591198365209621,Kaiju
2783,Hyphomonadaceae,100000,0.0856626442807691,Kaiju
2784,Ectothiorhodospiraceae,100000,0.092236556870202,Kaiju
2785,Caulobacteraceae,100000,0.1217948504981955,Kaiju
2786,Rhizobiaceae,100000,0.0885092489946122,Kaiju
2787,Suessiaceae,100000,0.4803844614152612,Kaiju
2788,Gomphonemataceae,100000,0.3570082212855374,Kaiju
2789,Methylobacteriaceae,100000,0.3362352336139944,Kaiju
2790,Gemmatimonadaceae,100000,0.4332632154809462,Kaiju
2791,Saccharospirillaceae,100000,0.2155638282744966,Kaiju
2792,Nitrospinaceae,100000,0.2671581119676575,Kaiju
2793,Litoricolaceae,100000,0.1149916214989221,Kaiju
2795,Ferrovaceae,100000,0.2857142857142857,Kaiju
2796,Cellvibrionaceae,100000,0.0708679948042201,Kaiju
2797,Rubricoccaceae,100000,0.0864080982124669,Kaiju
2798,Crocinitomicaceae,100000,0.0929901212926901,Kaiju
2800,Pleioneaceae,100000,0.2568505834570406,Kaiju
2801,Devosiaceae,100000,0.3355247675935661,Kaiju
2802,Viruses,100000,0.0467618778564594,Kaiju
2803,Chromatiaceae,100000,0.1141806711699586,Kaiju
2804,Streptomycetaceae,100000,0.1116922160302559,Kaiju
2805,Prolixibacteraceae,100000,0.1075585169369014,Kaiju
2806,Haliscomenobacteraceae,100000,0.2857903713627112,Kaiju
2807,Bernardetiaceae,100000,0.1230892574801358,Kaiju
2808,Planctomycetaceae,100000,0.0265818864874002,Kaiju
2809,Alcaligenaceae,100000,0.1856953381770519,Kaiju
2810,Hoehnelomycetaceae,100000,0.4714045207910316,Kaiju
2811,Phaeodactylaceae,100000,0.0549022290451706,Kaiju
2812,Rhodospirillaceae,100000,0.1007931494903309,Kaiju
2813,Hyphomicrobiaceae,100000,0.0509546552162158,Kaiju
2814,Oxytrichidae,100000,0.2894378179176265,Kaiju
2815,Oxalobacteraceae,100000,0.1799135154310176,Kaiju
2816,Aeromonadaceae,100000,0.4388186015820937,Kaiju
2817,Bacillaceae,100000,0.1591730625832521,Kaiju
2818,Flammeovirgaceae,100000,0.1239317748214506,Kaiju
2820,Plagiogrammaceae,100000,0.2779420947266512,Kaiju
2821,Symbiodiniaceae,100000,0.1303302178848729,Kaiju
2822,Amphipleuraceae,100000,0.3061668897401958,Kaiju
2823,Anaerolineaceae,100000,0.2682138481640832,Kaiju
2825,Bathycoccaceae,100000,0.0718848725416538,Kaiju
2826,Arenicellaceae,100000,0.1075642561641749,Kaiju
2827,Spongiibacteraceae,100000,0.1438020514387685,Kaiju
2828,Isosphaeraceae,100000,0.5638320444906122,Kaiju
2829,Hymenobacteraceae,100000,0.0789573132933501,Kaiju
2830,Leptolyngbyaceae,100000,0.2653405608377325,Kaiju
2831,Emcibacteraceae,100000,0.3949109157518466,Kaiju
2832,Roseivirgaceae,100000,0.1578613931313063,Kaiju
2833,Robiginitomaculaceae,100000,0.1902938874925083,Kaiju
2834,Thalassobaculaceae,100000,0.1162027814630661,Kaiju
2835,Spirosomaceae,100000,0.0573955526452318,Kaiju
2836,Porticoccaceae,100000,0.1528109829601703,Kaiju
2837,Reichenbachiellaceae,100000,0.1146122739656875,Kaiju
2838,Rickettsiaceae,100000,0.1279204298133662,Kaiju
2841,Sphingobacteriaceae,100000,0.1253008763628072,Kaiju
2842,Nocardioidaceae,100000,0.1403199812342694,Kaiju
2843,Promicromonosporaceae,100000,0.7468943965979539,Kaiju
2845,Paenibacillaceae,100000,0.3808577122439217,Kaiju
2846,Pleurosigmataceae,100000,0.1403763955270895,Kaiju
2847,Nitrosomonadaceae,100000,0.2569340171391038,Kaiju
2848,Desulfuromonadaceae,100000,0.2062823655751653,Kaiju
2849,Alcanivoracaceae,100000,0.1080490993006086,Kaiju
2850,Hahellaceae,100000,0.5994789404140899,Kaiju
2851,Bacteriovoracaceae,100000,0.5144592961031405,Kaiju
2852,Cyanidiaceae,100000,0.3464101615137754,Kaiju
2853,Ferrimonadaceae,100000,0.3999999999999999,Kaiju
2854,Granulosicoccaceae,100000,0.2651448345051176,Kaiju
2855,Schleiferiaceae,100000,0.3098740839015095,Kaiju
2856,Chromobacteriaceae,100000,0.1652428152317591,Kaiju
2857,Ilumatobacteraceae,100000,0.1354370527819923,Kaiju
2858,Amorphaceae,100000,0.3162277660168379,Kaiju
2859,Lacipirellulaceae,100000,0.1224744871391589,Kaiju
2860,Fulvivirgaceae,100000,0.0389755977788952,Kaiju
2861,Marivirgaceae,100000,0.3141687461885185,Kaiju
2862,Weeksellaceae,100000,0.0438316499656158,Kaiju
2863,Arcobacteraceae,100000,0.2549509756796392,Kaiju
2864,Stappiaceae,100000,0.2935736975156593,Kaiju
2866,Marinobacteraceae,100000,0.0526656305293429,Kaiju
2867,Chitinophagaceae,100000,0.2329092455144228,Kaiju
2868,Archangiaceae,100000,0.4074501503251655,Kaiju
2869,Enterobacteriaceae,100000,0.2090662910515052,Kaiju
2870,Pseudonocardiaceae,100000,0.2875509802185708,Kaiju
2871,Pythiaceae,100000,0.5,Kaiju
2872,Methylophilaceae,100000,0.0698771242968684,Kaiju
2873,Piscirickettsiaceae,100000,0.2332095436656222,Kaiju
2876,Chlorobiaceae,100000,0.5134898976610932,Kaiju
2877,Nitrosopumilaceae,100000,0.1792654619833764,Kaiju
2878,Sneathiellaceae,100000,0.2311103411704425,Kaiju
2880,Woeseiaceae,100000,0.2569340171391038,Kaiju
2881,Lentimicrobiaceae,100000,0.2857142857142857,Kaiju
2884,Kaistiaceae,100000,0.588235294117647,Kaiju
2885,Puniceicoccaceae,100000,0.0786512850411072,Kaiju
2886,Methylococcaceae,100000,0.1453731368781421,Kaiju
2887,Streptococcaceae,100000,0.331644552787437,Kaiju
2889,Gordoniaceae,100000,0.2988071523335984,Kaiju
2891,Nectriaceae,100000,0.6085806194501845,Kaiju
2892,Peptococcaceae,100000,0.3431159160632973,Kaiju
2893,Deferribacteraceae,100000,0.3464101615137754,Kaiju
2894,Licmophoraceae,100000,0.4999999999999999,Kaiju
2895,Stauroneidaceae,100000,0.4865042554105199,Kaiju
2896,Methylothermaceae,100000,0.5590169943749473,Kaiju
2897,Akkermansiaceae,100000,0.1885618083164126,Kaiju
2898,Rubritaleaceae,100000,0.0920487645084458,Kaiju
2899,Wenzhouxiangellaceae,100000,0.2297841043651985,Kaiju
2900,Balneolaceae,100000,0.5770069148510867,Kaiju
2901,Morganellaceae,100000,0.2813517196857561,Kaiju
2902,Azonexaceae,100000,0.7975554366664508,Kaiju
2903,Flexibacteraceae,100000,0.0810840425684199,Kaiju
2904,Stellaceae,100000,0.4948716593053934,Kaiju
2905,Xanthomonadaceae,100000,0.0918455536282601,Kaiju
2906,Oleiphilaceae,100000,0.0336250823684179,Kaiju
2907,Psychromonadaceae,100000,0.1722244837215107,Kaiju
2908,Thiotrichaceae,100000,0.1293804164743415,Kaiju
2909,Aurantimonadaceae,100000,0.3168840678629552,Kaiju
2910,Desulfocapsaceae,100000,0.065766705220582,Kaiju
2911,Acetobacteraceae,100000,0.2415176493882181,Kaiju
2912,Nostocaceae,100000,0.2838422206966399,Kaiju
2913,Rhodocyclaceae,100000,0.3440104580768906,Kaiju
2914,Marinilabiliaceae,100000,0.2108185106778919,Kaiju
2915,Geminigeraceae,100000,0.0771440221838262,Kaiju
2916,Kordiimonadaceae,100000,0.5680885218952251,Kaiju
2917,Rhodanobacteraceae,100000,0.1846686705359937,Kaiju
2918,Sulfurovaceae,100000,0.3234120221587588,Kaiju
2919,Pasteurellaceae,100000,0.3001759508508931,Kaiju
2920,Bacteroidaceae,100000,0.2101147292456752,Kaiju
2921,Volvocaceae,100000,0.8385254915624212,Kaiju
2922,Saprolegniaceae,100000,0.3513641844631532,Kaiju
2923,Clostridiaceae,100000,0.3523893192001432,Kaiju
2924,Salpingoecidae,100000,0.6986885432532675,Kaiju
2925,Intrasporangiaceae,100000,0.4193699290716955,Kaiju
2926,Nocardiaceae,100000,0.3762099593551526,Kaiju
2927,Amoebophryaceae,100000,0.3333333333333333,Kaiju
2928,Cytophagaceae,100000,0.1700833225823282,Kaiju
2929,Euplotidae,100000,0.5,Kaiju
2930,Rhodobiaceae,100000,0.6666666666666666,Kaiju
2932,Lachnospiraceae,100000,0.2466074879701454,Kaiju
2933,Idiomarinaceae,100000,0.3131936745494356,Kaiju
2934,Monodopsidaceae,100000,0.447213595499958,Kaiju
2935,Sinobacteraceae,100000,0.4337612118750772,Kaiju
2936,Vicingaceae,100000,0.3464101615137754,Kaiju
2937,Ahrensiaceae,100000,0.3987844051145156,Kaiju
2938,Azospirillaceae,100000,0.2314550249431379,Kaiju
2939,Myxococcaceae,100000,0.4712827580301754,Kaiju
2940,Polyangiaceae,100000,0.4269562819149832,Kaiju
2941,Legionellaceae,100000,0.208109579775117,Kaiju
2942,Micrococcaceae,100000,0.2838422206966398,Kaiju
2943,Thermomonosporaceae,100000,0.3440104580768907,Kaiju
2944,Chlamydomonadaceae,100000,0.6774838558962125,Kaiju
2945,Scenedesmaceae,100000,0.4330127018922193,Kaiju
2947,Micromonosporaceae,100000,0.3566776344421424,Kaiju
2948,Bifidobacteriaceae,100000,0.4082482904638629,Kaiju
2949,Methylocystaceae,100000,0.1992047682223989,Kaiju
2951,Fragilariaceae,100000,0.5926547641093316,Kaiju
2952,Lactobacillaceae,100000,0.331644552787437,Kaiju
2953,Francisellaceae,100000,0.1162812067817479,Kaiju
2954,Ostreobiaceae,100000,0.4330127018922193,Kaiju
2956,Pycnococcaceae,100000,0.2960662473000898,Kaiju
2957,Hemidiscaceae,100000,0.3999999999999999,Kaiju
2958,Cymatosiraceae,100000,0.7071067811865476,Kaiju
2959,Campylobacteraceae,100000,0.5863019699779286,Kaiju
2960,Kineosporiaceae,100000,0.3803000120609434,Kaiju
2961,Acidimicrobiaceae,100000,0.1766846959694083,Kaiju
2962,Rubrobacteraceae,100000,0.4620591115750577,Kaiju
2963,Geodermatophilaceae,100000,0.4757381033468589,Kaiju
2964,Crenotrichaceae,100000,0.7071067811865475,Kaiju
2965,Gallionellaceae,100000,0.3840081732097725,Kaiju
2966,Brucellaceae,100000,0.4212708580028639,Kaiju
2967,Opitutaceae,100000,0.2359456288242035,Kaiju
2968,Leptocylindraceae,100000,0.1044534998182488,Kaiju
2969,Prevotellaceae,100000,0.7302335223953478,Kaiju
2970,Deinococcaceae,100000,0.5527707983925666,Kaiju
2972,Eunotiaceae,100000,0.288972919311356,Kaiju
2974,Acidobacteriaceae,100000,0.3912303982179758,Kaiju
2975,Biddulphiaceae,100000,0.6741998624632421,Kaiju
2976,Desulfohalobiaceae,100000,0.5590169943749473,Kaiju
2977,Syntrophaceae,100000,0.7071067811865475,Kaiju
