,taxon_id,1K_1-phylum,1K_2-phylum,1K_3-phylum,1K_4-phylum,1K_5-phylum,10K_1-phylum,10K_2-phylum,10K_3-phylum,10K_4-phylum,10K_5-phylum,100K_1-phylum,100K_2-phylum,100K_3-phylum,100K_4-phylum,100K_5-phylum,1M_1-phylum,1M_2-phylum,1M_3-phylum,1M_4-phylum,1M_5-phylum,10M_1-phylum,10M_3-phylum,10M_4-phylum,10M_5-phylum
Firmicutes,1239.0,1.0,1.0,1.0,2.0,4.0,17.0,16.0,19.0,16.0,21.0,146.0,167.0,135.0,124.0,142.0,1363.0,1370.0,1358.0,1432.0,1393.0,13817.0,13609.0,13739.0,13839.0
Spirochaetes,203691.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,2.0,2.0,34.0,33.0,28.0,30.0,29.0,308.0,334.0,281.0,304.0,269.0,3146.0,3186.0,3147.0,3083.0
Nitrospinae,1293497.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,9.0,13.0,12.0,5.0,8.0,92.0,82.0,79.0,93.0,80.0,848.0,845.0,856.0,842.0
Candidatus Peregrinibacteria,1619053.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,14.0,10.0,9.0,12.0,101.0,121.0,98.0,107.0
Rhodothermaeota,1853220.0,1.0,2.0,0.0,2.0,1.0,10.0,9.0,2.0,6.0,5.0,53.0,67.0,65.0,65.0,65.0,631.0,675.0,694.0,675.0,631.0,6529.0,6481.0,6554.0,6528.0
Candidatus Dormibacteraeota,2052312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,13.0,19.0,20.0,18.0
Viruses,10239.0,1.0,0.0,1.0,3.0,0.0,12.0,11.0,11.0,16.0,11.0,97.0,109.0,109.0,106.0,105.0,1082.0,1068.0,1092.0,999.0,982.0,10473.0,10331.0,10449.0,10484.0
cannot be assigned to a (non-viral) phylum,nan,9.0,8.0,10.0,19.0,8.0,99.0,98.0,97.0,86.0,99.0,937.0,983.0,984.0,1003.0,950.0,9984.0,9756.0,9987.0,9690.0,9797.0,98294.0,98226.0,98047.0,98371.0
unclassified,nan,636.0,610.0,643.0,610.0,637.0,6136.0,6167.0,6131.0,6230.0,6172.0,61298.0,61450.0,61503.0,61748.0,61378.0,615235.0,615405.0,615179.0,615692.0,615905.0,6155891.0,6153848.0,6156336.0,6154557.0
Basidiomycota,5204.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,14.0,19.0,25.0,9.0,15.0,155.0,159.0,182.0,145.0,155.0,1663.0,1664.0,1619.0,1616.0
Ciliophora,5878.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,37.0,30.0,26.0,28.0,24.0,279.0,331.0,335.0,338.0,356.0,3163.0,3128.0,3129.0,3104.0
Candidatus Saccharibacteria,95818.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,9.0,4.0,14.0,12.0,98.0,118.0,104.0,105.0
Rhodophyta,2763.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,5.0,6.0,2.0,9.0,11.0,98.0,73.0,70.0,99.0,74.0,852.0,818.0,847.0,854.0
Acidobacteria,57723.0,0.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,4.0,6.0,60.0,87.0,81.0,82.0,81.0,777.0,755.0,730.0,735.0,764.0,7511.0,7583.0,7467.0,7447.0
Mucoromycota,1913637.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,20.0,17.0,15.0,16.0,22.0,160.0,152.0,163.0,166.0,168.0,1690.0,1679.0,1675.0,1658.0
Chlorobi,1090.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,8.0,6.0,43.0,46.0,32.0,50.0,39.0,486.0,498.0,510.0,478.0
Oomycota,4762.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,26.0,21.0,20.0,24.0,26.0,244.0,243.0,240.0,258.0,254.0,2393.0,2396.0,2396.0,2384.0
Euryarchaeota,28890.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,23.0,21.0,14.0,14.0,18.0,166.0,168.0,154.0,174.0,171.0,1773.0,1725.0,1749.0,1753.0
Nitrospirae,40117.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,7.0,5.0,47.0,40.0,45.0,40.0,45.0,444.0,436.0,419.0,412.0,446.0,4318.0,4286.0,4363.0,4324.0
Tubulinea,555369.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,6.0,6.0
Thaumarchaeota,651137.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,3.0,2.0,31.0,25.0,27.0,40.0,32.0,337.0,344.0,288.0,298.0,346.0,3183.0,3209.0,3148.0,3243.0
Ascomycota,4890.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,4.0,41.0,40.0,36.0,43.0,32.0,438.0,445.0,443.0,396.0,441.0,4046.0,4196.0,4185.0,4152.0
Deferribacteres,200930.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,14.0,9.0,14.0,11.0,11.0,130.0,134.0,133.0,134.0
Candidatus Melainabacteria,1798710.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,16.0,24.0,24.0,20.0,28.0,220.0,233.0,219.0,233.0
Balneolaeota,1936987.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,22.0,17.0,11.0,5.0,129.0,123.0,132.0,141.0,109.0,1173.0,1141.0,1137.0,1168.0
Haptophyta,2830.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,9.0,17.0,10.0,10.0,6.0,83.0,86.0,75.0,88.0,97.0,831.0,825.0,846.0,837.0
Euglenozoa,33682.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,11.0,10.0,9.0,8.0,8.0,93.0,108.0,114.0,105.0,110.0,1001.0,974.0,976.0,976.0
Armatimonadetes,67819.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,13.0,7.0,9.0,4.0,9.0,94.0,104.0,81.0,99.0,104.0,965.0,956.0,944.0,977.0
Ignavibacteriae,1134404.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,16.0,12.0,17.0,19.0,15.0,153.0,159.0,183.0,158.0,168.0,1530.0,1583.0,1538.0,1580.0
Candidatus Tectomicrobia,1802339.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,21.0,25.0,26.0,26.0,26.0,263.0,279.0,265.0,278.0
Deinococcus-Thermus,1297.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,16.0,7.0,9.0,7.0,76.0,65.0,73.0,89.0,62.0,770.0,722.0,745.0,766.0
Candidatus Marinimicrobia,62680.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,3.0,6.0,55.0,42.0,51.0,50.0,42.0,447.0,426.0,456.0,480.0
Fibrobacteres,65842.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,11.0,15.0,16.0,11.0,11.0,110.0,125.0,122.0,129.0
Kiritimatiellaeota,134625.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,12.0,17.0,9.0,15.0,127.0,115.0,141.0,101.0,129.0,1321.0,1299.0,1306.0,1253.0
Candidatus Hydrogenedentes,142187.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,33.0,34.0,24.0,17.0,28.0,283.0,282.0,275.0,285.0
Thermotogae,200918.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,14.0,16.0,14.0,18.0,17.0,146.0,144.0,151.0,148.0
Candidatus Gracilibacteria,363464.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,16.0,15.0,16.0,19.0,14.0,134.0,145.0,134.0,154.0,151.0,1455.0,1397.0,1425.0,1431.0
Synergistetes,508458.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,13.0,12.0,20.0,11.0,16.0,140.0,133.0,138.0,138.0
Candidatus Bathyarchaeota,928852.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,9.0,1.0,11.0,63.0,55.0,50.0,54.0,52.0,530.0,530.0,556.0,543.0
candidate division Zixibacteria,1379697.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,9.0,4.0,8.0,5.0,54.0,60.0,57.0,51.0,56.0,529.0,532.0,499.0,522.0
Candidatus Berkelbacteria,1618330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,17.0,22.0,15.0,20.0
Candidatus Rokubacteria,1752708.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,53.0,50.0,44.0,54.0,35.0,485.0,514.0,533.0,526.0
Candidatus Campbellbacteria,1752727.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,17.0,17.0,20.0,19.0
Candidatus Lindowbacteria,1817807.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,1.0,25.0,28.0,26.0,25.0
Candidatus Portnoybacteria,1817913.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,14.0,12.0,14.0
Calditrichaeota,1930617.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,14.0,18.0,11.0,13.0,10.0,124.0,95.0,100.0,99.0,90.0,969.0,991.0,993.0,993.0
Candidatus Cryosericota,2498705.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,6.0,7.0,9.0,9.0
Evosea,2605435.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,6.0,2.0,7.0,63.0,65.0,53.0,58.0,54.0,535.0,514.0,538.0,515.0
Preaxostyla,2662611.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,17.0,9.0,10.0,13.0,7.0,98.0,98.0,90.0,97.0
Chlamydiae,204428.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,11.0,8.0,11.0,10.0,10.0,92.0,91.0,90.0,109.0,87.0,916.0,914.0,915.0,913.0
Lentisphaerae,256845.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,8.0,12.0,11.0,11.0,7.0,104.0,112.0,109.0,114.0,94.0,1037.0,1034.0,1046.0,1069.0
Fusobacteria,32066.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,34.0,30.0,32.0,31.0,31.0,347.0,337.0,346.0,336.0
Candidatus Aminicenantes,67817.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,10.0,10.0,1.0,9.0,62.0,76.0,65.0,62.0,69.0,615.0,617.0,618.0,600.0
Microsporidia,6029.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,3.0,6.0,3.0,37.0,24.0,45.0,35.0,37.0,354.0,356.0,328.0,320.0
Elusimicrobia,74152.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,6.0,47.0,34.0,34.0,27.0,23.0,366.0,364.0,393.0,375.0
Thermodesulfobacteria,200940.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,54.0,48.0,47.0,59.0,48.0,519.0,504.0,526.0,510.0
Candidatus Parcubacteria,221216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0,8.0,10.0,9.0,16.0,120.0,102.0,107.0,114.0
Candidatus Aerophobetes,1052815.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,11.0,7.0,12.0,8.0,62.0,69.0,61.0,73.0
Candidatus Fermentibacteria,1729712.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,8.0,5.0,8.0,7.0,87.0,86.0,84.0,91.0
Candidatus Dadabacteria,1752716.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,39.0,35.0,36.0,37.0,34.0,350.0,366.0,358.0,352.0
Zoopagomycota,1913638.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,4.0,39.0,45.0,32.0,30.0,40.0,334.0,332.0,328.0,311.0
Candidatus Blackallbacteria,2798537.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,16.0,11.0,9.0,8.0,12.0,110.0,101.0,118.0,109.0
Tenericutes,544448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,10.0,5.0,4.0,5.0,47.0,56.0,51.0,57.0,43.0,515.0,559.0,520.0,499.0
Candidatus Thermoplasmatota,2283796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,5.0,50.0,53.0,48.0,50.0,52.0,443.0,454.0,471.0,436.0
Candidatus Omnitrophica,67812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,6.0,9.0,12.0,2.0,58.0,57.0,58.0,59.0,54.0,609.0,620.0,593.0,597.0
Atribacterota,67818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,10.0,9.0,14.0,12.0,75.0,85.0,86.0,81.0
Candidatus Poribacteria,265317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,15.0,18.0,13.0,11.0,15.0,157.0,163.0,151.0,155.0
candidate division CPR2,1618339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,4.0,6.0,5.0,44.0,52.0,44.0,42.0
Candidatus Woesearchaeota,1801616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,10.0,4.0,8.0,6.0,7.0,84.0,82.0,91.0,79.0
Candidatus Riflebacteria,1817810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,35.0,42.0,36.0,36.0
Chytridiomycota,4761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,10.0,7.0,13.0,13.0,67.0,96.0,88.0,79.0,102.0,963.0,980.0,946.0,951.0
Candidatus Moranbacteria,1752737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,14.0,16.0,8.0,7.0,10.0,84.0,87.0,77.0,93.0
Candidatus Korarchaeota,51967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,9.0,16.0,11.0,14.0
Candidatus Latescibacteria,74015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,4.0,0.0,31.0,29.0,29.0,29.0,33.0,317.0,324.0,310.0,301.0
candidate division WOR-3,1703755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,18.0,19.0,10.0,15.0,20.0,127.0,130.0,144.0,148.0
Candidatus Amesbacteria,1752730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,9.0,7.0
Candidatus Kaiserbacteria,1752734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,11.0,9.0,24.0,16.0,16.0,171.0,177.0,165.0,180.0
Candidatus Micrarchaeota,1801631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,13.0,9.0,10.0,12.0
Apicomplexa,5794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,8.0,6.0,72.0,56.0,55.0,62.0,56.0,561.0,600.0,586.0,564.0
Cryptomycota,1031332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,14.0,9.0,13.0,13.0,11.0,115.0,115.0,104.0,104.0
Candidatus Desantisbacteria,1819803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,17.0,17.0,20.0
Aquificae,200783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,6.0,27.0,29.0,24.0,22.0,15.0,236.0,227.0,204.0,215.0
Candidatus Cloacimonetes,456828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,19.0,18.0,19.0,21.0,23.0,211.0,187.0,202.0,191.0
Discosea,555280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,8.0,23.0,10.0,11.0,11.0,139.0,114.0,122.0,127.0
Candidatus Woesebacteria,1752722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,6.0,11.0,7.0,24.0,14.0,142.0,158.0,148.0,146.0
Candidatus Giovannonibacteria,1752738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,17.0,13.0,12.0,17.0
Candidatus Schekmanbacteria,1817811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,5.0,13.0,3.0,8.0,61.0,83.0,67.0,78.0
Candidatus Heimdallarchaeota,1936272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,13.0,8.0,10.0,9.0,8.0,89.0,89.0,90.0,80.0
Heterolobosea,5752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,6.0,9.0,13.0,11.0,10.0,96.0,108.0,108.0,107.0
Foraminifera,29178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,14.0,11.0,10.0,7.0,81.0,69.0,87.0,64.0
Candidatus Sumerlaeota,200295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,10.0,3.0,12.0,19.0,95.0,89.0,116.0,106.0
Chrysiogenetes,200938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,10.0,9.0,6.0,8.0,86.0,85.0,70.0,78.0
Candidatus Aenigmarchaeota,743724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,7.0,5.0,57.0,45.0,54.0,60.0
Candidatus Lokiarchaeota,1655434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,6.0,9.0,6.0,86.0,76.0,85.0,78.0
Candidatus Kapabacteria,1662329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,4.0,49.0,42.0,48.0,47.0
Candidatus Thorarchaeota,1706441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,13.0,11.0,8.0,4.0,93.0,82.0,96.0,87.0
Imbricatea,1736114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,8.0,1.0,3.0,39.0,35.0,36.0,37.0
Candidatus Daviesbacteria,1752718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,18.0,17.0,12.0,15.0
Candidatus Pacebacteria,1752724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,8.0,9.0,8.0,13.0,5.0,134.0,137.0,127.0,128.0
Candidatus Magasanikbacteria,1752731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,6.0,7.0,2.0,60.0,64.0,70.0,63.0
Candidatus Eisenbacteria,1817801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,13.0,11.0,11.0,14.0,111.0,104.0,118.0,125.0
Candidatus Margulisbacteria,1817808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,14.0,6.0,9.0,4.0,79.0,76.0,86.0,84.0
Candidatus Buchananbacteria,1817903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,16.0,15.0,11.0,14.0
Candidatus Zambryskibacteria,1817925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,4.0,1.0,12.0,21.0,24.0,21.0
Olpidiomycota,2202805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,1.0,1.0,22.0,23.0,28.0,28.0
Endomyxa,2604748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,20.0,15.0,13.0,14.0,14.0,162.0,142.0,158.0,149.0
Candidatus Bipolaricaulota,67810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,6.0,5.0,7.0,4.0,50.0,56.0,49.0,50.0
Candidatus Levybacteria,1752719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,20.0,18.0,18.0,15.0
