,genus,read count,relative error
220,Bacteriovorax,1K,
221,Roseibium,1K,
222,Reichenbachiella,1K,
223,Hahella,1K,
224,Sphingopyxis,1K,
225,Fomitiporia,1K,
226,Fragilariopsis,1K,
227,Thalassolituus,1K,
228,Jannaschia,1K,
229,Pleurosigma,1K,
230,Lampropedia,1K,
231,Formosa,1K,
232,Pseudorhodobacter,1K,
233,Crocinitomix,1K,
234,Salipiger,1K,
235,Owenweeksia,1K,
236,Yeosuana,1K,
237,Candidatus Accumulibacter,1K,
238,Altererythrobacter,1K,
239,Aureispira,1K,
240,Sediminicola,1K,
241,Tamlana,1K,
242,Fulvivirga,1K,
243,Granulosicoccus,1K,
244,Ekhidna,1K,
245,Pseudogulbenkiania,1K,
246,Ilumatobacter,1K,
247,Marivirga,1K,
248,Aureitalea,1K,
249,Meridianimaribacter,1K,
250,Candidatus Endolissoclinum,1K,
251,Roseimicrobium,1K,
252,Pseudomaricurvus,1K,
253,Rubripirellula,1K,
254,Thiogranum,1K,
255,Boseongicola,1K,
256,Homoserinibacter,1K,
257,Pseudooceanicola,1K,
258,Pontivivens,1K,
259,Acuticoccus,1K,
260,Ketobacter,1K,
261,Salinibius,1K,
262,Stieleria,1K,
263,Posidoniimonas,1K,
264,Falsihalocynthiibacter,1K,
265,Reticulibacter,1K,
266,Pseudohalioglobus,1K,
267,Roseitranquillus,1K,
268,Halpernia,1K,
269,Szabonella,1K,
270,Archangium,1K,
271,Paracoccus,1K,
272,Rhizobium,1K,
273,Enterobacter,1K,
274,Thiocapsa,1K,
275,Chlorobium,1K,
276,Nocardioides,1K,
277,Pseudonocardia,1K,
278,Pythium,1K,
279,Cycloclasticus,1K,
280,Ideonella,1K,
281,Leptolyngbya,1K,
282,Hydrogenophaga,1K,
283,Navicula,1K,
284,Termitomyces,1K,
285,Chitinophaga,1K,
286,Dyadobacter,1K,
287,Paraflabellula,1K,
288,Thalassomonas,1K,
289,Kaistia,1K,
290,Chitinibacter,1K,
291,Nitratireductor,1K,
292,Algibacter,1K,
293,Psammodictyon,1K,
294,Nereida,1K,
295,Phaeobacter,1K,
296,Cohnella,1K,
297,Nitrosopumilus,1K,
298,Simplicispira,1K,
299,Bowmanella,1K,
300,Aquitalea,1K,
301,Mucilaginibacter,1K,
302,Leptobacterium,1K,
303,Sediminibacterium,1K,
304,Sneathiella,1K,
305,Shimia,1K,
306,Limnohabitans,1K,
307,Altibacter,1K,
308,Hydrococcus,1K,
309,Woeseia,1K,
310,Lentimicrobium,1K,
311,Xanthomarina,1K,
312,Caenibacillus,1K,
313,Pseudobizionia,1K,
314,Parashewanella,1K,
315,Parerythrobacter,1K,
316,Candidatus Pseudothioglobus,1K,
317,Paucihalobacter,1K,
318,Mesobaculum,1K,
319,Aegicerativicinus,1K,
320,Roseovarius,1K,
321,Coraliomargarita,1K,
322,Celeribacter,1K,
323,Candidatus Megaira,1K,
324,Parahaliea,1K,
325,Motilimonas,1K,
326,Allopontixanthobacter,1K,
327,Stella,1K,
328,Methylomonas,1K,
329,Providencia,1K,
330,Flexibacter,1K,
331,Streptococcus,1K,
332,Gordonia,1K,
333,Flexistipes,1K,
334,Ochromonas,1K,
335,Fusarium,1K,
336,Burkholderia,1K,
337,Hyaloscypha,1K,
338,Ralstonia,1K,
339,Dechloromonas,1K,
340,Virgibacillus,1K,
341,Alishewanella,1K,
342,Licmophora,1K,
343,Methylohalobius,1K,
344,Pseudovibrio,1K,
345,Seminavis,1K,
346,Rubritalea,1K,
347,Gilvibacter,1K,
348,Lutimonas,1K,
349,Sunxiuqinia,1K,
350,Bythopirellula,1K,
351,Thiolapillus,1K,
352,Ascidiaceihabitans,1K,
353,Gimesia,1K,
354,Wenzhouxiangella,1K,
355,Pseudohalocynthiibacter,1K,
356,Aestuariivivens,1K,
357,Mycolicibacterium,1K,
358,Schizostauron,1K,
359,Rhodohalobacter,1K,
360,Jiulongibacter,1K,
361,Oceaniglobus,1K,
362,Metabacillus,1K,
363,Lignipirellula,1K,
364,Patiriisocius,1K,
365,Paraneptunicella,1K,
366,Oleiphilus,1K,
367,Marinomonas,1K,
368,Psychromonas,1K,
369,Gramella,1K,
370,Halomonas,1K,
371,Novosphingobium,1K,
372,Lysobacter,1K,
373,Desulfobacterium,1K,
374,Haliea,1K,
375,Hanstruepera,1K,
376,Marinagarivorans,1K,
377,Seongchinamella,1K,
378,Cellvibrio,1K,
379,Cylindrotheca,1K,
380,Chryseobacterium,1K,
381,Stappia,1K,
382,Enterovibrio,1K,
383,Sulfurovum,1K,
384,Pontibacter,1K,
385,Thalassobius,1K,
386,Zunongwangia,1K,
387,Desulfopila,1K,
388,Candidatus Thioglobus,1K,
389,Oleibacter,1K,
390,Marinicella,1K,
391,Hyunsoonleella,1K,
392,Tabrizicola,1K,
393,Tritonibacter,1K,
394,Crateriforma,1K,
395,Halopseudomonas,1K,
396,Spirosoma,1K,
397,Photobacterium,1K,
398,Bacteroides,1K,
399,Thiothrix,1K,
400,Rhodobacter,1K,
401,Nostoc,1K,
402,Rhodococcus,1K,
403,Volvox,1K,
404,Euplotes,1K,
405,Rubrivivax,1K,
406,Desulfobacula,1K,
407,Polaromonas,1K,
408,Guillardia,1K,
409,Eutreptiella,1K,
410,Duganella,1K,
411,Neptunomonas,1K,
412,Monosiga,1K,
413,Pseudoxanthomonas,1K,
414,Amoebophrya,1K,
415,Candidatus Entotheonella,1K,
416,Roseivivax,1K,
417,Aphanomyces,1K,
418,Idiomarina,1K,
419,Ahrensia,1K,
420,Arenibacter,1K,
421,Gemmobacter,1K,
422,Fulvimarina,1K,
423,Alkanindiges,1K,
424,Hylemonella,1K,
425,Ulvibacter,1K,
426,Picochlorum,1K,
427,Kordiimonas,1K,
428,Flaviramulus,1K,
429,Pseudacidovorax,1K,
430,Robiginitomaculum,1K,
431,Lutimaribacter,1K,
432,Aliivibrio,1K,
433,Roseibacillus,1K,
434,Tropicimonas,1K,
435,Marinoscillum,1K,
436,Oceanicoccus,1K,
437,Pararhodobacter,1K,
438,Croceicoccus,1K,
439,Aestuariibaculum,1K,
440,Sphingorhabdus,1K,
441,Arenitalea,1K,
442,Neorhizobium,1K,
443,Phaeodactylibacter,1K,
444,Halocynthiibacter,1K,
445,Pararhizobium,1K,
446,Saccharicrinis,1K,
447,Aliiroseovarius,1K,
448,Lacimicrobium,1K,
449,Aquaticitalea,1K,
450,Changchengzhania,1K,
451,Vicingus,1K,
452,Planctobacterium,1K,
453,Flavimaricola,1K,
454,Pseudopuniceibacterium,1K,
455,Saliniradius,1K,
456,Aureliella,1K,
457,Candidatus Laterigemmans,1K,
458,Croceimicrobium,1K,
459,Kangsaoukella,1K,
460,Paenihalocynthiibacter,1K,
461,Pontimicrobium,1K,
462,Cystobacter,1K,
463,Herpetosiphon,1K,
464,Runella,1K,
465,Azospirillum,1K,
466,Campylobacter,1K,
467,Achromobacter,1K,
468,Comamonas,1K,
469,Xanthomonas,1K,
470,Methylococcus,1K,
471,Methylobacter,1K,
472,Acetobacter,1K,
473,Legionella,1K,
474,Moraxella,1K,
475,Ochrobactrum,1K,
476,Escherichia,1K,
477,Yersinia,1K,
478,Aeromonas,1K,
479,Actinobacillus,1K,
480,Haemophilus,1K,
481,Fibrobacter,1K,
482,Prevotella,1K,
483,Bdellovibrio,1K,
484,Herbaspirillum,1K,
485,Saprospira,1K,
486,Microscilla,1K,
487,Ectothiorhodospira,1K,
488,Rhodopseudomonas,1K,
489,Prosthecochloris,1K,
490,Porphyrobacter,1K,
491,Microcystis,1K,
492,Deinococcus,1K,
493,Clostridium,1K,
494,Arthrobacter,1K,
495,Saccharopolyspora,1K,
496,Actinoplanes,1K,
497,Xylella,1K,
498,Emiliania,1K,
499,Chlamydomonas,1K,
500,Scenedesmus,1K,
501,Taphrina,1K,
502,Aspergillus,1K,
503,Acidovorax,1K,
504,Magnetospirillum,1K,
505,Chelatococcus,1K,
506,Petrotoga,1K,
507,Sphingobacterium,1K,
508,Hydrogenovibrio,1K,
509,Thauera,1K,
510,Microbacterium,1K,
511,Rhodobium,1K,
512,Asterionella,1K,
513,Holophaga,1K,
514,Sorangium,1K,
515,Pycnococcus,1K,
516,Candidatus Microthrix,1K,
517,Promicromonospora,1K,
518,Tolumonas,1K,
519,Microcoleus,1K,
520,Leucothrix,1K,
521,Microbulbifer,1K,
522,Actinocyclus,1K,
523,Gelidibacter,1K,
524,Desulfonatronovibrio,1K,
525,Pantoea,1K,
526,Leucobacter,1K,
527,Cylindrospermum,1K,
528,Thiorhodococcus,1K,
529,Moritella,1K,
530,Sagittula,1K,
531,Nevskia,1K,
532,Actinoalloteichus,1K,
533,Mesorhizobium,1K,
534,Cyclobacterium,1K,
535,Diacronema,1K,
536,Flexithrix,1K,
537,Myroides,1K,
538,Teleaulax,1K,
539,Propionivibrio,1K,
540,Sodalis,1K,
541,Bosea,1K,
542,Pandoraea,1K,
543,Roseateles,1K,
544,Desulfotalea,1K,
545,Defluviicoccus,1K,
546,Tepidimonas,1K,
547,Tephrocybe,1K,
548,Filomicrobium,1K,
549,Ostreobium,1K,
550,Solobacterium,1K,
551,Roseomonas,1K,
552,Azospira,1K,
553,Dysgonomonas,1K,
554,Kryptoperidinium,1K,
555,Leptocylindrus,1K,
556,Thalassospira,1K,
557,Nordella,1K,
558,Hedophyllum,1K,
559,Opitutus,1K,
560,Aurantimonas,1K,
561,Smithella,1K,
562,Macromonas,1K,
563,Agitococcus,1K,
564,Scardovia,1K,
565,Eunotia,1K,
566,Gyrosigma,1K,
567,Crenothrix,1K,
568,Thiospirillum,1K,
569,Rhizobacter,1K,
570,Enhydrobacter,1K,
571,Belliella,1K,
572,Robiginitalea,1K,
573,Serinicoccus,1K,
574,Subsaximicrobium,1K,
575,Adhaeribacter,1K,
576,Monocercomonoides,1K,
577,Endozoicomonas,1K,
578,Raphidocelis,1K,
579,Azohydromonas,1K,
580,Sideroxydans,1K,
581,Dokdonella,1K,
582,Larkinella,1K,
583,Costertonia,1K,
584,Phycicoccus,1K,
585,Galbibacter,1K,
586,Discostella,1K,
587,Geosporobacter,1K,
588,Flavisolibacter,1K,
589,Maritimibacter,1K,
590,Solimonas,1K,
591,Aureimonas,1K,
592,Biddulphia,1K,
593,Mesoflavibacter,1K,
594,Flagellimonas,1K,
595,Salibacter,1K,
596,Desulfarculus,1K,
597,Joostella,1K,
598,Kiloniella,1K,
599,Arenimonas,1K,
600,Eunotogramma,1K,
601,Luteolibacter,1K,
602,Aromatoleum,1K,
603,Humibacillus,1K,
604,Lishizhenia,1K,
605,Hellea,1K,
606,Tropicibacter,1K,
607,Pseudozobellia,1K,
608,Filimonas,1K,
609,Cohaesibacter,1K,
610,Oceanibaculum,1K,
611,Perlucidibaca,1K,
612,Actinoallomurus,1K,
613,Lentithecium,1K,
614,Umboniibacter,1K,
615,Pseudorhodoferax,1K,
616,Methylovulum,1K,
617,Muriicola,1K,
618,Rudaea,1K,
619,Tryblionella,1K,
620,Solitalea,1K,
621,Granulicella,1K,
622,Flavihumibacter,1K,
623,Sandaracinus,1K,
624,Pelagibacterium,1K,
625,Litorimonas,1K,
626,Catenovulum,1K,
627,Cecembia,1K,
628,Flavivirga,1K,
629,Plagiogrammopsis,1K,
630,Geofilum,1K,
631,Rhizomicrobium,1K,
632,Thiohalobacter,1K,
633,Brevifollis,1K,
634,Candidatus Contendobacter,1K,
635,Litorilituus,1K,
636,Actibacterium,1K,
637,Aureivirga,1K,
638,Eilatimonas,1K,
639,Komagataeibacter,1K,
640,Mameliella,1K,
641,Pontimonas,1K,
642,Okeania,1K,
643,Aquisphaera,1K,
644,Pseudohongiella,1K,
645,Sedimentitalea,1K,
646,Pseudophaeobacter,1K,
647,Niveispirillum,1K,
648,Methyloprofundus,1K,
649,Sabulilitoribacter,1K,
650,Roseimaritima,1K,
651,Cribrihabitans,1K,
652,Flavimarina,1K,
653,Aestuariivita,1K,
654,Amylibacter,1K,
655,Aestuariicella,1K,
656,Marinicauda,1K,
657,Pustulibacterium,1K,
658,Aureisphaera,1K,
659,Caproiciproducens,1K,
660,Sulfuricaulis,1K,
661,Anseongella,1K,
662,Aquimixticola,1K,
663,Lunatimonas,1K,
664,Motiliproteus,1K,
665,Frigidibacter,1K,
666,Candidatus Tenderia,1K,
667,Anaerocolumna,1K,
668,Halovulum,1K,
669,Terasakiispira,1K,
670,Pseudoflavitalea,1K,
671,Candidatus Thiosymbion,1K,
672,Roseitalea,1K,
673,Immundisolibacter,1K,
674,Tibeticola,1K,
675,Mariniblastus,1K,
676,Thiomicrorhabdus,1K,
677,Quisquiliibacterium,1K,
678,Antarcticibacterium,1K,
679,Candidatus Kentron,1K,
680,Klenkia,1K,
681,Thiofilum,1K,
682,Ahniella,1K,
683,Solimicrobium,1K,
684,Candidatus Cryosericum,1K,
685,Histidinibacterium,1K,
686,Fluviibacterium,1K,
687,Ulvibacterium,1K,
688,Carideicomes,1K,
689,Aureibaculum,1K,
690,Bremerella,1K,
691,Alienimonas,1K,
692,Lichenibacterium,1K,
693,Candidatus Bandiella,1K,
694,Pseudictyota,1K,
695,Flavilitoribacter,1K,
696,Terricaulis,1K,
697,Sulfurimicrobium,1K,
698,Aquipluma,1K,
699,Rosistilla,1K,
700,Aeoliella,1K,
701,Thalassoglobus,1K,
702,Alteraurantiacibacter,1K,
703,Alteriqipengyuania,1K,
704,Paraurantiacibacter,1K,
705,Flavihalobacter,1K,
706,Floccifex,1K,
707,Rhabdothermincola,1K,
708,Allgaiera,1K,
709,Pikeienuella,1K,
710,Taishania,1K,
711,Muriiphilus,1K,
712,Mangrovivirga,1K,
713,Adhaeretor,1K,
714,Oceaniferula,1K,
715,Variimorphobacter,1K,
716,Desulfomarina,1K,
717,Cochlodiniinecator,1K,
718,Desulfogranum,1K,
719,Constantimarinum,1K,
720,Oceanipulchritudo,1K,
721,Phototrophicus,1K,
722,Sphingobium,1K,
723,Amphritea,1K,
724,Pseudooctadecabacter,1K,
725,Ectocarpus,1K,
726,Brachyspira,1K,
727,Alcanivorax,1K,
728,Nanofrustulum,1K,
729,Rhodoluna,1K,
730,Zhongshania,1K,
731,Hyphobacterium,1K,
732,Klebsiella,1K,
733,Desulfobacter,1K,
734,Coscinodiscus,1K,
735,Prosthecobacter,1K,
736,Psychroflexus,1K,
737,Zobellia,1K,
738,Massilia,1K,
739,Brumimicrobium,1K,
740,Dyella,1K,
741,Saccharospirillum,1K,
742,Mesonia,1K,
743,Roseicyclus,1K,
744,Didymosphenia,1K,
745,Nodosilinea,1K,
746,Roseibaca,1K,
747,Tahibacter,1K,
748,Aquirhabdus,1K,
749,Salibaculum,1K,
750,Phenylobacterium,1K,
751,Stigmatella,1K,
752,Caulobacter,1K,
753,Hyphomicrobium,1K,
754,Gallionella,1K,
755,Methylocystis,1K,
756,Treponema,1K,
757,Leptospira,1K,
758,Brucella,1K,
759,Francisella,1K,
760,Chromobacterium,1K,
761,Salmonella,1K,
762,Coxiella,1K,
763,Chlamydia,1K,
764,Porphyromonas,1K,
765,Roseburia,1K,
766,Oxalobacter,1K,
767,Desulfovibrio,1K,
768,Cytophaga,1K,
769,Spirulina,1K,
770,Anabaena,1K,
771,Nitrospira,1K,
772,Sporosarcina,1K,
773,Corynebacterium,1K,
774,Micromonospora,1K,
775,Tribonema,1K,
776,Bacillaria,1K,
777,Polytomella,1K,
778,Neurospora,1K,
779,Suillus,1K,
780,Stereum,1K,
781,Ichthyophthirius,1K,
782,Metschnikowia,1K,
783,Syntrophobacter,1K,
784,Asterionellopsis,1K,
785,Monilinia,1K,
786,Methylophaga,1K,
787,Stenotrophomonas,1K,
788,Desulforhopalus,1K,
789,Chromohalobacter,1K,
790,Polynucleobacter,1K,
791,Geothrix,1K,
792,Halobacillus,1K,
793,Kineosporia,1K,
794,Geosiphon,1K,
795,Rickettsiella,1K,
796,Geitlerinema,1K,
797,Sporotomaculum,1K,
798,Cryobacterium,1K,
799,Mannheimia,1K,
800,Hemiselmis,1K,
801,Piptocephalis,1K,
802,Luteimonas,1K,
803,Nonomuraea,1K,
804,Allochromatium,1K,
805,Alkalispirillum,1K,
806,Modestobacter,1K,
807,Thioalkalivibrio,1K,
808,Halothiobacillus,1K,
809,Alkaliphilus,1K,
810,Geobacillus,1K,
811,Denitromonas,1K,
812,Helicosporidium,1K,
813,Xenophilus,1K,
814,Desulforegula,1K,
815,Thiorhodospira,1K,
816,Roseibacterium,1K,
817,Raoultella,1K,
818,Magnetococcus,1K,
819,Ramlibacter,1K,
820,Caldithrix,1K,
821,Auxenochlorella,1K,
822,Sulfurimonas,1K,
823,Collimonas,1K,
824,Candidatus Scalindua,1K,
825,Alistipes,1K,
826,Cryomorpha,1K,
827,Kangiella,1K,
828,Nitrincola,1K,
829,Dictyocoela,1K,
830,Martelella,1K,
831,Elizabethkingia,1K,
832,Diversispora,1K,
833,Emticicia,1K,
834,Methylibium,1K,
835,Thalassobacillus,1K,
836,Methylotenera,1K,
837,Parabacteroides,1K,
838,Aquisalimonas,1K,
839,Fodinicola,1K,
840,Thalassococcus,1K,
841,Wrangelia,1K,
842,Chelativorans,1K,
843,Pelagicoccus,1K,
844,Mariniflexile,1K,
845,Chitinilyticum,1K,
846,Salinimicrobium,1K,
847,Croceitalea,1K,
848,Maritalea,1K,
849,Thalassobium,1K,
850,Wenxinia,1K,
851,Schlesneria,1K,
852,Albimonas,1K,
853,Coleofasciculus,1K,
854,Desulfocurvus,1K,
855,Jejuia,1K,
856,Fibrella,1K,
857,Herbiconiux,1K,
858,Gilvimarinus,1K,
859,Cocleimonas,1K,
860,Cerataulina,1K,
861,Candidatus Marithrix,1K,
862,Pacificibacter,1K,
863,Poseidonocella,1K,
864,Siansivirga,1K,
865,Oceaniovalibus,1K,
866,Litorilinea,1K,
867,Parasphingopyxis,1K,
868,Aliidiomarina,1K,
869,Desulfatitalea,1K,
870,Agaricicola,1K,
871,Tranquillimonas,1K,
872,Roundia,1K,
873,Hasllibacter,1K,
874,Phytomonospora,1K,
875,Sinobacterium,1K,
876,Methyloligella,1K,
877,Anditalea,1K,
878,Thermoflexus,1K,
879,Mongoliitalea,1K,
880,Jhaorihella,1K,
881,Wenyingzhuangia,1K,
882,Bacterioplanes,1K,
883,Psychrobium,1K,
884,Pararhodospirillum,1K,
885,Imperialibacter,1K,
886,Robertkochia,1K,
887,Pseudarcicella,1K,
888,Arcticiflavibacter,1K,
889,Fluviicoccus,1K,
890,Glutamicibacter,1K,
891,Ichthyobacterium,1K,
892,Tianweitania,1K,
893,Jiella,1K,
894,Ichthyenterobacterium,1K,
895,Clostridioides,1K,
896,Candidatus Neptunochlamydia,1K,
897,Pistricoccus,1K,
898,Pseudohoeflea,1K,
899,Marinibacterium,1K,
900,Tsunamia,1K,
901,Telluribacter,1K,
902,Ancylomarina,1K,
903,Candidatus Nitrosoglobus,1K,
904,Lusitaniella,1K,
905,Membranicola,1K,
906,Nothophytophthora,1K,
907,Monaibacterium,1K,
908,Agaribacterium,1K,
909,Oryzisolibacter,1K,
910,Parendozoicomonas,1K,
911,Pararheinheimera,1K,
912,Mangrovicoccus,1K,
913,Chachezhania,1K,
914,Hwanghaeella,1K,
915,Solirhodobacter,1K,
916,Neobacillus,1K,
917,Acidimangrovimonas,1K,
918,Pseudorivibacter,1K,
919,Urechidicola,1K,
920,Cochleicola,1K,
921,Denitrobaculum,1K,
922,Actinomortierella,1K,
923,Maridesulfovibrio,1K,
924,Algibacillus,1K,
925,Candidatus Sarmatiella,1K,
926,Segnochrobactrum,1K,
927,Calidifontimicrobium,1K,
928,Wocania,1K,
929,Alterinioella,1K,
930,Cognaticolwellia,1K,
931,Falsiruegeria,1K,
932,Maribrevibacterium,1K,
933,Sediminihaliea,1K,
934,Pseudostreptobacillus,1K,
935,Sandaracinomonas,1K,
936,Yangia,1K,
937,Kineobactrum,1K,
938,Desulfonema,1K,
939,Rickettsia,1K,
940,Amycolatopsis,1K,
941,Coccomyxa,1K,
942,Cupriavidus,1K,
943,Ottowia,1K,
944,Saccharophagus,1K,
945,Candidimonas,1K,
946,Piscinibacter,1K,
947,Nafulsella,1K,
948,Pseudohaliea,1K,
949,Pelagibaculum,1K,
950,Thalassorhabdomicrobium,1K,
951,Symmachiella,1K,
952,Altericroceibacterium,1K,
953,Methylophilus,1K,
954,Polyangium,1K,
955,Ancylobacter,1K,
956,Flectobacillus,1K,
957,Neisseria,1K,
958,Anaplasma,1K,
959,Butyrivibrio,1K,
960,Desulfomicrobium,1K,
961,Capnocytophaga,1K,
962,Geodermatophilus,1K,
963,Aeromicrobium,1K,
964,Vagococcus,1K,
965,Rhizosolenia,1K,
966,Chroomonas,1K,
967,Rhizopus,1K,
968,Pachysolen,1K,
969,Ceratobasidium,1K,
970,Halteria,1K,
971,Suttonella,1K,
972,Thiocystis,1K,
