Class,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Amblyospora sp.,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Amblyosporidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Aminicenantia,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,7e-07,7e-07,5e-07
Amoeboaphelidium,,,,,,,,0.0006,0.0005,0.0005,0.00037,0.00035,0.00042,0.00052,0.00044,0.000341,0.000365,0.000385,0.000353,0.000361,0.0003624,0.0003659,0.0003683,0.000371,0.0003656
Amphibia,,,,,,,,,,,,2e-05,,,,2e-05,1.7e-05,4e-06,1.7e-05,1.8e-05,2.04e-05,1.89e-05,2.03e-05,1.92e-05,1.99e-05
Anaerolineae,,,,,,,,,,,3e-05,6e-05,4e-05,0.0001,5e-05,0.000142,8.8e-05,0.000264,0.00023,0.000213,0.0003166,0.0002704,0.0002654,0.0002761,0.0002662
Ancyromonas,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Andreaeopsida,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,
Annelida,,,,,,,0.0003,0.0003,,,0.00035,0.00018,0.00032,0.00031,0.00037,0.000526,0.000609,0.000444,0.000541,0.000532,0.0004991,0.0005643,0.0005432,0.0005115,0.0005113
Anthocerotopsida,,,,,,0.0003,0.0002,0.0002,,0.0004,0.00023,0.00016,0.0002,0.00031,0.00023,0.000189,0.000226,0.000201,0.000196,0.000215,0.000205,0.0002103,0.0002131,0.0002056,0.0002072
Anthozoa,,,,,,,,,,,,2e-05,,,,1.6e-05,1.9e-05,1.2e-05,1.5e-05,1.8e-05,2.45e-05,1.64e-05,1.58e-05,1.68e-05,2.33e-05
Aphelidea,,,,,,,,,,,,,,,,,,,,,9.1e-06,,,,6e-06
Appendicularia,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Aquificae,,,,,,,,,,,,,,,,,1.3e-05,1e-05,,,1.35e-05,2.12e-05,2.56e-05,1.29e-05,2.05e-05
Arachnida,,0.014,,,0.007,0.0041,0.0047,0.0047,0.0039,0.0029,0.00403,0.00379,0.00402,0.00367,0.00386,0.004018,0.004052,0.003979,0.004098,0.00416,0.0040676,0.0040726,0.004056,0.0040604,0.004057
Archaeoglobi,,,,,,,,,,,,,,,,,,,,,1.8e-06,4.2e-06,1.6e-06,8e-07,1.5e-06
Archamoebae,,,,,,,,,,,,,,,,,,,,,2e-07,2.4e-06,3.5e-06,,4e-07
Archiacanthocephala,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Arctic97B-4 marine group,,,,,,,,,,,,,,,,,,,,,1e-06,7e-07,,7e-07,3e-07
Ardenticatenia,,,,,,,,,,,,,,,,1.1e-05,2e-05,1e-05,1.6e-05,8e-06,1.31e-05,1.44e-05,1.58e-05,1.4e-05,1.29e-05
Armatimonadia,,,,,,,,,,,,,,,,,,,,2e-06,1.2e-06,1.3e-06,1.1e-06,8e-07,9e-07
Armophorea,,,,,,,,,,,,,,,,,2e-06,,,,3e-07,4e-07,3e-07,5e-07,8e-07
Arthropoda,0.04,0.04,0.029,0.027,0.038,0.0305,0.0315,0.0309,0.0324,0.0295,0.03134,0.03163,0.0318,0.03159,0.03176,0.031479,0.031635,0.031155,0.03158,0.031472,0.0313894,0.031352,0.0313427,0.0313983,0.0314408
Ascetosporea,,,,,,,,,,,4e-05,,7e-05,2e-05,6e-05,6.5e-05,6e-05,5.7e-05,6.7e-05,5.2e-05,7.11e-05,7.38e-05,7.3e-05,7.29e-05,6.73e-05
Ascidiacea,,,,,,,,,,,,6e-05,,,,,5.8e-05,6.9e-05,0.000102,3.2e-05,5.1e-05,5.16e-05,6.7e-05,2.97e-05,3.47e-05
Asteroidea,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Atribacteria,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,7e-07,5e-07,7e-07
Aves,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.8e-06,1.3e-06,1.9e-06,1.5e-06
BD2-11 terrestrial group,,,,,,,,,,,3e-05,,6e-05,,,5.6e-05,4.6e-05,5.9e-05,5.7e-05,6.3e-05,5.21e-05,5.58e-05,5.45e-05,5.35e-05,5.29e-05
BD7-11,,,,,,,,,,,3e-05,,3e-05,3e-05,,4e-05,3.9e-05,4e-05,4.1e-05,3e-05,3.79e-05,3.97e-05,3.83e-05,3.78e-05,3.86e-05
BMS9AB35,,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07
Babeliae,,,,,,,,,,0.0002,,,2e-05,4e-05,,4e-05,2.3e-05,1.5e-05,5.3e-05,4.3e-05,3.44e-05,3.72e-05,3.86e-05,3.5e-05,3.54e-05
Bacillariophyceae,0.017,0.023,0.019,0.028,0.013,0.0197,0.0199,0.0197,0.0183,0.018,0.01995,0.01897,0.01869,0.02042,0.01943,0.019619,0.019507,0.019864,0.019894,0.01993,0.0197155,0.0197203,0.0197974,0.0198229,0.0197964
Bacilli,,,,0.002,,0.0023,0.0016,0.0015,0.0018,0.0011,0.00245,0.00244,0.0026,0.00278,0.00208,0.003131,0.003313,0.003102,0.003012,0.003023,0.003449,0.0035234,0.0034498,0.0035254,0.0034821
Bacillidium sp.,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Bacteriovoracia,,,,,,,,,0.0007,,0.00013,0.00019,0.00011,0.00014,0.00016,0.000198,0.00018,0.000188,0.000164,0.000182,0.0001721,0.0001707,0.0001696,0.0001731,0.000171
Bacteroidetes BD2-2,,,,,,,,,,,2e-05,,,,,1.6e-05,1.1e-05,1.6e-05,7e-06,1.8e-05,1.57e-05,1.39e-05,1.63e-05,1.41e-05,1.33e-05
Bacteroidetes Order II,,,,,,0.0003,0.0005,,0.0005,0.0007,0.00044,0.00042,0.00046,0.00046,0.00045,0.000514,0.000618,0.00062,0.000634,0.000651,0.000593,0.0006078,0.0005961,0.0005688,0.0005841
Bacteroidetes Order III,,,,,,,,,,,4e-05,4e-05,3e-05,,4e-05,2.2e-05,2.2e-05,2.2e-05,1.5e-05,1.6e-05,2.43e-05,2.48e-05,2.24e-05,2.47e-05,2.23e-05
Bacteroidetes VC2.1 Bac22,,,,,,,,,,,8e-05,3e-05,8e-05,,,8.5e-05,9.3e-05,9.1e-05,7.7e-05,8.6e-05,8.14e-05,8.34e-05,8.56e-05,8.8e-05,8.43e-05
Bacteroidetes vadinHA17,,,,,,,,,,,,,,,,2e-06,1.1e-05,1.9e-05,3.2e-05,3.1e-05,1.84e-05,1.6e-05,1.58e-05,1.73e-05,1.55e-05
Bacteroidia,,,,,,0.0012,0.0013,0.0012,0.001,0.0006,0.00259,0.00268,0.00197,0.00262,0.00227,0.004694,0.004234,0.004421,0.003748,0.004725,0.0047953,0.0048525,0.004654,0.004629,0.0048726
Balneolia,,,,,,,,,,,,3e-05,,,,2e-05,1.9e-05,1.2e-05,1.9e-05,2.2e-05,2.15e-05,2.97e-05,1.99e-05,2.06e-05,2.77e-05
Bangiophyceae,,,,,,,,,,,,,,,,,,,,,9e-06,1.04e-05,9.1e-06,1.1e-05,1e-05
Basidiobolomycetes,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,8e-07,4e-07,7e-07
Bdellovibrionia,,,,,,,,,,,,3e-05,,,,1.2e-05,2.8e-05,2.3e-05,2.9e-05,1.4e-05,2.78e-05,2.91e-05,2.76e-05,2.83e-05,2.69e-05
Berkelbacteria,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,6e-07,3e-07,7e-07
Betaproteobacteria,0.011,,0.006,,,0.0059,0.006,0.0048,0.0055,0.0049,0.00565,0.00651,0.00587,0.00547,0.00616,0.005932,0.006082,0.006445,0.006468,0.0062,0.006436,0.0064048,0.0064117,0.0064065,0.0063578
Bigyra,,,,,,,,,,,0.00039,0.00059,0.00053,0.00056,0.0006,0.000399,0.000422,0.000381,0.0004,0.000409,0.0004267,0.0004152,0.0004353,0.0004152,0.0004231
Bivalvia,,,,,,,,,,,,,,,,,,,,,7e-07,,2.9e-06,8e-07,
Blastocatellia,,,,,,,,,,,,2e-05,,,4e-05,6.7e-05,4.5e-05,8.4e-05,8.8e-05,0.000106,0.0001196,0.0001116,0.0001119,0.0001136,0.0001287
Blastocladiomycetes,,,,,,,,,,,,,,,,2e-05,3.2e-05,3e-05,1.7e-05,3.1e-05,2.69e-05,2.51e-05,2.53e-05,2.46e-05,2.59e-05
Brachiopoda,,,,,,,,,,,,,,,,1e-05,7e-06,,,,8.7e-06,1.44e-05,9.4e-06,1.27e-05,1.41e-05
Branchiopoda,,,,,,,,,,,0.00011,,,,,4e-05,7.1e-05,,4e-05,,4.66e-05,8.5e-06,7.3e-06,4.54e-05,6.7e-06
Breviata,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,,,8e-07
Bryopsida,,,,,,,,,,,,2e-05,,,,1.2e-05,4e-06,3e-06,1.8e-05,9e-06,1.33e-05,1.32e-05,1.44e-05,1.35e-05,1.62e-05
Bryozoa,,,,,,,,,,,,,,,,3.4e-05,3.1e-05,,,,,,,,
C10-SB1A,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Caldilineae,,,,,,,,,,,,0.00014,4e-05,,6e-05,7.5e-05,5.1e-05,4.7e-05,6.3e-05,5.1e-05,5.4e-05,5.31e-05,5.7e-05,4.86e-05,5.75e-05
Caldisericia,,,,,,,,,,,2e-05,5e-05,4e-05,2e-05,5e-05,4.9e-05,4.3e-05,4.4e-05,4.4e-05,4.4e-05,3.99e-05,4.3e-05,4.19e-05,4.16e-05,4.23e-05
Calditrichia,,,,,,,,,,,,,,,,1.2e-05,9e-06,1.4e-05,9e-06,1.1e-05,1.36e-05,1.39e-05,2.61e-05,2.05e-05,1.37e-05
Candidatus Adlerbacteria,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,4e-07,4e-07,3e-07
Candidatus Amesbacteria,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,5e-07,2e-07
Candidatus Aminicenantia,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.7e-06,1.4e-06,9e-07,1.2e-06
Candidatus Azambacteria,,,,,,,,,,,,,,,,,,,2e-06,3e-06,5.9e-06,5.8e-06,6.1e-06,5.8e-06,5.8e-06
Candidatus Babeliae,,,,,,,,,,,,,,,,,,2e-06,,,7e-07,3e-07,,4e-07,8e-07
Candidatus Bathyarchaeia,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,2e-07,4e-07,5e-07
Candidatus Beckwithbacteria,,,,,,,,,,,,,,,,,,7e-06,,,4.3e-06,5.1e-06,4.6e-06,4.3e-06,3.5e-06
Candidatus Campbellbacteria,,,,,,,,0.0002,,,,,,,,6e-06,1.1e-05,1.4e-05,4e-06,2e-05,1.13e-05,1.2e-05,1.17e-05,1.12e-05,1.31e-05
Candidatus Collierbacteria,,,,,,0.001,,0.0008,,0.0012,0.00059,0.00072,0.00087,0.0008,0.0007,0.000811,0.000744,0.000779,0.000756,0.000749,0.0007849,0.0007844,0.0008003,0.0007856,0.0007901
Candidatus Curtissbacteria,,,,,,,,,,,,,,,,,,,,,9e-07,5.7e-06,1e-06,9.1e-06,6e-07
Candidatus Daviesbacteria,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,1.7e-06,8e-07,6e-07
Candidatus Falkowbacteria,,,,,,,,,,,2e-05,,,,,1e-05,6e-06,8e-06,9e-06,8e-06,5.4e-06,6.4e-06,7.9e-06,5.8e-06,7.3e-06
Candidatus Giovannonibacteria,,,,,,,,,,,,,,,,4e-06,5e-06,5e-06,3e-06,7e-06,2.2e-06,2.7e-06,2.3e-06,2.6e-06,2.3e-06
Candidatus Izimaplasma,,,,,,,,,,,,,,,,,,,,,1.2e-06,8e-07,8e-07,5e-07,9e-07
Candidatus Jorgensenbacteria,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Candidatus Kuenenbacteria,,,,,,,,,,,,,,,,,,,,,1.3e-06,,,2e-07,1.3e-06
Candidatus Levybacteria,,,,,,,,,,,,,,,,,,,,,0.0002914,0.000258,0.0001781,0.0003318,0.0001327
Candidatus Magasanikbacteria,,,,,,,,,,,,,,,,,,,,,8e-07,2.4e-06,1.6e-06,1.2e-06,9e-07
Candidatus Moranbacteria,,,,,,,,,,,,,,,,2e-06,,2e-06,,,1.4e-06,1.6e-06,1.4e-06,1.3e-06,1.5e-06
Candidatus Nanoarchaeia,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,5e-07,4e-07
Candidatus Nomurabacteria,,,,,,,,,,,,,,,,,,,,,2.8e-06,2.7e-06,4e-07,6e-07,2.4e-06
Candidatus Pacebacteria,,,,,,,,,,,,5e-05,,,,,,,,,5.2e-06,,8e-07,1.16e-05,1e-06
Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17 ,,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,,
Candidatus Peribacteria,,,,,,,,,,,,,,,,,,,,,5.5e-06,5.2e-06,5.2e-06,5e-06,5.1e-06
Candidatus Poseidoniia,,,,,,,,,,,,,,,,8e-06,6e-06,1.2e-05,1.1e-05,1.6e-05,1.12e-05,1.12e-05,1.17e-05,1.11e-05,1.08e-05
Candidatus Roizmanbacteria,,,,,,,,,,,,,,,,,,,,,1.29e-05,1.33e-05,9.6e-06,1.36e-05,1.09e-05
Candidatus Saccharimonadia,,,,,,,,,,,,,7e-05,,,,,1.2e-05,,1.4e-05,2.9e-05,9.9e-06,7.5e-06,1.18e-05,3.13e-05
Candidatus Sericytochromatia,,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,,7e-07
Candidatus Shapirobacteria,,,,,,,,,,,,,,,,,,3e-05,,,8.9e-06,9.2e-06,8.5e-06,8.1e-06,9.6e-06
Candidatus Sumerlaeia,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,1.5e-06,1.9e-06,1.3e-06
Candidatus Uhrbacteria,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
Candidatus Woesebacteria,,,,,,,,,,,,,,,,1.1e-05,,,2e-06,,8.6e-06,1.17e-05,2.56e-05,3.13e-05,3.17e-05
Candidatus Wolfebacteria,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,6e-07,4e-07,4e-07
Candidatus Wolfebacteria bacterium GW2011_GWA2_47_9b ,,,,,,,,,,,,,,,,,,,,,7e-07,,9e-07,,
Candidatus Yanofskybacteria,,,,,,,,,,,,,,,,,,,,,,4e-07,,,3e-07
Catenulida,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,,8e-07
Caudofoveata,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,
Cephalopoda,,,,,,,,,,,,,,,,,,,,7e-06,4.7e-06,5.5e-06,5e-06,6.3e-06,6.6e-06
Cestoda,,,,,,,,,,,,,,,,,,,,,4.7e-06,1.2e-06,1.8e-06,4.1e-06,4.4e-06
Charophyceae,,,,,,,,,,,,,,,,,,,2e-06,,3.7e-06,3.5e-06,3.6e-06,2.3e-06,2.9e-06
Chilopoda,,,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,7e-07
Chitinivibrionia,,,,,,,,,,,,,,,,1.4e-05,2.4e-05,2.4e-05,1.4e-05,1.4e-05,2.01e-05,2.1e-05,1.85e-05,2.15e-05,1.99e-05
Chitinophagia,,,,,,,,,,,0.00022,0.00022,0.00015,0.00018,0.00031,0.00015,0.000123,0.000129,0.000158,0.000118,0.0001564,0.0001557,0.0001576,0.0001542,0.0001573
Chlamydiae,,,,,,,,,,,9e-05,0.00015,5e-05,0.00014,8e-05,0.000131,0.000134,9.2e-05,0.00012,0.00013,0.0001156,0.0001161,0.0001132,0.0001075,0.0001157
Chlamydiia,,,,,,,,,,,0.00015,0.0001,,0.00013,0.00015,0.000113,6.1e-05,3.9e-05,7.3e-05,7.4e-05,6.45e-05,7.04e-05,7.22e-05,7.41e-05,6.94e-05
Chlorarachniophyceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Chlorobia,,,,,,,,,,,,,,,,4e-06,6e-06,6e-06,8e-06,2e-06,9.5e-06,8.8e-06,8e-06,8e-06,8.4e-06
Chlorobiia,,,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,2e-07,7e-07
Chlorodendrophyceae,,,,,,,,,,,,,,,,1.7e-05,2.8e-05,1.6e-05,2.2e-05,2.9e-05,3.15e-05,3.01e-05,3.31e-05,2.47e-05,3.03e-05
Chloroflexia,,,,,,,,,,,,,,,,2.5e-05,2.1e-05,1.2e-05,3.4e-05,3.1e-05,4.02e-05,3.67e-05,3.56e-05,3.69e-05,4.15e-05
Chlorokybophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,2.1e-06,1.1e-06
Chlorophyceae,,,,0.01,0.005,0.0045,0.0036,0.003,0.0032,0.0028,0.00325,0.00331,0.0028,0.00291,0.00327,0.003212,0.003244,0.003106,0.003188,0.003191,0.0031979,0.0031926,0.0031906,0.0031847,0.0031968
Chloroplast,0.029,0.037,0.026,0.029,0.022,0.0268,0.0294,0.0276,0.0285,0.0279,0.02638,0.02661,0.02676,0.02708,0.02626,0.026455,0.026343,0.026654,0.026727,0.026288,0.0265122,0.0265172,0.026503,0.0265415,0.0264856
Chloroplastida,,,,,,0.0008,0.0009,0.0007,0.0014,0.0009,0.00102,0.00111,0.00107,0.00138,0.00115,0.001071,0.001058,0.00106,0.00127,0.001158,0.0011766,0.001086,0.0011616,0.0010914,0.0010732
Choanoflagellata,,,,,,,,,,,0.00038,0.00022,0.00036,0.00028,0.00025,0.000296,0.000305,0.000309,0.000291,0.000269,0.0003051,0.0002979,0.0002961,0.0002938,0.000297
Chondrichthyes,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,
Chordata,0.004,0.01,0.007,0.01,0.008,0.0093,0.0073,0.0107,0.0086,0.0096,0.00893,0.00897,0.00932,0.0091,0.00941,0.009014,0.008998,0.008978,0.008906,0.009013,0.0089556,0.0089663,0.0089709,0.0089606,0.0090195
Chromadorea,0.009,,0.007,,,0.0037,0.0048,0.0034,0.0041,0.0024,0.00448,0.00439,0.00489,0.00484,0.00467,0.004703,0.00465,0.004653,0.004633,0.004589,0.0047161,0.0047076,0.0046953,0.0047066,0.004706
Chrysophyceae,,,,,,,,,,,,,,,,,,,,,3.8e-06,6.2e-06,4.1e-06,3.9e-06,5.6e-06
Chthonomonadetes,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,2e-07,6e-07
Chytridiomycetes,,,,,,,,,,,0.0004,0.0003,0.00037,0.00023,0.0002,0.000363,0.000306,0.000378,0.000362,0.00028,0.0003451,0.0003389,0.0003399,0.0003391,0.0003381
Clitellata,,,,,,,,,,,,,,,,,,,2e-06,,3e-07,6e-07,4e-07,5e-07,5e-07
Cloacimonadia,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,5e-07,8e-07,5e-07
Cloacimonetes Unknown Order,,,,,,,,,,,,,,,,,,,,,1.2e-06,9e-07,1.4e-06,1.2e-06,1.2e-06
Clostridia,,,,,,0.0027,0.0056,,,0.0056,0.00382,0.00368,0.00251,0.00124,0.00261,0.002501,0.002395,0.002476,0.002241,0.002387,0.0023161,0.0023112,0.0022942,0.0023053,0.0023412
Cnidaria,,,,,,,,,,,0.00014,,0.00012,0.00014,0.00023,0.000123,0.000162,0.000124,0.000116,0.000147,0.0001913,0.000186,0.0001825,0.0002012,0.0001949
Coleochaetophyceae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Collembola,,,,,,,,,,,,,,,,,,,,3e-06,2.5e-06,2.9e-06,3.7e-06,3.3e-06,3.1e-06
Colpodea,,,,,,,,,,,,,,,,,,5.8e-05,,,5e-07,1.35e-05,1.91e-05,1.4e-05,1.61e-05
Compsopogonophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,2e-07,2e-07
Conoidasida,0.027,0.024,0.045,0.017,0.019,0.0272,0.0257,0.0233,0.0258,0.0235,0.0216,0.0214,0.0214,0.02178,0.02155,0.021036,0.020903,0.02118,0.020865,0.020971,0.0208085,0.0208324,0.0208449,0.0208611,0.0208394
Coprothermobacteria,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Coriobacteriia,,,,,,,,0.0052,,,0.0015,,0.0042,0.00268,0.00372,0.001442,0.00193,0.001906,0.001976,0.000917,0.0006686,0.0006709,0.0006609,0.0006733,0.0006548
Coscinodiscophyceae,,0.01,0.005,0.01,0.005,0.0087,0.0105,0.0091,0.0103,0.0112,0.00764,0.0078,0.0074,0.00769,0.0071,0.007894,0.007747,0.007739,0.007924,0.007827,0.0077597,0.0077271,0.0077697,0.0078157,0.0077637
Craspedida,,,,,,,,0.0015,,0.0012,0.00042,0.00035,0.00032,0.00046,0.00038,0.000373,0.000389,0.000421,0.000395,0.00038,0.000396,0.0003848,0.0003888,0.000392,0.0003853
Crinoidea,,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,,
Cryptomonadales,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,5e-07,4e-07
