Species,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Blautia_caecimuris,0.0067022,0.0066906,0.0066744,0.0067103,0.0067193,0.0,0.0,0.0,0.0,0.0,0.00669936,0.0,1.7500657130519594e-05,0.0
Blautia_hydrogenotrophica,0.004054,0.0040642,0.0040966,0.0040873,0.0040569,0.0,0.0,0.0,0.0,0.0,0.0040717999999999996,0.0,1.9051902792109795e-05,0.0
Blautia_producta,0.0043161,0.0043022,0.0043223,0.0042734,0.0043309,0.0,0.0,0.0,0.0,0.0,0.00430898,0.0,2.2475030589523194e-05,0.0
Blautia_wexlerae,0.2442497,0.2442564,0.2444249,0.2441032,0.2442449,0.0,0.0,0.0,0.0,0.0,0.24425581999999996,0.0,0.00011405913816963874,0.0
Candida_albicans,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.0,0.0,0.0,0.0,0.0,0.08073484,0.0,4.0195746043578434e-05,0.0
Catabacter_hongkongensis,0.0001513,0.0001502,0.00015,0.0001522,0.000148,0.0,0.0,0.0,0.0,0.0,0.00015034,0.0,1.580506248010434e-06,0.0
Clostridia_bacterium,0.0042086,0.0042283,0.0042166,0.0041977,0.0042094,0.0,0.0,0.0,0.0,0.0,0.0042121200000000015,0.0,1.128702795247698e-05,0.0
Clostridia_bacterium_UC5_1_1D1,0.0003733,0.0003661,0.0003692,0.0003606,0.0003752,0.0,0.0,0.0,0.0,0.0,0.00036888,0.0,5.828121481232194e-06,0.0
Clostridia_unclassified_SGB4121,0.0002029,0.0001977,0.000204,0.0001946,0.0002064,0.0,0.0,0.0,0.0,0.0,0.00020112,0.0,4.836010752676222e-06,0.0
Clostridiaceae_bacterium,0.0181763,0.0181303,0.0180967,0.0181539,0.0181787,0.0,0.0,0.0,0.0,0.0,0.018147179999999995,0.0,3.4350429400518176e-05,0.0
Clostridiales_bacterium,0.0005413,0.0005389,0.0005392,0.0005511,0.0005444,0.0,0.0,0.0,0.0,0.0,0.00054298,0.0,5.042519211663947e-06,0.0
Clostridiales_bacterium_1_7_47FAA,0.0005798,0.0005811,0.000601,0.0005857,0.0005873,0.0,0.0,0.0,0.0,0.0,0.00058698,0.0,8.43249666468952e-06,0.0
Clostridium_innocuum,0.0019724,0.0019776,0.0019936,0.0019703,0.001991,0.0,0.0,0.0,0.0,0.0,0.00198098,0.0,1.0709435092478058e-05,0.0
Clostridium_leptum,9.75e-05,0.0001033,0.0001027,0.0001018,0.000103,0.0,0.0,0.0,0.0,0.0,0.00010165999999999999,0.0,2.3922792479140063e-06,0.0
Clostridium_massiliamazoniense,0.0005855,0.000577,0.0005849,0.0005775,0.0005696,0.0,0.0,0.0,0.0,0.0,0.0005789,0.0,6.550190836914594e-06,0.0
Clostridium_phoceensis,0.0001455,0.0001445,0.0001477,0.0001449,0.0001418,0.0,0.0,0.0,0.0,0.0,0.00014487999999999998,0.0,2.1194338866782365e-06,0.0
Clostridium_scindens,0.0023724,0.0023669,0.0023633,0.0023775,0.0023742,0.0,0.0,0.0,0.0,0.0,0.00237086,0.0,5.710779281324006e-06,0.0
Clostridium_sp_AT4,0.0044646,0.0044611,0.0044823,0.004452,0.0044406,0.0,0.0,0.0,0.0,0.0,0.00446012,0.0,1.5491513805951773e-05,0.0
Clostridium_sp_chh4_2,0.0003203,0.0003184,0.0003197,0.0003197,0.0003212,0.0,0.0,0.0,0.0,0.0,0.00031986,0.0,1.021273714534944e-06,0.0
Clostridium_symbiosum,0.0049832,0.0049789,0.0050069,0.0049795,0.0049808,0.0,0.0,0.0,0.0,0.0,0.00498586,0.0,1.1876994569334429e-05,0.0
Cuneatibacter_caecimuris,0.0003454,0.0003342,0.0003319,0.0003289,0.0003346,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,6.2405929205484875e-06,0.0
Dialister_invisus,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.0,0.0,0.0,0.0,0.0,0.008947880000000002,0.0,2.851573249979736e-05,0.0
Dielma_fastidiosa,5.45e-05,5.06e-05,5.32e-05,5.41e-05,5.27e-05,0.0,0.0,0.0,0.0,0.0,5.302e-05,0.0,1.5287249589118398e-06,0.0
Dysosmobacter_welbionis,0.0006715,0.0006614,0.0006727,0.000666,0.0006724,0.0,0.0,0.0,0.0,0.0,0.0006688,0.0,4.951262465270839e-06,0.0
Eggerthella_lenta,0.0130744,0.0131679,0.0131791,0.0131952,0.0131376,0.0,0.0,0.0,0.0,0.0,0.01315084,0.0,4.763363307580064e-05,0.0
Eisenbergiella_tayi,0.0020144,0.0020052,0.0020139,0.0020242,0.0020044,0.0,0.0,0.0,0.0,0.0,0.00201242,0.0,8.082821289624035e-06,0.0
Emergencia_timonensis,9.71e-05,9.12e-05,9.85e-05,9.55e-05,9.81e-05,0.0,0.0,0.0,0.0,0.0,9.607999999999999e-05,0.0,2.963443942442645e-06,0.0
Enterocloster_aldensis,8.6e-05,8.88e-05,8.68e-05,9.22e-05,8.65e-05,0.0,0.0,0.0,0.0,0.0,8.806000000000001e-05,0.0,2.547155275989277e-06,0.0
Enterocloster_bolteae,0.0006077,0.0006121,0.000617,0.0006224,0.0006127,0.0,0.0,0.0,0.0,0.0,0.00061438,0.0,5.5639015088335255e-06,0.0
Enterocloster_citroniae,0.0001486,0.0001523,0.0001579,0.0001437,0.0001529,0.0,0.0,0.0,0.0,0.0,0.00015108,0.0,5.2898015085634325e-06,0.0
Enterocloster_clostridioformis,0.0216153,0.0215529,0.0216036,0.0216014,0.0215561,0.0,0.0,0.0,0.0,0.0,0.021585860000000002,0.0,2.9133022500248555e-05,0.0
Enterocloster_lavalensis,0.0015301,0.0015473,0.0015241,0.0015311,0.0015242,0.0,0.0,0.0,0.0,0.0,0.00153136,0.0,9.483037488062522e-06,0.0
Erysipelatoclostridium_ramosum,0.0013582,0.0013531,0.0013749,0.0013622,0.0013448,0.0,0.0,0.0,0.0,0.0,0.00135864,0.0,1.1174658831481204e-05,0.0
Erysipelotrichaceae_bacterium_3_1_53,0.0004871,0.0004806,0.0004745,0.0004867,0.0004841,0.0,0.0,0.0,0.0,0.0,0.0004826,0.0,5.218237250259909e-06,0.0
Escherichia_coli,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.0,0.0,0.0,0.0,0.0,0.034305180000000005,0.0,6.246084373429571e-05,0.0
Eubacterium_callanderi,0.0012675,0.0012585,0.0012572,0.0012568,0.0012631,0.0,0.0,0.0,0.0,0.0,0.00126062,0.0,4.589880172727821e-06,0.0
Evtepia_gabavorous,0.0008685,0.0008613,0.0008678,0.0008684,0.000872,0.0,0.0,0.0,0.0,0.0,0.0008676000000000002,0.0,3.890372732785414e-06,0.0
Faecalibacillus_intestinalis,0.0001723,0.0001714,0.0001703,0.0001727,0.0001712,0.0,0.0,0.0,0.0,0.0,0.00017158,0.0,9.471008394041267e-07,0.0
Faecalibacterium_prausnitzii,0.0047339,0.0047091,0.0047349,0.004751,0.0047216,0.0,0.0,0.0,0.0,0.0,0.004730099999999999,0.0,1.571257458216191e-05,0.0
Faecalicatena_contorta,0.0001333,0.0001348,0.0001261,0.0001308,0.0001282,0.0,0.0,0.0,0.0,0.0,0.00013063999999999998,0.0,3.5697338836389433e-06,0.0
Faecalicatena_orotica,1.25e-05,1.34e-05,1.42e-05,1.42e-05,1.49e-05,0.0,0.0,0.0,0.0,0.0,1.384e-05,0.0,9.181503144910418e-07,0.0
Faecalimonas_umbilicata,0.004,0.0040156,0.0039874,0.0039901,0.0039725,0.0,0.0,0.0,0.0,0.0,0.003993120000000001,0.0,1.5966433540399648e-05,0.0
Flavonifractor_plautii,0.0005803,0.0005832,0.000585,0.000576,0.0005859,0.0,0.0,0.0,0.0,0.0,0.00058208,0.0,4.015843622453441e-06,0.0
GGB3005_SGB3996,0.003814,0.0038685,0.0038526,0.0038353,0.0038418,0.0,0.0,0.0,0.0,0.0,0.00384244,0.0,2.0264328264218333e-05,0.0
GGB3256_SGB4303,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
GGB3433_SGB4573,0.020974,0.0209483,0.0209078,0.0208712,0.0209406,0.0,0.0,0.0,0.0,0.0,0.020928380000000003,0.0,3.975049685224067e-05,0.0
GGB3743_SGB5086,8.46e-05,8.55e-05,8.37e-05,8.94e-05,8.51e-05,0.0,0.0,0.0,0.0,0.0,8.566e-05,0.0,2.1961329650091794e-06,0.0
GGB3746_SGB5089,0.0001474,0.0001429,0.0001463,0.000146,0.0001472,0.0,0.0,0.0,0.0,0.0,0.00014596,0.0,1.8091434437324196e-06,0.0
GGB45432_SGB63101,0.0003109,0.0002969,0.0002988,0.0003081,0.0003057,0.0,0.0,0.0,0.0,0.0,0.00030408,0.0,6.0151475459875525e-06,0.0
GGB6649_SGB9391,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,0.0,0.0,0.0,0.0,0.0,0.00012844,0.0,3.2692506786724093e-06,0.0
GGB9524_SGB14923,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
GGB9581_SGB14999,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
GGB9739_SGB15313,0.0002155,0.0002208,0.000213,0.0002099,0.0002196,0.0,0.0,0.0,0.0,0.0,0.00021576,0.0,4.53243863720183e-06,0.0
Gordonibacter_pamelaeae,0.0035621,0.0035546,0.003583,0.0035421,0.0035331,0.0,0.0,0.0,0.0,0.0,0.00355498,0.0,1.9239204765270274e-05,0.0
Gordonibacter_urolithinfaciens,4.9e-05,4.8e-05,5.19e-05,5.13e-05,5.02e-05,0.0,0.0,0.0,0.0,0.0,5.008e-05,0.0,1.6053037095827073e-06,0.0
Harryflintia_acetispora,0.0002384,0.0002354,0.0002339,0.0002374,0.0002373,0.0,0.0,0.0,0.0,0.0,0.00023648,0.0,1.804716044146557e-06,0.0
Holdemania_filiformis,7.12e-05,6.92e-05,6.93e-05,6.67e-05,6.51e-05,0.0,0.0,0.0,0.0,0.0,6.83e-05,0.0,2.3989581071790323e-06,0.0
Hungatella_hathewayi,0.0018613,0.0018724,0.0018799,0.0018772,0.0018491,0.0,0.0,0.0,0.0,0.0,0.00186798,0.0,1.2725054027390257e-05,0.0
Intestinimonas_gabonensis,8e-07,7e-07,1e-06,8e-07,7e-07,0.0,0.0,0.0,0.0,0.0,8e-07,0.0,1.224744871391589e-07,0.0
Intestinimonas_massiliensis,4.29e-05,4.39e-05,4.14e-05,4.24e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,4.192e-05,0.0,1.864671552847848e-06,0.0
Lachnospiraceae_bacterium,0.0114848,0.0115063,0.0115361,0.0115005,0.0114777,0.0,0.0,0.0,0.0,0.0,0.01150108,0.0,2.2724700218044833e-05,0.0
Lachnospiraceae_bacterium_NSJ_29,0.0004305,0.0004259,0.0004308,0.0004332,0.000437,0.0,0.0,0.0,0.0,0.0,0.00043148,0.0,4.061649911058313e-06,0.0
Lacticaseibacillus_rhamnosus,0.0003312,0.0003323,0.0003272,0.0003247,0.0003275,0.0,0.0,0.0,0.0,0.0,0.00032858000000000003,0.0,3.1156058800817578e-06,0.0
Lactobacillus_crispatus,0.0001312,0.0001205,0.0001235,0.0001205,0.0001274,0.0,0.0,0.0,0.0,0.0,0.00012461999999999998,0.0,4.642951647389834e-06,0.0
Lactonifactor_sp_BIOML_A6,4.75e-05,4.69e-05,4.55e-05,4.57e-05,4.56e-05,0.0,0.0,0.0,0.0,0.0,4.6240000000000005e-05,0.0,9.044335243676025e-07,0.0
Longibaculum_muris,0.00435,0.0043435,0.0043833,0.004366,0.0043651,0.0,0.0,0.0,0.0,0.0,0.00436158,0.0,1.55295524726245e-05,0.0
Longicatena_caecimuris,0.0292098,0.0293807,0.029224,0.0291988,0.0292608,0.0,0.0,0.0,0.0,0.0,0.029254819999999997,0.0,7.415599773450501e-05,0.0
Massilimaliae_massiliensis,1.01e-05,8.7e-06,8.4e-06,8.4e-06,1.05e-05,0.0,0.0,0.0,0.0,0.0,9.22e-06,0.0,1.0034938963441682e-06,0.0
Mediterraneibacter_glycyrrhizinilyticus,0.0003292,0.0003379,0.0003391,0.0003299,0.0003362,0.0,0.0,0.0,0.0,0.0,0.00033445999999999997,0.0,4.605757266726072e-06,0.0
Monoglobus_pectinilyticus,0.0243387,0.024244,0.0242623,0.024302,0.0242488,0.0,0.0,0.0,0.0,0.0,0.02427916,0.0,4.0338852239497336e-05,0.0
Murimonas_intestini,3.32e-05,3.38e-05,3.36e-05,3.4e-05,3.56e-05,0.0,0.0,0.0,0.0,0.0,3.4040000000000006e-05,0.0,9.208691546577063e-07,0.0
Neglecta_timonensis,0.009603,0.0095758,0.0094899,0.0095516,0.0095643,0.0,0.0,0.0,0.0,0.0,0.00955692,0.0,4.199484492172804e-05,0.0
Neobittarella_massiliensis,4.54e-05,4.7e-05,4.2e-05,4.53e-05,4.39e-05,0.0,0.0,0.0,0.0,0.0,4.472e-05,0.0,1.875366630821824e-06,0.0
Parabacteroides_distasonis,0.0465851,0.046655,0.0465448,0.0466274,0.0465006,0.0,0.0,0.0,0.0,0.0,0.04658258,0.0,6.20642570244741e-05,0.0
Phocea_massiliensis,1.93e-05,1.98e-05,1.96e-05,2e-05,1.96e-05,0.0,0.0,0.0,0.0,0.0,1.966e-05,0.0,2.607680962081061e-07,0.0
Roseburia_faecis,0.0529262,0.0531685,0.0529753,0.0530241,0.0530316,0.0,0.0,0.0,0.0,0.0,0.05302513999999999,0.0,9.06477412846011e-05,0.0
Rothia_dentocariosa,3.18e-05,3.21e-05,3.39e-05,3.45e-05,3.59e-05,0.0,0.0,0.0,0.0,0.0,3.364e-05,0.0,1.708215443086731e-06,0.0
Rothia_mucilaginosa,0.0002439,0.0002381,0.0002425,0.0002467,0.0002398,0.0,0.0,0.0,0.0,0.0,0.0002422,0.0,3.3837848631377224e-06,0.0
Ruminococcus_bromii,0.0941087,0.0942361,0.0940487,0.0941959,0.094218,0.0,0.0,0.0,0.0,0.0,0.09416147999999999,0.0,7.976911683101402e-05,0.0
Ruminococcus_gauvreauii,1.83e-05,2.07e-05,1.61e-05,1.88e-05,1.9e-05,0.0,0.0,0.0,0.0,0.0,1.8579999999999998e-05,0.0,1.6543881044059766e-06,0.0
Ruminococcus_gnavus,0.0118534,0.0118702,0.0118701,0.0118856,0.011915,0.0,0.0,0.0,0.0,0.0,0.011878860000000002,0.0,2.319198137287988e-05,0.0
Ruminococcus_torques,0.0452259,0.0451268,0.0452352,0.0452059,0.0452128,0.0,0.0,0.0,0.0,0.0,0.04520132,0.0,4.3179937471005814e-05,0.0
Ruthenibacterium_lactatiformans,7.85e-05,7.85e-05,7.77e-05,7.85e-05,7.87e-05,0.0,0.0,0.0,0.0,0.0,7.838e-05,0.0,3.898717737923562e-07,0.0
Scardovia_wiggsiae,0.0001348,0.000135,0.0001333,0.0001334,0.0001366,0.0,0.0,0.0,0.0,0.0,0.00013462,0.0,1.3535139452551006e-06,0.0
Sellimonas_intestinalis,0.0030364,0.0030591,0.0030378,0.0030492,0.0030506,0.0,0.0,0.0,0.0,0.0,0.0030466200000000003,0.0,9.493260767513005e-06,0.0
Streptococcus_anginosus,5.93e-05,5.83e-05,5.78e-05,6.05e-05,6.13e-05,0.0,0.0,0.0,0.0,0.0,5.944e-05,0.0,1.4656056768448997e-06,0.0
Streptococcus_gordonii,4.81e-05,5.16e-05,5.03e-05,5.5e-05,5.09e-05,0.0,0.0,0.0,0.0,0.0,5.118000000000001e-05,0.0,2.505394180563212e-06,0.0
Streptococcus_mutans,0.0010345,0.0010216,0.001032,0.0010386,0.00104,0.0,0.0,0.0,0.0,0.0,0.00103334,0.0,7.297122720634507e-06,0.0
Streptococcus_parasanguinis,0.0009204,0.0009026,0.0009228,0.0009152,0.000908,0.0,0.0,0.0,0.0,0.0,0.0009138,0.0,8.449852069711044e-06,0.0
Streptococcus_salivarius,0.0007104,0.0007212,0.0007168,0.0007086,0.0007186,0.0,0.0,0.0,0.0,0.0,0.00071512,0.0,5.401110996822771e-06,0.0
Streptococcus_sobrinus,0.0022816,0.0023035,0.0022873,0.0023121,0.002301,0.0,0.0,0.0,0.0,0.0,0.0022971,0.0,1.2424371211453786e-05,0.0
Streptococcus_thermophilus,0.0068488,0.0068652,0.0068656,0.0068717,0.0068748,0.0,0.0,0.0,0.0,0.0,0.00686522,0.0,1.004400318598106e-05,0.0
Turicibacter_sanguinis,0.0024854,0.0024699,0.0024832,0.0024728,0.0024879,0.0,0.0,0.0,0.0,0.0,0.00247984,0.0,7.992684154900644e-06,0.0
Acinetobacter sp. Salman2  ,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,0.0,0.0,0.0,0.0,0.0,6.08352663232181e-07,0.0,1.3603179092801938e-06
Actinopterygii,0.0,0.0,0.0,0.0,0.0,2.8451865333829448e-08,7.124712601041818e-08,9.95577373735117e-08,7.131673411445869e-08,4.271655131616462e-08,0.0,6.265800282967653e-08,0.0,2.774012619262962e-08
Adeleorina,0.0,0.0,0.0,0.0,0.0,0.0,1.2824482681875274e-07,1.2800280519451505e-07,1.2837012140602563e-07,1.7086620526465848e-07,0.0,1.1109679173679037e-07,0.0,6.479412829057148e-08
Agrobacterium sp. ZX09  ,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,7.616966119360399e-06,9.123109800547285e-06,7.624407859116075e-06,9.133576112629948e-06,0.0,7.6121409731790134e-06,0.0,1.863960252184698e-06
Albicans,0.0,0.0,0.0,0.0,0.0,0.13163057756232122,0.1318472952512175,0.13161328076289933,0.13198873249499327,0.13176942602932476,0.0,0.13176986242015123,0.0,0.00015637953065677143
Alteromonas stellipolaris LMG 21856 ,0.0,0.0,0.0,0.0,0.0,0.0,3.351465092518575e-05,3.345140260200671e-05,4.1171802439226804e-05,3.6534304450519794e-05,0.0,2.893443208338781e-05,0.0,1.6477970752763207e-05
Anaerofustis stercorihominis DSM 17244 ,0.0,0.0,0.0,0.0,0.0,0.0006554999946326751,0.000670293018503715,0.0006264535396375802,0.0006465497864530432,0.0006317390144569048,0.0,0.0006461070707367837,0.0,1.7791046988817767e-05
Anaerotruncus sp. NML 070203 ,0.0,0.0,0.0,0.0,0.0,9.125289948482716e-06,0.0,0.0,1.0674171002762506e-05,0.0,0.0,3.9598921902490444e-06,0.0,5.449887899033307e-06
Aphagea,0.0,0.0,0.0,0.0,0.0,0.0,5.6997700808334555e-08,0.0,0.0,0.0,0.0,1.139954016166691e-08,0.0,2.5490146713726153e-08
Archaeognatha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2667601731505016e-08,0.0,0.0,0.0,8.533520346301003e-09,0.0,1.9081531581706588e-08
Armophorida,0.0,0.0,0.0,0.0,0.0,2.916316196717518e-06,3.0351275680438145e-06,3.1858475959523742e-06,3.465993277962692e-06,3.232219049589789e-06,0.0,3.167100737653238e-06,0.0,2.0870936333049954e-07
Artomyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.695540175488616e-08,0.0,1.1391080350977232e-08,0.0,2.5471230001947253e-08
Aspergillus,0.0,0.0,0.0,0.0,0.0,0.0,2.8498850404167278e-08,0.0,2.8526693645783477e-08,2.847770087744308e-08,0.0,1.7100648985478764e-08,0.0,1.5610694998636603e-08
Bacillariophyceae,0.0,0.0,0.0,0.0,0.0,5.576565605430571e-06,5.457529852398033e-06,5.404562885990635e-06,5.719602075979586e-06,5.567390521540122e-06,0.0,5.54513018826779e-06,0.0,1.2181659657583838e-07
Bacillus aerius   ,0.0,0.0,0.0,0.0,0.0,1.825057989696543e-05,0.0,9.123109800547285e-06,0.0,0.0,0.0,5.474737939502543e-06,0.0,8.161663762328394e-06
Bacillus aryabhattai   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574644715469645e-06,0.0,0.0,9.149289430939289e-07,0.0,2.0458433113400618e-06
Bacillus licheniformis   ,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,0.0,9.123109800547285e-06,6.09952628729286e-06,0.0,0.0,3.9570562124163e-06,0.0,3.967417711247339e-06
Bacillus sp. mixed culture J3-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04976314364643e-06,6.089050741753299e-06,0.0,1.8277627770799456e-06,0.0,2.7236928204918586e-06
Bacillus subtilis   ,0.0,0.0,0.0,0.0,0.0,7.604408290402263e-06,1.2187145790976638e-05,7.6025915004560704e-06,1.0674171002762506e-05,3.0445253708766496e-06,0.0,8.222568391094825e-06,0.0,3.510941899954837e-06
Bacteroides intestinalis,0.0,0.0,0.0,0.0,0.0,1.9771461555045883e-05,4.417840349229031e-05,1.9766737901185782e-05,5.184597344198931e-05,2.7400728337889845e-05,0.0,3.259266094568023e-05,0.0,1.4669382164890208e-05
Bacteroides thetaiotaomicron   ,0.0,0.0,0.0,0.0,0.0,1.0646171606563169e-05,0.0,0.0,4.574644715469645e-06,1.2178101483506598e-05,0.0,5.479783561107882e-06,0.0,5.754006441359161e-06
Bernardetia litoralis,0.0,0.0,0.0,0.0,0.0,0.0,3.0467864477441594e-06,3.0410366001824284e-06,0.0,0.0,0.0,1.2175646095853176e-06,0.0,1.6672202440914445e-06
Bilophila wadsworthia 3_1_6  ,0.0,0.0,0.0,0.0,0.0,4.1063804768172224e-05,3.656143737292991e-05,4.8656585602918855e-05,3.812203929558037e-05,3.501204176508147e-05,0.0,3.988318176093657e-05,0.0,5.390503201962632e-06
Blautia producta   ,0.0,0.0,0.0,0.0,0.0,9.125289948482716e-06,1.5233932238720797e-05,1.3684664700820926e-05,1.0674171002762506e-05,1.2178101483506598e-05,0.0,1.217923187485871e-05,0.0,2.4077631269832417e-06
Blautia wexlerae   ,0.0,0.0,0.0,0.0,0.0,0.0002402993019767115,0.00028182774641633473,0.00021439308031286118,0.000283627972359118,0.0001765824715108457,0.0,0.00023934611451517426,0.0,4.563005957839189e-05
Bothrioplanidae,0.0,0.0,0.0,0.0,0.0,1.1380746133531779e-07,1.5674367722292e-07,1.2800280519451505e-07,0.0,1.5662735482593693e-07,0.0,1.1103625971573797e-07,0.0,6.479257319339085e-08
Brevundimonas diminuta   ,0.0,0.0,0.0,0.0,0.0,2.281322487120679e-05,2.5897684805825354e-05,2.280777450136821e-05,3.04976314364643e-05,2.4356202967013197e-05,0.0,2.5274503716375572e-05,0.0,3.188077033680836e-06
Burkholderia sp. COPE9  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0410366001824284e-06,3.04976314364643e-06,4.566788056314974e-06,0.0,2.1315175600287665e-06,0.0,2.042527627948973e-06
Burkholderia sp. UT 2-04 ,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,7.616966119360399e-06,9.123109800547285e-06,7.624407859116075e-06,0.0,0.0,5.785425750653024e-06,0.0,3.63465521328542e-06
Calanoida,0.0,0.0,0.0,0.0,0.0,0.0,4.274827560625091e-08,0.0,5.7053387291566954e-08,4.271655131616462e-08,0.0,2.8503642842796495e-08,0.0,2.666889362416224e-08
Candida sp. P2 ,0.0,0.0,0.0,0.0,0.0,2.461086351376247e-06,3.989839056583418e-07,1.9627096796492303e-06,7.131673411445869e-08,2.40636572414394e-06,0.0,1.4600924789884434e-06,0.0,1.1406900665167626e-06
Candida tropicalis  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3776999153760526e-05,0.0,0.0,4.755399830752105e-06,0.0,1.0633397281752702e-05
Candidatus Stoquefichus sp. SB1,0.0,0.0,0.0,0.0,0.0,3.8022041452011314e-05,3.5038044149057835e-05,0.0,0.0,4.719014324858807e-05,0.0,2.4050045769931446e-05,0.0,2.2406618922279796e-05
Ceratomyxa sp. 2 RJG-2011,0.0,0.0,0.0,0.0,0.0,2.8451865333829448e-08,7.124712601041818e-08,5.6890135642006685e-08,5.7053387291566954e-08,1.1391080350977232e-07,0.0,6.551066355751872e-08,0.0,3.120366203683523e-08
Chaetosphaeridium globosum   ,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,0.0,3.0410366001824284e-06,0.0,4.566788056314974e-06,0.0,2.1299175945316616e-06,0.0,2.041631457255122e-06
