Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Chlorobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.099526287292861e-06,0.0,0.0,1.219905257458572e-06,0.0,2.7277910817867497e-06
Chloroflexi,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,1.5233932238720794e-05,4.561554900273644e-06,4.574644715469646e-06,6.089050741753299e-06,0.0,7.0043655140917475e-06,0.0,4.647484148884995e-06
Chytridiomycota,0.0,0.0,0.0,0.0,0.0,8.535559600148833e-08,7.124712601041817e-08,1.1378027128401341e-07,1.426334682289174e-07,8.543310263232924e-08,0.0,9.968991283143333e-08,0.0,2.8549993650083426e-08
Ciliophora,0.0,0.0,0.0,0.0,0.0,6.401669700111625e-07,7.694689609125163e-07,3.4134081385204023e-07,3.8511036421807703e-07,2.562993078969877e-07,0.0,4.784772833781567e-07,0.0,2.1662557375237554e-07
Cnidaria,0.0,0.0,0.0,0.0,0.0,2.56066788004465e-07,1.4249425202083634e-07,2.1333800865752516e-07,2.1395020234337612e-07,1.423885043872154e-07,0.0,1.9364755108268357e-07,0.0,4.985033294436555e-08
Crenarchaeota,0.0,0.0,0.0,0.0,0.0,9.125289948482716e-06,1.0663752567104557e-05,1.5205183000912146e-05,4.574644715469646e-06,9.133576112629948e-06,0.0,9.740489268919802e-06,0.0,3.8127436458476332e-06
Cryptophyceae,0.0,0.0,0.0,0.0,0.0,2.8451865333829447e-07,1.9949195282917088e-07,1.5644787301551843e-07,2.852669364578348e-07,2.2782160701954464e-07,0.0,2.3070940453207263e-07,0.0,5.560935909404321e-08
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,0.00067222969287156,0.0006215444353398084,0.000623412503037398,0.0006617986021712754,0.0006043382861190149,0.0,0.0006366647039078114,0.0,2.892154006291791e-05
DH147-EKD10,0.0,0.0,0.0,0.0,0.0,4.2677798000744167e-08,0.0,0.0,2.8526693645783484e-08,4.271655131616462e-08,0.0,2.2784208592538455e-08,0.0,2.1588594459561953e-08
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,3.046786447744159e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Deinococcus-Thermus,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,4.570179671616238e-06,4.561554900273644e-06,6.099526287292861e-06,7.611313427191624e-06,0.0,5.1768675205070545e-06,0.0,1.738043138311506e-06
Desulfobacterota,0.0,0.0,0.0,0.0,0.0,4.1063804768172224e-05,4.1131617044546145e-05,4.10539941024628e-05,3.96469208674036e-05,4.110109250683477e-05,0.0,4.0799485857883914e-05,0.0,6.450431547618622e-07
Diapherotrites,0.0,0.0,0.0,0.0,0.0,0.0,3.046786447744159e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Discicristoidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426334682289174e-07,1.1391080350977232e-07,0.0,5.130885434773795e-08,0.0,7.098764812075517e-08
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,6.08352663232181e-06,6.093572895488318e-06,4.561554900273644e-06,4.574644715469646e-06,0.0,0.0,4.262659828710684e-06,0.0,2.5012367052752378e-06
Entomophthoromycota,0.0,0.0,0.0,0.0,0.0,8.67781892681798e-07,7.552195357104326e-07,8.391295007195989e-07,8.415374625506127e-07,8.68569876762014e-07,0.0,8.344476536848911e-07,0.0,4.643483971225546e-08
Euryarchaeota,0.0,0.0,0.0,0.0,0.0,0.0012790614744456607,0.0012050040400828149,0.0012772353720766202,0.0012504028888950364,0.0011219075991680454,0.0,0.0012267222749336355,0.0,6.578285157813978e-05
Excavata,0.0,0.0,0.0,0.0,0.0,1.4510451320253017e-06,1.2681988429854434e-06,1.280028051945151e-06,1.326491254528932e-06,8.400921758845708e-07,0.0,1.2331710914738797e-06,0.0,2.3136081257434965e-07
Fibrobacteres,0.0,0.0,0.0,0.0,0.0,1.5208816580804527e-05,1.6757325462592873e-05,1.3684664700820932e-05,1.5248815718232153e-05,4.566788056314974e-06,0.0,1.309328210375309e-05,0.0,4.8887078849966254e-06
Filasterea,0.0,0.0,0.0,0.0,0.0,1.7071119200297667e-07,1.8524252762708723e-07,1.9911547474702347e-07,1.2837012140602566e-07,1.423885043872154e-07,0.0,1.6516556403406567e-07,0.0,2.940720123733491e-08
Fusobacteria,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,3.046786447744159e-06,0.0,4.574644715469646e-06,0.0,0.0,2.132638895874942e-06,0.0,2.0446187114888046e-06
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,5.4751739690896294e-05,8.073984086522021e-05,8.819006140529045e-05,8.691824959392327e-05,7.611313427191624e-05,0.0,7.734260516544929e-05,0.0,1.3534772671373421e-05
Glomeromycota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6890135642006705e-08,4.279004046867522e-08,0.0,0.0,1.9936035222136387e-08,0.0,2.774998916569821e-08
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,0.0,4.561554900273644e-06,0.0,4.566788056314974e-06,0.0,2.7381975861659954e-06,0.0,2.499621737186204e-06
Ignavibacteriae,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,3.046786447744159e-06,3.0410366001824293e-06,0.0,0.0,0.0,1.8259172728174987e-06,0.0,1.6668282678100276e-06
Lokiarchaeota,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,9.140359343232476e-06,0.0,0.0,0.0,0.0,2.7406008634947667e-06,0.0,4.08685186358173e-06
Metazoa (Animalia),0.0,0.0,0.0,0.0,0.0,2.933387315917816e-05,2.9881044648769383e-05,2.9653983203395993e-05,2.9325441067865416e-05,2.931779305332765e-05,0.0,2.9502427026507318e-05,0.0,2.5502191986210266e-07
Microgenomates,0.0,0.0,0.0,0.0,0.0,7.604408290402263e-05,9.140359343232477e-05,8.362850650501681e-05,8.234360487845362e-05,8.372444769910786e-05,0.0,8.342884708378513e-05,0.0,5.464346154087152e-06
Mucoromycotina,0.0,0.0,0.0,0.0,0.0,1.677237461429246e-05,1.7541042423764954e-05,1.7209266031707027e-05,1.695911937241828e-05,1.677336581681397e-05,0.0,1.705103365179934e-05,0.0,3.272402035120238e-07
Nanohaloarchaeota,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,0.0,9.123109800547288e-06,0.0,4.566788056314974e-06,0.0,3.6505085662207245e-06,0.0,3.816849184368521e-06
Nematozoa,0.0,0.0,0.0,0.0,0.0,6.828447680119067e-07,7.837183861145999e-07,7.680168311670904e-07,7.844840752590457e-07,8.116144750071278e-07,0.0,7.66135707111954e-07,0.0,4.9130058792232744e-08
Nitrospirae,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,3.046786447744159e-06,0.0,7.624407859116077e-06,6.089050741753299e-06,0.0,4.264578004570978e-06,0.0,2.931537274689333e-06
Parcubacteria,0.0,0.0,0.0,0.0,0.0,4.562644974241358e-06,6.093572895488318e-06,6.0820732003648585e-06,7.624407859116077e-06,7.611313427191624e-06,0.0,6.394802471280447e-06,0.0,1.278394331165288e-06
Patescibacteria,0.0,0.0,0.0,0.0,0.0,3.041763316160905e-06,0.0,0.0,3.0497631436464304e-06,3.0445253708766496e-06,0.0,1.8272103661367968e-06,0.0,1.6680096992530577e-06
Planctomycetes,0.0,0.0,0.0,0.0,0.0,6.083526632321811e-05,9.445037988006892e-05,7.754643330465194e-05,0.00010216706531215542,7.915765964279289e-05,0.0,8.283136089257747e-05,0.0,1.6078913088416913e-05
Planctomycetota,0.0,0.0,0.0,0.0,0.0,6.08352663232181e-06,0.0,4.561554900273644e-06,0.0,4.566788056314974e-06,0.0,3.042373917782086e-06,0.0,2.845717715606941e-06
SAR,0.0,0.0,0.0,0.0,0.0,0.00016847772057427106,0.00017050862196813277,0.0001690205929924019,0.0001690777132385587,0.0001705102340036904,0.0,0.00016951897655541098,0.0,9.33983790093209e-07
Saccharibacteria,0.0,0.0,0.0,0.0,0.0,0.0002768004617706424,0.0002818277464163347,0.0002919395136175132,0.00028515285393094125,0.0003014080117167883,0.0,0.00028742571749044396,0.0,9.556125722889266e-06
Spirochaetae,0.0,0.0,0.0,0.0,0.0,0.0005977064916256179,0.0006367783675785292,0.0006918358265415027,0.0006069028655856397,0.0006728401069637396,0.0,0.0006412127316590059,0.0,4.0781772953005835e-05
Tenericutes,0.0,0.0,0.0,0.0,0.0,6.539791129745946e-05,7.616966119360397e-05,7.754643330465194e-05,6.709478916022147e-05,8.372444769910786e-05,0.0,7.398664853100893e-05,0.0,7.640786566375366e-06
Thaumarchaeota,0.0,0.0,0.0,0.0,0.0,2.5854988187367696e-05,3.199125770131367e-05,2.280777450136822e-05,4.117180243922681e-05,3.196751639420482e-05,0.0,3.0758667844696245e-05,0.0,7.047636905246505e-06
Verrucomicrobiota,0.0,0.0,0.0,0.0,0.0,6.387702963937902e-05,7.312287474585981e-05,6.842332350410465e-05,7.319431544751433e-05,7.154634621560127e-05,0.0,7.003277791049181e-05,0.0,3.947102966978846e-06
Woesearchaeota (DHVEG-6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0497631436464304e-06,0.0,0.0,6.09952628729286e-07,0.0,1.3638955408933749e-06
pMC2A209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0410366001824293e-06,0.0,0.0,0.0,6.082073200364859e-07,0.0,1.3599929120145523e-06
