Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Desulfobacterota,0.0,0.0,0.0,0.0,0.0,2.7268862806614377e-06,2.7275355625178427e-06,2.7266935114692304e-06,2.6264244564564078e-06,2.7272112961495918e-06,0.0,2.7069502214509017e-06,0.0,4.501641422950767e-08
Diapherotrites,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Discicristoidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101632524832338e-06,8.080626062665457e-07,0.0,3.636451717499559e-07,0.0,5.030422242785673e-07
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,4.0407934259523594e-07,3.0296594571880336e-07,3.0304897574497013e-07,0.0,0.0,2.8281548334991854e-07,0.0,1.6597180530375132e-07
Entomophthoromycota,0.0,0.0,0.0,0.0,0.0,6.160743078531396e-06,5.354051289386876e-06,5.958330265803133e-06,5.959963189651079e-06,6.161477372782411e-06,0.0,5.918913039230979e-06,0.0,3.3152181408483015e-07
Euryarchaeota,0.0,0.0,0.0,0.0,0.0,8.493745785319515e-05,7.99066899982079e-05,8.483046480126494e-05,8.283338670362517e-05,7.444276760230552e-05,0.0,8.139015339171974e-05,0.0,4.386595116844273e-06
Excavata,0.0,0.0,0.0,0.0,0.0,1.0301570393609876e-05,8.990765372744e-06,9.088978371564101e-06,9.394518248094074e-06,5.959461721215775e-06,0.0,8.747058821445564e-06,0.0,1.6418518045378934e-06
Fibrobacteres,0.0,0.0,0.0,0.0,0.0,1.0099578817264583e-06,1.111218192136899e-06,9.088978371564101e-07,1.0101632524832338e-06,3.0302347734995466e-07,0.0,8.686521281705911e-07,0.0,3.241860952451814e-07
Filasterea,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.3132578634345168e-06,1.4138410800210823e-06,9.091469272349104e-07,1.0100782578331821e-06,0.0,1.1716547173190884e-06,0.0,2.0937206327242712e-07
Fusobacteria,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,0.0,3.0304897574497013e-07,0.0,0.0,1.4141604467757596e-07,0.0,1.3552381610931896e-07
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,3.63584837421525e-06,5.354051289386876e-06,5.8573416172301985e-06,5.757930539154433e-06,5.050391289165911e-06,0.0,5.131112621830533e-06,0.0,8.961503791876851e-07
Glomeromycota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0395459429173784e-07,3.0304897574497013e-07,0.0,0.0,1.4140071400734158e-07,0.0,1.9688015792643248e-07
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,3.0296594571880336e-07,0.0,3.0302347734995466e-07,0.0,1.817953575173391e-07,0.0,1.659556982102356e-07
Ignavibacteriae,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,0.0,0.0,1.2120170895775572e-07,0.0,1.1064151908692927e-07
Lokiarchaeota,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,6.061190138928539e-07,0.0,0.0,0.0,0.0,1.818212756821583e-07,0.0,2.710565995352881e-07
Metazoa (Animalia),0.0,0.0,0.0,0.0,0.0,0.0002082533152119957,0.00021183859535555246,0.00021056133227456835,0.00020768956471055287,0.0002079751132878522,0.0,0.00020926358416810433,0.0,1.8352908890009166e-06
Microgenomates,0.0,0.0,0.0,0.0,0.0,5.0497894086322915e-06,6.061190138928539e-06,5.554375671511395e-06,5.454881563409463e-06,5.555430418082502e-06,0.0,5.535133440112838e-06,0.0,3.60387664106644e-07
Mucoromycotina,0.0,0.0,0.0,0.0,0.0,0.00011907403425554944,0.00012435541768368388,0.0001221962647732507,0.00012010841072025651,0.00011898721877274885,0.0,0.00012094426924109787,0.0,2.3037964001613254e-06
Nanohaloarchaeota,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,6.059318914376067e-07,0.0,3.0302347734995466e-07,0.0,2.4238854666109975e-07,0.0,2.5348421557443123e-07
Nematozoa,0.0,0.0,0.0,0.0,0.0,4.847797832287e-06,5.556090960684494e-06,5.453387022938461e-06,5.555897888657786e-06,5.757446069649138e-06,0.0,5.434123954843376e-06,0.0,3.458292277907494e-07
Nitrospirae,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,2.0203967129761797e-07,0.0,5.050816262416169e-07,4.0403130313327287e-07,0.0,2.8282799303808903e-07,0.0,1.9430114943320288e-07
Parcubacteria,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,4.0407934259523594e-07,4.0395459429173784e-07,5.050816262416169e-07,5.050391289165911e-07,0.0,4.2422841131262386e-07,0.0,8.453404417550923e-08
Patescibacteria,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,1.2120797568171496e-07,0.0,1.1064723834641404e-07
Planctomycetes,0.0,0.0,0.0,0.0,0.0,4.039831526905833e-06,6.263229810226157e-06,5.150421077219658e-06,6.768093791637666e-06,5.252406940732547e-06,0.0,5.494796629344373e-06,0.0,1.0613724544598825e-06
Planctomycetota,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,0.0,3.0296594571880336e-07,0.0,3.0302347734995466e-07,0.0,2.0199451515186826e-07,0.0,1.8894778312484833e-07
SAR,0.0,0.0,0.0,0.0,0.0,0.0011960931193286447,0.0012088033533736483,0.001200149099640753,0.0011974475194936253,0.0012095687137552355,0.0,0.0012024123611183814,0.0,6.35930394662168e-06
Saccharibacteria,0.0,0.0,0.0,0.0,0.0,1.8381233447421542e-05,1.8688669595029662e-05,1.9389820526003415e-05,1.889005282143647e-05,1.9999549505097006e-05,0.0,1.906986517899762e-05,0.0,6.36109383120212e-07
Spirochaetae,0.0,0.0,0.0,0.0,0.0,3.969134475184981e-05,4.222629130120216e-05,4.594983510068518e-05,4.0204497448832706e-05,4.464545899622665e-05,0.0,4.25434855197593e-05,0.0,2.726155456473478e-06
Tenericutes,0.0,0.0,0.0,0.0,0.0,4.342818891423771e-06,5.050991782440449e-06,5.150421077219658e-06,4.4447183109262285e-06,5.555430418082502e-06,0.0,4.908876096018522e-06,0.0,5.080444237430555e-07
Thaumarchaeota,0.0,0.0,0.0,0.0,0.0,1.7169283989349792e-06,2.121416548624989e-06,1.514829728594017e-06,2.7274407817047314e-06,2.1211643414496824e-06,0.0,2.0403559598616794e-06,0.0,4.6528743076457916e-07
Verrucomicrobiota,0.0,0.0,0.0,0.0,0.0,4.241823103251125e-06,4.848952111142831e-06,4.544489185782051e-06,4.848783611919522e-06,4.747367811815956e-06,0.0,4.646283164782297e-06,0.0,2.579967026485447e-07
Woesearchaeota (DHVEG-6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,0.0,0.0,4.040653009932935e-08,0.0,9.035174803699175e-08
pMC2A209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0197729714586892e-07,0.0,0.0,0.0,4.039545942917378e-08,0.0,9.032699326596742e-08
