Class,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Erysipelotrichia,0.0401609,0.0402966,0.0402263,0.0401503,0.0402227,0.0008020075538789806,0.000819775966290085,0.0008084141318263403,0.0008130804019237549,0.000810991833214262,0.04021136,0.0008108539774266847,5.893257163912072e-05,6.495958583551272e-06
Gammaproteobacteria,0.0343448,0.0343198,0.0342263,0.0342571,0.0343779,0.0026068022885241617,0.0026271218458829267,0.0026355007618078705,0.0026451124766273476,0.0026186278834325247,0.034305180000000005,0.002626633051254966,6.246084373429571e-05,1.4813053661236996e-05
Negativicutes,0.008925,0.008937,0.0089291,0.0089951,0.0089532,0.0008742195424224224,0.0008827113238992929,0.0008882961528475315,0.0008790440623109101,0.000886545686900184,0.008947880000000002,0.0008821633536760682,2.851573249979736e-05,5.69979072827527e-06
Saccharomycetes,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9345037263910984,0.9347235076996309,0.9345373401993495,0.9347793146850463,0.9347526818335304,0.08073484,0.934659314161731,4.0195746043578434e-05,0.00012876690171659055
Verrucomicrobiae,0.0003356,0.0003358,0.0003324,0.0003321,0.0003298,9.695595664574e-06,1.101116208572018e-05,1.0502819451585183e-05,1.1212812102563896e-05,1.1615899965081595e-05,0.00033314,1.080765785390497e-05,2.5451915448547312e-06,7.3966681896662e-07
Acidimicrobiia,0.0,0.0,0.0,0.0,0.0,7.069705172085208e-07,6.97036865976782e-06,0.0,2.929473432201378e-06,2.4241878187996373e-06,0.0,2.6062000855954713e-06,0.0,2.7195106777358214e-06
Acidobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,8.080966041265663e-08,0.0,1.1065318484407537e-07
Agaricomycotina,0.0,0.0,0.0,0.0,0.0,0.0001920939891043724,0.0001157687316535351,5.928033671231253e-05,0.00011647182301131686,5.939260156059111e-05,0.0,0.0001086014964084256,0.0,5.463149221006224e-05
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.000806451368558577,0.000813916815822454,0.0008194218945207902,0.0008033828346999159,0.0008181633888448775,0.0,0.000812267260489323,0.0,7.096333050668879e-06
Alveolata,0.0,0.0,0.0,0.0,0.0,0.0009645097770487678,0.000985852576096727,0.0009865581079089966,0.000977433963102777,0.000987856536160852,0.0,0.000980442192063624,0.0,9.804851733860268e-06
Anaerolineae,0.0,0.0,0.0,0.0,0.0,0.0,4.0407934259523594e-07,0.0,0.0,0.0,0.0,8.081586851904719e-08,0.0,1.8070977566927476e-07
Arachnida,0.0,0.0,0.0,0.0,0.0,2.8278820688340833e-06,3.1316149051130784e-06,2.9286708086150992e-06,3.737604034187965e-06,3.6362817281994555e-06,0.0,3.252410708989936e-06,0.0,4.1303548208574607e-07
Arthropoda,0.0,0.0,0.0,0.0,0.0,8.120061369080725e-05,7.930057098431505e-05,7.806422534687834e-05,8.051001122291374e-05,7.888711193677153e-05,0.0,7.959250663633718e-05,0.0,1.2595906846900988e-06
Atribacteria Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0302347734995466e-07,0.0,6.060469546999093e-08,0.0,1.355162188265733e-07
BD2-11 terrestrial group,0.0,0.0,0.0,0.0,0.0,1.4139410344170417e-06,8.081586851904719e-07,1.0098864857293446e-06,1.1111795777315571e-06,1.2120939093998187e-06,0.0,1.1110519384936468e-06,0.0,2.2579308688224811e-07
Bacteroidetes BD2-2,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,0.0,0.0,0.0,4.0398315269058335e-08,0.0,9.033337911808215e-08
Bacteroidetes Order II,0.0,0.0,0.0,0.0,0.0,0.0,1.111218192136899e-06,1.9187843228857545e-06,1.0101632524832338e-06,2.0201565156663643e-06,0.0,1.2120644566344506e-06,0.0,8.173891450163267e-07
Blastocatellia,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,2.0203265049664675e-07,0.0,0.0,1.2120030479756148e-07,0.0,1.1064023672290027e-07
Caldisericia,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,2.0201565156663643e-07,0.0,1.61604839271083e-07,0.0,9.03398546511806e-08
Candidatus Levybacteria,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,2.0201565156663643e-07,0.0,8.081106457285089e-08,0.0,1.1065510773226287e-07
Candidatus Roizmanbacteria,0.0,0.0,0.0,0.0,0.0,4.14082731507848e-06,4.848952111142831e-06,4.746466482927919e-06,4.141669335181259e-06,4.242328682899365e-06,0.0,4.424048785445971e-06,0.0,3.4549629474000395e-07
Candidatus Shapirobacteria,0.0,0.0,0.0,0.0,0.0,9.089620935538125e-07,1.0101983564880899e-06,8.079091885834757e-07,1.3132122282282039e-06,1.1110860836165003e-06,0.0,1.0302735900940162e-06,0.0,1.943902989573088e-07
Cavosteliida,0.0,0.0,0.0,0.0,0.0,1.0099578817264583e-06,1.3132578634345168e-06,8.079091885834757e-07,9.091469272349104e-07,1.414109560966455e-06,0.0,1.090876284389163e-06,0.0,2.615229637314301e-07
Chlorobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040653009932935e-07,0.0,0.0,8.08130601986587e-08,0.0,1.807034960739835e-07
Chloroplast,0.0,0.0,0.0,0.0,0.0,3.63584837421525e-05,3.242736724326768e-05,3.28213107862037e-05,3.4244534259181626e-05,3.0403355560778784e-05,0.0,3.325101031831686e-05,0.0,2.214477823439435e-06
Chloroplastida,0.0,0.0,0.0,0.0,0.0,0.0012397232998192277,0.0012410286809456184,0.0012429682866356773,0.0012438140127826057,0.001250274867545913,0.0,0.0012435618295458084,0.0,4.081418903225454e-06
Chordata,0.0,0.0,0.0,0.0,0.0,1.0301570393609876e-05,1.1112181921368989e-05,1.2320615125898003e-05,1.0707730476322279e-05,1.0807837358815048e-05,0.0,1.1049987055202837e-05,0.0,7.671811122566855e-07
Chromadorea,0.0,0.0,0.0,0.0,0.0,4.847797832287e-06,5.556090960684494e-06,5.453387022938461e-06,5.555897888657786e-06,5.757446069649138e-06,0.0,5.434123954843376e-06,0.0,3.458292277907494e-07
Chytridiomycetes,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,5.050991782440449e-07,8.079091885834757e-07,1.0101632524832338e-06,6.060469546999093e-07,0.0,7.070386606093078e-07,0.0,2.020223868028255e-07
Cnidaria,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,1.2122380277857078e-06,1.2118637828752134e-06,1.0101632524832338e-06,1.414109560966455e-06,0.0,1.090869870629297e-06,0.0,3.063864024132177e-07
Cryptomonadales,0.0,0.0,0.0,0.0,0.0,2.0199157634529166e-06,1.4142776990833259e-06,1.110875134302279e-06,2.0203265049664675e-06,1.6161252125330915e-06,0.0,1.6363040628676159e-06,0.0,3.938304279924696e-07
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,1.918919975280271e-06,1.6163173703809437e-06,2.019772971458689e-06,1.4142285534765273e-06,2.82821912193291e-06,0.0,1.9594915985058683e-06,0.0,5.419980972336815e-07
Cyanobacteriia,0.0,0.0,0.0,0.0,0.0,6.362734654876687e-06,7.172408331065438e-06,6.564262157240739e-06,8.182322345114194e-06,6.8685321532656385e-06,0.0,7.03005192831254e-06,0.0,7.135043011140833e-07
Cytophagia,0.0,0.0,0.0,0.0,0.0,9.190616723710771e-06,9.596884386636853e-06,1.019985350586638e-05,7.677240718872577e-06,8.48465736579873e-06,0.0,9.02985054017706e-06,0.0,9.801873564016796e-07
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Deinococci,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,3.0305950694642694e-07,3.0296594571880336e-07,4.040653009932935e-07,5.050391289165911e-07,0.0,3.434242917840813e-07,0.0,1.1518039568107605e-07
Desulfovibrionia,0.0,0.0,0.0,0.0,0.0,2.7268862806614377e-06,2.7275355625178427e-06,2.7266935114692304e-06,2.6264244564564078e-06,2.7272112961495918e-06,0.0,2.7069502214509017e-06,0.0,4.501641422950767e-08
Diapherotrites Unknown Order,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Discoba,0.0,0.0,0.0,0.0,0.0,5.352776773150229e-06,3.4346744120595056e-06,3.534602700052706e-06,3.5355713836913184e-06,1.8181408640997278e-06,0.0,3.5351532266106976e-06,0.0,1.2511977541598784e-06
Discosea,0.0,0.0,0.0,0.0,0.0,0.0,4.0407934259523594e-07,0.0,0.0,0.0,0.0,8.081586851904719e-08,0.0,1.8070977566927476e-07
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,4.0407934259523594e-07,3.0296594571880336e-07,3.0304897574497013e-07,0.0,0.0,2.8281548334991854e-07,0.0,1.6597180530375132e-07
Endogonales,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Entomophthoromycotina,0.0,0.0,0.0,0.0,0.0,6.160743078531396e-06,5.354051289386876e-06,5.958330265803133e-06,5.959963189651079e-06,6.161477372782411e-06,0.0,5.918913039230979e-06,0.0,3.3152181408483015e-07
Epsilonproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0002414809295207962,0.00025123633125858795,0.000246513291166533,0.00024748999685839226,0.0002452470010018966,0.0,0.00024639350996124123,0.0,3.5396849629769543e-06
FHMa11 terrestrial group,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,3.0304897574497013e-07,2.0201565156663643e-07,0.0,1.4141124073137964e-07,0.0,1.355211303325822e-07
Fibrobacteria,0.0,0.0,0.0,0.0,0.0,1.0099578817264583e-06,1.111218192136899e-06,9.088978371564101e-07,1.0101632524832338e-06,3.0302347734995466e-07,0.0,8.686521281705911e-07,0.0,3.241860952451814e-07
Flavobacteriia,0.0,0.0,0.0,0.0,0.0,8.079663053811666e-06,8.586686030148764e-06,7.372171345824216e-06,8.38435499561084e-06,6.161477372782411e-06,0.0,7.71687055963558e-06,0.0,9.838442880551803e-07
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,0.0,3.0304897574497013e-07,0.0,0.0,1.4141604467757596e-07,0.0,1.3552381610931896e-07
Gastrotricha,0.0,0.0,0.0,0.0,0.0,2.8278820688340833e-06,4.1418132616011685e-06,2.8276821600421646e-06,4.242685660429582e-06,3.5352739024161374e-06,0.0,3.5150674106646275e-06,0.0,6.832585817547697e-07
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,1.817924187107625e-06,3.9397735903035504e-06,4.140534591490313e-06,3.939636684684612e-06,3.6362817281994555e-06,0.0,3.494830156357111e-06,0.0,9.545658570112815e-07
Glomeromycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0395459429173784e-07,3.0304897574497013e-07,0.0,0.0,1.4140071400734158e-07,0.0,1.9688015792643248e-07
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,2.0203265049664675e-07,2.0201565156663643e-07,0.0,1.2120797568171496e-07,0.0,1.1064723834641404e-07
Group C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0304897574497013e-07,0.0,0.0,6.060979514899403e-08,0.0,1.3552762205548765e-07
Halobacteria,0.0,0.0,0.0,0.0,0.0,8.887629359192834e-06,9.596884386636853e-06,9.593921614428773e-06,9.697567223839044e-06,8.585665191582048e-06,0.0,9.27233355513591e-06,0.0,5.022665017170608e-07
Ignavibacteria,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,0.0,0.0,1.2120170895775572e-07,0.0,1.1064151908692927e-07
Insecta,0.0,0.0,0.0,0.0,0.0,1.6058330319450687e-05,1.6769292717702292e-05,1.7572024851690595e-05,1.7071758966966653e-05,1.626225995111423e-05,0.0,1.6746733361384893e-05,0.0,6.115287904538518e-07
Intramacronucleata,0.0,0.0,0.0,0.0,0.0,4.544810467769063e-06,5.455071125035685e-06,2.423727565750427e-06,2.7274407817047314e-06,1.8181408640997278e-06,0.0,3.3938381608719268e-06,0.0,1.536346363013769e-06
LKM74,0.0,0.0,0.0,0.0,0.0,4.342818891423771e-06,3.1316149051130784e-06,3.6355913486256405e-06,2.8284571069530545e-06,3.4342660766328192e-06,0.0,3.4745496657496724e-06,0.0,5.736916602177508e-07
Marine Group I,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,7.071142767382636e-07,4.0403130313327287e-07,0.0,3.43430824932063e-07,0.0,2.2132763664187856e-07
Metamonada,0.0,0.0,0.0,0.0,0.0,4.948793620459646e-06,5.556090960684494e-06,5.554375671511395e-06,5.858946864402756e-06,4.141320857116047e-06,0.0,5.211905594834868e-06,0.0,6.837015642266727e-07
Methanobacteria,0.0,0.0,0.0,0.0,0.0,4.060030684540362e-05,3.6266120997922424e-05,3.847667510628803e-05,3.767908931762462e-05,3.16154494701786e-05,0.0,3.692752834748346e-05,0.0,3.358185639139859e-06
Methanomicrobia,0.0,0.0,0.0,0.0,0.0,3.938835738733188e-06,3.838753754654741e-06,5.756352968657264e-06,3.4345550584429948e-06,4.3433365086826834e-06,0.0,4.262366805834174e-06,0.0,8.955366275471546e-07
Ministeriida,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.3132578634345168e-06,1.4138410800210823e-06,9.091469272349104e-07,1.0100782578331821e-06,0.0,1.1716547173190884e-06,0.0,2.0937206327242712e-07
Mollicutes,0.0,0.0,0.0,0.0,0.0,4.342818891423771e-06,5.050991782440449e-06,5.150421077219658e-06,4.4447183109262285e-06,5.555430418082502e-06,0.0,4.908876096018522e-06,0.0,5.080444237430555e-07
Mollusca,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-07,0.0,2.7100013735424644e-07
Mucorales,0.0,0.0,0.0,0.0,0.0,0.00011907403425554944,0.00012415337801238623,0.0001221962647732507,0.00012010841072025651,0.00011898721877274885,0.0,0.00012090386130683833,0.0,2.229584760467322e-06
Nematoda,0.0,0.0,0.0,0.0,0.0,0.00010412665760599785,0.00010778816463727918,0.00011068355883593617,0.00010667323946222949,0.0001064622483756174,0.0,0.00010714677378341201,0.0,2.38401668657728e-06
Nitrospira,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,2.0203967129761797e-07,0.0,5.050816262416169e-07,4.0403130313327287e-07,0.0,2.8282799303808903e-07,0.0,1.9430114943320288e-07
Nucleariida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101632524832338e-06,8.080626062665457e-07,0.0,3.636451717499559e-07,0.0,5.030422242785673e-07
PAUC43f marine benthic group,0.0,0.0,0.0,0.0,0.0,0.0,3.0305950694642694e-07,4.0395459429173784e-07,3.0304897574497013e-07,2.0201565156663643e-07,0.0,2.4241574570995426e-07,0.0,1.5317181148747312e-07
Pezizomycotina,0.0,0.0,0.0,0.0,0.0,0.0004254952555713569,0.0004190302782712597,0.00042627308562635634,0.00042265230483898503,0.00041675828918197094,0.0,0.0004220418426979858,0.0,4.0984021054357094e-06
Phycisphaerae,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,1.111218192136899e-06,1.110875134302279e-06,9.091469272349104e-07,1.3131017351831368e-06,0.0,1.1110591317512658e-06,0.0,1.428196609466398e-07
Pla3 lineage,0.0,0.0,0.0,0.0,0.0,0.0,7.071388495416629e-07,0.0,6.060979514899403e-07,0.0,0.0,2.6264736020632065e-07,0.0,3.6141454737415625e-07
Pla4 lineage,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,3.0305950694642694e-07,2.0197729714586892e-07,2.0203265049664675e-07,0.0,0.0,1.8181220618684686e-07,0.0,1.1065632663959557e-07
Planctomycetacia,0.0,0.0,0.0,0.0,0.0,2.7268862806614377e-06,4.1418132616011685e-06,3.837568645771509e-06,5.050816262416169e-06,3.93930520554941e-06,0.0,3.939277931199939e-06,0.0,8.301771370625399e-07
Planctomycetes,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,0.0,3.0296594571880336e-07,0.0,3.0302347734995466e-07,0.0,2.0199451515186826e-07,0.0,1.8894778312484833e-07
Platyhelminthes,0.0,0.0,0.0,0.0,0.0,6.362734654876687e-06,6.768328988470202e-06,4.746466482927919e-06,3.838620359436289e-06,5.858453895432456e-06,0.0,5.514920876228711e-06,0.0,1.2050249594472316e-06
Porifera,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,9.091785208392809e-07,7.069205400105411e-07,7.071142767382636e-07,1.0100782578331821e-06,0.0,8.888490530640745e-07,0.0,1.8066943637239182e-07
Pucciniomycotina,0.0,0.0,0.0,0.0,0.0,0.0030227029442191173,0.0030329185256841923,0.0030380415150195873,0.0030333182145566547,0.0030042757622732335,0.0,0.003026251392350557,0.0,1.3499235505841901e-05
Rhizaria,0.0,0.0,0.0,0.0,0.0,0.0001672490252139015,0.00016688476849183244,0.00015542153015374614,0.00016021189184384089,0.00016322864646584225,0.0,0.00016259917243383265,0.0,4.939670012305192e-06
Rhodophyceae,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,1.0101983564880899e-06,1.6158183771669514e-06,8.08130601986587e-07,1.8181408640997278e-06,0.0,1.2726483739280922e-06,0.0,4.260662088723389e-07
S0134 terrestrial group,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,3.0305950694642694e-07,3.0296594571880336e-07,4.040653009932935e-07,0.0,0.0,2.828147812698214e-07,0.0,1.659695616800259e-07
S085,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,6.061190138928539e-07,3.0296594571880336e-07,3.0304897574497013e-07,4.0403130313327287e-07,0.0,3.8383052060156756e-07,0.0,1.3173894565631903e-07
SPOTSOCT00m83,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,0.0,5.049432428646723e-07,4.040653009932935e-07,0.0,0.0,2.625983393097098e-07,0.0,2.432331158571073e-07
Saccharomycotina,0.0,0.0,0.0,0.0,0.0,0.0007515096597926577,0.0007194632694908176,0.0007403477826881825,0.0007423689742499285,0.0006872572466296972,0.0,0.0007281893865702567,0.0,2.5711415973702012e-05
Scyphozoa,0.0,0.0,0.0,0.0,0.0,1.817924187107625e-06,1.0101983564880899e-06,1.514829728594017e-06,1.5152448787248506e-06,1.0100782578331821e-06,0.0,1.373655081749553e-06,0.0,3.5413340972073265e-07
Soil Crenarchaeotic Group(SCG),0.0,0.0,0.0,0.0,0.0,1.3129452462443959e-06,1.9193768773273707e-06,1.3128524314481479e-06,1.4142285534765273e-06,1.5151173867497733e-06,0.0,1.4949040990492431e-06,0.0,2.516674859525302e-07
Sordariomycetes,0.0,0.0,0.0,0.0,0.0,0.0006879833090320635,0.0006431932935759668,0.0006979325502875501,0.0006445851714095515,0.0006417027172014206,0.0,0.0006630794083013105,0.0,2.7520006619631815e-05
Sphingobacteriia,0.0,0.0,0.0,0.0,0.0,8.382650418329605e-06,7.98056701625591e-06,8.685023777272363e-06,7.7782570441209e-06,8.080626062665457e-06,0.0,8.181424863728846e-06,0.0,3.560730801048068e-07
Spirochaetes,0.0,0.0,0.0,0.0,0.0,3.969134475184981e-05,4.222629130120216e-05,4.594983510068518e-05,4.0204497448832706e-05,4.464545899622665e-05,0.0,4.25434855197593e-05,0.0,2.726155456473478e-06
Stramenopiles,0.0,0.0,0.0,0.0,0.0,6.43343170659754e-05,5.6066008785088984e-05,5.816946157801025e-05,5.980166454700744e-05,5.848353112854125e-05,0.0,5.937099662092466e-05,0.0,3.0811625548386593e-06
Subgroup 6,0.0,0.0,0.0,0.0,0.0,2.6056913348542626e-05,2.6366177104339147e-05,2.6358037277535894e-05,2.4445950710094258e-05,2.6767073832579326e-05,0.0,2.599883045461825e-05,0.0,9.040160554426462e-07
Thermococci,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,7.071388495416629e-07,8.079091885834757e-07,7.071142767382636e-07,6.060469546999093e-07,0.0,6.868367997198374e-07,0.0,8.448009555509341e-08
Thermoleophilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0197729714586892e-07,2.0203265049664675e-07,3.0302347734995466e-07,0.0,1.4140668499849407e-07,0.0,1.355138327284273e-07
Thermoplasmata,0.0,0.0,0.0,0.0,0.0,3.090471118082963e-05,2.9497792009452222e-05,3.0195605923307403e-05,3.131506082698025e-05,2.929226947716228e-05,0.0,3.0241087883546358e-05,0.0,8.730159645405878e-07
Thermoprotei,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,7.071388495416629e-07,1.0098864857293446e-06,3.0304897574497013e-07,6.060469546999093e-07,0.0,6.464191989503524e-07,0.0,2.5345814642806784e-07
Tubulinea,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,2.0197729714586892e-07,3.0304897574497013e-07,2.0201565156663643e-07,0.0,1.8181631915101868e-07,0.0,1.1065486090796335e-07
Ustilaginomycotina,0.0,0.0,0.0,0.0,0.0,5.150785196804938e-06,8.081586851904719e-06,6.766239454386609e-05,7.17215909263096e-06,6.110973459890752e-05,0.0,2.9835332056822842e-05,0.0,3.164311379942255e-05
Verrucomicrobia Unknown Order,0.0,0.0,0.0,0.0,0.0,5.049789408632291e-07,3.0305950694642694e-07,4.0395459429173784e-07,3.0304897574497013e-07,2.0201565156663643e-07,0.0,3.4341153388260016e-07,0.0,1.1513004264236354e-07
Xenacoelomorpha,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,6.061190138928539e-07,0.0,0.0,0.0,0.0,3.4341453675839166e-07,0.0,5.029738053268355e-07
uncultured Candidatus Saccharibacteria bacterium ,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,0.0,2.0201565156663643e-07,0.0,1.211969050115594e-07,0.0,1.1063713214015708e-07
uncultured Desulfurococcales archaeon,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,0.0,0.0,0.0,8.079377469823212e-08,0.0,1.1063143238571821e-07
uncultured Epsilonproteobacteria bacterium  ,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,3.0296594571880336e-07,0.0,3.0302347734995466e-07,0.0,1.817953575173391e-07,0.0,1.659556982102356e-07
uncultured archaeon   ,0.0,0.0,0.0,0.0,0.0,9.594599876401355e-06,1.000096372923209e-05,1.0805785397303987e-05,1.0000616199584014e-05,9.09070432049864e-06,0.0,9.898533904604017e-06,0.0,6.302742389990662e-07
uncultured bacterium   ,0.0,0.0,0.0,0.0,0.0,1.868422081193948e-05,1.9294788608922517e-05,1.9894763768868086e-05,1.9395134447678088e-05,2.030257298244696e-05,0.0,1.9514296123971027e-05,0.0,6.159432019931279e-07
uncultured crenarchaeote   ,0.0,0.0,0.0,0.0,0.0,5.049789408632291e-07,1.8183570416785619e-06,2.0197729714586892e-07,0.0,0.0,0.0,5.05062655937532e-07,0.0,7.626892319592465e-07
uncultured euryarchaeote  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0203265049664675e-07,0.0,0.0,4.040653009932935e-08,0.0,9.035174803699175e-08
uncultured marine eukaryote  ,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,0.0,2.0203265049664675e-07,3.0302347734995466e-07,0.0,1.616086984729078e-07,0.0,1.5317874007099362e-07
uncultured organism   ,0.0,0.0,0.0,0.0,0.0,1.0099578817264583e-06,1.111218192136899e-06,1.6158183771669514e-06,1.2121959029798805e-06,1.1110860836165003e-06,0.0,1.2120552875253378e-06,0.0,2.3676513346808806e-07
