Phylum,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Bathyarchaeota,0.0,0.0,0.0,0.0,0.0,94.0,111.0,101.0,99.0,87.0
Caldiserica,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
Candidate division YNPFFA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Chlorobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Chloroflexi,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,3.0,4.0
Chytridiomycota,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.04676870350606263,0.07482992560970021,0.09353740701212526,0.056122444207275156
Ciliophora,0.0,0.0,0.0,0.0,0.0,0.42091833155456365,0.5051019978654764,0.22448977682910062,0.25255099893273825,0.16836733262182546
Cnidaria,0.0,0.0,0.0,0.0,0.0,0.16836733262182546,0.09353740701212526,0.1403061105181879,0.1403061105181879,0.09353740701212526
Crenarchaeota,0.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,3.0,6.0
Cryptophyceae,0.0,0.0,0.0,0.0,0.0,0.18707481402425052,0.13095236981697536,0.10289114771333778,0.18707481402425052,0.14965985121940042
Cyanobacteria,0.0,0.0,0.0,0.0,0.0,442.0,408.0,410.0,434.0,397.0
DH147-EKD10,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.0,0.018707481402425053,0.028061222103637578
Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Deinococcus-Thermus,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0
Desulfobacterota,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,26.0,27.0
Diapherotrites,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Discicristoidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09353740701212526,0.07482992560970021
Elusimicrobia,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0
Entomophthoromycota,0.0,0.0,0.0,0.0,0.0,0.5705781827739641,0.49574825716426385,0.551870701371539,0.551870701371539,0.5705781827739641
Euryarchaeota,0.0,0.0,0.0,0.0,0.0,841.0,791.0,840.0,820.0,737.0
Excavata,0.0,0.0,0.0,0.0,0.0,0.9540815515236777,0.8324829224079148,0.8418366631091274,0.869897885212765,0.551870701371539
Fibrobacteres,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,10.0,3.0
Filasterea,0.0,0.0,0.0,0.0,0.0,0.11224488841455031,0.12159862911576283,0.13095236981697536,0.08418366631091273,0.09353740701212526
Fusobacteria,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0
Gemmatimonadetes,0.0,0.0,0.0,0.0,0.0,36.0,53.0,58.0,57.0,50.0
Glomeromycota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.028061222103637578,0.0
Gracilibacteria,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
Ignavibacteriae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Lokiarchaeota,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0
Metazoa (Animalia),0.0,0.0,0.0,0.0,0.0,19.28741332590023,19.614794250442667,19.502549362028116,19.231290881692953,19.25935210379659
Microgenomates,0.0,0.0,0.0,0.0,0.0,50.0,60.0,55.0,54.0,55.0
Mucoromycotina,0.0,0.0,0.0,0.0,0.0,11.028060286729568,11.514454803192619,11.318026248467156,11.121597693741693,11.018706546028355
Nanohaloarchaeota,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0
Nematozoa,0.0,0.0,0.0,0.0,0.0,0.44897955365820125,0.5144557385666889,0.5051019978654764,0.5144557385666889,0.533163219969114
Nitrospirae,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0
Parcubacteria,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,5.0
Patescibacteria,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Planctomycetes,0.0,0.0,0.0,0.0,0.0,40.0,62.0,51.0,67.0,52.0
Planctomycetota,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0
SAR,0.0,0.0,0.0,0.0,0.0,110.77635112445995,111.92686123070908,111.15985449320965,110.87924227217329,112.01104489701999
Saccharibacteria,0.0,0.0,0.0,0.0,0.0,182.0,185.0,192.0,187.0,198.0
Spirochaetae,0.0,0.0,0.0,0.0,0.0,393.0,418.0,455.0,398.0,442.0
Tenericutes,0.0,0.0,0.0,0.0,0.0,43.0,50.0,51.0,44.0,55.0
Thaumarchaeota,0.0,0.0,0.0,0.0,0.0,17.0,21.0,15.0,27.0,21.0
Verrucomicrobiota,0.0,0.0,0.0,0.0,0.0,42.0,48.0,45.0,48.0,47.0
Woesearchaeota (DHVEG-6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
pMC2A209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
