Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Acidobacteriaceae (Subgroup 1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Acoela,0.0,0.0,0.0,0.0,0.0,0.10289114771333778,0.056122444207275156,0.0,0.0,0.0
Aconoidasida,0.0,0.0,0.0,0.0,0.0,0.9634352922248901,1.1692175876515658,1.1224488841455031,1.1411563655479282,1.0382652178345904
Aeromonadaceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0
Alcanivoracaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Alteromonadaceae,0.0,0.0,0.0,0.0,0.0,14.0,46.0,44.0,49.0,50.0
Amoeba,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.018707481402425053,0.0,0.018707481402425053
Amphifilidae sp. H-1  ,0.0,0.0,0.0,0.0,0.0,0.4583332943594138,0.5144557385666889,0.5051019978654764,0.4302720722557762,0.42091833155456365
Anaerofustaceae,0.0,0.0,0.0,0.0,0.0,577.0,599.0,607.0,561.0,609.0
Anaerolineaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Anaeroplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Anaerovoracaceae,0.0,0.0,0.0,0.0,0.0,985.0,987.0,991.0,1020.0,983.0
Ancylistaceae,0.0,0.0,0.0,0.0,0.0,0.5705781827739641,0.49574825716426385,0.551870701371539,0.551870701371539,0.5705781827739641
Arachnida,0.0,0.0,0.0,0.0,0.0,0.11224488841455031,0.13095236981697536,0.15901359192061293,0.1028911477133378,0.11224488841455031
Ascaridida,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.037414962804850106,0.056122444207275156,0.018707481402425053,0.06547618490848768
Ascidiacea,0.0,0.0,0.0,0.0,0.0,0.7389455153957896,0.7389455153957896,0.8979591073164025,0.729591774694577,0.7857142189018522
Atopobiaceae,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,12.0,12.0
BOLA868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0
Bacillaceae,0.0,0.0,0.0,0.0,0.0,76.0,65.0,66.0,62.0,51.0
Bacteroidales S24-7 group,0.0,0.0,0.0,0.0,0.0,13463.0,13310.0,13456.0,13507.0,13527.0
Bdellovibrionaceae,0.0,0.0,0.0,0.0,0.0,111.0,105.0,100.0,95.0,114.0
Bernardetiaceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Blastocatellaceae (Subgroup 4),0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Brevibacteriaceae,0.0,0.0,0.0,0.0,0.0,27.0,31.0,26.0,29.0,30.0
Brucellaceae,0.0,0.0,0.0,0.0,0.0,22.0,29.0,98.0,77.0,84.0
Burkholderiaceae,0.0,0.0,0.0,0.0,0.0,35.0,47.0,54.0,56.0,47.0
Butyricicoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Caecitellus,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0,0.018707481402425053
Candidatus,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0
Candidatus Carsonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Candidatus Phytoplasma,0.0,0.0,0.0,0.0,0.0,43.0,46.0,46.0,42.0,48.0
Capnodiales,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.028061222103637578,0.028061222103637578,0.018707481402425053
Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,33.0,17.0,24.0,29.0,14.0
Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,21.0,26.0,21.0,24.0,21.0
Cercomonadidae,0.0,0.0,0.0,0.0,0.0,0.16836733262182546,0.10289114771333778,0.16836733262182546,0.16836733262182546,0.177721073323038
Chitinophagaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,2.0
Chlorophyceae,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.177721073323038,0.08418366631091273,0.0,0.0
Chloroplast,0.0,0.0,0.0,0.0,0.0,63.0,71.0,65.0,77.0,68.0
Choreotrichia,0.0,0.0,0.0,0.0,0.0,0.13095236981697536,0.11224488841455031,0.177721073323038,0.1403061105181879,0.16836733262182546
Christensenellaceae,0.0,0.0,0.0,0.0,0.0,282.0,243.0,271.0,281.0,265.0
Chromatiaceae,0.0,0.0,0.0,0.0,0.0,42.0,45.0,38.0,43.0,39.0
Clostridia UCG-014,0.0,0.0,0.0,0.0,0.0,87.0,78.0,80.0,77.0,79.0
Clostridiaceae 1,0.0,0.0,0.0,0.0,0.0,2856.0,2872.0,2927.0,2885.0,2927.0
Clostridiales Dethiosulfatibacter,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
Colpodea,0.0,0.0,0.0,0.0,0.0,0.2899659617375883,0.2525509989327382,0.0,0.0,0.0
Colwelliaceae,0.0,0.0,0.0,0.0,0.0,61.0,65.0,54.0,81.0,70.0
Comamonadaceae,0.0,0.0,0.0,0.0,0.0,25.0,35.0,29.0,27.0,25.0
Conoidasida,0.0,0.0,0.0,0.0,0.0,2.4693875451201066,2.6938773219492074,2.450680063717682,2.4974487672237444,2.6938773219492074
Coriobacteriaceae,0.0,0.0,0.0,0.0,0.0,7226.0,7126.0,7209.0,7104.0,7120.0
Coriolopsis gallica   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.0
Corticiales,0.0,0.0,0.0,0.0,0.0,5.518707013715391,5.593536939325091,0.0,5.649659383532366,0.0
Corynebacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
Corynebacteriales Tomitella,0.0,0.0,0.0,0.0,0.0,29.0,42.0,39.0,28.0,27.0
Crenotrichaceae,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,7.0
Crocinitomicaceae,0.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,16.0,13.0
Cryomorphaceae,0.0,0.0,0.0,0.0,0.0,10.0,15.0,11.0,8.0,13.0
Cyanobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Cytophagaceae,0.0,0.0,0.0,0.0,0.0,91.0,95.0,101.0,76.0,84.0
Dactylopodida,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.0,0.0,0.0
Deep Sea Hydrothermal Vent Gp,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Deferribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Defluviitaleaceae,0.0,0.0,0.0,0.0,0.0,17.0,17.0,18.0,20.0,22.0
Desulfarculaceae,0.0,0.0,0.0,0.0,0.0,72.0,63.0,73.0,64.0,76.0
Desulfobacteraceae,0.0,0.0,0.0,0.0,0.0,9.0,7.0,8.0,3.0,7.0
Desulfobulbaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Desulfurococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Diatomea,0.0,0.0,0.0,0.0,0.0,5.453230828806903,5.107142422862039,5.238094792679014,5.462584569508115,5.3129247182887145
Digenea,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.028061222103637578,0.0
Dinophyceae,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.018707481402425053,0.037414962804850106,0.018707481402425053
Diplogasterida,0.0,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.0,0.0
Dorylaimia,0.0,0.0,0.0,0.0,0.0,7.754251041305184,8.044217003042773,8.119046928652473,7.7636047820063965,7.716836078500334
Ellipura,0.0,0.0,0.0,0.0,0.0,5.032312497252339,4.966836312343851,4.826530201825664,4.938775090240213,4.892006386734151
Enoplia,0.0,0.0,0.0,0.0,0.0,1.8613943995412927,1.8707481402425052,2.0765304356691807,2.0765304356691807,2.0578229542667557
Enterococcaceae,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0
Erysipelatoclostridiaceae,0.0,0.0,0.0,0.0,0.0,589.0,588.0,601.0,631.0,603.0
Erysiphales,0.0,0.0,0.0,0.0,0.0,14.152209680934552,13.675168905172713,14.329930754257589,14.180270903038188,13.843536237794538
Erythrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
Eucestoda,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.018707481402425053,0.0,0.0,0.0
Euglenozoa,0.0,0.0,0.0,0.0,0.0,0.4396258129569887,0.3180271838412259,0.2806122210363758,0.27125848033516325,0.1028911477133378
Eurotiales,0.0,0.0,0.0,0.0,0.0,23.318875568122827,23.122447013397366,23.215984420409487,22.972787162177966,23.09438579129373
Exobasidiales,0.0,0.0,0.0,0.0,0.0,0.0,0.23384351753031316,0.3647958873472885,0.23384351753031316,0.0
Family XI,0.0,0.0,0.0,0.0,0.0,46.0,52.0,53.0,55.0,57.0
Family XIII,0.0,0.0,0.0,0.0,0.0,850.0,904.0,846.0,853.0,890.0
FamilyI,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
FamilyII,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,14.0,26.0
Ferrovaceae,0.0,0.0,0.0,0.0,0.0,25.0,27.0,24.0,22.0,34.0
Fervidicoccaceae,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,3.0,6.0
Fibrobacteraceae,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,10.0,3.0
Flavobacteriaceae,0.0,0.0,0.0,0.0,0.0,101.0,103.0,98.0,118.0,86.0
Foraminifera,0.0,0.0,0.0,0.0,0.0,10.195577364321654,10.401359659748328,9.363094441913738,9.746597810663452,10.167516142218016
Francisellaceae,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
Fusobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Gemmatimonadaceae,0.0,0.0,0.0,0.0,0.0,18.0,39.0,41.0,39.0,36.0
Gnathostomata,0.0,0.0,0.0,0.0,0.0,0.2151360361278881,0.2899659617375883,0.2431972582315257,0.2619047396339507,0.2151360361278881
Gracilibacteraceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,11.0,0.0
Halobacteriaceae,0.0,0.0,0.0,0.0,0.0,88.0,95.0,95.0,96.0,85.0
Halomonadaceae,0.0,0.0,0.0,0.0,0.0,23.0,35.0,22.0,21.0,28.0
Haplosclerida,0.0,0.0,0.0,0.0,0.0,0.10289114771333778,0.08418366631091273,0.06547618490848768,0.06547618490848768,0.09353740701212526
Helicobacteraceae,0.0,0.0,0.0,0.0,0.0,2391.0,2487.0,2441.0,2450.0,2428.0
Helicobasidiales,0.0,0.0,0.0,0.0,0.0,0.177721073323038,0.2525509989327382,0.16836733262182546,0.18707481402425052,0.177721073323038
Hemiptera,0.0,0.0,0.0,0.0,0.0,1.4872447714927917,1.5527209564012794,1.6275508820109794,1.5807821785049168,1.5059522528952167
Heteroconchia,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.0,0.0,0.0,0.0
Heterogastridiales,0.0,0.0,0.0,0.0,0.0,6.940475600299695,7.099489192220307,6.809523230482719,6.6692171199645305,6.6692171199645305
Hydroidolina,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.06547618490848768,0.07482992560970021,0.056122444207275156,0.037414962804850106
Hymenobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,8.0,3.0
Hyphomonadaceae,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,5.0
I-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Idiomarinaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0
Ignavibacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Imbricatea,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.018707481402425053,0.028061222103637578,0.0,0.0
Insecta,0.0,0.0,0.0,0.0,0.0,2.2636052496934314,2.095237917071606,2.151360361278881,2.2729589903946437,2.179421583382519
Intramacronucleata,0.0,0.0,0.0,0.0,0.0,2.824829691766183,2.9931970243880084,3.133503134906196,3.432822837344997,3.367346652436509
JG34-KF-161,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0
JGI 0000069-P22,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Jatropha curcas   ,0.0,0.0,0.0,0.0,0.0,54.5136008066666,73.63264679994501,73.44557198592075,73.81972161396925,55.81377076413514
Klebsormidiophyceae,0.0,0.0,0.0,0.0,0.0,1.2908162167673285,1.2721087353649034,1.1505101062491407,1.206632550456416,1.1692175876515658
Leptotrichiaceae,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Leuconostocaceae,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
MAST-3I,0.0,0.0,0.0,0.0,0.0,0.3367346652436509,0.0,0.0,0.0,0.0
Macrodasyidae,0.0,0.0,0.0,0.0,0.0,0.2619047396339507,0.3835033687497136,0.2619047396339507,0.3928571094509261,0.3273809245424384
Macrostomida,0.0,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.04676870350606263,0.0,0.028061222103637578
Malasseziales,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.037414962804850106,0.0,0.0
Mamiellophyceae,0.0,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.0,0.0
Marine Benthic Group D and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Marine Group II,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,7.0,8.0
Marinilabiaceae,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,2.0
Maxillopoda,0.0,0.0,0.0,0.0,0.0,0.06547618490848768,0.0654761849084877,0.018707481402425053,0.07482992560970021,0.056122444207275156
Methanobacteriaceae,0.0,0.0,0.0,0.0,0.0,402.0,359.0,381.0,373.0,313.0
Methanocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Methanomicrobiaceae,0.0,0.0,0.0,0.0,0.0,6.0,13.0,16.0,6.0,12.0
Methanosaetaceae,0.0,0.0,0.0,0.0,0.0,13.0,10.0,15.0,5.0,5.0
Methanosarcinaceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,6.0
Methanospirillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Methermicoccaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Methylophilaceae,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0
Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Micromonosporaceae,0.0,0.0,0.0,0.0,0.0,26.0,18.0,21.0,15.0,23.0
Mitochondria,0.0,0.0,0.0,0.0,0.0,43.0,40.0,57.0,41.0,36.0
Monoglobaceae,0.0,0.0,0.0,0.0,0.0,7315.0,7319.0,7226.0,7272.0,7296.0
Moraxellaceae,0.0,0.0,0.0,0.0,0.0,34.0,24.0,29.0,22.0,29.0
Mycobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Mycoplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
Myxosporea,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.04676870350606263,0.037414962804850106,0.037414962804850106,0.09353740701212526
NS9 marine group,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Neisseriaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0
Nitrospiraceae,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0
Nocardiaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
Novel Apicomplexa Class 2,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.018707481402425053,0.0,0.0
Novel Clade 10,0.0,0.0,0.0,0.0,0.0,0.29931970243880085,0.2806122210363758,0.24319725823152566,0.2619047396339507,0.29931970243880085
Nuclearia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09353740701212526,0.07482992560970021
OCS116 clade,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
OPB56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Oceanospirillaceae,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,11.0,11.0
Oligoflexaceae,0.0,0.0,0.0,0.0,0.0,288.0,309.0,299.0,260.0,268.0
Opiliones,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.018707481402425053,0.018707481402425053,0.0
Ostracoda,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.08418366631091273,0.07482992560970021,0.06547618490848768,0.06547618490848768
Paenibacillaceae,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,2.0,3.0
Pasteurellaceae,0.0,0.0,0.0,0.0,0.0,22.0,21.0,20.0,16.0,13.0
Pectobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0
Peptococcaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0
Peptostreptococcaceae,0.0,0.0,0.0,0.0,0.0,2198.0,2261.0,2240.0,2200.0,2188.0
Phaeophyceae,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0,0.0,0.0
Phaselicystidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0
Phragmoplastophyta,0.0,0.0,0.0,0.0,0.0,58.95662763974255,39.762751720854446,40.44557479204296,40.108840126799315,58.7695528257183
Phycisphaeraceae,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,4.0,9.0
Phyllobacteriaceae,0.0,0.0,0.0,0.0,0.0,9.0,16.0,21.0,21.0,36.0
Phytophthora,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.06547618490848768,0.037414962804850106,0.028061222103637578,0.06547618490848768
Pirellulaceae,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0
Planctomycetaceae,0.0,0.0,0.0,0.0,0.0,27.0,41.0,38.0,50.0,39.0
Platygloeales,0.0,0.0,0.0,0.0,0.0,0.12159862911576283,0.0,0.0,0.11224488841455031,0.20578229542667556
Plectosphaerellaceae,0.0,0.0,0.0,0.0,0.0,52.605437703619245,53.671764143557475,51.95067585453437,51.99744455804043,52.025505780144066
Polycystinea,0.0,0.0,0.0,0.0,0.0,1.3843536237794538,1.2066325504564157,1.2721087353649034,1.3375849202733912,1.1130951434442906
Polyporales,0.0,0.0,0.0,0.0,0.0,2.0858841763703935,2.188775324083731,2.310373953199494,2.0204079914619055,2.0484692135655433
Porphyra,0.0,0.0,0.0,0.0,0.0,0.06547618490848768,0.09353740701212526,0.08418366631091273,0.07482992560970021,0.11224488841455031
Porphyromonadaceae,0.0,0.0,0.0,0.0,0.0,138.0,132.0,155.0,125.0,1376.0
Postciliodesmatophora,0.0,0.0,0.0,0.0,0.0,81.97618350542658,83.22958475938906,83.43536705481573,82.35033313347508,83.12669361167572
Prevotellaceae,0.0,0.0,0.0,0.0,0.0,266.0,266.0,242.0,273.0,263.0
Propionibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,13.0,12.0
Pseudoalteromonadaceae,0.0,0.0,0.0,0.0,0.0,60.0,70.0,58.0,68.0,71.0
Pseudohongiellaceae,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,12.0,5.0
Pseudomonadaceae,0.0,0.0,0.0,0.0,0.0,68.0,59.0,70.0,70.0,67.0
Pseudonocardiaceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
RAD A,0.0,0.0,0.0,0.0,0.0,0.12159862911576283,0.13095236981697536,0.1403061105181879,0.19642855472546306,0.13095236981697536
RM1-SGM49,0.0,0.0,0.0,0.0,0.0,0.056122444207275156,0.0,0.04676870350606263,0.056122444207275156,0.06547618490848768
Reticulamoeba,0.0,0.0,0.0,0.0,0.0,3.124149394204984,3.311224208229234,3.1802718384122586,3.124149394204984,3.2270405419183215
Rhabdocoela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0
Rhizobiaceae,0.0,0.0,0.0,0.0,0.0,11.0,13.0,13.0,16.0,13.0
Rhizobiales Candidatus Hodgkinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,94.0,89.0,84.0,79.0,63.0
Rhodocyclaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rhodymeniophycidae,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.0,0.06547618490848768,0.0,0.056122444207275156
Rhynchostoma,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106,0.0,0.0,0.0
Rickettsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0
Rubritaleaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Russulales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037414962804850106
SAR116 clade,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0
SM2D12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Saccharomycetales,0.0,0.0,0.0,0.0,0.0,69.6011845577224,66.61734127403561,68.57227308058903,68.74064041321085,63.64285173105003
Saccharospirillaceae,0.0,0.0,0.0,0.0,0.0,59.0,65.0,57.0,71.0,64.0
Salinibacter,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10.0,20.0
Salinisphaeraceae,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,6.0
Saprospiraceae,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,4.0
Schizoplasmodiopsis amoeboidea   ,0.0,0.0,0.0,0.0,0.0,0.09353740701212526,0.12159862911576283,0.07482992560970021,0.08418366631091273,0.13095236981697536
Semaeostomeae,0.0,0.0,0.0,0.0,0.0,0.16836733262182546,0.09353740701212526,0.1403061105181879,0.1403061105181879,0.09353740701212526
